loai,thanh_phan,trang_thai,meaning_en,meaning_vi,bien_the,ghi_chu
Word,climatic,Đã có trong MorphLink,of or relating to a climate,climate(khí hậu) + -ic(thuộc về (tính từ)),không có biến thể đáng kể,pos=adjective; structure=[climate]-ic
Word,climatical,Đã có trong MorphLink,of or relating to a climate,climate(khí hậu) + -ic(thuộc về (tính từ)) + -al(thuộc về (tính từ); hành động (danh từ)),không có biến thể đáng kể,pos=adjective; structure=[climate]-ic-al
Word,climatically,Đã có trong MorphLink,with respect to climate,climate(khí hậu) + -ic(thuộc về (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như)),không có biến thể đáng kể,pos=adverb; structure=[climate]-ic-ly
Word,climatology,Đã có trong MorphLink,meteorology of climates and their phenomena,"climate+log(khí hậu + khúc gỗ, nhật ký) + -y(có tính chất; danh từ/tính từ)",không có biến thể đáng kể,pos=noun; structure=[climate+log]-y
Word,climber,Đã có trong MorphLink,an iron spike attached to the shoe to prevent slipping on ice when walking or climbing,climb(leo trèo) + -er(người làm việc gì; so sánh hơn),không có biến thể đáng kể,pos=noun; structure=[climb]-er
Word,clingier,Đã có trong MorphLink,cling(to hold on tightly to somebody/something) + -y(having quality of; noun/adjective) + -er(person who does; comparative),cling(bám chặt) + -y(có tính chất; danh từ/tính từ) + -er(người làm việc gì; so sánh hơn),không có biến thể đáng kể,pos=noun; structure=[cling]-y-er
Word,clingiest,Đã có trong MorphLink,cling(to hold on tightly to somebody/something) + -y(having quality of; noun/adjective) + -est(superlative),cling(bám chặt) + -y(có tính chất; danh từ/tính từ) + -est(so sánh nhất),không có biến thể đáng kể,pos=adjective; structure=[cling]-y-est
Word,clingy,Đã có trong MorphLink,Apt to cling; adhesive.,cling(bám chặt) + -y(có tính chất; danh từ/tính từ),không có biến thể đáng kể,pos=adjective; structure=[cling]-y
Word,clinical,Đã có trong MorphLink,relating to the examination and treatment of patients and their illnesses,clinic(phòng khám) + -al(thuộc về (tính từ); hành động (danh từ)),không có biến thể đáng kể,pos=adjective; structure=[clinic]-al
Word,clinically,Đã có trong MorphLink,in a clinical manner,clinic(phòng khám) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như)),không có biến thể đáng kể,pos=adverb; structure=[clinic]-al-ly
Word,clipboard,Đã có trong MorphLink,a small writing board with a clip at the top for holding papers,"clip+board(kẹp giấy, kẹp + ban, bảng, tấm ván)",không có biến thể đáng kể,pos=noun; structure=[clip+board]
Word,clipper,Đã có trong MorphLink,scissors for cutting hair or finger nails (often used in the plural),"clip(kẹp giấy, kẹp) + -er(người làm việc gì; so sánh hơn)",không có biến thể đáng kể,pos=noun; structure=[clip]-er
Word,clockwise,Đã có trong MorphLink,in the direction that the hands of a clock move,clock(đồng hồ) + -wise(theo cách thức; hướng),không có biến thể đáng kể,pos=adverb; structure=[clock]-wise
Word,clockwork,Đã có trong MorphLink,any mechanism of geared wheels that is driven by a coiled spring,clock+work(đồng hồ + công việc),không có biến thể đáng kể,pos=noun; structure=[clock+work]
Word,closedown,Đã có trong MorphLink,termination of operations,"close+down(đóng lại, gần + xuống)",không có biến thể đáng kể,pos=noun; structure=[close+down]
Word,closely,Đã có trong MorphLink,near in space or time,"close(đóng lại, gần) + -ly(trạng từ chỉ cách thức / tính từ (giống như))",không có biến thể đáng kể,pos=adverb; structure=[close]-ly
Word,closeness,Đã có trong MorphLink,close or warm friendship,"close(đóng lại, gần) + -ness(trạng thái, tính chất (danh từ))",không có biến thể đáng kể,pos=noun; structure=[close]-ness
Word,closer,Đã có trong MorphLink,a person who closes something,"close(đóng lại, gần) + -er(người làm việc gì; so sánh hơn)",không có biến thể đáng kể,pos=noun; structure=[close]-er
Word,closest,Đã có trong MorphLink,(superlative of `near' or `close') within the shortest distance,"close(đóng lại, gần) + -est(so sánh nhất)",không có biến thể đáng kể,pos=adverb; structure=[close]-est
Word,closeup,Đã có trong MorphLink,a photograph taken at close range,"close+up(đóng lại, gần + lên trên)",không có biến thể đáng kể,pos=noun; structure=[close+up]
Word,closure,Đã có trong MorphLink,"the situation when a factory, school, hospital, etc. shuts permanently","close(đóng lại, gần) + -ure(hành động, kết quả, quá trình (danh từ))",không có biến thể đáng kể,pos=noun; structure=[close]-ure
Word,clothbound,Đã có trong MorphLink,"cloth+bound(material made by weaving or knitting cotton, wool, silk, etc. + certain or likely to happen, or to do or be something)","cloth+bound(vải + ràng buộc, giới hạn)",không có biến thể đáng kể,pos=noun; structure=[cloth+bound]
Word,clothesbrush,Đã có trong MorphLink,a brush used for cleaning clothing,"cloth+brush(vải + bàn chải, chải)",không có biến thể đáng kể,pos=noun; structure=[cloth+brush]
Word,clotheshorse,Đã có trong MorphLink,a framework on which to hang clothes (as for drying),cloth+horse(vải + ngựa),không có biến thể đáng kể,pos=noun; structure=[cloth+horse]
Word,clothesline,Đã có trong MorphLink,a cord on which clothes are hung to dry,cloth+line(vải + đường kẻ),không có biến thể đáng kể,pos=noun; structure=[cloth+line]
Word,clothespin,Đã có trong MorphLink,wood or plastic clip used to hold laundry to a clothesline,cloth+pin(vải + ghim),không có biến thể đáng kể,pos=noun; structure=[cloth+pin]
Word,clothier,Đã có trong MorphLink,a merchant who sells men's clothing,cloth(vải) + -er(người làm việc gì; so sánh hơn),không có biến thể đáng kể,pos=noun; structure=[cloth]-er
Word,cloudburst,Đã có trong MorphLink,a heavy rain,cloud+burst(đám mây + nổ tung),không có biến thể đáng kể,pos=noun; structure=[cloud+burst]
Word,cloudier,Đã có trong MorphLink,"cloud(a grey or white mass that floats in the sky, made of very small drops of water ) + -y(having quality of; noun/adjective) + -er(person who does; comparative)",cloud(đám mây) + -y(có tính chất; danh từ/tính từ) + -er(người làm việc gì; so sánh hơn),không có biến thể đáng kể,pos=noun; structure=[cloud]-y-er
Word,cloudiest,Đã có trong MorphLink,"cloud(a grey or white mass that floats in the sky, made of very small drops of water ) + -y(having quality of; noun/adjective) + -est(superlative)",cloud(đám mây) + -y(có tính chất; danh từ/tính từ) + -est(so sánh nhất),không có biến thể đáng kể,pos=adjective; structure=[cloud]-y-est
Word,cloudiness,Đã có trong MorphLink,the quality of being cloudy,"cloud(đám mây) + -y(có tính chất; danh từ/tính từ) + -ness(trạng thái, tính chất (danh từ))",không có biến thể đáng kể,pos=noun; structure=[cloud]-y-ness
Word,cloudless,Đã có trong MorphLink,free from clouds,cloud(đám mây) + -less(không có (tính từ)),không có biến thể đáng kể,pos=adjective; structure=[cloud]-less
Word,cloudy,Đã có trong MorphLink,full of or covered with clouds,cloud(đám mây) + -y(có tính chất; danh từ/tính từ),không có biến thể đáng kể,pos=adjective; structure=[cloud]-y
Word,clubbable,Đã có trong MorphLink,inclined to club together,"club(câu lạc bộ, gậy) + -able(có thể được (tính từ))",không có biến thể đáng kể,pos=adjective; structure=[club]-able
Word,clubfoot,Đã có trong MorphLink,congenital deformity of the foot usually marked by a curled shape or twisted position of the ankle and heel and toes,"club+foot(câu lạc bộ, gậy + bàn chân)",không có biến thể đáng kể,pos=noun; structure=[club+foot]
Word,clubhouse,Đã có trong MorphLink,a building that is occupied by a social club,"club+house(câu lạc bộ, gậy + ngôi nhà)",không có biến thể đáng kể,pos=noun; structure=[club+house]
Word,clubrooms,Đã có trong MorphLink,"club+room(an organization for people who share an interest or do a sport or activity together + a part of a building that has its own walls, floor and ceiling and is usually used for a particular purpose)","club+room(câu lạc bộ, gậy + căn phòng)",không có biến thể đáng kể,pos=noun; structure=[club+room]
Word,clueless,Đã có trong MorphLink,totally uninformed about what is going on,clue(manh mối) + -less(không có (tính từ)),không có biến thể đáng kể,pos=adjective; structure=[clue]-less
Word,coachbuilder,Đã có trong MorphLink,a craftsman who makes the bodies of motor vehicles,"coach+build(huấn luyện viên, xe khách + xây dựng) + -er(người làm việc gì; so sánh hơn)",không có biến thể đáng kể,pos=noun; structure=[coach+build]-er
Word,coachman,Đã có trong MorphLink,a man who drives a coach (or carriage),"coach+man(huấn luyện viên, xe khách + đàn ông)",không có biến thể đáng kể,pos=noun; structure=[coach+man]
Word,coachwork,Đã có trong MorphLink,coach+work(a person who trains a person or team in sport + the job that a person does especially in order to earn money),"coach+work(huấn luyện viên, xe khách + công việc)",không có biến thể đáng kể,pos=noun; structure=[coach+work]
Word,coalface,Đã có trong MorphLink,the part of a coal seam that is being cut,"coal+face(than đá + khuôn mặt, đối mặt)",không có biến thể đáng kể,pos=noun; structure=[coal+face]
Word,coalfield,Đã có trong MorphLink,a region where there is coal underground,"coal+field(than đá + cánh đồng, lĩnh vực)",không có biến thể đáng kể,pos=noun; structure=[coal+field]
Word,coalhole,Đã có trong MorphLink,a bin for holding coal,coal+hole(than đá + lỗ hổng),không có biến thể đáng kể,pos=noun; structure=[coal+hole]
Word,coalmine,Đã có trong MorphLink,"coal+mine(a hard black mineral that is found below the ground and burnt to produce heat + a deep hole or holes under the ground where minerals such as coal, gold, etc. are dug)","coal+mine(than đá + của tôi, mỏ)",không có biến thể đáng kể,pos=noun; structure=[coal+mine]
Word,coastal,Đã có trong MorphLink,of or near a coast,coast(bờ biển) + -al(thuộc về (tính từ); hành động (danh từ)),không có biến thể đáng kể,pos=adjective; structure=[coast]-al
Word,coaster,Đã có trong MorphLink,"a covering (plate or mat) that protects the surface of a table (i.e., from the condensation on a cold glass or bottle)",coast(bờ biển) + -er(người làm việc gì; so sánh hơn),không có biến thể đáng kể,pos=noun; structure=[coast]-er
Word,coastguard,Đã có trong MorphLink,a military service responsible for the safety of maritime traffic in coastal waters,coast+guard(bờ biển + bảo vệ),không có biến thể đáng kể,pos=noun; structure=[coast+guard]
Word,coastguardsman,Đã có trong MorphLink,a member of a coastguard,coast+guard+man(bờ biển + bảo vệ + đàn ông),không có biến thể đáng kể,pos=noun; structure=[coast+guard+man]
Word,coastline,Đã có trong MorphLink,the outline of a coast,coast+line(bờ biển + đường kẻ),không có biến thể đáng kể,pos=noun; structure=[coast+line]
Word,coastwise,Đã có trong MorphLink,"by way of, or along the coast",coast(bờ biển) + -wise(theo cách thức; hướng),không có biến thể đáng kể,pos=adverb; structure=[coast]-wise
Word,coattails,Đã có trong MorphLink,"coat+tail(a piece of outdoor clothing that is worn over other clothes to keep warm or dry. Coats have sleeves (= parts covering the arms) and may be long or short. + the part that sticks out at the back of the body of a bird, an animal or a fish, which the animal can move from side to side or up and down)",coat+tail(áo khoác + đuôi),không có biến thể đáng kể,pos=noun; structure=[coat+tail]
Word,coauthor,Đã có trong MorphLink,a writer who collaborates with others in writing something,"co-(cùng nhau, chung) + author(tác giả)",không có biến thể đáng kể,pos=noun; structure=co-[author]
Word,codetermines,Đã có trong MorphLink,"co-(together, jointly) + determine(to discover the facts about something; to calculate something exactly)","co-(cùng nhau, chung) + determine(xác định)",không có biến thể đáng kể,pos=verb; structure=co-[determine]
Word,codification,Đã có trong MorphLink,the act of codifying,"code(mã, quy tắc) + -ify(làm cho, khiến trở thành (động từ)) + -ion(hành động, quá trình, trạng thái (danh từ))",không có biến thể đáng kể,pos=noun; structure=[code]-ify-ion
Word,codify,Đã có trong MorphLink,"to organize into a code or system, such as a body of law","code(mã, quy tắc) + -ify(làm cho, khiến trở thành (động từ))",không có biến thể đáng kể,pos=verb; structure=[code]-ify
Word,coeditors,Đã có trong MorphLink,"co-(together, jointly) + edit(to prepare a piece of writing, a book, etc. to be published by correcting the mistakes, making improvements to it, etc.) + -or(person/thing that does (noun))","co-(cùng nhau, chung) + edit(biên tập) + -or(người/vật thực hiện (danh từ))",không có biến thể đáng kể,pos=noun; structure=co-[edit]-or
Word,coeducation,Đã có trong MorphLink,education of men and women in the same institutions,"co-(cùng nhau, chung) + educate(giáo dục) + -ion(hành động, quá trình, trạng thái (danh từ))",không có biến thể đáng kể,pos=noun; structure=co-[educate]-ion
Word,coeducational,Đã có trong MorphLink,attended by members of both sexes,"co-(cùng nhau, chung) + educate(giáo dục) + -ion(hành động, quá trình, trạng thái (danh từ)) + -al(thuộc về (tính từ); hành động (danh từ))",không có biến thể đáng kể,pos=adjective; structure=co-[educate]-ion-al
Word,coexist,Đã có trong MorphLink,"to exist together, usually in peace","co-(cùng nhau, chung) + exist(tồn tại)",không có biến thể đáng kể,pos=verb; structure=co-[exist]
Word,coexistence,Đã có trong MorphLink,existing peacefully together,"co-(cùng nhau, chung) + exist(tồn tại) + -ance(trạng thái, tính chất, hành động (danh từ))",không có biến thể đáng kể,pos=noun; structure=co-[exist]-ance
Word,coexistent,Đã có trong MorphLink,existing at the same time,"co-(cùng nhau, chung) + exist(tồn tại) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ))",không có biến thể đáng kể,pos=adjective; structure=co-[exist]-ant
Word,cofactors,Đã có trong MorphLink,"co-(together, jointly) + fact(a thing that is known to be true, especially when it can be proved) + -or(person/thing that does (noun))","co-(cùng nhau, chung) + fact(sự thật) + -or(người/vật thực hiện (danh từ))",không có biến thể đáng kể,pos=noun; structure=co-[fact]-or
Word,coffeecup,Đã có trong MorphLink,"coffee+cup(the roasted seeds (called coffee beans) of a tropical bush; a powder made from them + a small container that is like a bowl in shape, usually with a handle, used for drinking tea, coffee, etc.)",coffee+cup(cà phê + cốc),không có biến thể đáng kể,pos=noun; structure=[coffee+cup]
Word,coffeepot,Đã có trong MorphLink,tall pot in which coffee is brewed,coffee+pot(cà phê + nồi),không có biến thể đáng kể,pos=noun; structure=[coffee+pot]
Word,cohabit,Đã có trong MorphLink,to share living quarters,"co-(cùng nhau, chung) + habit(thói quen)",không có biến thể đáng kể,pos=verb; structure=co-[habit]
Word,cohabitation,Đã có trong MorphLink,the act of living together and having a sexual relationship (especially without being married),"co-(cùng nhau, chung) + habit(thói quen) + -ion(hành động, quá trình, trạng thái (danh từ))",không có biến thể đáng kể,pos=noun; structure=co-[habit]-ion
Word,coinage,Đã có trong MorphLink,the act of inventing a word or phrase,"coin(đồng xu) + -age(hành động, kết quả, tập hợp (danh từ))",không có biến thể đáng kể,pos=noun; structure=[coin]-age
Word,coiner,Đã có trong MorphLink,a skilled worker who coins or stamps money,coin(đồng xu) + -er(người làm việc gì; so sánh hơn),không có biến thể đáng kể,pos=noun; structure=[coin]-er
Word,colder,Đã có trong MorphLink,cold(having a lower than usual temperature; having a temperature lower than the human body) + -er(person who does; comparative),cold(lạnh) + -er(người làm việc gì; so sánh hơn),không có biến thể đáng kể,pos=noun; structure=[cold]-er
Word,coldest,Đã có trong MorphLink,cold(having a lower than usual temperature; having a temperature lower than the human body) + -est(superlative),cold(lạnh) + -est(so sánh nhất),không có biến thể đáng kể,pos=adjective; structure=[cold]-est
Word,coldly,Đã có trong MorphLink,in a cold unemotional manner,cold(lạnh) + -ly(trạng từ chỉ cách thức / tính từ (giống như)),không có biến thể đáng kể,pos=adverb; structure=[cold]-ly
Word,coldness,Đã có trong MorphLink,a lack of affection or enthusiasm,"cold(lạnh) + -ness(trạng thái, tính chất (danh từ))",không có biến thể đáng kể,pos=noun; structure=[cold]-ness
Word,collaborate,Đã có trong MorphLink,to work together with somebody in order to produce or achieve something,"co-(cùng nhau, chung) + labor(lao động) + -ate(làm cho/trở thành (động từ); có (tính từ))",không có biến thể đáng kể,pos=verb; structure=co-[labor]-ate
Word,collaboration,Đã có trong MorphLink,the act of working with another person or group of people to create or produce something,"co-(cùng nhau, chung) + labor(lao động) + -ate(làm cho/trở thành (động từ); có (tính từ)) + -ion(hành động, quá trình, trạng thái (danh từ))",không có biến thể đáng kể,pos=noun; structure=co-[labor]-ate-ion
Word,collaborationism,Đã có trong MorphLink,act of cooperating traitorously with an enemy that is occupying your country,"co-(cùng nhau, chung) + labor(lao động) + -ate(làm cho/trở thành (động từ); có (tính từ)) + -ion(hành động, quá trình, trạng thái (danh từ)) + -ism(niềm tin, học thuyết, tình trạng (danh từ))",không có biến thể đáng kể,pos=noun; structure=co-[labor]-ate-ion-ism
Word,collaborationist,Đã có trong MorphLink,someone who collaborates with an enemy occupying force,"co-(cùng nhau, chung) + labor(lao động) + -ate(làm cho/trở thành (động từ); có (tính từ)) + -ion(hành động, quá trình, trạng thái (danh từ)) + -ist(người theo/thực hành (danh từ))",không có biến thể đáng kể,pos=noun; structure=co-[labor]-ate-ion-ist
Word,collaborator,Đã có trong MorphLink,an associate in an activity or endeavor or sphere of common interest,"co-(cùng nhau, chung) + labor(lao động) + -ate(làm cho/trở thành (động từ); có (tính từ)) + -or(người/vật thực hiện (danh từ))",không có biến thể đáng kể,pos=noun; structure=co-[labor]-ate-or
Word,collapsible,Đã có trong MorphLink,capable of collapsing or being collapsed,collapse(sụp đổ) + -able(có thể được (tính từ)),không có biến thể đáng kể,pos=adjective; structure=[collapse]-able
Word,collectedly,Đã có trong MorphLink,in a self-collected or self-possessed manner,collect(thu thập) + -ly(trạng từ chỉ cách thức / tính từ (giống như)),không có biến thể đáng kể,pos=adverb; structure=[collect]-ly
Word,collectible,Đã có trong MorphLink,subject to or requiring payment especially as specified,collect(thu thập) + -able(có thể được (tính từ)),không có biến thể đáng kể,pos=adjective; structure=[collect]-able
Word,collection,Đã có trong MorphLink,"a group of objects, often of the same sort, that have been collected","collect(thu thập) + -ion(hành động, quá trình, trạng thái (danh từ))",không có biến thể đáng kể,pos=noun; structure=[collect]-ion
Word,collective,Đã có trong MorphLink,done or shared by all members of a group of people; involving a whole group or society,"collect(thu thập) + -ive(có xu hướng, có tính chất (tính từ))",không có biến thể đáng kể,pos=adjective; structure=[collect]-ive
Word,collectively,Đã có trong MorphLink,in conjunction with,"collect(thu thập) + -ive(có xu hướng, có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))",không có biến thể đáng kể,pos=adverb; structure=[collect]-ive-ly
Word,collectivism,Đã có trong MorphLink,a political theory that the people should own the means of production,"collect(thu thập) + -ive(có xu hướng, có tính chất (tính từ)) + -ism(niềm tin, học thuyết, tình trạng (danh từ))",không có biến thể đáng kể,pos=noun; structure=[collect]-ive-ism
Word,collectivization,Đã có trong MorphLink,the organization of a nation or economy on the basis of collectivism,"collect(thu thập) + -ive(có xu hướng, có tính chất (tính từ)) + -ize(làm cho, biến thành (động từ)) + -ion(hành động, quá trình, trạng thái (danh từ))",biến thể chính tả Anh-Anh: collectivisation,pos=noun; structure=[collect]-ive-ize-ion
Word,collectivize,Đã có trong MorphLink,to bring under collective control,"collect(thu thập) + -ive(có xu hướng, có tính chất (tính từ)) + -ize(làm cho, biến thành (động từ))",biến thể chính tả Anh-Anh: collectivise,pos=verb; structure=[collect]-ive-ize
Word,collector,Đã có trong MorphLink,"a person who collects things, either as a hobby or as a job",collect(thu thập) + -or(người/vật thực hiện (danh từ)),không có biến thể đáng kể,pos=noun; structure=[collect]-or
Word,collegiate,Đã có trong MorphLink,of or resembling or typical of a college or college students,college(trường cao đẳng/đại học) + -ate(làm cho/trở thành (động từ); có (tính từ)),không có biến thể đáng kể,pos=adjective; structure=[college]-ate
Word,coloration,Đã có trong MorphLink,choice and use of colors (as by an artist),"color(màu sắc) + -ion(hành động, quá trình, trạng thái (danh từ))",không có biến thể đáng kể,pos=noun; structure=[color]-ion
Word,colorful,Đã có trong MorphLink,having color or a certain color,"color(màu sắc) + -ful(đầy, có nhiều (tính từ))",không có biến thể đáng kể,pos=adjective; structure=[color]-ful
Word,colorless,Đã có trong MorphLink,weak in color,color(màu sắc) + -less(không có (tính từ)),không có biến thể đáng kể,pos=adjective; structure=[color]-less
Word,colourfast,Đã có trong MorphLink,color+fast((không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập) + moving or able to move quickly),"color+fast(màu sắc + nhanh, nhịn ăn)",không có biến thể đáng kể,pos=unknown; structure=[color+fast]
Word,colourfastness,Đã có trong MorphLink,color+fast((không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập) + moving or able to move quickly) + -ness(state or quality of (noun)),"color+fast(màu sắc + nhanh, nhịn ăn) + -ness(trạng thái, tính chất (danh từ))",không có biến thể đáng kể,pos=noun; structure=[color+fast]-ness
Word,colourlessly,Đã có trong MorphLink,color((không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập)) + -less(without (adjective)) + -ly(adverb of manner / adjective (like)),color(màu sắc) + -less(không có (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như)),không có biến thể đáng kể,pos=adverb; structure=[color]-less-ly
Word,colourlessness,Đã có trong MorphLink,the visual property of being without chromatic color,"color(màu sắc) + -less(không có (tính từ)) + -ness(trạng thái, tính chất (danh từ))",không có biến thể đáng kể,pos=noun; structure=[color]-less-ness
Word,columnist,Đã có trong MorphLink,a journalist who writes regular articles for a newspaper or magazine,column(cột) + -ist(người theo/thực hành (danh từ)),không có biến thể đáng kể,pos=noun; structure=[column]-ist
Word,combatant,Đã có trong MorphLink,engaging in or ready for combat,combat(chiến đấu) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ)),không có biến thể đáng kể,pos=adjective; structure=[combat]-ant
Word,combative,Đã có trong MorphLink,having or showing a ready disposition to fight,"combat(chiến đấu) + -ive(có xu hướng, có tính chất (tính từ))",không có biến thể đáng kể,pos=adjective; structure=[combat]-ive
Word,combinable,Đã có trong MorphLink,able to or tending to combine,combine(kết hợp) + -able(có thể được (tính từ)),không có biến thể đáng kể,pos=adjective; structure=[combine]-able
Word,combination,Đã có trong MorphLink,two or more things joined or mixed together to form a single unit,"combine(kết hợp) + -ion(hành động, quá trình, trạng thái (danh từ))",không có biến thể đáng kể,pos=noun; structure=[combine]-ion
Word,combinatorial,Đã có trong MorphLink,relating to the combination and arrangement of elements in sets,"combine(kết hợp) + -ory(thuộc về, nơi chốn (tính từ/danh từ)) + -al(thuộc về (tính từ); hành động (danh từ))",không có biến thể đáng kể,pos=adjective; structure=[combine]-ory-al
Word,comeback,Đã có trong MorphLink,return by a celebrity to some previously successful activity,"come+back(đến + lưng, phía sau)",không có biến thể đáng kể,pos=noun; structure=[come+back]
Word,comedian,Đã có trong MorphLink,a professional performer who tells jokes and performs comical acts,"comedy(hài kịch) + -ian(thuộc về, người đến từ (danh từ/tính từ))",không có biến thể đáng kể,pos=noun; structure=[comedy]-ian
Word,comedienne,Đã có trong MorphLink,a female comedian,"comedy(hài kịch) + -enne(giống cái (danh từ, Pháp, VD comedienne))",không có biến thể đáng kể,pos=noun; structure=[comedy]-enne
Word,comedown,Đã có trong MorphLink,decline to a lower status or level,come+down(đến + xuống),không có biến thể đáng kể,pos=noun; structure=[come+down]
Word,comeliness,Đã có trong MorphLink,the quality of being good looking and attractive,"come(đến) + -ly(trạng từ chỉ cách thức / tính từ (giống như)) + -ness(trạng thái, tính chất (danh từ))",không có biến thể đáng kể,pos=noun; structure=[come]-ly-ness
Word,comer,Đã có trong MorphLink,someone who arrives (or has arrived),come(đến) + -er(người làm việc gì; so sánh hơn),không có biến thể đáng kể,pos=noun; structure=[come]-er
Word,cometh,Đã có trong MorphLink,"come(to move to or towards a person or place) + -th(ordinal number / state (noun, VD: eighth, warmth))","come(đến) + -th(số thứ tự / trạng thái (danh từ, VD eighth, warmth))",không có biến thể đáng kể,pos=noun; structure=[come]-th
Word,comfortable,Đã có trong MorphLink,"making you feel physically relaxed; pleasant to wear, sit on, etc.",comfort(sự thoải mái) + -able(có thể được (tính từ)),không có biến thể đáng kể,pos=adjective; structure=[comfort]-able
Word,comfortably,Đã có trong MorphLink,in financial comfort,comfort(sự thoải mái) + -able(có thể được (tính từ)) + -y(có tính chất; danh từ/tính từ),không có biến thể đáng kể,pos=adverb; structure=[comfort]-able-y
Word,comforter,Đã có trong MorphLink,device used for an infant to suck or bite on,comfort(sự thoải mái) + -er(người làm việc gì; so sánh hơn),không có biến thể đáng kể,pos=noun; structure=[comfort]-er
Word,comfortless,Đã có trong MorphLink,without comfort,comfort(sự thoải mái) + -less(không có (tính từ)),không có biến thể đáng kể,pos=adjective; structure=[comfort]-less
Word,comical,Đã có trong MorphLink,arousing or provoking laughter,"comic(truyện tranh, hài hước) + -al(thuộc về (tính từ); hành động (danh từ))",không có biến thể đáng kể,pos=adjective; structure=[comic]-al
Word,comically,Đã có trong MorphLink,in a comical manner,"comic(truyện tranh, hài hước) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))",không có biến thể đáng kể,pos=adverb; structure=[comic]-al-ly
Word,commandeer,Đã có trong MorphLink,to take arbitrarily or by force,"command(ra lệnh) + -eer(người liên quan đến (danh từ, VD engineer))",không có biến thể đáng kể,pos=verb; structure=[command]-eer
Word,commander,Đã có trong MorphLink,"a person who is in charge of something, especially an officer in charge of a particular group of soldiers or a military operation",command(ra lệnh) + -er(người làm việc gì; so sánh hơn),không có biến thể đáng kể,pos=noun; structure=[command]-er
Word,commandment,Đã có trong MorphLink,a doctrine that is taught,command(ra lệnh) + -ment(kết quả/hành động/trạng thái (danh từ)),không có biến thể đáng kể,pos=noun; structure=[command]-ment
Word,commando,Đã có trong MorphLink,an amphibious military unit trained for raids into enemy territory,"command(ra lệnh) + -o([BIẾN THỂ] đuôi danh từ thông tục/từ mượn (VD commando, weirdo))",không có biến thể đáng kể,pos=noun; structure=[command]-o
Word,commencement,Đã có trong MorphLink,the act of starting something,commence(bắt đầu) + -ment(kết quả/hành động/trạng thái (danh từ)),không có biến thể đáng kể,pos=noun; structure=[commence]-ment
Word,commentary,Đã có trong MorphLink,"a spoken description of an event that is given while it is happening, especially on the radio or television","comment(bình luận) + -ory(thuộc về, nơi chốn (tính từ/danh từ))",không có biến thể đáng kể,pos=noun; structure=[comment]-ory
Word,commentate,Đã có trong MorphLink,"to serve as a commentator, as in sportscasting",comment(bình luận) + -ate(làm cho/trở thành (động từ); có (tính từ)),không có biến thể đáng kể,pos=verb; structure=[comment]-ate
Word,commentator,Đã có trong MorphLink,"a person who describes an event while it is happening, especially on television or radio",comment(bình luận) + -ate(làm cho/trở thành (động từ); có (tính từ)) + -or(người/vật thực hiện (danh từ)),không có biến thể đáng kể,pos=noun; structure=[comment]-ate-or
Word,commercial,Đã có trong MorphLink,connected with the buying and selling of goods and services,commerce(thương mại) + -al(thuộc về (tính từ); hành động (danh từ)),không có biến thể đáng kể,pos=adjective; structure=[commerce]-al
Word,commercialism,Đã có trong MorphLink,transactions (sales and purchases) having the objective of supplying commodities (goods and services),"commerce(thương mại) + -al(thuộc về (tính từ); hành động (danh từ)) + -ism(niềm tin, học thuyết, tình trạng (danh từ))",không có biến thể đáng kể,pos=noun; structure=[commerce]-al-ism
Word,commercialization,Đã có trong MorphLink,the act of commercializing something,"commerce(thương mại) + -al(thuộc về (tính từ); hành động (danh từ)) + -ize(làm cho, biến thành (động từ)) + -ion(hành động, quá trình, trạng thái (danh từ))",biến thể chính tả Anh-Anh: commercialisation,pos=noun; structure=[commerce]-al-ize-ion
Word,commercialize,Đã có trong MorphLink,to make commercial,"commerce(thương mại) + -al(thuộc về (tính từ); hành động (danh từ)) + -ize(làm cho, biến thành (động từ))",biến thể chính tả Anh-Anh: commercialise,pos=verb; structure=[commerce]-al-ize
Word,commercially,Đã có trong MorphLink,in a commercial manner,commerce(thương mại) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như)),không có biến thể đáng kể,pos=adverb; structure=[commerce]-al-ly
Word,commissary,Đã có trong MorphLink,a retail store that sells equipment and provisions (usually to military personnel),"co-(cùng nhau, chung) + miss(nhớ, bỏ lỡ) + -ory(thuộc về, nơi chốn (tính từ/danh từ))",không có biến thể đáng kể,pos=noun; structure=co-[miss]-ory
Word,commission,Đã có trong MorphLink,"an official group of people who have been given responsibility to control something, or to find out about something, usually for the government","co-(cùng nhau, chung) + miss(nhớ, bỏ lỡ) + -ion(hành động, quá trình, trạng thái (danh từ))",không có biến thể đáng kể,pos=noun; structure=co-[miss]-ion
