word_nguyen_mau,frequency,cac_dang_gap,example_files
heavily,49,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 672 - The Conquest of Malaria in Italy 1900 1962.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 831 - Theory or Practice.md; 📖 Reading/📗 NNA/📝 06 - Information Design.md
immediately,49,,✍️ Writing/✍️ 12 - Descriptive narrative essay.md; 📖 Reading/📖 03 - Sequence of events.md; 📖 Reading/📗 NNA/📝 06 - Information Design.md
independence,49,,🎯 IELTS/✍️ Writing/📝 Demo essays/! 00 📌 📝 Index - Demo essays.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 266 - Retirement Extra Time.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 354 - Student Exchange Graft.md
judgement,49,judgements,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 358 - Teacher Neutrality Referee.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 375 - Promotion Seniority Starting Eleven.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 489 - Animal Rights Woven Net.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 967 - Accidental Scientists.md
lao,49,laos,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 670 - Mass Production.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 674 - The Last March of the Emperor Penguins.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 676 - Roller Coaster.md; 📖 Reading/📗 NNA/📝 10 - Survival Instinct.md
owner,49,owners,"🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 359 - Private School Tax Reservoir.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 438 - Internet Misinformation Market.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 449 - Mobile Phone Pocket Door.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 673 - Inspired By Mimicking Mother Nature.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 732 - Bestcom Considerate Computing.md; 📖 Reading/📘 VB2/📝 05 - Making a living, making a difference.md"
payment,49,payments,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 251 - Cricket National Sports Wildfire.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 312 - Money vs Free Time Currency.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 333 - Environmental Responsibility Ballot.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 359 - Private School Tax Reservoir.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 367 - Poverty Aid Medicine.md; 📖 Reading/📘 VB2/📝 01 - The science of shopping.md
platform,49,platforms,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 307 - Language Fluency Open Water.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 357 - Material Worth Currency.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 733 - The Olympic Torch.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 979 - The Bridge That Swayed.md; 📖 Reading/📖 09 - Adverbial phrases.md
thus,49,,✍️ Writing/✍️ 09 - Cause-effect essay.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 733 - The Olympic Torch.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 859 - Insects and Inspired Artificial Robots.md
version,49,versions,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 673 - Inspired By Mimicking Mother Nature.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 678 - Ancient Chinese Chariots.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 725 - The Concept of Childhood in Western Countries.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 801 - What Do Babies Know.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 967 - Accidental Scientists.md; 📖 Reading/📗 NNA/📝 10 - Survival Instinct.md
combination,48,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 733 - The Olympic Torch.md; 📖 Reading/📗 NNA/📝 02 - Science and Investigation.md; 📖 Reading/📘 VB2/📝 06 - Design with purpose.md
creature,48,creatures,🎯 IELTS/📖 Reading/📖 Practice test log - IELTS Academic Reading (BHV nguồn mới).md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 667 - The Myth of the Five Senses.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 673 - Inspired By Mimicking Mother Nature.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 674 - The Last March of the Emperor Penguins.md; 📖 Reading/📗 NNA/📝 04 - Danger Zones.md; 📖 Reading/📘 VB2/📝 04 - Our changing planet.md
female,48,females,✍️ Writing/✍️ 05 - Transition words for comparison.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 674 - The Last March of the Emperor Penguins.md; 📖 Reading/📖 02 - Referencing and cohesion.md; 📖 Reading/📖 04 - Causes and effects.md; 📖 Reading/📗 NNA/📝 01 - Social Relationships.md; 📖 Reading/📘 VB2/📝 02 - Mother nature.md
professor,48,professors,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 432 - Teachers Role Fire Keeper.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 831 - Theory or Practice.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 967 - Accidental Scientists.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 979 - The Bridge That Swayed.md; 📖 Reading/📗 NNA/📝 06 - Information Design.md; 📖 Reading/📘 VB2/📝 03 - On the move.md
promotion,48,promotions,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 251 - Cricket National Sports Wildfire.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 375 - Promotion Seniority Starting Eleven.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 381 - Advertising Lighthouse Harbor.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 405 - Sports Sponsorship Pollination.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 767 - Actual Test What the Managers Really Do.md
somewhere,48,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 667 - The Myth of the Five Senses.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 674 - The Last March of the Emperor Penguins.md; 📖 Reading/📘 VB2/📝 03 - On the move.md
station,48,stationed; stations,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 333 - Environmental Responsibility Ballot.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 372 - Dangerous Sports Playing With Fire.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 414 - Rural Education Bridge Signal.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 665 - The Mozart Effect.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 674 - The Last March of the Emperor Penguins.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 679 - History of Telegraph in Communication.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 726 - The Study of Chimpanzee Culture.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 763 - Can Hurricanes Be Moderated or Diverted.md
surround,48,surrounded; surrounding; surrounds,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 251 - Cricket National Sports Wildfire.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 383 - Learning Motivation Flame.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 491 - Rich Poor Nations Shared Sky.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 509 - Cinema vs Screens Cathedral Postcard.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 674 - The Last March of the Emperor Penguins.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 675 - Water Filter.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 763 - Can Hurricanes Be Moderated or Diverted.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 978 - New Zealand Seaweed.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 984 - Trainer Walking With Dinosaurs.md; 📖 Reading/📗 NNA/📝 05 - The Travel Business.md; 📖 Reading/📘 VB2/📝 10 - Emotions and personality.md
affordable,47,,"📖 Reading/📖 08 - Appositives.md; 📖 Reading/📗 NNA/📝 04 - Danger Zones.md; 📖 Reading/📘 VB2/📝 05 - Making a living, making a difference.md"
cable,47,cables,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 285 - Screen Performances Postcard.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 414 - Rural Education Bridge Signal.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 475 - Internet Access Public Road.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 679 - History of Telegraph in Communication.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 979 - The Bridge That Swayed.md
concentrate,47,concentrated; concentrates; concentrating,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 275 - Crime Fear Fog Harbor.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 296 - Planning Future Ship Chart.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 312 - Money vs Free Time Currency.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 349 - Celebrity Imitation Moonlight.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 732 - Bestcom Considerate Computing.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 763 - Can Hurricanes Be Moderated or Diverted.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 830 - Eco Resort Management Practices.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 863 - From a Novice to an Expert.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 978 - New Zealand Seaweed.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 983 - Communicating Styles and Conflict.md; 📖 Reading/📘 VB2/📝 07 - Inspired to protect.md
concentration,47,concentrations,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 316 - School Curriculum Construction.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 665 - The Mozart Effect.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 674 - The Last March of the Emperor Penguins.md; 📖 Reading/📗 NNA/📝 03 - City Solutions.md
conservation,47,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 726 - The Study of Chimpanzee Culture.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 830 - Eco Resort Management Practices.md; 📖 Reading/📘 VB2/📝 07 - Inspired to protect.md
curiosity,47,curiosities,"🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 279 - Advertising Conformity Press.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 967 - Accidental Scientists.md; 📖 Reading/📗 NNA/📝 07 - Global Challenges.md; 📖 Reading/📘 VB2/📝 05 - Making a living, making a difference.md; 📖 Reading/📘 VB2/📝 09 - Uncovering the past.md"
emperor,47,emperors,🎯 IELTS/📖 Reading/📝 Simplified passages/! 00 📌 📝 Index - Simplified passages.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 674 - The Last March of the Emperor Penguins.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 678 - Ancient Chinese Chariots.md
familiar,47,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 726 - The Study of Chimpanzee Culture.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 732 - Bestcom Considerate Computing.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 801 - What Do Babies Know.md
learner,47,learners,🎯 IELTS/✍️ Writing/📝 Demo essays/! 00 📌 📝 Index - Demo essays.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 432 - Teachers Role Fire Keeper.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 443 - Local World History Map.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 498 - Children Leisure Educational Fallow Field.md; 📖 Reading/📗 NNA/📝 09 - World Languages.md
news,47,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 665 - The Mozart Effect.md; 📖 Reading/📗 NNA/📝 03 - City Solutions.md; 📖 Reading/📘 VB2/📝 07 - Inspired to protect.md
properly,47,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 671 - Koalas.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 767 - Actual Test What the Managers Really Do.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 829 - The Influence of More Choices.md
refuse,47,refused; refuses; refusing,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 333 - Environmental Responsibility Ballot.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 367 - Poverty Aid Medicine.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 383 - Learning Motivation Flame.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 410 - Education Funding Workshop.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 445 - Travel Adapt Customs Guest.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 452 - School Behaviour Echo.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 469 - Food Technology Printing Press.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 489 - Animal Rights Woven Net.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 833 - Mrs Carlill and the Carbolic Smoke Ball.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 980 - Musical Maladies.md; 📖 Reading/📖 09 - Adverbial phrases.md
unable,47,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 770 - The Future of the World S Language.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 833 - Mrs Carlill and the Carbolic Smoke Ball.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 980 - Musical Maladies.md
underground,47,,✍️ Writing/✍️ 04 - Introduction and conclusion.md; 📖 Reading/📗 NNA/📝 03 - City Solutions.md; 📖 Reading/📘 VB2/📝 09 - Uncovering the past.md
accessible,46,,"✍️ Writing/✍️ 08 - Persuasive essay.md; 📖 Reading/📖 05 - Arguments and counterarguments.md; 📖 Reading/📘 VB2/📝 05 - Making a living, making a difference.md"
agreement,46,agreements,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 277 - Global Warming Blanket.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 367 - Poverty Aid Medicine.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 762 - How Deserts Are Formed.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 767 - Actual Test What the Managers Really Do.md; 📖 Reading/📗 NNA/📝 10 - Survival Instinct.md; 📖 Reading/📘 VB2/📝 04 - Our changing planet.md
convert,46,converted; converting; converts,🎯 IELTS/✍️ Writing/✍️ 07 - Task 1 - Maps.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 264 - Dress Code Storefront.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 286 - When in Rome House.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 312 - Money vs Free Time Currency.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 324 - Freshwater Rights Control.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 393 - Information Sharing River.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 460 - Recycling Education Vaccination.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 667 - The Myth of the Five Senses.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 672 - The Conquest of Malaria in Italy 1900 1962.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 984 - Trainer Walking With Dinosaurs.md; 📖 Reading/📗 NNA/📝 07 - Global Challenges.md
freely,46,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 666 - Fears.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 675 - Water Filter.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 731 - The Innovation of Grocery Stores.md
graft,46,grafted; grafting; grafts,🎯 IELTS/✍️ Writing/📝 Demo essays/! 00 📌 📝 Index - Demo essays.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 297 - Primary Education Only Orchard.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 305 - School Purpose Orchard.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 354 - Student Exchange Graft.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 407 - Foreign Investment Orchard Graft.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 412 - Multinational Companies Invasive Species.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 471 - Family Friends Roots.md
graph,46,graphs,📖 Reading/📖 05 - Arguments and counterarguments.md; 📖 Reading/📖 07 - Visual information.md; 📖 Reading/📗 NNA/📝 06 - Information Design.md; 📖 Reading/📘 VB2/📝 01 - The science of shopping.md; 📖 Reading/📘 VB2/📝 09 - Uncovering the past.md
healthcare,46,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 266 - Retirement Extra Time.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 297 - Primary Education Only Orchard.md; 📖 Reading/📘 VB2/📝 03 - On the move.md
insist,46,insisted; insisting; insists,✍️ Writing/✍️ 02 - Quoting and citing sources.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 305 - School Purpose Orchard.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 328 - Gender Temperament Seed Soil.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 358 - Teacher Neutrality Referee.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 374 - Public Library Toolbox.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 458 - Computer Dependence Hired Servant.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 489 - Animal Rights Woven Net.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 498 - Children Leisure Educational Fallow Field.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 831 - Theory or Practice.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 967 - Accidental Scientists.md
observation,46,observations,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 667 - The Myth of the Five Senses.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 674 - The Last March of the Emperor Penguins.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 967 - Accidental Scientists.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 980 - Musical Maladies.md
runner,46,runners,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 315 - Stay At Home Fathers Relay.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 387 - Job Quota Finish Line.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 733 - The Olympic Torch.md
stability,46,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 667 - The Myth of the Five Senses.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 733 - The Olympic Torch.md; 📖 Reading/📘 VB2/📝 03 - On the move.md
teamwork,46,,🎯 IELTS/✍️ Writing/📝 Demo essays/! 00 📌 📝 Index - Demo essays.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 316 - School Curriculum Construction.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 727 - Texting the Television.md
various,46,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 670 - Mass Production.md; 📖 Reading/📘 VB2/📝 01 - The science of shopping.md; 📖 Reading/📘 VB2/📝 03 - On the move.md
ambition,45,ambitions,🎯 IELTS/✍️ Writing/📝 Demo essays/! 00 📌 📝 Index - Demo essays.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 364 - Marriage Before 30 Planting Season.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 370 - Failure Rocket Launch.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 404 - Subject Choice Menu.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 506 - Child Development Factors Soil and Weather.md
equal,45,equalled; equals,✍️ Writing/✍️ 08 - Persuasive essay.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 346 - Road Funding Shared Pool.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 489 - Animal Rights Woven Net.md; 🎯 IELTS/📖 Reading/📖 03 - TFNG and YNNG.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 830 - Eco Resort Management Practices.md
everywhere,45,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 670 - Mass Production.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 727 - Texting the Television.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 799 - The Extinct Grass in Britain.md
extinction,45,,📖 Reading/📗 NNA/📝 04 - Danger Zones.md; 📖 Reading/📗 NNA/📝 09 - World Languages.md; 📖 Reading/📘 VB2/📝 02 - Mother nature.md
gift,45,gifted; gifts,✍️ Writing/✍️ 12 - Descriptive narrative essay.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 269 - Teachers Parents Roots Weather.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 367 - Poverty Aid Medicine.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 505 - University vs Vocational Head and Hands.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 515 - Success Intelligence Single Ruler.md; 📖 Reading/📗 NNA/📝 10 - Survival Instinct.md; 📖 Reading/📘 VB2/📝 01 - The science of shopping.md
hull,45,hulls,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 331 - Inventors Doctors Lighthouse.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 408 - Adult Children Parents Harbor.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 441 - Climate Reforms Changing Winds.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 488 - University Study Choice Wind Sail.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 675 - Water Filter.md
mozart,45,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 382 - Luck Effort Harvest.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/! 00 📌 📝 Index - Simplified passages.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 665 - The Mozart Effect.md
punishment,45,punishments,🎯 IELTS/✍️ Writing/📝 Demo essays/! 00 📌 📝 Index - Demo essays.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 436 - Fixed Punishments Prescription.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 452 - School Behaviour Echo.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 666 - Fears.md
quiz,45,quizzes,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 665 - The Mozart Effect.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 670 - Mass Production.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 678 - Ancient Chinese Chariots.md; 📖 Reading/📘 VB2/📝 06 - Design with purpose.md
recycle,45,recycled; recycles; recycling,🎯 IELTS/✍️ Writing/✍️ 12 - Task 2 - Causes and effects.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/! 00 📌 📝 Index - Demo essays.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 333 - Environmental Responsibility Ballot.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 344 - Environmental Sacrifice Trust Fund.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 450 - Rush Hour Fee Grid.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 460 - Recycling Education Vaccination.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 673 - Inspired By Mimicking Mother Nature.md
repair,45,repaired; repairing; repairs,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 311 - Tourist Pricing Club.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 320 - Oil Exploration Untouched Lands.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 331 - Inventors Doctors Lighthouse.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 367 - Poverty Aid Medicine.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 374 - Public Library Toolbox.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 392 - Competitive Sports Flight Simulator.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 396 - Museum Admission Walled Garden.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 435 - Taxes Contribution Household.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 456 - Perfect Society Loom.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 501 - Outdoor vs Computer Games Flight Simulator.md; 🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 505 - University vs Vocational Head and Hands.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 670 - Mass Production.md
workforce,45,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 367 - Poverty Aid Medicine.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 670 - Mass Production.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 767 - Actual Test What the Managers Really Do.md
aspect,44,aspects,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 670 - Mass Production.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 770 - The Future of the World S Language.md; 🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 983 - Communicating Styles and Conflict.md; 📖 Reading/📗 NNA/📝 03 - City Solutions.md; 📖 Reading/📘 VB2/📝 03 - On the move.md
continuous,44,,📖 Reading/📖 09 - Adverbial phrases.md; 📖 Reading/📗 NNA/📝 04 - Danger Zones.md; 📖 Reading/📘 VB2/📝 06 - Design with purpose.md
currently,44,,✍️ Writing/✍️ 04 - Introduction and conclusion.md; 📖 Reading/📗 NNA/📝 07 - Global Challenges.md; 📖 Reading/📘 VB2/📝 03 - On the move.md
diversity,44,,✍️ Writing/✍️ 02 - Quoting and citing sources.md; 📖 Reading/📗 NNA/📝 05 - The Travel Business.md; 📖 Reading/📗 NNA/📝 09 - World Languages.md
