word,pos,structure,meaning_en,meaning_vi
bladder,noun,[bladder],the organ in the body in which urine collects before it is discharged,bàng quang
blink,verb,[blink],to shut and open the eyes quickly,"chớp mắt, nháy mắt"
boom,noun,[boom],a period of rapid economic growth or increased popularity,"sự bùng nổ, thời kỳ phát triển mạnh"
bottleneck,noun,[bottleneck],"a point of congestion or blockage, such as in a road, process, or system","nút thắt cổ chai, điểm nghẽn"
brake,noun,[brake],a device for slowing or stopping a moving vehicle,"cái phanh, cái thắng"
brass,noun,[brass],a yellow alloy of copper and zinc,đồng thau
brunei,noun,[brunei],a small country on the island of Borneo in Southeast Asia,Brunei (một quốc gia ở Đông Nam Á)
bulb,noun,[bulb],the glass part of an electric lamp that produces light,bóng đèn
bull,noun,[bull],an adult male of cattle,bò đực
bullock,noun,[bull]-ock,"a young bull, especially a castrated one raised for beef or used for draught work","bò đực non (thường đã bị thiến), dùng để kéo"
cabin,noun,[cabin],"a private room or compartment on a ship or aircraft; also a small simple house, typically made of wood","ca bin, khoang (tàu, máy bay); nhà gỗ nhỏ"
cape,noun,[cape],"a sleeveless cloak, or a piece of land that projects into the sea",áo choàng không tay; mũi đất (địa lý)
catgut,noun,[catgut],"a strong cord traditionally made from the dried intestines of animals, used for surgical sutures or musical instrument strings","dây ruột (thường làm dây đàn hoặc chỉ khâu phẫu thuật, thực chất không phải từ ruột mèo)"
cellulose,noun,[cellul]-ose,a complex carbohydrate that forms the main structural component of plant cell walls,"xenlulozơ, chất xơ thực vật"
chaotic,adjective,[chaos]-tic,in a state of complete confusion and disorder,hỗn loạn
charcoal,noun,[charcoal],a black porous form of carbon made by burning wood slowly with little air,than củi
choke,verb,[choke],to have severe difficulty breathing because something is blocking the throat or windpipe,"nghẹt thở, làm nghẹt"
clover,noun,[clover],"a small plant with three-lobed leaves and flowers, often eaten by livestock",cây cỏ ba lá
clutter,noun,[clutter],an untidy collection of things lying about; a state of disorder,"sự bừa bộn, đồ đạc lộn xộn"
cognition,noun,[cogni]-tion,"the mental action or process of acquiring knowledge and understanding through thought, experience, and the senses",nhận thức
cohesive,adjective,co-[hes]-ive,characterized by unity and consistency; sticking together well,"gắn kết, kết dính chặt chẽ"
cohort,noun,[cohort],"a group of people with a shared characteristic, especially one being studied together","nhóm (người), nhóm đối tượng nghiên cứu"
coincide,verb,co-[incide],to occur at the same time or place as something else,"trùng hợp, xảy ra đồng thời"
collaborative,adjective,col-[labor]-ative,produced or conducted by two or more parties working together,mang tính hợp tác
colonization,noun,[colon]-ization,"the action of establishing control over an area and its indigenous people, and settling it with outsiders","sự thuộc địa hóa, sự xâm chiếm thực dân"
colonize,verb,[colon]-ize,to send settlers to and establish political control over a foreign place,"thực dân hóa, chiếm làm thuộc địa"
companionship,noun,[companion]-ship,the feeling of friendship or fellowship that comes from spending time with others,"tình bạn đồng hành, sự bầu bạn"
competency,noun,[compet]-ency,the ability to do something successfully or efficiently,năng lực
composure,noun,com-[pos]-ure,the state of being calm and in control of one's emotions,"sự bình tĩnh, sự điềm tĩnh"
comprehension,noun,com-[prehen]-sion,"the ability to understand something, especially a text or spoken language","khả năng hiểu, sự thấu hiểu"
conceptual,adjective,[concept]-ual,relating to or based on mental concepts or ideas,"thuộc về khái niệm, mang tính khái niệm"
cone,noun,[cone],a solid or hollow shape with a flat circular base tapering to a point,"hình nón, cái phễu"
confrontation,noun,con-[front]-ation,a hostile or argumentative meeting or situation between opposing parties,"sự đối đầu, cuộc đối chất"
contradictory,adjective,contra-[dict]-ory,mutually opposed or inconsistent with something else,"mâu thuẫn, trái ngược"
cooke,noun,[cooke],"an English surname, a variant spelling of ""Cook""","họ Cooke (tên riêng, họ người)"
copyright,noun,[copyright],"the exclusive legal right to reproduce, publish, or sell a literary, artistic, or musical work","bản quyền, quyền tác giả"
corollary,noun,[corollary],a proposition that follows naturally from one already proved; a direct consequence,hệ quả tất yếu
counteract,verb,counter-[act],to reduce or negate the effect of something by acting in an opposing way,"chống lại, trung hòa, làm giảm tác dụng của"
coworkers,noun,co-[work]-ers,people who work together with one at a job,đồng nghiệp
craze,noun,[craze],a fashion or fad that is extremely popular for a short period,"cơn sốt, mốt nhất thời"
crossing,noun,[cross]-ing,"a place where roads, paths, or rail lines cross; a journey made across a stretch of water","chỗ băng qua đường, giao lộ; chuyến vượt biển"
crow,noun,[crow],a large black bird with a harsh call,con quạ
cube,noun,[cube],a three-dimensional shape having six equal square faces,"hình lập phương, khối lập phương"
cumulatively,adverb,[cumul]-atively,in a manner that builds up progressively through successive additions,"một cách tích lũy, dồn dần"
curb,verb,[curb],"to control or restrict something, especially something undesirable","kiềm chế, hạn chế"
dangerously,adverb,[danger]-ously,in a way that involves or is likely to cause danger,một cách nguy hiểm
dash,verb,[dash],to run or travel somewhere in a great hurry,"lao đi, chạy vội"
ddt,noun,[ddt],"a synthetic chemical insecticide, now banned in many countries because it persists and accumulates in the environment","DDT (thuốc trừ sâu hóa học, hiện bị cấm ở nhiều nước do gây ô nhiễm môi trường)"
deadwood,noun,[deadwood],"dead branches or trees; figuratively, people or things that are no longer useful","gỗ chết, cành khô; (nghĩa bóng) người/vật không còn hữu ích"
deceptive,adjective,de-[cept]-ive,giving an appearance or impression that is different from the true one; misleading,"lừa dối, gây hiểu lầm"
decimate,verb,[decim]-ate,"to kill, destroy, or drastically reduce a large proportion of something","tàn phá, tiêu diệt phần lớn"
decompose,verb,de-[compose],to break down or rot through chemical or bacterial action,"phân hủy, thối rữa"
decree,noun,[decree],an official order issued by a legal or religious authority,"sắc lệnh, nghị định"
deficit,noun,[deficit],"the amount by which something, especially a sum of money, is too small; a shortfall","sự thâm hụt, thiếu hụt (ngân sách)"
dementia,noun,de-[ment]-ia,"a chronic disorder of mental processes causing memory loss, personality changes, and impaired reasoning","chứng mất trí, sa sút trí tuệ"
demise,noun,de-[mise],"the end or failure of an institution, activity, or business; death","sự sụp đổ, sự chấm dứt; sự qua đời"
democracy,noun,[demo]-cracy,"a system of government by the whole population, typically through elected representatives",nền dân chủ
demonstration,noun,de-[monstr]-ation,a public gathering to protest or advocate for something; also an act of showing or proving something,"cuộc biểu tình; sự trình diễn, sự chứng minh"
desalination,noun,de-[salin]-ation,"the removal of salt from something, especially from seawater to make it drinkable",sự khử muối (nước biển thành nước ngọt)
despise,verb,de-[spise],to feel deep contempt or a strong dislike for someone or something,"khinh miệt, khinh ghét"
devaluation,noun,de-[valu]-ation,a reduction in the value of a currency relative to other currencies,sự phá giá (tiền tệ)
dhaka,noun,[dhaka],the capital and largest city of Bangladesh,Dhaka (thủ đô Bangladesh)
diagnostic,adjective,dia-[gnos]-tic,relating to the identification of the nature of an illness or other problem,thuộc về chẩn đoán
diary,noun,[diary],a book in which one keeps a daily record of events or thoughts,nhật ký
dictate,verb,[dict]-ate,to say or read aloud words for someone else to write down or record; also to give orders with authority,"đọc cho (ai) viết lại; ra lệnh, áp đặt"
discern,verb,dis-[cern],"to perceive or recognize something, especially something that is not immediately obvious","nhận ra, phân biệt được"
discriminatory,adjective,dis-[crimin]-atory,making or showing an unfair distinction between different categories of people,mang tính phân biệt đối xử
disguise,verb,dis-[guise],to alter one's appearance or manner in order to conceal one's identity,"cải trang, ngụy trang"
dishonesty,noun,dis-[honest]-y,behavior that is not honest or fair; lying or cheating,"sự không trung thực, gian dối"
disorientation,noun,dis-[orient]-ation,"a loss of one's sense of direction, position, or relationship with one's surroundings",sự mất phương hướng
disposition,noun,dis-[posit]-ion,a person's inherent qualities of mind and character; temperament,"tính khí, bản chất con người"
dissonance,noun,dis-[son]-ance,"a lack of harmony or agreement; a harsh, discordant combination of sounds","sự bất hòa, sự không hài hòa"
diverge,verb,di-[verge],to separate from a main route and go in a different direction; to differ from one another,"phân kỳ, tách ra, khác nhau"
dodo,noun,[dodo],a large extinct flightless bird that was once native to Mauritius,chim dodo (loài chim đã tuyệt chủng)
driveway,noun,[driveway],a short private road leading from a public road to a house or garage,"lối xe vào nhà, đường dẫn vào ga-ra"
dub,verb,[dub],to replace the original spoken dialogue in a film with a translation in a different language,lồng tiếng (phim)
dunn,noun,[dunn],an English and Irish surname,"họ Dunn (tên riêng, họ người)"
eatery,noun,[eat]-ery,"a small, informal restaurant",quán ăn nhỏ
eclipse,noun,[eclipse],an event in which one celestial body obscures the light from another by passing in front of it,nhật thực/nguyệt thực
economically,adverb,[econom]-ically,"in a way relating to the economy, or in a manner that saves money or resources",về mặt kinh tế; một cách tiết kiệm
economics,noun,[econom]-ics,"the branch of knowledge concerned with the production, distribution, and consumption of goods and services",kinh tế học
economist,noun,[econom]-ist,an expert in or student of economics,nhà kinh tế học
editorial,noun,[editor]-ial,a newspaper article expressing the opinion of the editor or publisher on a topical issue,bài xã luận (báo)
electronics,noun,[electron]-ics,the branch of technology dealing with the design and behavior of circuits using electron flow,ngành điện tử học
elm,noun,[elm],"a deciduous tree with broad leaves, often planted for shade",cây du
encyclopedia,noun,[encyclopedia],a book or set of books giving information on many subjects or on many aspects of one subject,bách khoa toàn thư
enthusiastic,adjective,en-[thusiast]-ic,"having or showing intense and eager enjoyment, interest, or approval","nhiệt tình, hào hứng"
eradication,noun,e-[radic]-ation,the complete destruction or elimination of something,"sự xóa bỏ, sự tiêu diệt hoàn toàn"
erupt,verb,e-[rupt],"to burst out suddenly and violently, especially of a volcano","phun trào, bùng nổ"
eskimo,noun,[eskimo],"a member of an indigenous people of northern Canada, Greenland, Alaska, and eastern Siberia (a term now often considered outdated in favor of ""Inuit"")","người Eskimo (một dân tộc bản địa vùng Bắc Cực; nay thường dùng ""Inuit"")"
excessively,adverb,ex-[cess]-ively,"to a degree that is more than is necessary, reasonable, or desirable","một cách quá mức, thái quá"
exhibit,verb,ex-[hibit],"to publicly display something, such as a work of art or a quality","trưng bày, triển lãm; bộc lộ"
exotic,adjective,ex-[otic],originating in or characteristic of a distant foreign country; strikingly unusual or colorful,"kỳ lạ, mang tính ngoại lai"
favor,noun,[favor],an act of kindness beyond what is due or expected,"ân huệ, sự ưu ái"
fifteen,determiner,[fif]-teen,the number equivalent to the product of five and three; 15,số mười lăm (15)
finland,noun,[finland],a country in Northern Europe,Phần Lan
fireplace,noun,[fireplace],"a partially enclosed space in a room for holding a fire, typically with a chimney",lò sưởi
flip,verb,[flip],"to turn over quickly with a light, brisk movement","lật, lật ngược"
footballer,noun,[football]-er,a person who plays football (soccer),cầu thủ bóng đá
fracture,noun,[fract]-ure,"a break, crack, or split, especially in a bone","sự gãy (xương), vết nứt"
frenchman,noun,[frenchman],a man who is a native or citizen of France,người đàn ông Pháp
funny,adjective,[fun]-ny,causing laughter or amusement; also strange or odd,"buồn cười, hài hước; kỳ lạ"
gauze,noun,[gauze],"a thin, loosely woven translucent fabric, often used for surgical dressings","gạc (băng y tế), vải mỏng"
generic,adjective,[gener]-ic,characteristic of or relating to a whole group or class rather than to a specific brand or item,"chung chung, không mang nhãn hiệu riêng"
geographical,adjective,geo-[graph]-ical,"relating to geography, or to the physical features of an area",thuộc về địa lý
glamorous,adjective,[glamor]-ous,having an attractive quality of excitement and unusual elegance; alluring,"quyến rũ, hào nhoáng"
glamour,noun,[glamour],an attractive or exciting quality that makes certain people or things seem appealing,"sự quyến rũ, vẻ hào nhoáng"
gleam,verb,[gleam],"to shine brightly, especially with reflected light","lấp lánh, sáng lên"
gov,noun,[gov],"an informal abbreviation of ""government""; also the internet domain suffix used by government organizations","viết tắt của ""government"" (chính phủ); tên miền internet dành cho cơ quan chính phủ (.gov)"
grandchild,noun,grand-[child],a child of one's son or daughter,cháu (nội hoặc ngoại)
greeting,noun,[greet]-ing,a word or gesture of welcome or recognition,"lời chào, sự chào hỏi"
grievance,noun,[griev]-ance,"a real or imagined wrong or other cause for complaint or protest, especially unfair treatment","điều bất bình, sự khiếu nại"
grin,verb,[grin],to smile broadly,cười toe toét
groundbreaking,adjective,[groundbreak]-ing,introducing new and innovative ideas or methods; pioneering,"mang tính đột phá, tiên phong"
gum,noun,[gum],"a sticky substance exuded by certain trees; also chewing gum, or the firm flesh surrounding the teeth",kẹo cao su; nướu răng; nhựa cây
gymnasium,noun,[gymnas]-ium,a room or building equipped for indoor sports and physical exercise,"nhà thi đấu, phòng tập thể dục"
hallway,noun,[hallway],a corridor or passage in a building,hành lang
handcraft,verb,[handcraft],to make or produce something skillfully by hand rather than by machine,"chế tác thủ công, làm bằng tay"
hanoi,noun,[hanoi],the capital city of Vietnam,Hà Nội (thủ đô Việt Nam)
harassment,noun,[harass]-ment,"aggressive pressure, intimidation, or persistent unwanted behavior directed at someone",sự quấy rối
hardwired,adjective,hard-[wire]-d,determined by innate or built-in factors rather than being learned or changeable; permanently connected in an electronic circuit,"cố định sẵn (bẩm sinh, khó thay đổi); được nối cứng (mạch điện)"
headline,noun,[headline],"a heading at the top of a newspaper article or page, printed in large type",tiêu đề (báo)
headwind,noun,[headwind],"a wind blowing directly against the course of an aircraft or ship; figuratively, an obstacle or difficulty","gió ngược; (nghĩa bóng) trở ngại, khó khăn"
hectare,noun,hect-[are],"a metric unit of area equal to 10,000 square meters","hecta (đơn vị đo diện tích, 10.000 m2)"
helm,noun,[helm],"a wheel or tiller used to steer a ship; figuratively, a position of leadership or control",bánh lái (tàu); vị trí lãnh đạo
hereditary,adjective,[hered]-itary,"(of a disease, characteristic, or title) passed genetically or by inheritance from one generation to the next","có tính di truyền, được thừa kế"
hierarchical,adjective,[hierarch]-ical,"arranged in order of rank, with each level subordinate to the one above it","có tính thứ bậc, phân cấp"
hike,verb,[hike],"to walk for a long distance, especially across country or in the hills","đi bộ đường dài, leo núi"
historically,adverb,[histor]-ically,with reference to the past; in a way connected with history,"về mặt lịch sử, theo lịch sử"
homeland,noun,[homeland],the country where a person was born or has permanent residence,"quê hương, tổ quốc"
hormone,noun,[hormone],a regulatory substance produced in the body that is carried by body fluids to stimulate cells or tissues into action,"hormone, nội tiết tố"
hum,verb,[hum],to make a low continuous sound; to sing a tune with closed lips,"kêu vo ve, ngân nga hát khe khẽ"
hygienic,adjective,[hygien]-ic,clean and likely to prevent disease by avoiding infection,hợp vệ sinh
identically,adverb,[ident]-ically,in exactly the same way; without any difference,"giống hệt nhau, một cách y hệt"
idol,noun,[idol],"a person who is greatly admired, loved, or revered; also an image or object worshipped as a god",thần tượng; tượng thờ
illegally,adverb,il-[legal]-ly,in a way that is contrary to or forbidden by law,"một cách bất hợp pháp, trái pháp luật"
illumination,noun,il-[lumin]-ation,lighting or light supplied to a place; the action of illuminating something,"sự chiếu sáng, ánh sáng"
inaccessible,adjective,in-[access]-ible,unable to be reached or entered; difficult to obtain or use,"không thể tiếp cận được, khó tới được"
inclination,noun,in-[clin]-ation,a person's natural tendency or disposition to act or feel in a particular way; a slope or slant,"khuynh hướng, xu hướng; độ nghiêng/dốc"
incredibly,adverb,in-[cred]-ibly,in a way that is difficult to believe; extremely,một cách khó tin; cực kỳ
individuality,noun,in-[divid]-uality,the quality that distinguishes one person or thing from others,"tính cá nhân, cá tính riêng biệt"
indonesia,noun,[Indonesia],a country in Southeast Asia consisting of many islands,nước Indonesia
inexperienced,adjective,in-[experience]d,lacking knowledge or skill in a particular area gained from doing something,thiếu kinh nghiệm
infestation,noun,in-[fest]-ation,"the presence of a large number of insects or animals in a place, usually causing damage or disease","sự xâm nhập/phá hoại của sâu bọ, côn trùng"
inflict,verb,in-[flict],to cause something unpleasant to be suffered by someone,"gây ra, giáng (đau khổ, tổn thương) lên ai đó"
informative,adjective,in-[form]-ative,providing useful or interesting information,"mang tính thông tin, cung cấp nhiều thông tin hữu ích"
inherently,adverb,in-[her]-ently,"in a way that is a permanent, basic, or essential characteristic of something","một cách vốn có, về bản chất"
innovate,verb,in-[nov]-ate,"to introduce new ideas, methods, or products","đổi mới, cải tiến"
innovator,noun,in-[nov]-ator,a person who introduces new ideas or methods,"người đổi mới, nhà cải tiến"
inoculation,noun,in-[ocul]-ation,the act of injecting a vaccine into a person or animal to protect against disease,"sự tiêm chủng, sự chủng ngừa"
inordinate,adjective,in-[ordin]-ate,unusually or disproportionately large,"quá mức, quá đáng"
insolvency,noun,in-[solv]-ency,the state of being unable to pay debts owed,"tình trạng mất khả năng thanh toán, phá sản"
instil,verb,in-[stil],"to gradually cause someone to have an idea, feeling, or habit over time","gieo rắc, dần dần truyền (một ý tưởng, thói quen)"
int,noun,[int],"(computing) a data type representing whole numbers; an abbreviation of ""integer""","(tin học) kiểu dữ liệu số nguyên; viết tắt của ""integer"""
intelligent,adjective,[intelligent],"having or showing the ability to learn, understand, and think in a logical way",thông minh
interdependence,noun,inter-[depend]-ence,the state of two or more people or things relying on each other,sự phụ thuộc lẫn nhau
interfere,verb,inter-[fere],to intervene in a situation without invitation or necessity,"can thiệp, xen vào (việc không phải của mình)"
interlace,verb,inter-[lace],to weave or twist things together,"đan xen, đan chéo vào nhau"
invasion,noun,in-[vas]-ion,an act of invading a country or region with an armed force,"cuộc xâm lược, sự xâm chiếm"
invisibly,adverb,in-[vis]-ibly,in a way that cannot be seen,"một cách vô hình, không thể nhìn thấy"
irish,adjective,[Ire]-ish,"relating to Ireland, or its people, culture, or language","thuộc về Ireland, người/tiếng Ireland"
irregular,adjective,ir-[regul]-ar,"not even or uniform in shape, arrangement, or occurrence; not following the normal rules","không đều, bất thường"
jackson,noun,[Jackson],"a common English surname, also a place name",họ Jackson (một họ hoặc tên địa danh phổ biến)
jaw,noun,[jaw],either of the upper or lower bony structures that form the framework of the mouth,hàm (bộ phận cơ thể)
jefferson,noun,[Jefferson],"a surname, notably that of Thomas Jefferson, third U.S. president","họ Jefferson (ví dụ Thomas Jefferson, tổng thống Mỹ)"
jennifer,noun,[Jennifer],a common female given name,tên riêng nữ giới phổ biến
jersey,noun,[jersey],"a knitted garment, typically a sports shirt or sweater","áo len, áo thi đấu (jersey)"
jointly,adverb,[joint]-ly,together with another or others; in combination,"cùng nhau, chung"
judicial,adjective,[judic]-ial,relating to judgment in a court of law or to the judiciary,"thuộc về tư pháp, tòa án"
jungle,noun,[jungle],"an area of land overgrown with dense forest and tangled vegetation, typically in the tropics",rừng rậm (nhiệt đới)
kazakhstan,noun,[Kazakhstan],a country in Central Asia,nước Kazakhstan
kin,noun,[kin],one's family and relations,"họ hàng, thân thích"
knack,noun,[knack],an acquired or natural skill at performing a task,"khiếu, sở trường, bí quyết"
knowledgeable,adjective,[knowledge]-able,"having or showing knowledge, intelligence, or understanding","hiểu biết, am hiểu"
leafy,adjective,[leaf]-y,having many leaves or covered with leaves,"nhiều lá, rậm lá"
lens,noun,[lens],a piece of glass or transparent material with curved sides used to focus light,"thấu kính, ống kính"
leslie,noun,[Leslie],a given name or surname,tên riêng hoặc họ (Leslie)
lettuce,noun,[lettuce],a plant with edible green leaves eaten raw in salads,"rau diếp, rau xà lách"
lever,noun,[lever],"a rigid bar resting on a pivot, used to lift or move something",đòn bẩy
lewis,noun,[Lewis],a given name or surname,tên riêng hoặc họ (Lewis)
lizard,noun,[lizard],"a reptile with a long body, four legs, and a tail",thằn lằn
lobster,noun,[lobster],a large marine crustacean with a long tail and claws,tôm hùm
lubricate,verb,[lubric]-ate,to apply oil or grease to a machine to reduce friction,bôi trơn
magnify,verb,[magni]-fy,to make something appear larger than it actually is,"phóng đại, phóng to"
maiden,noun,[maiden],a young unmarried woman (literary or old-fashioned),"thiếu nữ, cô gái trẻ chưa chồng"
maiden,adjective,[maiden],"being the first of its kind, e.g. a maiden voyage or speech","đầu tiên, ra mắt lần đầu (chuyến đi, bài phát biểu đầu tiên)"
malaysia,noun,[Malaysia],a country in Southeast Asia,nước Malaysia
malnutrition,noun,mal-[nutri]-tion,a condition resulting from a lack of proper or sufficient nutrition,suy dinh dưỡng
massachusetts,noun,[Massachusetts],a state in the northeastern United States,bang Massachusetts (Mỹ)
matriarchal,adjective,matri-[arch]-al,relating to a social system in which women hold primary power and authority,thuộc chế độ mẫu hệ
meaningfully,adverb,[meaning]-fully,"in a way that is purposeful, significant, or useful",một cách có ý nghĩa
meantime,noun,[mean]-time,the period of time between one event and another,"khoảng thời gian chờ đợi, trong lúc đó"
mediate,verb,[medi]-ate,to intervene between disputing parties in order to help them reach an agreement,"hòa giải, làm trung gian"
mesh,noun,[mesh],"material made of a network of wire, thread, or cord","lưới, mắt lưới"
meteorological,adjective,[meteorolog]-ical,relating to weather or the atmosphere,"thuộc về khí tượng học, thời tiết"
michael,noun,[Michael],a common male given name,tên riêng nam giới phổ biến
microbe,noun,micro-[be],"a microorganism, especially a bacterium causing disease or fermentation","vi khuẩn, vi sinh vật"
minimize,verb,[mini]-mize,to reduce something to the smallest possible amount or degree,"giảm thiểu, tối thiểu hóa"
mom,noun,[mom],mother (informal),mẹ (cách gọi thân mật)
monterey,noun,[Monterey],"a coastal city in California, USA","thành phố Monterey (California, Mỹ)"
montgomery,noun,[Montgomery],"a surname; also the capital city of Alabama, USA","họ Montgomery; cũng là thủ phủ bang Alabama, Mỹ"
morocco,noun,[Morocco],a country in North Africa,nước Morocco
moss,noun,[moss],a small green flowerless plant that grows in damp habitats,rêu
multiplier,noun,multi-[pli]-er,a quantity by which a given number is multiplied,"hệ số nhân, số nhân"
muscular,adjective,[muscul]-ar,having well-developed muscles; relating to the muscles,có cơ bắp phát triển; thuộc về cơ
mussolini,noun,[Mussolini],"a surname, notably that of Benito Mussolini, the Italian fascist dictator","họ Mussolini (ví dụ Benito Mussolini, nhà độc tài phát xít Ý)"
myriad,noun,[myriad],a countless or extremely great number of people or things,vô số
nasa,noun,[NASA],the United States government agency responsible for aeronautics and space exploration,Cơ quan Hàng không và Vũ trụ Hoa Kỳ (NASA)
nationalism,noun,[nation]-al-ism,patriotic feeling or the advocacy of political independence for one's country,"chủ nghĩa dân tộc, chủ nghĩa quốc gia"
nationwide,adjective,[nation]-wide,extending across or covering an entire nation,trên toàn quốc
navigable,adjective,[navig]-able,"(of a river, channel, or sea) deep or wide enough to allow ships to pass",có thể đi lại được bằng tàu thuyền
necklace,noun,[neck]-lace,an ornamental chain or string worn around the neck,"vòng cổ, dây chuyền"
nepali,adjective,[Nepal]-i,"relating to Nepal, its people, or its language",thuộc về Nepal; tiếng Nepal/người Nepal
newton,noun,[Newton],a unit of force in physics; also the surname of Isaac Newton,đơn vị lực Newton (vật lý); cũng là họ Newton
nickel,noun,[nickel],a silvery-white metallic chemical element; also a US five-cent coin,niken (kim loại); cũng là đồng xu 5 cent Mỹ
nigeria,noun,[Nigeria],a country in West Africa,nước Nigeria
norman,adjective,[Norman],"relating to the Normans, the medieval people of Normandy",thuộc về người Norman (Normandy thời trung cổ)
notably,adverb,[note]-ably,especially; in a way that is worthy of note,"đáng chú ý là, đặc biệt là"
nozzle,noun,[nose]-zle,a spout or tube fitted to a pipe or hose to control the flow of liquid or gas,"vòi phun, đầu vòi"
numerical,adjective,[numer]-ical,"relating to, expressed in, or denoted by numbers","thuộc về số, bằng số"
occupation,noun,[occup]-ation,a person's job or profession,nghề nghiệp
october,noun,[October],the tenth month of the year,tháng Mười
odds,noun,[odds],"the probability that a particular outcome will occur, often expressed as a ratio","tỷ lệ cược, khả năng xảy ra"
officiate,verb,[offici]-ate,"to perform official duties, especially presiding at a ceremony or sports match","chủ trì (một nghi lễ), làm trọng tài"
paraguay,noun,[Paraguay],a country in South America,nước Paraguay
paste,noun,[paste],"a thick, soft, moist substance, typically produced by mixing dry ingredients with a liquid","hỗn hợp sệt, bột nhão"
paste,verb,[paste],"to insert copied or cut text/image into a document, typically using a computer","dán (văn bản, hình ảnh) vào tài liệu"
patriotism,noun,[patriot]-ism,devotion to and vigorous support for one's country,"lòng yêu nước, chủ nghĩa yêu nước"
payroll,noun,[pay]-roll,a list of a company's employees and the amount of money to be paid to each of them,"bảng lương, danh sách trả lương"
pedagogy,noun,[pedagogy],the method and practice of teaching,"phương pháp sư phạm, khoa học giáo dục"
permanence,noun,[perman]-ence,the state or quality of lasting forever or for a long time,"tính lâu bền, sự vĩnh viễn"
persevere,verb,per-[sever]-e,to continue in a course of action even in the face of difficulty or opposition,"kiên trì, bền bỉ theo đuổi"
peru,noun,[Peru],a country in South America,nước Peru
peruvian,adjective,[Peru]-vian,"relating to Peru, or a person from Peru",thuộc về Peru; người Peru
philip,noun,[Philip],a common male given name,tên riêng nam giới
philosopher,noun,philo-[soph]-er,"a person who studies or writes about fundamental questions of existence, knowledge, and values",nhà triết học
photographer,noun,photo-[graph]-er,"a person who takes photographs, especially professionally",nhiếp ảnh gia
photographic,adjective,photo-[graph]-ic,relating to photography or photographs,thuộc về nhiếp ảnh
pixel,noun,[pix]-el,the smallest controllable element of a picture represented on a screen,điểm ảnh (pixel)
podium,noun,[podium],"a small raised platform on which a speaker, performer, or conductor stands","bục, bệ (diễn giả, chỉ huy dàn nhạc)"
pollutant,noun,[pollut]-ant,"a substance that pollutes something, especially the water or air",chất gây ô nhiễm
porous,adjective,[por]-ous,having tiny holes through which liquid or air may pass,"xốp, có lỗ nhỏ thấm được"
practically,adverb,[practic]-ally,"in effect, although not officially or completely; in a practical way","hầu như, thực tế là"
practitioner,noun,[practi]-tioner,"a person actively engaged in a profession, especially medicine or law","người hành nghề (y, luật, v.v.)"
precursor,noun,pre-[curs]-or,a thing that comes before another of the same kind; a forerunner,"tiền thân, người/vật đi trước"
pregnancy,noun,[pregnan]-cy,the condition of carrying a developing embryo or fetus within the body,"thai kỳ, sự mang thai"
prejudice,noun,pre-[judic]-e,a preconceived opinion not based on reason or actual experience; bias,"định kiến, thành kiến"
prestigious,adjective,[prestig]-ious,inspiring respect and admiration; having a high status,"có uy tín, danh giá"
prevail,verb,pre-[vail],to prove more powerful than opposing forces; to be the most common or widespread,"thắng thế, chiếm ưu thế; phổ biến"
primitive,adjective,[primit]-ive,relating to an early stage of development; very simple or basic,"nguyên thủy, sơ khai"
probability,noun,[probabil]-ity,the extent to which something is likely to happen,"xác suất, khả năng xảy ra"
proficiency,noun,pro-[fici]-ency,a high degree of skill or competence,"sự thành thạo, trình độ giỏi"
propaganda,noun,[propaganda],"information, especially biased or misleading, used to promote a political cause or point of view",tuyên truyền
propagation,noun,pro-[pag]-ation,"the spreading or reproduction of plants, ideas, or information","sự truyền bá, sự nhân giống/lan truyền"
protein,noun,[protein],"a large molecule composed of amino acids, essential for the structure and function of living cells","protein, chất đạm"
psychiatrist,noun,psych-[iatr]-ist,a medical doctor who specializes in the diagnosis and treatment of mental illness,bác sĩ tâm thần
psychologically,adverb,psycho-[log]-ically,in a way relating to the mind or mental processes,về mặt tâm lý
punctuation,noun,[punctu]-ation,"the marks, such as commas and periods, used in writing to separate sentences and clauses","dấu câu, cách chấm câu"
pungent,adjective,[pung]-ent,having a sharply strong smell or taste,"hăng, nồng (mùi vị)"
quantifier,noun,[quanti]-fier,"a word or symbol that expresses a quantity, such as ""some"" or ""many""",từ chỉ số lượng; lượng từ
quantitative,adjective,[quanti]-tative,"relating to, measuring, or measured by the quantity of something","thuộc về số lượng, định lượng"
quarry,noun,[quarry],a large open excavation from which stone or minerals are extracted,mỏ đá
rachel,noun,[Rachel],a common female given name,tên riêng nữ giới
radar,noun,[radar],a system that uses radio waves to detect the position and speed of objects,ra đa
ratio,noun,[ratio],"the quantitative relation between two amounts, showing the number of times one contains the other","tỷ lệ, tỷ số"
realistically,adverb,[real]-istically,"in a way that is practical, sensible, and consistent with actual conditions",một cách thực tế
realm,noun,[realm],a field or domain of activity or interest; a kingdom,lĩnh vực; vương quốc
receipt,noun,re-[ceipt],a written acknowledgment that a specified payment or item has been received,"hóa đơn, biên nhận"
redundancy,noun,re-[dund]-ancy,the state of being no longer needed or useful; excess of something,sự dư thừa; sự sa thải do dư thừa nhân sự
regenerate,verb,re-[gener]-ate,to grow or form again; to renew or restore to a better state,"tái sinh, phục hồi"
