word,pos,structure,meaning_en,meaning_vi
editorialist,noun,[edit]-or-al-ist,a journalist who writes editorials,edit(biên tập) + -or(người/vật thực hiện (danh từ)) + -al(thuộc về (tính từ); hành động (danh từ)) + -ist(người theo/thực hành (danh từ))
editorialize,verb,[edit]-or-al-ize,insert personal opinions into an objective statement,"edit(biên tập) + -or(người/vật thực hiện (danh từ)) + -al(thuộc về (tính từ); hành động (danh từ)) + -ize(làm cho, biến thành (động từ))"
subedit,verb,sub-[edit],edit and correct (written or printed material),sub-(dưới) + edit(biên tập)
coeditors,noun,co-[edit]-or,"co-(together, jointly) + edit(to prepare a piece of writing, a book, etc. to be published by correcting the mistakes, making improvements to it, etc.) + -or(person/thing that does (noun))","co-(cùng nhau, chung) + edit(biên tập) + -or(người/vật thực hiện (danh từ))"
subeditor,noun,sub-[edit]-or,an assistant editor,sub-(dưới) + edit(biên tập) + -or(người/vật thực hiện (danh từ))
educator,noun,[educate]-or,a person whose job is to teach or educate people,educate(giáo dục) + -or(người/vật thực hiện (danh từ))
education,noun,[educate]-ion,"a process of teaching, training and learning, especially in schools, colleges or universities, to improve knowledge and develop skills","educate(giáo dục) + -ion(hành động, quá trình, trạng thái (danh từ))"
educational,adjective,[educate]-ion-al,connected with education,"educate(giáo dục) + -ion(hành động, quá trình, trạng thái (danh từ)) + -al(thuộc về (tính từ); hành động (danh từ))"
educationist,noun,[educate]-ion-ist,a specialist in the theory of education,"educate(giáo dục) + -ion(hành động, quá trình, trạng thái (danh từ)) + -ist(người theo/thực hành (danh từ))"
educationally,adverb,[educate]-ion-al-ly,in an educational manner,"educate(giáo dục) + -ion(hành động, quá trình, trạng thái (danh từ)) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
educationalist,noun,[educate]-ion-al-ist,a specialist in the theory of education,"educate(giáo dục) + -ion(hành động, quá trình, trạng thái (danh từ)) + -al(thuộc về (tính từ); hành động (danh từ)) + -ist(người theo/thực hành (danh từ))"
reeducate,verb,re-[educate],"re-(again, back) + educate(to teach somebody over a period of time at a school, university, etc.)","re-(lại, làm lại) + educate(giáo dục)"
uneducated,adjective,un-[educate],not having a good education,"un-(không, ngược lại (phủ định/đảo nghĩa)) + educate(giáo dục)"
undereducated,adjective,under-[educate],poorly or insufficiently educated,"under-(dưới, không đủ) + educate(giáo dục)"
reeducation,noun,re-[educate]-ion,"re-(again, back) + educate(to teach somebody over a period of time at a school, university, etc.) + -ion(action, process, state (noun))","re-(lại, làm lại) + educate(giáo dục) + -ion(hành động, quá trình, trạng thái (danh từ))"
coeducation,noun,co-[educate]-ion,education of men and women in the same institutions,"co-(cùng nhau, chung) + educate(giáo dục) + -ion(hành động, quá trình, trạng thái (danh từ))"
coeducational,adjective,co-[educate]-ion-al,attended by members of both sexes,"co-(cùng nhau, chung) + educate(giáo dục) + -ion(hành động, quá trình, trạng thái (danh từ)) + -al(thuộc về (tính từ); hành động (danh từ))"
inefficiency,noun,im-[efficiency],unskillfulness resulting from a lack of efficiency,im-(không (biến thể của in- trước b/m/p)) + efficiency(hiệu quả)
efficiently,adverb,[efficient]-ly,"in a good and careful way, with no waste of time, money or energy",efficient(hiệu quả) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
inefficient,adjective,im-[efficient],lacking the ability or skill to perform effectively,im-(không (biến thể của in- trước b/m/p)) + efficient(hiệu quả)
inefficiently,adverb,im-[efficient]-ly,in an inefficient manner,im-(không (biến thể của in- trước b/m/p)) + efficient(hiệu quả) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
effortless,adjective,[effort]-less,not showing effort or strain,effort(nỗ lực) + -less(không có (tính từ))
effortlessly,adverb,[effort]-less-ly,without effort or apparent effort,effort(nỗ lực) + -less(không có (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
effortlessness,noun,[effort]-less-ness,the quality of requiring little effort,"effort(nỗ lực) + -less(không có (tính từ)) + -ness(trạng thái, tính chất (danh từ))"
egoist,noun,[ego]-ist,a self-centered person with little regard for others,ego(cái tôi) + -ist(người theo/thực hành (danh từ))
egoism,noun,[ego]-ism,concern for your own interests and welfare,"ego(cái tôi) + -ism(niềm tin, học thuyết, tình trạng (danh từ))"
egoistic,adjective,[ego]-ist-ic,limited to or caring only about yourself and your own needs,ego(cái tôi) + -ist(người theo/thực hành (danh từ)) + -ic(thuộc về (tính từ))
egotistical,adjective,[ego]-ist-ic-al,characteristic of false pride,ego(cái tôi) + -ist(người theo/thực hành (danh từ)) + -ic(thuộc về (tính từ)) + -al(thuộc về (tính từ); hành động (danh từ))
egoistically,adverb,[ego]-ist-ic-ly,In an egoistic manner.,ego(cái tôi) + -ist(người theo/thực hành (danh từ)) + -ic(thuộc về (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
superego,noun,super-[ego],(psychoanalysis) that part of the unconscious mind that acts as a conscience,"super-(trên, vượt trội, cực kỳ) + ego(cái tôi)"
eighth,adjective,[eight]-th,coming next after the seventh and just before the ninth in position,"eight(số tám) + -th(số thứ tự / trạng thái (danh từ, VD eighth, warmth))"
eighty,number,[eight]-y,,eight(số tám) + -y(có tính chất; danh từ/tính từ)
eighteen,number,[eight]-een,,eight(số tám) + -een([BIẾN THỂ] của -teen (VD eighteen))
eightsome,noun,[eight]-some,a Scottish reel for eight dancers,"eight(số tám) + -some(có xu hướng, đặc trưng bởi (tính từ))"
eightieth,adjective,[eight]-y-th,the ordinal number of eighty in counting order,"eight(số tám) + -y(có tính chất; danh từ/tính từ) + -th(số thứ tự / trạng thái (danh từ, VD eighth, warmth))"
eighteenth,adjective,[eight]-een-th,coming next after the seventeenth in position,"eight(số tám) + -een([BIẾN THỂ] của -teen (VD eighteen)) + -th(số thứ tự / trạng thái (danh từ, VD eighth, warmth))"
elector,noun,[electr]-or,a citizen who has a legal right to vote,electr(điện (gốc từ)) + -or(người/vật thực hiện (danh từ))
election,noun,[electr]-ion,"the process of choosing a person or a group of people for a position, especially a political position, by voting","electr(điện (gốc từ)) + -ion(hành động, quá trình, trạng thái (danh từ))"
elective,adjective,[electr]-ive,subject to popular election,"electr(điện (gốc từ)) + -ive(có xu hướng, có tính chất (tính từ))"
electric,adjective,[electr]-ic,"connected with electricity; using, produced by or producing electricity",electr(điện (gốc từ)) + -ic(thuộc về (tính từ))
electron,noun,[electr]-on,an elementary particle with negative charge,"electr(điện (gốc từ)) + -on([BIẾN THỂ] đuôi danh từ (đơn vị/hạt, từ mượn Hy Lạp/Pháp))"
electrify,verb,[electr]-ify,equip for use with electricity,"electr(điện (gốc từ)) + -ify(làm cho, khiến trở thành (động từ))"
electrode,noun,[electr]-ode,a conductor used to make electrical contact with some part of a circuit,"electr(điện (gốc từ)) + -ode(đường, lối (danh từ, Hy Lạp, VD electrode))"
electoral,adjective,[electr]-or-al,connected with elections,electr(điện (gốc từ)) + -or(người/vật thực hiện (danh từ)) + -al(thuộc về (tính từ); hành động (danh từ))
electronic,adjective,[electr]-on-ic,"having or using many small parts, such as microchips, that control and direct a small electric current","electr(điện (gốc từ)) + -on([BIẾN THỂ] đuôi danh từ (đơn vị/hạt, từ mượn Hy Lạp/Pháp)) + -ic(thuộc về (tính từ))"
electorate,noun,[electr]-or-ate,the body of enfranchised citizens,electr(điện (gốc từ)) + -or(người/vật thực hiện (danh từ)) + -ate(làm cho/trở thành (động từ); có (tính từ))
electrical,adjective,[electr]-ic-al,connected with electricity; using or producing electricity,electr(điện (gốc từ)) + -ic(thuộc về (tính từ)) + -al(thuộc về (tính từ); hành động (danh từ))
electioneer,verb,[electr]-ion-eer,work actively for a political candidate or a party,"electr(điện (gốc từ)) + -ion(hành động, quá trình, trạng thái (danh từ)) + -eer(người liên quan đến (danh từ, VD engineer))"
electrician,noun,[electr]-ic-ian,a person who installs or repairs electrical or telephone lines,"electr(điện (gốc từ)) + -ic(thuộc về (tính từ)) + -ian(thuộc về, người đến từ (danh từ/tính từ))"
electronics,noun,[electr]-on-ics,the branch of science and technology that studies electric currents in electronic equipment,"electr(điện (gốc từ)) + -on([BIẾN THỂ] đuôi danh từ (đơn vị/hạt, từ mượn Hy Lạp/Pháp)) + -ics(lĩnh vực nghiên cứu (danh từ))"
electricity,noun,[electr]-ic-ity,"a form of energy from charged elementary particles, usually supplied as electric current through cables, wires, etc. for lighting, heating, driving machines, etc.","electr(điện (gốc từ)) + -ic(thuộc về (tính từ)) + -ity(trạng thái, tính chất (danh từ))"
electrification,noun,[electr]-ify-ion,the act of providing electricity,"electr(điện (gốc từ)) + -ify(làm cho, khiến trở thành (động từ)) + -ion(hành động, quá trình, trạng thái (danh từ))"
electrically,adverb,[electr]-ic-al-ly,by electricity,electr(điện (gốc từ)) + -ic(thuộc về (tính từ)) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
electronically,adverb,[electr]-on-ic-ly,by electronic means,"electr(điện (gốc từ)) + -on([BIẾN THỂ] đuôi danh từ (đơn vị/hạt, từ mượn Hy Lạp/Pháp)) + -ic(thuộc về (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
reelected,unknown,re-[electr],"re-(again, back) + electr((không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập))","re-(lại, làm lại) + electr(điện (gốc từ))"
reelection,noun,re-[electr]-ion,election again,"re-(lại, làm lại) + electr(điện (gốc từ)) + -ion(hành động, quá trình, trạng thái (danh từ))"
microelectronics,noun,micro-[electr]-on-ics,the branch of electronics that deals with miniature components,"micro-(nhỏ, vi mô) + electr(điện (gốc từ)) + -on([BIẾN THỂ] đuôi danh từ (đơn vị/hạt, từ mượn Hy Lạp/Pháp)) + -ics(lĩnh vực nghiên cứu (danh từ))"
elegantly,adverb,[elegant]-ly,in a gracefully elegant manner,elegant(thanh lịch) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
inelegant,adjective,im-[elegant],lacking in refinement or grace or good taste,im-(không (biến thể của in- trước b/m/p)) + elegant(thanh lịch)
inelegantly,adverb,im-[elegant]-ly,without elegance,im-(không (biến thể của in- trước b/m/p)) + elegant(thanh lịch) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
elemental,adjective,[element]-al,of or being the essential or basic part,element(yếu tố) + -al(thuộc về (tính từ); hành động (danh từ))
elephantine,adjective,[elephant]-ine,of great mass,"elephant(con voi) + -ine(thuộc về, làm bằng (tính từ); giống cái (danh từ))"
elephantiasis,noun,[elephant]-sis,hypertrophy of certain body parts (usually legs and scrotum),"elephant(con voi) + -sis(quá trình, tình trạng (danh từ, Hy Lạp))"
elevator,noun,[elevate]-or,lifting device consisting of a platform or cage that is raised and lowered mechanically in a vertical shaft in order to move people from one floor to another in a building,elevate(nâng cao) + -or(người/vật thực hiện (danh từ))
elevation,noun,[elevate]-ion,the act of increasing the wealth or prestige or power or scope of something,"elevate(nâng cao) + -ion(hành động, quá trình, trạng thái (danh từ))"
eleventh,adjective,[eleven]-th,coming next after the tenth and just before the twelfth in position,"eleven(số mười một) + -th(số thứ tự / trạng thái (danh từ, VD eighth, warmth))"
elevenses,noun,[eleven]-sis,"eleven(11) + -sis(process, condition (noun, Greek))","eleven(số mười một) + -sis(quá trình, tình trạng (danh từ, Hy Lạp))"
elitism,noun,[elite]-ism,the attitude that society should be governed by an elite group of individuals,"elite(tinh hoa) + -ism(niềm tin, học thuyết, tình trạng (danh từ))"
elitist,noun,[elite]-ist,someone who believes in rule by an elite group,elite(tinh hoa) + -ist(người theo/thực hành (danh từ))
embarrassment,noun,[embarrass]-ment,"shy, uncomfortable or guilty feelings; a feeling of being embarrassed",embarrass(làm bối rối) + -ment(kết quả/hành động/trạng thái (danh từ))
embarrassingly,adverb,[embarrass]-ly,causing embarrassment,embarrass(làm bối rối) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
overemphasis,noun,over-[emphasis],too much emphasis,"over-(trên, quá mức) + emphasis(sự nhấn mạnh)"
overemphasized,verb,over-[emphasize],"over-(above, excess, too much) + emphasize(to give special importance to something)","over-(trên, quá mức) + emphasize(nhấn mạnh)"
imperial,adjective,[empire]-al,belonging to or befitting a supreme ruler,empire(đế quốc) + -al(thuộc về (tính từ); hành động (danh từ))
imperious,adjective,[empire]-ious,having or showing arrogant superiority to and disdain of those one views as unworthy,empire(đế quốc) + -ious(có tính chất (tính từ))
imperative,adjective,[empire]-ive,requiring attention or action,"empire(đế quốc) + -ive(có xu hướng, có tính chất (tính từ))"
imperially,adverb,[empire]-al-ly,in an imperial manner,empire(đế quốc) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
imperiously,adverb,[empire]-ious-ly,in an imperious manner,empire(đế quốc) + -ious(có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
imperialism,noun,[empire]-al-ism,any instance of aggressive extension of authority,"empire(đế quốc) + -al(thuộc về (tính từ); hành động (danh từ)) + -ism(niềm tin, học thuyết, tình trạng (danh từ))"
imperialist,adjective,[empire]-al-ist,of or relating to imperialism,empire(đế quốc) + -al(thuộc về (tính từ); hành động (danh từ)) + -ist(người theo/thực hành (danh từ))
imperatively,adverb,[empire]-ive-ly,in an imperative and commanding manner,"empire(đế quốc) + -ive(có xu hướng, có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
imperiousness,noun,[empire]-ious-ness,the trait of being imperious and overbearing,"empire(đế quốc) + -ious(có tính chất (tính từ)) + -ness(trạng thái, tính chất (danh từ))"
imperialistic,adjective,[empire]-al-ist-ic,of or relating to imperialism,empire(đế quốc) + -al(thuộc về (tính từ); hành động (danh từ)) + -ist(người theo/thực hành (danh từ)) + -ic(thuộc về (tính từ))
imperialistically,adverb,[empire]-al-ist-ic-ly,empire(a group of countries or states that are controlled by one leader or government) + -al(relating to (adjective); action (noun)) + -ist(person who practices/believes (noun)) + -ic(relating to (adjective)) + -ly(adverb of manner / adjective (like)),empire(đế quốc) + -al(thuộc về (tính từ); hành động (danh từ)) + -ist(người theo/thực hành (danh từ)) + -ic(thuộc về (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
employee,noun,[employ]-ee,a person who is paid to work for somebody,"employ(thuê, tuyển dụng) + -ee(người nhận/chịu tác động (danh từ))"
employer,noun,[employ]-er,a person or company that pays people to work for them,"employ(thuê, tuyển dụng) + -er(người làm việc gì; so sánh hơn)"
employable,adjective,[employ]-able,physically and mentally capable of working at a regular job and available,"employ(thuê, tuyển dụng) + -able(có thể được (tính từ))"
employment,noun,[employ]-ment,"work, especially when it is done to earn money; the state of being employed","employ(thuê, tuyển dụng) + -ment(kết quả/hành động/trạng thái (danh từ))"
unemployed,adjective,un-[employ],without a job although able to work,"un-(không, ngược lại (phủ định/đảo nghĩa)) + employ(thuê, tuyển dụng)"
unemployable,adjective,un-[employ]-able,not acceptable for employment as a worker,"un-(không, ngược lại (phủ định/đảo nghĩa)) + employ(thuê, tuyển dụng) + -able(có thể được (tính từ))"
unemployment,noun,un-[employ]-ment,the fact of a number of people not having a job; the number of people without a job,"un-(không, ngược lại (phủ định/đảo nghĩa)) + employ(thuê, tuyển dụng) + -ment(kết quả/hành động/trạng thái (danh từ))"
preemployment,noun,pre-[employ]-ment,pre-(before) + employ(to give somebody a job to do for payment) + -ment(result/action/state (noun)),"pre-(trước) + employ(thuê, tuyển dụng) + -ment(kết quả/hành động/trạng thái (danh từ))"
emptily,adverb,[empty]-ly,empty(with no people or things inside) + -ly(adverb of manner / adjective (like)),empty(trống rỗng) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
emptier,noun,[empty]-er,"One who, or that which, empties.",empty(trống rỗng) + -er(người làm việc gì; so sánh hơn)
emptiest,adjective,[empty]-est,empty(with no people or things inside) + -est(superlative),empty(trống rỗng) + -est(so sánh nhất)
emptiness,noun,[empty]-ness,the quality of being valueless or futile,"empty(trống rỗng) + -ness(trạng thái, tính chất (danh từ))"
endless,adjective,[end]-less,very large in size or amount and seeming to have no end,end(kết thúc) + -less(không có (tính từ))
endlessly,adverb,[end]-less-ly,continuing forever without end,end(kết thúc) + -less(không có (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
upend,verb,up-[end],"set, turn, or stand on end",up-(lên trên) + end(kết thúc)
unending,adjective,un-[end],continuing forever or indefinitely,"un-(không, ngược lại (phủ định/đảo nghĩa)) + end(kết thúc)"
unendingly,adverb,un-[end]-ly,with unflagging resolve,"un-(không, ngược lại (phủ định/đảo nghĩa)) + end(kết thúc) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
endorsement,noun,[endorse]-ment,a public statement or action showing that you support somebody/something,"endorse(chứng thực, ủng hộ) + -ment(kết quả/hành động/trạng thái (danh từ))"
endurable,adjective,[endure]-able,capable of being borne though unpleasant,endure(chịu đựng) + -able(có thể được (tính từ))
endurance,noun,[endure]-ance,the power to withstand hardship or stress,"endure(chịu đựng) + -ance(trạng thái, tính chất, hành động (danh từ))"
enduringly,adverb,[endure]-ly,in an enduring manner,endure(chịu đựng) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
unendurable,adjective,un-[endure]-able,incapable of being put up with,"un-(không, ngược lại (phủ định/đảo nghĩa)) + endure(chịu đựng) + -able(có thể được (tính từ))"
engagement,noun,[engage]-ment,an agreement to marry somebody; the period during which two people are engaged,"engage(tham gia, cam kết) + -ment(kết quả/hành động/trạng thái (danh từ))"
engagingly,adverb,[engage]-ly,in an engaging manner,"engage(tham gia, cam kết) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
disengage,verb,dis-[engage],become free,"dis-(không, ngược lại, tách rời) + engage(tham gia, cam kết)"
disengagement,noun,dis-[engage]-ment,to break off a military action with an enemy,"dis-(không, ngược lại, tách rời) + engage(tham gia, cam kết) + -ment(kết quả/hành động/trạng thái (danh từ))"
engineer,noun,[engine]-eer,"a person whose job involves designing and building engines, machines, roads, bridges, etc.","engine(động cơ) + -eer(người liên quan đến (danh từ, VD engineer))"
enhancement,noun,[enhance]-ment,an improvement that makes something more agreeable,enhance(nâng cao) + -ment(kết quả/hành động/trạng thái (danh từ))
enormously,adverb,[enorm]-ly,"extremely, far beyond average",enorm(to lớn (gốc từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
enormousness,noun,[enorm]-ness,unusual largeness in size or extent or number,"enorm(to lớn (gốc từ)) + -ness(trạng thái, tính chất (danh từ))"
entry,noun,[enter]-y,an act of going into or getting into a place,enter(đi vào) + -y(có tính chất; danh từ/tính từ)
entrant,noun,[enter]-ant,a commodity that enters competition with established merchandise,enter(đi vào) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ))
entrance,noun,[enter]-ance,"a door, gate, passage, etc. used for entering a room, building or place","enter(đi vào) + -ance(trạng thái, tính chất, hành động (danh từ))"
enteritis,noun,[enter]-itis,inflammation of the intestine (especially the small intestine),"enter(đi vào) + -itis(viêm, bệnh (danh từ, Hy Lạp/y học))"
reentered,verb,re-[enter],"re-(again, back) + enter(to come or go into something)","re-(lại, làm lại) + enter(đi vào)"
enterprisingly,adverb,[enterprise]-ly,in an enterprising manner,enterprise(doanh nghiệp) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
entirely,adverb,[entire]-ly,in every way possible; completely,entire(toàn bộ) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
entirety,noun,[entire]-ity,the state of being total and complete,"entire(toàn bộ) + -ity(trạng thái, tính chất (danh từ))"
nonentity,noun,non-[entity],a person of no influence,non-(không) + entity(thực thể)
entrepreneurial,adjective,[entrepreneur]-al,willing to take risks in order to make a profit,entrepreneur(doanh nhân) + -al(thuộc về (tính từ); hành động (danh từ))
episodic,adjective,[episode]-ic,limited in duration to a single episode,"episode(tập phim, giai đoạn) + -ic(thuộc về (tính từ))"
episodically,adverb,[episode]-ic-al-ly,in an episodic manner,"episode(tập phim, giai đoạn) + -ic(thuộc về (tính từ)) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
equipage,noun,[equip]-age,a vehicle with wheels drawn by one or more horses,"equip(trang bị) + -age(hành động, kết quả, tập hợp (danh từ))"
equipment,noun,[equip]-ment,the things that are needed for a particular purpose or activity,equip(trang bị) + -ment(kết quả/hành động/trạng thái (danh từ))
erectly,adverb,[erect]-ly,in a straight-backed manner,erect(dựng đứng) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
erection,noun,[erect]-ion,the act of building or putting up,"erect(dựng đứng) + -ion(hành động, quá trình, trạng thái (danh từ))"
erectness,noun,[erect]-ness,position at right angles to the horizon,"erect(dựng đứng) + -ness(trạng thái, tính chất (danh từ))"
escalator,noun,[escalate]-or,a stairway whose steps move continuously on a circulating belt,escalate(leo thang) + -or(người/vật thực hiện (danh từ))
escalation,noun,[escalate]-ion,an increase to counteract a perceived discrepancy,"escalate(leo thang) + -ion(hành động, quá trình, trạng thái (danh từ))"
escapee,noun,[escape]-ee,someone who has escaped,escape(trốn thoát) + -ee(người nhận/chịu tác động (danh từ))
escapism,noun,[escape]-ism,an inclination to retreat from unpleasant realities through diversion or fantasy,"escape(trốn thoát) + -ism(niềm tin, học thuyết, tình trạng (danh từ))"
escapist,noun,[escape]-ist,a person who escapes into a world of fantasy,escape(trốn thoát) + -ist(người theo/thực hành (danh từ))
escapade,noun,[escape]-ade,any carefree episode,"escape(trốn thoát) + -ade(hành động, kết quả; đồ uống ngọt (danh từ, VD blockade, lemonade))"
escapable,adjective,[escape]-able,Avoidable.,escape(trốn thoát) + -able(có thể được (tính từ))
inescapable,adjective,im-[escape]-able,impossible to avoid or evade:'inescapable conclusion',im-(không (biến thể của in- trước b/m/p)) + escape(trốn thoát) + -able(có thể được (tính từ))
inescapably,adverb,im-[escape]-able-y,by necessity,im-(không (biến thể của in- trước b/m/p)) + escape(trốn thoát) + -able(có thể được (tính từ)) + -y(có tính chất; danh từ/tính từ)
essayist,noun,[essay]-ist,a writer of literary works,essay(bài luận) + -ist(người theo/thực hành (danh từ))
essential,adjective,[essence]-al,completely necessary; extremely important in a particular situation or for a particular activity ,essence(bản chất) + -al(thuộc về (tính từ); hành động (danh từ))
essentially,adverb,[essence]-al-ly,"when you think about the true, important or basic nature of somebody/something ",essence(bản chất) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
quintessence,noun,quint-[essence],the most typical example or representative of a type,quint-(năm) + essence(bản chất)
inessential,adjective,im-[essence]-al,not basic or fundamental,im-(không (biến thể của in- trước b/m/p)) + essence(bản chất) + -al(thuộc về (tính từ); hành động (danh từ))
quintessential,adjective,quint-[essence]-al,representing the perfect example of a class or quality,quint-(năm) + essence(bản chất) + -al(thuộc về (tính từ); hành động (danh từ))
quintessentially,adverb,quint-[essence]-al-ly,"quint-(five) + essence(the most important quality or feature of something, that makes it what it is) + -al(relating to (adjective); action (noun)) + -ly(adverb of manner / adjective (like))",quint-(năm) + essence(bản chất) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
establishment,noun,[establish]-ment,"an organization, a large institution or a hotel",establish(thành lập) + -ment(kết quả/hành động/trạng thái (danh từ))
reestablish,verb,re-[establish],"bring back into original existence, use, function, or position","re-(lại, làm lại) + establish(thành lập)"
disestablish,verb,dis-[establish],deprive (an established church) of its status,"dis-(không, ngược lại, tách rời) + establish(thành lập)"
disestablishment,noun,dis-[establish]-ment,the act terminating an established state of affairs,"dis-(không, ngược lại, tách rời) + establish(thành lập) + -ment(kết quả/hành động/trạng thái (danh từ))"
eternally,adverb,[eternal]-ly,for a limitless time,eternal(vĩnh cửu) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
ethical,adjective,[ethic]-al,connected with beliefs and principles about what is right and wrong,ethic(đạo đức) + -al(thuộc về (tính từ); hành động (danh từ))
ethicist,noun,[ethic]-ist,a philosopher who specializes in ethics,ethic(đạo đức) + -ist(người theo/thực hành (danh từ))
ethically,adverb,[ethic]-al-ly,in an ethical manner,ethic(đạo đức) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
evenly,adverb,[even]-ly,in a level and regular way,"even(thậm chí, đều) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
evenness,noun,[even]-ness,the quality of being balanced,"even(thậm chí, đều) + -ness(trạng thái, tính chất (danh từ))"
uneven,adjective,un-[even],lacking consistency,"un-(không, ngược lại (phủ định/đảo nghĩa)) + even(thậm chí, đều)"
unevenly,adverb,un-[even]-ly,in an uneven and irregular way,"un-(không, ngược lại (phủ định/đảo nghĩa)) + even(thậm chí, đều) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
unevenness,noun,un-[even]-ness,the quality of being unbalanced,"un-(không, ngược lại (phủ định/đảo nghĩa)) + even(thậm chí, đều) + -ness(trạng thái, tính chất (danh từ))"
eventful,adjective,[event]-ful,full of events or incidents,"event(sự kiện) + -ful(đầy, có nhiều (tính từ))"
eventual,adjective,[event]-al,expected to follow in the indefinite future from causes already operating,event(sự kiện) + -al(thuộc về (tính từ); hành động (danh từ))
eventuate,verb,[event]-ate,come out in the end,event(sự kiện) + -ate(làm cho/trở thành (động từ); có (tính từ))
eventfully,adverb,[event]-ful-ly,"event(a thing that happens, especially something important) + -ful(full of (adjective)) + -ly(adverb of manner / adjective (like))","event(sự kiện) + -ful(đầy, có nhiều (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
eventuality,noun,[event]-al-ity,a possible event or occurrence or result,"event(sự kiện) + -al(thuộc về (tính từ); hành động (danh từ)) + -ity(trạng thái, tính chất (danh từ))"
uneventful,adjective,un-[event]-ful,marked by no noteworthy or significant events,"un-(không, ngược lại (phủ định/đảo nghĩa)) + event(sự kiện) + -ful(đầy, có nhiều (tính từ))"
uneventfully,adverb,un-[event]-ful-ly,in an uneventful manner,"un-(không, ngược lại (phủ định/đảo nghĩa)) + event(sự kiện) + -ful(đầy, có nhiều (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
forever,adverb,fore-[ever],used to say that a particular situation or state will always exist,"fore-(trước, phía trước) + ever(từng, mãi mãi)"
evidential,adjective,[evidence]-al,serving as or based on evidence,evidence(bằng chứng) + -al(thuộc về (tính từ); hành động (danh từ))
evidently,adverb,[evident]-ly,unmistakably (`plain' is often used informally for `plainly'),evident(rõ ràng) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
evilly,adverb,[evil]-y,in a wicked evil manner,evil(tà ác) + -y(có tính chất; danh từ/tính từ)
evocation,noun,[evoke]-ion,imaginative re-creation,"evoke(gợi lên) + -ion(hành động, quá trình, trạng thái (danh từ))"
evocative,adjective,[evoke]-ate-ive,serving to bring to mind,"evoke(gợi lên) + -ate(làm cho/trở thành (động từ); có (tính từ)) + -ive(có xu hướng, có tính chất (tính từ))"
exactly,adverb,[exact]-ly,used to emphasize that something is correct in every way or in every detail,exact(chính xác) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
exaction,noun,[exact]-ion,act of demanding or levying by force or authority,"exact(chính xác) + -ion(hành động, quá trình, trạng thái (danh từ))"
exactness,noun,[exact]-ness,the quality of being exact,"exact(chính xác) + -ness(trạng thái, tính chất (danh từ))"
exactitude,noun,[exact]-itude,the quality of being exact,"exact(chính xác) + -itude(trạng thái, tính chất (danh từ))"
inexact,adjective,im-[exact],not exact,im-(không (biến thể của in- trước b/m/p)) + exact(chính xác)
inexactness,noun,im-[exact]-ness,the quality of being inaccurate and having errors,"im-(không (biến thể của in- trước b/m/p)) + exact(chính xác) + -ness(trạng thái, tính chất (danh từ))"
