word,structure,frequency
diver,[dive]-er,3
drawer,[draw]-er,3
electrode,[electr]-ode,3
elevation,[elevate]-ion,3
enlarge,en-[large],3
enlist,en-[list],3
escalation,[escalate]-ion,3
establishment,[establish]-ment,3
expertly,[expert]-ly,3
fasten,[fast]-en,3
fatherhood,[father]-hood,3
filler,[fill]-er,3
firmness,[firm]-ness,3
folder,[fold]-er,3
foreseeable,fore-[see]-able,3
fossilize,[fossil]-ize,3
fourth,[four]-th,3
fruitful,[fruit]-ful,3
gentleness,[gentle]-ness,3
holder,[hold]-er,3
humanoid,[human]-oid,3
impair,im-[pair],3
impairment,im-[pair]-ment,3
impart,im-[part],3
impatient,im-[patient],3
indefinite,in-[define]-ite,3
indication,[indicate]-ion,3
indistinguishable,in-[distinguish]-able,3
inefficiency,in-[efficiency],3
inefficient,in-[efficient],3
insecure,in-[secure],3
instrumental,[instrument]-al,3
intensely,[intense]-ly,3
interface,inter-[face],3
interpretive,[interpret]-ive,3
interviewer,[interview]-er,3
invalid,in-[valid],3
laborious,[labor]-ious,3
lastly,[last]-ly,3
leaflet,[leaf]-let,3
lighten,[light]-en,3
malfunction,mal-[function],3
manipulation,[manipulate]-ion,3
marginal,[margin]-al,3
metric,[metre]-ic,3
midwest,mid-[west],3
mistranslate,mis-[translate],3
mountaineer,[mountain]-eer,3
multiplayer,multi-[play]-er,3
narrowly,[narrow]-ly,3
neatly,[neat]-ly,3
nightly,[night]-ly,3
obligate,[oblige]-ate,3
oddity,[odd]-ity,3
offline,off-[line],3
onset,on-[set],3
outstrip,out-[strip],3
outwardly,out-[ward]-ly,3
overrun,over-[run],3
passer,[pass]-er,3
planter,[plant]-er,3
politics,[polite]-ics,3
ponder,[pond]-er,3
preferable,[prefer]-able,3
premature,pre-[mate]-ure,3
priceless,[price]-less,3
programmer,[program]-er,3
prolific,pro-[life]-ic,3
purchaser,[purchase]-er,3
purposeful,[purpose]-ful,3
randomly,[random]-ly,3
recharge,re-[charge],3
recite,re-[cite],3
recount,re-[count],3
recreation,re-[create]-ion,3
recruitment,[recruit]-ment,3
redraw,re-[draw],3
referral,[refer]-al,3
refresh,re-[fresh],3
refund,re-[fund],3
remedial,[remedy]-al,3
repeatable,[repeat]-able,3
replaceable,re-[place]-able,3
resell,re-[sell],3
restrictive,re-[strict]-ive,3
retool,re-[tool],3
revisit,re-[visit],3
rewire,re-[wire],3
richard,[rich]-ard,3
richly,[rich]-ly,3
secretly,[secret]-ly,3
secularism,[secular]-ism,3
securely,[secure]-ly,3
seizure,[seize]-ure,3
selfish,[self]-ish,3
severity,[severe]-ity,3
sleepless,[sleep]-less,3
solidity,[solid]-ity,3
starter,[start]-er,3
stiffness,[stiff]-ness,3
stillness,[still]-ness,3
striker,[strike]-er,3
submerge,sub-[merge],3
submissive,sub-[miss]-ive,3
succession,[success]-ion,3
supernatural,super-[nature]-al,3
suspension,sus-[pension],3
suspicion,su-[spice]-ion,3
tabloid,[table]-oid,3
taker,[take]-er,3
texture,[text]-ure,3
tidiness,[tidy]-ness,3
trainee,[train]-ee,3
treatable,[treat]-able,3
turner,[turn]-er,3
uncommon,un-[common],3
undergraduate,under-[graduate],3
underpin,under-[pin],3
unease,un-[ease],3
uneven,un-[even],3
universe,uni-[verse],3
unlock,un-[lock],3
unremarkable,un-[remark]-able,3
unrepeatable,un-[repeat]-able,3
unsettle,un-[settle],3
unsuccessful,un-[success]-ful,3
unteach,un-[teach],3
unusable,un-[use]-able,3
unusually,un-[usual]-ly,3
unwell,un-[well],3
updraft,up-[draft],3
virtually,[virtue]-ally,3
walker,[walk]-er,3
washable,[wash]-able,3
waver,[wave]-er,3
wireless,[wire]-less,3
workable,[work]-able,3
worldly,[world]-ly,3
abalone,ab-[alone],2
abandonment,[abandon]-ment,2
abnormal,ab-[norm]-al,2
acidic,[acid]-ic,2
admirable,[admire]-able,2
attainment,[attain]-ment,2
backfire,back-[fire],2
backwater,back-[water],2
barium,[bar]-ium,2
becalm,be-[calm],2
bespeak,be-[speak],2
blindfold,[blind]-fold,2
boiler,[boil]-er,2
bowler,[bowl]-er,2
brighten,[bright]-en,2
brightly,[bright]-ly,2
burdensome,[burden]-some,2
burial,[bury]-al,2
campaigner,[campaign]-er,2
campus,[camp]-us,2
centrally,[centre]-ally,2
cheaply,[cheap]-ly,2
cheerful,[cheer]-ful,2
chiefly,[chief]-ly,2
clinician,[clinic]-ian,2
comet,[come]-et,2
comparable,[compare]-able,2
conditional,[condition]-al,2
confusion,[confuse]-ion,2
congratulation,[congratulate]-ion,2
continual,[continue]-al,2
continuity,[continue]-ity,2
controllable,[control]-able,2
controller,[control]-er,2
culturally,[culture]-ally,2
curiously,[curious]-ly,2
custodial,[custody]-al,2
cyclic,[cycle]-ic,2
decease,de-[cease],2
definite,[define]-ite,2
descriptor,de-[script]-or,2
desperation,[desperate]-ion,2
despotic,de-[spot]-ic,2
detectable,[detect]-able,2
determinate,[determine]-ate,2
detriment,de-[try]-ment,2
digitize,[dig]-itize,2
disarray,dis-[array],2
disband,dis-[band],2
disconnection,dis-[connect]-ion,2
displeasure,dis-[please]-ure,2
disrespect,dis-[respect],2
disrespectful,dis-[respect]-ful,2
distributor,dis-[tribute]-or,2
diversion,[diverse]-ion,2
downright,down-[right],2
downtime,down-[time],2
droplet,[drop]-let,2
dysfunction,dys-[function],2
eater,[eat]-er,2
elsie,[else]-ie,2
embarrassment,[embarrass]-ment,2
encase,en-[case],2
enclose,en-[close],2
enclosure,en-[close]-ure,2
engross,en-[gross],2
enlistment,en-[list]-ment,2
entrust,en-[trust],2
evidently,[evident]-ly,2
exclaim,ex-[claim],2
exertion,[exert]-ion,2
fabricate,[fabric]-ate,2
facade,[face]-ade,2
faction,[fact]-ion,2
fatten,[fat]-en,2
fighter,[fight]-er,2
fixate,[fix]-ate,2
foreground,fore-[ground],2
foreman,fore-[man],2
fortunate,[fortune]-ate,2
fourteen,[four]-teen,2
fragility,[fragile]-ity,2
freshly,[fresh]-ly,2
freshness,[fresh]-ness,2
gazette,[gaze]-ette,2
goddess,[god]-ess,2
grower,[grow]-er,2
halftime,half-[time],2
hardly,[hard]-ly,2
herbivore,[herb]-ivore,2
hospitality,[hospital]-ity,2
imaginable,[imagine]-able,2
immensely,[immense]-ly,2
impetus,im-[pet]-us,2
impurity,im-[pure]-ity,2
inaction,in-[act]-ion,2
inborn,in-[born],2
inbox,in-[box],2
incapable,in-[cap]-able,2
inconsiderate,in-[consider]-ate,2
indoor,in-[door],2
inescapable,in-[escape]-able,2
inexpensive,in-[expense]-ive,2
inflow,in-[flow],2
informally,[inform]-ally,2
ingenious,in-[gen]-ious,2
insider,in-[side]-er,2
insidious,in-[side]-ious,2
insincere,in-[sincere],2
intent,in-[tent],2
interconnection,inter-[connect]-ion,2
interweave,inter-[weave],2
issuance,[issue]-ance,2
keenly,[keen]-ly,2
kingdom,[king]-dom,2
lawful,[law]-ful,2
lawless,[law]-less,2
legality,[legal]-ity,2
lengthen,[length]-en,2
lessen,[less]-en,2
locker,[lock]-er,2
loser,[lose]-er,2
loudness,[loud]-ness,2
lovable,[love]-able,2
malice,[male]-ice,2
midpoint,mid-[point],2
misfortune,mis-[fortune],2
mismanage,mis-[man]-age,2
misprint,mis-[print],2
mixer,[mix]-er,2
modestly,[modest]-ly,2
monumental,[monument]-al,2
motherhood,[mother]-hood,2
motorize,[motor]-ize,2
offshore,off-[shore],2
outage,[out]-age,2
outfit,out-[fit],2
outgrow,out-[grow],2
outrageous,out-[rage]-ous,2
outrun,out-[run],2
overgrow,over-[grow],2
overlap,over-[lap],2
overlie,over-[lie],2
overstate,over-[state],2
overstuff,over-[stuff],2
passionate,[passion]-ate,2
peacock,[peace]-ock,2
periodic,[period]-ic,2
plainly,[plain]-ly,2
poisoner,[poison]-er,2
pollard,[poll]-ard,2
postgraduate,post-[graduate],2
postwar,post-[war],2
predate,pre-[date],2
prematurely,pre-[mature]-ly,2
preventable,[prevent]-able,2
primal,[prim]-al,2
proactive,pro-[act]-ive,2
procreation,pro-[create]-ion,2
proudly,[proud]-ly,2
publisher,[publish]-er,2
purist,[pure]-ist,2
purity,[pure]-ity,2
quadratic,quad-[rat]-ic,2
qualifier,[qualify]-er,2
questionnaire,[question]-aire,2
ration,[rate]-ion,2
rebirth,re-[birth],2
reclaim,re-[claim],2
reconnect,re-[connect],2
reddish,[red]-ish,2
rediscover,re-[discover],2
relegate,re-[leg]-ate,2
rematch,re-[match],2
reminder,re-[mind]-er,2
remission,re-[miss]-ion,2
remodel,re-[model],2
remortgage,re-[mortgage],2
removable,re-[move]-able,2
renewal,re-[new]-al,2
repairable,re-[pair]-able,2
repulsion,re-[pulse]-ion,2
resourceful,[resource]-ful,2
respectable,[respect]-able,2
respectful,[respect]-ful,2
responsive,[response]-ive,2
restart,re-[start],2
restless,[rest]-less,2
resurface,re-[surface],2
retention,re-[tent]-ion,2
reversal,re-[verse]-al,2
rhetorical,[rhetoric]-al,2
robber,[rob]-er,2
sameness,[same]-ness,2
seeker,[seek]-er,2
selector,[select]-or,2
seventeen,[seven]-teen,2
sharpness,[sharp]-ness,2
sicken,[sick]-en,2
sincerity,[sincere]-ity,2
sizable,[size]-able,2
skyward,[sky]-ward,2
softly,[soft]-ly,2
softness,[soft]-ness,2
solitude,[sole]-itude,2
soundness,[sound]-ness,2
steadiness,[steady]-ness,2
steeply,[steep]-ly,2
steepness,[steep]-ness,2
stylish,[style]-ish,2
subtitle,sub-[title],2
superbly,[superb]-ly,2
superiority,[superior]-ity,2
sussex,sus-[sex],2
symbolism,[symbol]-ism,2
syntax,syn-[tax],2
tenet,[ten]-et,2
tenth,[ten]-th,2
testable,[test]-able,2
tester,[test]-er,2
textile,[text]-ile,2
thoroughness,[thorough]-ness,2
thoughtless,[thought]-less,2
throughput,through-[put],2
toughness,[tough]-ness,2
translator,[translate]-or,2
transporter,trans-[port]-er,2
unbearable,un-[bear]-able,2
unclean,un-[clean],2
unconsciously,un-[conscious]-ly,2
uncontrollable,un-[control]-able,2
underdevelop,under-[develop],2
underfoot,under-[foot],2
undesirable,un-[desire]-able,2
unearthly,un-[earth]-ly,2
unethical,un-[ethic]-al,2
unfortunate,un-[fortune]-ate,2
unfriendly,un-[friend]-ly,2
uniqueness,[unique]-ness,2
unjust,un-[just],2
unlearn,un-[learn],2
unmask,un-[mask],2
unnatural,un-[nature]-al,2
unnaturally,un-[nature]-ally,2
unnerve,un-[nerve],2
unplug,un-[plug],2
unready,un-[ready],2
unreal,un-[real],2
unrest,un-[rest],2
unstop,un-[stop],2
untidiness,un-[tidy]-ness,2
untruth,un-[truth],2
unwise,un-[wise],2
upfront,up-[front],2
upside,up-[side],2
upsurge,up-[surge],2
vastly,[vast]-ly,2
watchful,[watch]-ful,2
wetness,[wet]-ness,2
windward,[wind]-ward,2
wrongful,[wrong]-ful,2
abusive,[abuse]-ive,1
adoption,[adopt]-ion,1
advisable,[advise]-able,1
adviser,[advise]-er,1
advisor,[advise]-or,1
advisory,[advise]-ory,1
aimless,[aim]-less,1
alertness,[alert]-ness,1
allegiance,[allege]-iance,1
answerable,[answer]-able,1
antibody,anti-[body],1
approachable,[approach]-able,1
athletic,[athlete]-ic,1
attendant,[attend]-ant,1
authorize,[author]-ize,1
automotive,auto-[motive],1
backer,[back]-er,1
bandage,[band]-age,1
betterment,[better]-ment,1
bitterness,[bitter]-ness,1
blender,[blend]-er,1
blindly,[blind]-ly,1
boastful,[boast]-ful,1
boldly,[bold]-ly,1
boldness,[bold]-ness,1
booster,[boost]-er,1
busily,[busy]-ly,1
bystander,by-[stand]-er,1
callous,[call]-ous,1
camper,[camp]-er,1
canteen,[can]-teen,1
casually,[casual]-ly,1
catcher,[catch]-er,1
causal,[cause]-al,1
ceaseless,[cease]-less,1
cellar,[cell]-ar,1
cellist,[cell]-ist,1
charger,[charge]-er,1
cheapness,[cheap]-ness,1
cleaner,[clean]-er,1
cleverly,[clever]-ly,1
climatic,[climate]-ic,1
cloudless,[cloud]-less,1
coldness,[cold]-ness,1
combative,[combat]-ive,1
commencement,[commence]-ment,1
compassionate,[compassion]-ate,1
compliance,[comply]-ance,1
compliment,[comply]-ment,1
conveyer,[convey]-er,1
cooker,[cook]-er,1
correctable,[correct]-able,1
correctness,[correct]-ness,1
countable,[count]-able,1
cruellest,[cruel]-est,1
cupful,[cup]-ful,1
curable,[cure]-able,1
dancer,[dance]-er,1
dealer,[deal]-er,1
debase,de-[base],1
debug,de-[bug],1
defiance,[defy]-ance,1
denial,[deny]-al,1
density,[dense]-ity,1
depositor,[deposit]-or,1
derail,de-[rail],1
detention,de-[tent]-ion,1
detonate,de-[tone]-ate,1
disable,dis-[able],1
disadvantageous,dis-[advantage]-ous,1
disapprove,dis-[approve],1
disclose,dis-[close],1
discontinue,dis-[continue],1
discouragement,dis-[courage]-ment,1
disengagement,dis-[engage]-ment,1
disgrace,dis-[grace],1
disgraceful,dis-[grace]-ful,1
displacement,dis-[place]-ment,1
dispose,dis-[pose],1
distinctly,[distinct]-ly,1
distinguishable,[distinguish]-able,1
distrustful,dis-[trust]-ful,1
doubtful,[doubt]-ful,1
downhill,down-[hill],1
dryness,[dry]-ness,1
dullness,[dull]-ness,1
dysfunctional,dys-[function]-al,1
eagerly,[eager]-ly,1
earnest,[earn]-est,1
edition,[edit]-ion,1
enactment,en-[act]-ment,1
encircle,en-[circle],1
endorsement,[endorse]-ment,1
enlargement,en-[large]-ment,1
entail,en-[tail],1
ethically,[ethic]-ally,1
everest,[ever]-est,1
exactness,[exact]-ness,1
exaggeration,[exaggerate]-ion,1
examiner,[examine]-er,1
execution,[execute]-ion,1
expandable,[expand]-able,1
expiration,ex-[pirate]-ion,1
explicitly,[explicit]-ly,1
exporter,ex-[port]-er,1
familial,[family]-al,1
flatter,[flat]-er,1
fondly,[fond]-ly,1
forebear,fore-[bee]-ar,1
foreclose,fore-[close],1
forefinger,fore-[finger],1
foresight,fore-[sight],1
formality,[formal]-ity,1
fullness,[full]-ness,1
gladly,[glad]-ly,1
gutter,[gut]-er,1
harshness,[harsh]-ness,1
healthful,[health]-ful,1
heartless,[heart]-less,1
helper,[help]-er,1
heroic,[hero]-ic,1
homely,[home]-ly,1
homeward,[home]-ward,1
hopeless,[hope]-less,1
hourly,[hour]-ly,1
humanly,[human]-ly,1
idealize,[ideal]-ize,1
ignorant,[ignore]-ant,1
immature,im-[mate]-ure,1
immeasurable,im-[measure]-able,1
immoral,im-[more]-al,1
immorally,im-[more]-ally,1
impersonal,im-[person]-al,1
impolite,im-[pole]-ite,1
imprison,im-[prison],1
improper,im-[proper],1
impure,im-[pure],1
inadvisable,in-[advise]-able,1
inbound,in-[bound],1
incomparable,in-[compare]-able,1
inexperience,in-[experience],1
infinity,in-[fine]-ity,1
infrared,infra-[red],1
infrequent,in-[frequent],1
ingrain,in-[grain],1
injustice,in-[just]-ice,1
insignia,in-[sign]-ia,1
instill,in-[still],1
interchange,inter-[change],1
interrelate,inter-[relate],1
invader,[invade]-er,1
invulnerable,in-[vulnerable],1
inwardly,in-[ward]-ly,1
joyful,[joy]-ful,1
joyless,[joy]-less,1
jumper,[jump]-er,1
lately,[late]-ly,1
leakage,[leak]-age,1
likeness,[like]-ness,1
limitless,[limit]-less,1
linen,[line]-en,1
loosely,[loose]-ly,1
lowly,[low]-ly,1
lyricist,[lyric]-ist,1
majorly,[major]-ly,1
manipulative,[manipulate]-ive,1
manipulator,[manipulate]-or,1
marginally,[margin]-ally,1
masterful,[master]-ful,1
medicinal,[medicine]-al,1
merciless,[mercy]-less,1
microscopic,micro-[scope]-ic,1
midway,mid-[way],1
millisecond,milli-[second],1
minnow,min-[now],1
misbehave,mis-[behave],1
misfire,mis-[fire],1
misguide,mis-[guide],1
misjudge,mis-[judge],1
misplace,mis-[place],1
mistreat,mis-[treat],1
mobility,[mobile]-ity,1
modernize,[modern]-ize,1
monotonous,mono-[ton]-ous,1
motionless,[motion]-less,1
mouthful,[mouth]-ful,1
murderer,[murder]-er,1
nicely,[nice]-ly,1
nonprofit,non-[profit],1
nonstop,non-[stop],1
obsession,[obsess]-ion,1
offside,off-[side],1
olden,[old]-en,1
onlooker,on-[look]-er,1
outlaw,out-[law],1
outplay,out-[play],1
outrank,out-[rank],1
outskirt,out-[skirt],1
overboard,over-[board],1
overhear,over-[hear],1
overstock,over-[stock],1
overwrite,over-[write],1
pager,[page]-er,1
parallelism,[parallel]-ism,1
passivity,[passive]-ity,1
pensioner,[pension]-er,1
picker,[pick]-er,1
pointer,[point]-er,1
polar,[pole]-ar,1
postal,[post]-al,1
predatory,pre-[date]-ory,1
prefabricate,pre-[fabric]-ate,1
prepay,pre-[pay],1
preschooler,pre-[school]-er,1
presentable,[present]-able,1
printer,[print]-er,1
probable,[prob]-able,1
procure,pro-[cure],1
promptly,[prompt]-ly,1
propagate,pro-[page]-ate,1
propulsion,pro-[pulse]-ion,1
purify,[pure]-ify,1
quintessence,quint-[essence],1
rarity,[rare]-ity,1
rationality,[rational]-ity,1
reactive,re-[act]-ive,1
recurrent,re-[current],1
redirection,re-[direct]-ion,1
reestablish,re-[establish],1
regretful,[regret]-ful,1
reinterpret,re-[interpret],1
relearn,re-[learn],1
reluctantly,[reluctant]-ly,1
reopen,re-[open],1
reorganize,re-[organ]-ize,1
reprint,re-[print],1
reputable,re-[put]-able,1
rerun,re-[run],1
restorer,[restore]-er,1
resupply,re-[supply],1
retrievable,[retrieve]-able,1
retrieval,[retrieve]-al,1
roomful,[room]-ful,1
rudeness,[rude]-ness,1
saleable,[sale]-able,1
saver,[save]-er,1
scenic,[scene]-ic,1
scorer,[score]-er,1
shameful,[shame]-ful,1
shapeless,[shape]-less,1
shyness,[shy]-ness,1
sitter,[sit]-er,1
slowness,[slow]-ness,1
smallness,[small]-ness,1
soonest,[soon]-est,1
soundly,[sound]-ly,1
spaceship,[space]-ship,1
spinal,[spin]-al,1
spoilage,[spoil]-age,1
statistically,[statistic]-ally,1
sticker,[stick]-er,1
straighten,[straight]-en,1
subgroup,sub-[group],1
subside,sub-[side],1
subsidize,sub-[side]-ize,1
subway,sub-[way],1
supercomputer,super-[compute]-er,1
superfluous,super-[flu]-ous,1
supremely,[supreme]-ly,1
suspend,su-[spend],1
sweetness,[sweet]-ness,1
teachable,[teach]-able,1
tenderness,[tender]-ness,1
thickness,[thick]-ness,1
timeless,[time]-less,1
tireless,[tire]-less,1
toughen,[tough]-en,1
traceable,[trace]-able,1
transmitter,[transmit]-er,1
tremendously,[tremendous]-ly,1
unaccountable,un-[account]-able,1
unbalance,un-[balance],1
unbeatable,un-[beat]-able,1
uncountable,un-[count]-able,1
uncut,un-[cut],1
underline,under-[line],1
underrate,[under]-ate,1
undersea,under-[sea],1
undue,un-[due],1
unhelpful,un-[help]-ful,1
unhook,un-[hook],1
uniformly,uni-[form]-ly,1
unkind,un-[kind],1
unreadable,un-[read]-able,1
unsteadily,un-[steady]-ly,1
untidy,un-[tidy],1
untie,un-[tie],1
untrue,un-[true],1
unwind,un-[wind],1
uphold,up-[hold],1
vagueness,[vague]-ness,1
validate,[valid]-ate,1
validity,[valid]-ity,1
vertically,[vertical]-ly,1
virtuous,[virtue]-ous,1
vitality,[vital]-ity,1
vitally,[vital]-ly,1
warren,[war]-en,1
weakly,[weak]-ly,1
wrapper,[wrap]-er,1
