thanh_phan,trang_thai,so_lan_xuat_hien,meaning_en,meaning_vi,vi_du_tu,nguon
muscul,Mới - chưa có ảnh,1,"muscle, little mouse (Latin musculus)",cơ bắp (La Tinh),muscular,missing_words_analyzed
naissance,Mới - chưa có ảnh,1,to be born (Latin nasci),"sinh ra, ra đời (La Tinh)",renaissance,missing_words_analyzed
naut,Mới - chưa có ảnh,1,"sailor, ship (Greek nautes)","thủy thủ, tàu thuyền (Hy Lạp)",aeronautics,missing_words_analyzed
navig,Mới - chưa có ảnh,1,to sail a ship (Latin navigare),"chèo thuyền, đi biển (La Tinh)",navigable,missing_words_analyzed
negoti,Mới - chưa có ảnh,2,"business, trade (Latin negotium)","kinh doanh, thương lượng (La Tinh)","negotiable, negotiator",missing_words_analyzed
neur,Mới - chưa có ảnh,1,"nerve, sinew (Greek neuron)",dây thần kinh (Hy Lạp),neural,missing_words_analyzed
nigr,Mới - chưa có ảnh,1,black (Latin niger),"màu đen, bôi nhọ (La Tinh)",denigration,missing_words_analyzed
noc,Mới - chưa có ảnh,2,to harm (Latin nocere),gây hại (La Tinh),"innocence, innocent",missing_words_analyzed
nom,Mới - chưa có ảnh,2,"law, custom, rule (Greek nomos)","luật lệ, quy tắc (Hy Lạp)","autonomous, autonomy",missing_words_analyzed
nown,Mới - chưa có ảnh,1,name (Latin nomen),"danh tiếng, tên tuổi (La Tinh)",renowned,missing_words_analyzed
numer,Mới - chưa có ảnh,2,number (Latin numerus),số lượng (La Tinh),"numerical, numerous",missing_words_analyzed
nunci,Mới - chưa có ảnh,1,"to announce, declare (Latin nuntiare)","loan báo, tuyên bố (La Tinh)",pronunciation,missing_words_analyzed
nutri,Mới - chưa có ảnh,2,to nourish (Latin nutrire),nuôi dưỡng (La Tinh),"malnutrition, nutrition",missing_words_analyzed
obsolesc,Mới - chưa có ảnh,1,"to grow old, fall into disuse (Latin obsolescere)","lỗi thời, cũ đi (La Tinh)",obsolescence,missing_words_analyzed
occup,Mới - chưa có ảnh,1,"to seize, take hold of (Latin occupare)",chiếm giữ (La Tinh),occupation,missing_words_analyzed
ocul,Mới - chưa có ảnh,1,"eye, bud (Latin oculus)","mắt, mầm (La Tinh)",inoculation,missing_words_analyzed
offici,Mới - chưa có ảnh,1,"duty, service, office (Latin officium)","chức vụ, nhiệm vụ (La Tinh)",officiate,missing_words_analyzed
olesc,Mới - chưa có ảnh,1,to grow up (Latin olescere),"lớn lên, trưởng thành (La Tinh)",adolescent,missing_words_analyzed
oner,Mới - chưa có ảnh,1,"burden, load (Latin onus, oneris)",gánh nặng (La Tinh),onerous,missing_words_analyzed
onym,Mới - chưa có ảnh,2,name (Greek onyma),tên (Hy Lạp),"anonymity, anonymous",missing_words_analyzed
opi,Mới - chưa có ảnh,1,poppy juice (Greek opion),nhựa cây thuốc phiện (Hy Lạp),opiate,missing_words_analyzed
optim,Mới - chưa có ảnh,2,best (Latin optimus),tốt nhất (La Tinh),"optimal, optimism",missing_words_analyzed
ordin,Mới - chưa có ảnh,2,"order, rank (Latin ordo, ordinis)","thứ tự, trật tự (La Tinh)","inordinate, subordinate",missing_words_analyzed
ordinate,Mới - chưa có ảnh,1,"order, rank (Latin ordo, ordinis)","thứ tự, trật tự (La Tinh)",coordinate,missing_words_analyzed
orn,Mới - chưa có ảnh,1,"to equip, deck out (Latin ornare)","trang trí, tô điểm (La Tinh)",adorn,missing_words_analyzed
oscill,Mới - chưa có ảnh,1,to swing (Latin oscillare),"đung đưa, dao động (La Tinh)",oscillation,missing_words_analyzed
otic,Mới - chưa có ảnh,1,"outside, foreign (Greek exo)","bên ngoài, ngoại lai (Hy Lạp)",exotic,missing_words_analyzed
pag,Mới - chưa có ảnh,1,"to fasten, fix (Latin pangere)","gắn chặt, nhân giống (La Tinh)",propagation,missing_words_analyzed
pathet,Mới - chưa có ảnh,1,"feeling, suffering (Greek pathos)","cảm xúc, đau khổ (Hy Lạp)",unsympathetic,missing_words_analyzed
pati,Mới - chưa có ảnh,1,"to suffer, feel (Latin pati)","chịu đựng, cảm nhận (La Tinh)",compatibility,missing_words_analyzed
patri,Mới - chưa có ảnh,2,"father, native land (Latin pater, patria)","cha, quê hương (La Tinh)","repatriate, repatriation",missing_words_analyzed
ped,Mới - chưa có ảnh,1,"foot (Latin pes, pedis)",chân (La Tinh),pedestrian,missing_words_analyzed
pede,Mới - chưa có ảnh,2,"foot (Latin pes, pedis)","chân, cản trở (La Tinh)","impede, impediment",missing_words_analyzed
pel,Mới - chưa có ảnh,5,"to drive, push (Latin pellere)","đẩy, thúc đẩy (La Tinh)","expel, propel, repel, repellant, repellent",missing_words_analyzed
pense,Mới - chưa có ảnh,1,"to weigh, pay, spend (Latin pensare)","cân, chi trả (La Tinh)",dispense,missing_words_analyzed
perman,Mới - chưa có ảnh,1,to remain (Latin permanere),"tồn tại lâu dài, ở lại (La Tinh)",permanence,missing_words_analyzed
pessim,Mới - chưa có ảnh,1,worst (Latin pessimus),tệ nhất (La Tinh),pessimism,missing_words_analyzed
phas,Mới - chưa có ảnh,1,speech (Greek phasis),lời nói (Hy Lạp),aphasic,missing_words_analyzed
phosph,Mới - chưa có ảnh,1,light-bearing (Greek phos + phoros),mang ánh sáng (Hy Lạp),phosphate,missing_words_analyzed
pix,Mới - chưa có ảnh,1,"picture (English, from pictura)",hình ảnh (Anh),pixel,missing_words_analyzed
plac,Mới - chưa có ảnh,1,to please (Latin placere),làm hài lòng (La Tinh),complacency,missing_words_analyzed
plagiary,Mới - chưa có ảnh,1,"kidnapper, plunderer (Latin plagiarius)","kẻ bắt cóc, đạo văn (La Tinh)",plagiarism,missing_words_analyzed
plat,Mới - chưa có ảnh,1,"a map or plan showing the layout and boundaries of a piece of land, especially for development",bản đồ/sơ đồ lô đất,plat,missing_words_analyzed
plaud,Mới - chưa có ảnh,1,"to clap, strike (Latin plaudere)",vỗ tay (La Tinh),applaud,missing_words_analyzed
plause,Mới - chưa có ảnh,1,"to clap, strike (Latin plaudere)",vỗ tay (La Tinh),applause,missing_words_analyzed
ple,Mới - chưa có ảnh,2,to fill (Latin plere),làm đầy (La Tinh),"complement, complementary",missing_words_analyzed
plen,Mới - chưa có ảnh,1,full (Latin plenus),đầy (La Tinh),replenish,missing_words_analyzed
plete,Mới - chưa có ảnh,1,to fill (Latin plere),"làm đầy, làm cạn (La Tinh)",deplete,missing_words_analyzed
pli,Mới - chưa có ảnh,1,to fold (Latin plicare),"gấp, nhân lên (La Tinh)",multiplier,missing_words_analyzed
plic,Mới - chưa có ảnh,1,to fold (Latin plicare),gấp lại (La Tinh),duplicate,missing_words_analyzed
plicate,Mới - chưa có ảnh,1,to fold (Latin plicare),"gấp lại, sao chép (La Tinh)",replicate,missing_words_analyzed
plode,Mới - chưa có ảnh,1,"to clap, drive off by clapping (Latin plaudere/plodere)","vỗ tay, đuổi đi, nổ (La Tinh)",explode,missing_words_analyzed
plos,Mới - chưa có ảnh,2,"to clap, burst (Latin plaudere/plosus)","vỗ tay, phát nổ (La Tinh)","explosion, explosive",missing_words_analyzed
polis,Mới - chưa có ảnh,1,city (Greek polis),thành phố (Hy Lạp),metropolis,missing_words_analyzed
pollut,Mới - chưa có ảnh,1,"to soil, defile (Latin polluere)","làm bẩn, ô nhiễm (La Tinh)",pollutant,missing_words_analyzed
pon,Mới - chưa có ảnh,2,"to put, place (Latin ponere)","đặt, để (La Tinh)","component, proponent",missing_words_analyzed
ponent,Mới - chưa có ảnh,1,"to put, place (Latin ponere)","đặt, để (La Tinh)",opponent,missing_words_analyzed
popul,Mới - chưa có ảnh,1,people (Latin populus),người dân (La Tinh),populist,missing_words_analyzed
por,Mới - chưa có ảnh,1,"passage, pore (Greek poros)","lỗ nhỏ, đường đi (Hy Lạp)",porous,missing_words_analyzed
pos,Mới - chưa có ảnh,2,"to put, place (Latin ponere)","đặt, để (La Tinh)","composer, composure",missing_words_analyzed
poverish,Mới - chưa có ảnh,1,poor (Latin pauper),nghèo (La Tinh),impoverishment,missing_words_analyzed
practi,Mới - chưa có ảnh,1,"to do, practice (Greek prattein)","làm, thực hành (Hy Lạp)",practitioner,missing_words_analyzed
practic,Mới - chưa có ảnh,1,"to do, practice (Greek prattein)","làm, thực hành (Hy Lạp)",practically,missing_words_analyzed
preci,Mới - chưa có ảnh,1,"price, value (Latin pretium)",giá trị (La Tinh),appreciable,missing_words_analyzed
pregnan,Mới - chưa có ảnh,1,before birth (Latin praegnans),mang thai (La Tinh),pregnancy,missing_words_analyzed
prehen,Mới - chưa có ảnh,1,"to seize, grasp (Latin prehendere)","nắm bắt, hiểu (La Tinh)",comprehension,missing_words_analyzed
prehend,Mới - chưa có ảnh,2,"to seize, grasp (Latin prehendere)","nắm bắt, hiểu (La Tinh)","comprehend, comprehensive",missing_words_analyzed
prestig,Mới - chưa có ảnh,1,"illusion, conjurer's trick (Latin praestigiae)","ảo thuật, uy tín (La Tinh)",prestigious,missing_words_analyzed
pret,Mới - chưa có ảnh,1,"to explain, interpret (Latin interpretari)",giải thích (La Tinh),interpretation,missing_words_analyzed
primit,Mới - chưa có ảnh,1,first (Latin primus),đầu tiên (La Tinh),primitive,missing_words_analyzed
pris,Mới - chưa có ảnh,1,"to seize, take (Latin prehendere via French prise)","nắm bắt, chiếm lấy (La Tinh)",surprisingly,missing_words_analyzed
probabil,Mới - chưa có ảnh,1,"provable, worthy of approval (Latin probabilis)",có thể chứng minh (La Tinh),probability,missing_words_analyzed
produc,Mới - chưa có ảnh,1,"to lead forward, bring forth (Latin producere)","đưa ra, sản xuất (La Tinh)",reproduction,missing_words_analyzed
propri,Mới - chưa có ảnh,2,one's own (Latin proprius),"thuộc riêng, đúng đắn (La Tinh)","appropriate, appropriately",missing_words_analyzed
propriet,Mới - chưa có ảnh,1,one's own (Latin proprius),"thuộc riêng, đúng đắn (La Tinh)",proprietary,missing_words_analyzed
provise,Mới - chưa có ảnh,1,"to foresee, provide (Latin providere)","nhìn trước, cung cấp (La Tinh)",improvise,missing_words_analyzed
proximate,Mới - chưa có ảnh,2,"near, nearest (Latin proximus)","gần, gần nhất (La Tinh)","approximate, approximately",missing_words_analyzed
pter,Mới - chưa có ảnh,1,wing (Greek pteron),cánh (Hy Lạp),helicopter,missing_words_analyzed
puls,Mới - chưa có ảnh,1,"to drive, push (Latin pellere)","thúc đẩy, xô đẩy (La Tinh)",compulsive,missing_words_analyzed
punct,Mới - chưa có ảnh,1,point (Latin punctum),điểm (La Tinh),punctual,missing_words_analyzed
punctu,Mới - chưa có ảnh,1,point (Latin punctum),điểm (La Tinh),punctuation,missing_words_analyzed
pung,Mới - chưa có ảnh,1,"to prick, sting (Latin pungere)","châm, chích (La Tinh)",pungent,missing_words_analyzed
quant,Mới - chưa có ảnh,1,"how much, amount (Latin quantus)","bao nhiêu, số lượng (La Tinh)",quantify,missing_words_analyzed
quanti,Mới - chưa có ảnh,2,"how much, amount (Latin quantus)","bao nhiêu, số lượng (La Tinh)","quantifier, quantitative",missing_words_analyzed
quis,Mới - chưa có ảnh,1,"to seek, ask (Latin quaerere)","tìm kiếm, yêu cầu (La Tinh)",requisite,missing_words_analyzed
quisit,Mới - chưa có ảnh,1,"to seek, ask (Latin quaerere)","tìm kiếm, yêu cầu (La Tinh)",acquisition,missing_words_analyzed
radi,Mới - chưa có ảnh,1,"ray, beam (Latin radius)","tia, chùm sáng (La Tinh)",radiate,missing_words_analyzed
radic,Mới - chưa có ảnh,3,root (Latin radix),"rễ, gốc rễ (La Tinh)","eradication, radical, radically",missing_words_analyzed
rase,Mới - chưa có ảnh,1,"to scrape, scratch out (Latin radere)","cạo, xóa bỏ (La Tinh)",erase,missing_words_analyzed
reck,Mới - chưa có ảnh,2,"to care, take heed (Old English reccan)","quan tâm, để ý (Anglo-Saxon)","reckless, recklessness",missing_words_analyzed
rect,Mới - chưa có ảnh,1,"straight, right (Latin rectus)","thẳng, đúng (La Tinh)",rectify,missing_words_analyzed
reg,Mới - chưa có ảnh,1,"to rule, guide (Latin regere)","cai trị, hướng dẫn (La Tinh)",regent,missing_words_analyzed
regul,Mới - chưa có ảnh,1,rule (Latin regula),quy tắc (La Tinh),irregular,missing_words_analyzed
ren,Mới - chưa có ảnh,1,kidney (Latin ren),thận (La Tinh),adrenaline,missing_words_analyzed
respons,Mới - chưa có ảnh,1,"to answer, respond (Latin respondere)","trả lời, đáp lại (La Tinh)",irresponsible,missing_words_analyzed
revers,Mới - chưa có ảnh,1,"the turned-back part of a garment, especially a lapel","phần vải lật ngược của trang phục, đặc biệt là ve áo",revers,missing_words_analyzed
revolut,Mới - chưa có ảnh,1,to turn around (Latin revolvere),"xoay vòng, quay lại (La Tinh)",revolutionary,missing_words_analyzed
rog,Mới - chưa có ảnh,1,to ask (Latin rogare),hỏi (La Tinh),interrogation,missing_words_analyzed
ros,Mới - chưa có ảnh,1,"to gnaw, eat away (Latin rodere)","gặm, ăn mòn (La Tinh)",corrosive,missing_words_analyzed
rumin,Mới - chưa có ảnh,1,"to chew over, meditate (Latin ruminare)","nhai lại, suy ngẫm (La Tinh)",ruminate,missing_words_analyzed
rupt,Mới - chưa có ảnh,6+,to break (Latin rumpere),"vỡ, phá vỡ (La Tinh)","corruption, disrupt, disruptive, eruption, interrupt, interruption",missing_words_analyzed
sacr,Mới - chưa có ảnh,1,"holy, sacred (Latin sacer)",thiêng liêng (La Tinh),sacred,missing_words_analyzed
sacrific,Mới - chưa có ảnh,1,"to make sacred, sacrifice (Latin sacrificare)","hiến tế, hy sinh (La Tinh)",sacrificial,missing_words_analyzed
sali,Mới - chưa có ảnh,1,"to leap, jump (Latin salire)","nhảy, vọt (La Tinh)",salient,missing_words_analyzed
salin,Mới - chưa có ảnh,2,salt (Latin sal),muối (La Tinh),"desalinate, desalination",missing_words_analyzed
salv,Mới - chưa có ảnh,1,"to save, make safe (Latin salvare)","cứu, làm cho an toàn (La Tinh)",salvation,missing_words_analyzed
sanit,Mới - chưa có ảnh,1,health (Latin sanitas),sức khỏe (La Tinh),sanitation,missing_words_analyzed
satis,Mới - chưa có ảnh,1,enough (Latin satis),đủ (La Tinh),satisfy,missing_words_analyzed
satur,Mới - chưa có ảnh,1,"to fill, glut (Latin saturare)","làm đầy, no đủ (La Tinh)",saturate,missing_words_analyzed
sault,Mới - chưa có ảnh,1,"to leap, jump (Latin salire)","nhảy, xông vào (La Tinh)",assault,missing_words_analyzed
scend,Mới - chưa có ảnh,2,to climb (Latin scandere),"trèo, leo (La Tinh)","descent, transcend",missing_words_analyzed
scrib,Mới - chưa có ảnh,1,to write (Latin scribere),viết (La Tinh),subscriber,missing_words_analyzed
scrutin,Mới - chưa có ảnh,1,"to examine closely, search (Latin scrutari)","xem xét kỹ, lục soát (La Tinh)",scrutiny,missing_words_analyzed
semble,Mới - chưa có ảnh,1,"to bring together, resemble (Latin simulare)","tập hợp, giống nhau (La Tinh)",assemble,missing_words_analyzed
semin,Mới - chưa có ảnh,2,seed (Latin semen),hạt giống (La Tinh),"disseminate, seminal",missing_words_analyzed
sens,Mới - chưa có ảnh,2,"to feel, perceive (Latin sentire)",cảm nhận (La Tinh),"sensibility, sensibly",missing_words_analyzed
senti,Mới - chưa có ảnh,1,"to feel, perceive (Latin sentire)",cảm nhận (La Tinh),sentient,missing_words_analyzed
separ,Mới - chưa có ảnh,1,to separate (Latin separare),tách rời (La Tinh),inseparable,missing_words_analyzed
sequ,Mới - chưa có ảnh,1,to follow (Latin sequi),theo sau (La Tinh),consequential,missing_words_analyzed
sequen,Mới - chưa có ảnh,1,to follow (Latin sequi),theo sau (La Tinh),sequential,missing_words_analyzed
serv,Mới - chưa có ảnh,3,"to keep, save (Latin servare)","giữ, bảo tồn (La Tinh)","conservationist, preservative, reservation",missing_words_analyzed
simil,Mới - chưa có ảnh,1,"like, similar (Latin similis)","giống, tương tự (La Tinh)",assimilate,missing_words_analyzed
singul,Mới - chưa có ảnh,1,"single, one (Latin singulus)","đơn, một (La Tinh)",singular,missing_words_analyzed
sist,Mới - chưa có ảnh,6+,to stand (Latin sistere),đứng (La Tinh),"consist, insist, persist, persistent, resist, resistant",missing_words_analyzed
soci,Mới - chưa có ảnh,1,"companion, ally (Latin socius)","bạn đồng hành, đồng minh (La Tinh)",sociability,missing_words_analyzed
solv,Mới - chưa có ảnh,1,"to loosen, release (Latin solvere)","nới lỏng, giải phóng (La Tinh)",insolvency,missing_words_analyzed
soph,Mới - chưa có ảnh,1,wisdom (Greek sophia),trí tuệ (Hy Lạp),philosopher,missing_words_analyzed
spect,Mới - chưa có ảnh,6+,"to look, see (Latin specere)","nhìn, xem (La Tinh)","aspect, inspect, inspector, perspective, respectively, spectator",missing_words_analyzed
spir,Mới - chưa có ảnh,2,to breathe (Latin spirare),thở (La Tinh),"respiration, respiratory",missing_words_analyzed
spise,Mới - chưa có ảnh,1,to look down on (Latin despicere),"khinh thường, nhìn xuống (La Tinh)",despise,missing_words_analyzed
spond,Mới - chưa có ảnh,1,"to pledge, promise (Latin spondere)","cam kết, hứa (La Tinh)",respondent,missing_words_analyzed
spontane,Mới - chưa có ảnh,1,of one's own will (Latin sponte),"tự nguyện, tự ý (La Tinh)",spontaneity,missing_words_analyzed
stant,Mới - chưa có ảnh,4,to stand (Latin stare),đứng (La Tinh),"circumstantial, substantial, substantiate, substantive",missing_words_analyzed
stil,Mới - chưa có ảnh,1,drop (Latin stilla),giọt (La Tinh),instil,missing_words_analyzed
stition,Mới - chưa có ảnh,1,to stand over (Latin superstare),"đứng trên, mê tín (La Tinh)",superstition,missing_words_analyzed
stitute,Mới - chưa có ảnh,5,"to set up, establish (Latin statuere)","thiết lập, dựng lên (La Tinh)","constituent, constitute, constitution, substitute, substitution",missing_words_analyzed
strateg,Mới - chưa có ảnh,1,"general, army leader (Greek strategos)","tướng quân, chỉ huy quân đội (Hy Lạp)",strategic,missing_words_analyzed
stroph,Mới - chưa có ảnh,1,to turn (Greek strephein),"xoay, quay (Hy Lạp)",catastrophic,missing_words_analyzed
struct,Mới - chưa có ảnh,5,to build (Latin struere),xây dựng (La Tinh),"construct, destructive, instruct, instructive, obstruct",missing_words_analyzed
sume,Mới - chưa có ảnh,1,"to take, take up (Latin sumere)","lấy, nắm lấy (La Tinh)",resume,missing_words_analyzed
surg,Mới - chưa có ảnh,1,to rise (Latin surgere),"trỗi dậy, dâng lên (La Tinh)",resurgence,missing_words_analyzed
surrect,Mới - chưa có ảnh,2,to rise (Latin surgere),"trỗi dậy, sống lại (La Tinh)","resurrect, resurrection",missing_words_analyzed
tach,Mới - chưa có ảnh,1,"to fasten, attach (Old French tachier)","gắn, buộc chặt (Pháp cổ)",detach,missing_words_analyzed
tain,Mới - chưa có ảnh,5,to hold (Latin tenere),"giữ, nắm (La Tinh)","containment, entertain, obtain, pertain, retain",missing_words_analyzed
taminate,Mới - chưa có ảnh,1,"to defile, corrupt by touching (Latin contaminare)","làm bẩn, nhiễm bẩn (La Tinh)",contaminant,missing_words_analyzed
technic,Mới - chưa có ảnh,1,"skill, craft (Greek techne)","kỹ năng, kỹ thuật (Hy Lạp)",technical,missing_words_analyzed
tempor,Mới - chưa có ảnh,1,time (Latin tempus),thời gian (La Tinh),contemporary,missing_words_analyzed
terg,Mới - chưa có ảnh,1,to wipe clean (Latin tergere),lau sạch (La Tinh),detergent,missing_words_analyzed
termin,Mới - chưa có ảnh,2,"end, boundary (Latin terminus)","kết thúc, ranh giới (La Tinh)","terminal, terminate",missing_words_analyzed
thes,Mới - chưa có ảnh,1,"to place, put (Greek tithenai)","đặt, để (Hy Lạp)",synthesize,missing_words_analyzed
thet,Mới - chưa có ảnh,1,"to place, put (Greek tithenai)","đặt, để (Hy Lạp)",hypothetical,missing_words_analyzed
thetic,Mới - chưa có ảnh,1,"to place, put (Greek tithenai)","đặt, để (Hy Lạp)",synthetic,missing_words_analyzed
thir,Mới - chưa có ảnh,1,three (Old English threo),ba (Anglo-Saxon),thirty,missing_words_analyzed
thusiast,Mới - chưa có ảnh,1,"inspired, possessed by a god (Greek entheos)","được thần linh nhập, đầy nhiệt huyết (Hy Lạp)",enthusiastic,missing_words_analyzed
tingent,Mới - chưa có ảnh,1,"to touch, happen upon (Latin contingere)","chạm, xảy đến (La Tinh)",contingent,missing_words_analyzed
tinguish,Mới - chưa có ảnh,1,"to quench, put out (Latin extinguere)",dập tắt (La Tinh),extinguish,missing_words_analyzed
toler,Mới - chưa có ảnh,1,"to bear, endure (Latin tolerare)",chịu đựng (La Tinh),tolerance,missing_words_analyzed
tox,Mới - chưa có ảnh,2,poison (Greek toxikon),chất độc (Hy Lạp),"toxic, toxin",missing_words_analyzed
tribut,Mới - chưa có ảnh,1,"to pay, grant, allot (Latin tribuere)","trả, cấp phát (La Tinh)",tributary,missing_words_analyzed
tric,Mới - chưa có ảnh,2,"tangles, snares (Latin tricae)","rối rắm, vướng mắc (La Tinh)","inextricable, intricate",missing_words_analyzed
trit,Mới - chưa có ảnh,1,"to rub, wear down (Latin terere)","cọ xát, mài mòn (La Tinh)",attrition,missing_words_analyzed
trud,Mới - chưa có ảnh,1,"to thrust, push (Latin trudere)","đẩy, xô (La Tinh)",intruder,missing_words_analyzed
trude,Mới - chưa có ảnh,1,"to thrust, push (Latin trudere)","đẩy, xô (La Tinh)",intrusion,missing_words_analyzed
tuit,Mới - chưa có ảnh,1,"to look, watch over (Latin tueri)","nhìn, coi sóc (La Tinh)",intuitive,missing_words_analyzed
ul,Mới - chưa có ảnh,1,"tending to, inclined to (Latin -ulus tendency suffix)","có xu hướng, dễ (hậu tố La Tinh -ulus)",credulous,missing_words_analyzed
ulter,Mới - chưa có ảnh,1,other (Latin alter),khác (La Tinh),adulterate,missing_words_analyzed
und,Mới - chưa có ảnh,2,wave (Latin unda),sóng (La Tinh),"abundance, inundate",missing_words_analyzed
uni,Mới - chưa có ảnh,1,one (Latin unus),một (La Tinh),reunification,missing_words_analyzed
urb,Mới - chưa có ảnh,1,city (Latin urbs),thành phố (La Tinh),suburb,missing_words_analyzed
urg,Mới - chưa có ảnh,1,"to press, urge (Latin urgere)","thúc ép, thúc giục (La Tinh)",urgently,missing_words_analyzed
util,Mới - chưa có ảnh,3,"useful, to use (Latin uti)","hữu ích, sử dụng (La Tinh)","utility, utilization, utilize",missing_words_analyzed
vaccin,Mới - chưa có ảnh,1,cow (Latin vacca),con bò (La Tinh),vaccination,missing_words_analyzed
vag,Mới - chưa có ảnh,1,to wander (Latin vagari),lang thang (La Tinh),extravagant,missing_words_analyzed
vagant,Mới - chưa có ảnh,1,to wander (Latin vagari),lang thang (La Tinh),extravagance,missing_words_analyzed
vail,Mới - chưa có ảnh,1,"to be strong, have power (Latin valere)","mạnh mẽ, có sức mạnh (La Tinh)",prevail,missing_words_analyzed
valent,Mới - chưa có ảnh,1,"to be strong, be worth (Latin valere)","có giá trị, mạnh (La Tinh)",equivalence,missing_words_analyzed
valu,Mới - chưa có ảnh,2,"worth, value (Latin valere)",giá trị (La Tinh),"devaluation, evaluation",missing_words_analyzed
vas,Mới - chưa có ảnh,1,"to go, walk (Latin vadere)",đi (La Tinh),invasion,missing_words_analyzed
vascul,Mới - chưa có ảnh,1,vessel (Latin vasculum),"mạch, ống dẫn (La Tinh)",cardiovascular,missing_words_analyzed
vene,Mới - chưa có ảnh,1,to come (Latin venire),đến (La Tinh),intervene,missing_words_analyzed
venge,Mới - chưa có ảnh,1,"to avenge, claim (Latin vindicare)","trả thù, đòi lại (La Tinh)",vengeance,missing_words_analyzed
ver,Mới - chưa có ảnh,1,true (Latin verus),"đúng, thật (La Tinh)",verify,missing_words_analyzed
vers,Mới - chưa có ảnh,3,to turn (Latin vertere),"xoay, quay (La Tinh)","controversy, diversification, extroversion",missing_words_analyzed
vert,Mới - chưa có ảnh,6+,to turn (Latin vertere),"xoay, quay (La Tinh)","avert, conversion, convert, divert, introvert, invert",missing_words_analyzed
vey,Mới - chưa có ảnh,1,to see (Latin videre),"nhìn, xem (La Tinh)",survey,missing_words_analyzed
vict,Mới - chưa có ảnh,1,to conquer (Latin vincere),"chinh phục, đánh bại (La Tinh)",eviction,missing_words_analyzed
vis,Mới - chưa có ảnh,2,to see (Latin videre),"nhìn, thấy (La Tinh)","invisibly, revision",missing_words_analyzed
viv,Mới - chưa có ảnh,1,to live (Latin vivere),sống (La Tinh),revival,missing_words_analyzed
vive,Mới - chưa có ảnh,1,to live (Latin vivere),sống (La Tinh),revive,missing_words_analyzed
voc,Mới - chưa có ảnh,2,to call (Latin vocare),"gọi, kêu gọi (La Tinh)","advocate, provocative",missing_words_analyzed
volunt,Mới - chưa có ảnh,2,"will, wish (Latin velle)",ý muốn (La Tinh),"involuntary, volunteer",missing_words_analyzed
volut,Mới - chưa có ảnh,1,to roll (Latin volvere),"cuộn, lăn (La Tinh)",evolution,missing_words_analyzed
volve,Mới - chưa có ảnh,2,to roll (Latin volvere),"cuộn, lăn (La Tinh)","evolve, revolve",missing_words_analyzed
vour,Mới - chưa có ảnh,1,"to devour, swallow (Latin vorare)","nuốt, ăn ngấu nghiến (La Tinh)",devour,missing_words_analyzed
whelm,Mới - chưa có ảnh,2,"to overturn, submerge (Middle English whelmen)","lật úp, nhấn chìm (Trung Anh)","overwhelm, overwhelmingly",missing_words_analyzed
winn,Mới - chưa có ảnh,1,"to labor, strive, win (Old English winnan)","lao động, giành lấy (Anglo-Saxon)",breadwinner,missing_words_analyzed
writ(e),Mới - chưa có ảnh,1,to write (Old English writan),viết (Anglo-Saxon),writing,missing_words_analyzed
zair,Mới - chưa có ảnh,1,"Zaire (country name, former Congo)","Zaire (tên quốc gia, nay là Congo)",zairian,missing_words_analyzed
centre,Đã có trong MorphLink,3,"center (Latin centrum, Greek kentron)",trung tâm (La Tinh/Hy Lạp),"central, centrally, centrist",new_combinations
crimin,Đã có trong MorphLink,2,"crime, accusation (Latin crimen)","tội, buộc tội (La Tinh)","criminally, discriminatory",missing_words_analyzed+new_combinations
electr,Đã có trong MorphLink,1,amber (Greek elektron),hổ phách (Hy Lạp),electron,missing_words_analyzed
enorm,Đã có trong MorphLink,2,"out of the normal, excessive (Latin enormis)","vượt mức bình thường, quá lớn (La Tinh)","enormity, enormous",new_combinations
metre,Đã có trong MorphLink,2,measure (Greek metron),đo lường (Hy Lạp),"metric, metrics",new_combinations
phon,Đã có trong MorphLink,2,"sound, voice (Greek phone)","âm thanh, tiếng nói (Hy Lạp)","symphony, telephony",missing_words_analyzed
prob,Đã có trong MorphLink,3,"to test, prove (Latin probare)","kiểm tra, chứng minh (La Tinh)","improbable, probable, probated",new_combinations
stimul,Đã có trong MorphLink,2,"goad, prod (Latin stimulus)","thúc đẩy, chọc (La Tinh)","stimulated, stimulus",new_combinations
