root_word,kieu_ket_hop,cong_thuc,vi_du_tu_moi,so_luong_vi_du
difficult,Root + Suffix,difficult + suffix,difficulty,1
dig,Root + Suffix,dig + suffix,digger,1
dimension,Root + Suffix,dimension + suffix,"dimensional, dimensionally",2
dimension,Prefix + Root + Suffix,prefix + dimension + suffix,multidimensional,1
diminish,Prefix + Root,prefix + diminish,undiminished,1
dinner,Word + Word,dinner + time,dinnertime,1
dip,Word + Word,dip + stick,"dipstick, dipswitch",2
dip,Root + Suffix,dip + suffix,dipper,1
direct,Prefix + Root,prefix + direct,"indirect, misdirect, redirect",3
direct,Root + Suffix,direct + suffix,"direction, directional, directionality, directionally, directive, directly, directness, director (+3 từ khác)",11
direct,Prefix + Root + Suffix,prefix + direct + suffix,"indirection, indirectly, indirectness, misdirection, unidirectional",5
dirt,Root + Suffix,dirt + suffix,"dirtier, dirtiest, dirtily, dirty",4
disaster,Root + Suffix,disaster + suffix,"disastrous, disastrously",2
discipline,Prefix + Root,prefix + discipline,"indiscipline, undisciplined",2
discipline,Root + Suffix,discipline + suffix,"disciplinarian, disciplinary",2
discipline,Prefix + Root + Suffix,prefix + discipline + suffix,interdisciplinary,1
discours,Root + Suffix,discours + suffix,discursive,1
discover,Prefix + Root,prefix + discover,rediscover,1
discover,Root + Suffix,discover + suffix,"discoverable, discoverer, discovery",3
dish,Word + Word,dish + cloth,"dishcloth, dishwasher, dishwater",3
dish,Root + Suffix,dish + suffix,"dishful, dishier, dishiest, dishy",4
disk,Root + Suffix,disk + suffix,discoid,1
dispute,Prefix + Root,prefix + dispute,undisputed,1
dispute,Root + Suffix,dispute + suffix,"disputable, disputably, disputant, disputation, disputatious, disputatiously",6
dispute,Prefix + Root + Suffix,prefix + dispute + suffix,"indisputable, indisputably",2
distance,Prefix + Root,prefix + distance,outdistance,1
distant,Root + Suffix,distant + suffix,distantly,1
distinct,Prefix + Root,prefix + distinct,indistinct,1
distinct,Root + Suffix,distinct + suffix,"distinction, distinctive, distinctively, distinctiveness, distinctly, distinctness",6
distinct,Prefix + Root + Suffix,prefix + distinct + suffix,"indistinctly, indistinctness",2
distinguish,Prefix + Root,prefix + distinguish,undistinguished,1
distinguish,Root + Suffix,distinguish + suffix,distinguishable,1
distinguish,Prefix + Root + Suffix,prefix + distinguish + suffix,"indistinguishable, indistinguishably",2
distress,Root + Suffix,distress + suffix,"distressful, distressfully, distressingly",3
disturb,Prefix + Root,prefix + disturb,undisturbed,1
disturb,Root + Suffix,disturb + suffix,"disturbance, disturber, disturbingly",3
dive,Word + Word,dive + board,divingboard,1
dive,Root + Suffix,dive + suffix,diver,1
diverse,Root + Suffix,diverse + suffix,"diversely, diversification, diversify, diversion, diversionary, diversionist, diversity",7
divide,Prefix + Root,prefix + divide,"subdivide, undivided",2
divide,Root + Suffix,divide + suffix,"dividend, divider, divisible, division, divisional, divisive, divisively, divisiveness (+1 từ khác)",9
divide,Prefix + Root + Suffix,prefix + divide + suffix,"individual, individualism, individualist, individualistic, individuality, individualization, individualize, individually (+5 từ khác)",13
divine,Root + Suffix,divine + suffix,"divination, divinely, diviner, divinity",4
divorce,Root + Suffix,divorce + suffix,divorcee,1
do,Prefix + Root,prefix + do,"misdoing, outdo, overdo, redo, undo",5
do,Root + Suffix,do + suffix,doer,1
doctor,Root + Suffix,doctor + suffix,"doctoral, doctorate",2
doctrine,Root + Suffix,doctrine + suffix,"doctrinaire, doctrinal, doctrinally",3
doctrine,Prefix + Root + Suffix,prefix + doctrine + suffix,"indoctrinate, indoctrination",2
document,Root + Suffix,document + suffix,"documentary, documentation",2
dog,Word + Word,dog + body,"dogfight, dogfish, doghouse, dogleg, dogsbody, dogtooth, dogwood",7
dog,Prefix + Root,prefix + dog,underdog,1
dog,Root + Suffix,dog + suffix,"doggedly, doggedness, doggy",3
domestic,Root + Suffix,domestic + suffix,"domestically, domesticate, domestication, domesticity",4
domestic,Prefix + Root + Suffix,prefix + domestic + suffix,undomesticated,1
door,Word + Word,door + bell,"doorbell, doorframe, doorhandle, doorkeeper, doorknocker, doorman, doornail, doorplate (+3 từ khác)",11
door,Prefix + Root,prefix + door,"indoor, outdoor",2
dose,Prefix + Root,prefix + dose,overdose,1
dose,Root + Suffix,dose + suffix,dosage,1
dot,Prefix + Root,prefix + dot,microdot,1
dot,Root + Suffix,dot + suffix,"dottier, dottiest, dotty",3
double,Word + Word,double + head,doubleheader,1
double,Prefix + Root,prefix + double,redouble,1
double,Root + Suffix,double + suffix,doubly,1
doubt,Prefix + Root,prefix + doubt,undoubted,1
doubt,Root + Suffix,doubt + suffix,"doubter, doubtful, doubtfully, doubtingly, doubtless, dubiety, dubious, dubiously (+2 từ khác)",10
doubt,Prefix + Root + Suffix,prefix + doubt + suffix,"indubitable, indubitably, undoubtedly",3
down,Root + Suffix,down + suffix,"downer, downier, downward, downy",4
draft,Prefix + Root,prefix + draft,overdraft,1
draft,Root + Suffix,draft + suffix,"draftee, drafters",2
drag,Word + Word,drag + net,dragnet,1
drag,Root + Suffix,drag + suffix,dragger,1
drain,Word + Word,drain + pipe,drainpipe,1
drain,Root + Suffix,drain + suffix,drainage,1
drama,Root + Suffix,drama + suffix,"dramatic, dramatically, dramatist, dramatization, dramatize",5
draw,Word + Word,draw + back,"drawback, drawbridge",2
draw,Prefix + Root,prefix + draw,overdrawing,1
draw,Root + Suffix,draw + suffix,drawn,1
draw,Prefix + Root + Suffix,prefix + draw + suffix,"indrawn, overdrawn",2
dream,Word + Word,dream + boat,"dreamboat, dreamland, dreamlike, dreamworld",4
dream,Prefix + Root,prefix + dream,undreamed,1
dream,Root + Suffix,dream + suffix,"dreamer, dreamier, dreamily, dreaminess, dreamless, dreamlessly, dreamt, dreamy",8
dream,Prefix + Root + Suffix,prefix + dream + suffix,undreamt,1
dress,Word + Word,dress + make,"dressmaker, dressmaking",2
dress,Prefix + Root,prefix + dress,"overdress, undress",2
dress,Root + Suffix,dress + suffix,"dresser, dressier, dressiest, dressy",4
drift,Word + Word,drift + net,"driftnet, driftwood",2
drift,Root + Suffix,drift + suffix,drifter,1
drink,Root + Suffix,drink + suffix,"drinkable, drinker",2
drink,Prefix + Root + Suffix,prefix + drink + suffix,undrinkable,1
drive,Word + Word,drive + way,driveway,1
drive,Prefix + Root,prefix + drive,overdrive,1
drive,Root + Suffix,drive + suffix,driver,1
drop,Word + Word,drop + out,dropout,1
drop,Root + Suffix,drop + suffix,"droplet, dropper",2
drug,Word + Word,drug + store,drugstore,1
drug,Root + Suffix,drug + suffix,druggist,1
drum,Word + Word,drum + beat,"drumbeat, drumhead, drumstick",3
drum,Root + Suffix,drum + suffix,drummer,1
drunk,Root + Suffix,drunk + suffix,"drunkard, drunken, drunkenly, drunkenness, drunker, drunkest",6
dry,Prefix + Root,prefix + dry,nondrying,1
dry,Root + Suffix,dry + suffix,"drier, driest, drily, dryness",4
dual,Root + Suffix,dual + suffix,"dualism, dualities",2
due,Prefix + Root,prefix + due,"overdue, undue",2
due,Root + Suffix,due + suffix,duly,1
due,Prefix + Root + Suffix,prefix + due + suffix,unduly,1
dull,Root + Suffix,dull + suffix,"dullard, duller, dullest, dullness, dully",5
dumb,Word + Word,dumb + bell,"dumbbell, dumbfound, dumbwaiter",3
dumb,Root + Suffix,dumb + suffix,"dumber, dumbest, dumbly, dumbness, dummy",5
dump,Root + Suffix,dump + suffix,"dumper, dumpier, dumpiest, dumpling, dumpy",5
dust,Word + Word,dust + bin,"dustbin, dustcoat, dustman, dustpan, dustsheet, dustup",6
dust,Root + Suffix,dust + suffix,"duster, dustier, dustiest, dustless, dusty",5
duty,Root + Suffix,duty + suffix,"duteous, dutiable, dutiful, dutifully, dutifulness",5
dynamic,Root + Suffix,dynamic + suffix,"dynamical, dynamically",2
eager,Prefix + Root,prefix + eager,overeager,1
eager,Root + Suffix,eager + suffix,"eagerer, eagerest, eagerly, eagerness",4
ear,Root + Word,ear + phon,earphone,1
ear,Word + Word,ear + drum,"eardrum, earmark, earpiece, earplug, earring, earshot, earsplitting",7
ear,Root + Suffix,ear + suffix,earful,1
early,Root + Suffix,early + suffix,"earlier, earliest, earliness",3
earn,Prefix + Root,prefix + earn,unearned,1
earn,Root + Suffix,earn + suffix,earner,1
earth,Word + Word,earth + bound,"earthbound, earthmoving, earthshaking, earthshakingly, earthwork, earthworm",6
earth,Prefix + Root,prefix + earth,unearth,1
earth,Root + Suffix,earth + suffix,"earthen, earthier, earthiest, earthiness, earthling, earthly, earthy",7
earth,Prefix + Root + Suffix,prefix + earth + suffix,"unearthliness, unearthly",2
ease,Word + Word,ease + go,easygoing,1
ease,Prefix + Root,prefix + ease,unease,1
ease,Root + Suffix,ease + suffix,"easement, easier, easiest, easily, easiness, easy",6
ease,Prefix + Root + Suffix,prefix + ease + suffix,"uneasier, uneasiest, uneasily, uneasiness, uneasy",5
east,Word + Word,east + bound,"eastbound, easternmost",2
east,Root + Suffix,east + suffix,"easterly, eastern, easterner, easters, eastward",5
eat,Prefix + Root,prefix + eat,overeat,1
eat,Root + Suffix,eat + suffix,"eatable, eaten, eater",3
eat,Prefix + Root + Suffix,prefix + eat + suffix,uneaten,1
edge,Root + Suffix,edge + suffix,"edgewise, edgier, edgiest, edgily, edgy",5
edit,Prefix + Root,prefix + edit,subedit,1
edit,Root + Suffix,edit + suffix,"edition, editor, editorial, editorialist, editorialize, editorially, editorship",7
edit,Prefix + Root + Suffix,prefix + edit + suffix,"coeditors, subeditor",2
educate,Prefix + Root,prefix + educate,"reeducate, undereducated, uneducated",3
educate,Root + Suffix,educate + suffix,"education, educational, educationalist, educationally, educationist, educator",6
educate,Prefix + Root + Suffix,prefix + educate + suffix,"coeducation, coeducational, reeducation",3
efficiency,Prefix + Root,prefix + efficiency,inefficiency,1
efficient,Prefix + Root,prefix + efficient,inefficient,1
efficient,Root + Suffix,efficient + suffix,efficiently,1
efficient,Prefix + Root + Suffix,prefix + efficient + suffix,inefficiently,1
effort,Root + Suffix,effort + suffix,"effortless, effortlessly, effortlessness",3
egg,Word + Word,egg + beat,"eggbeater, eggcup, egghead, eggplant, eggshell",5
ego,Word + Word,ego + trip,egotrip,1
ego,Prefix + Root,prefix + ego,superego,1
ego,Root + Suffix,ego + suffix,"egoism, egoist, egoistic, egoistically, egotistical",5
eight,Root + Suffix,eight + suffix,"eighteen, eighteenth, eighth, eightieth, eightsome, eighty",6
elbow,Word + Word,elbow + room,elbowroom,1
electr,Prefix + Root,prefix + electr,reelected,1
electr,Root + Suffix,electr + suffix,"election, electioneer, elective, elector, electoral, electorate, electric, electrical (+10 từ khác)",18
electr,Prefix + Root + Suffix,prefix + electr + suffix,"microelectronics, reelection",2
elegant,Prefix + Root,prefix + elegant,inelegant,1
elegant,Root + Suffix,elegant + suffix,elegantly,1
elegant,Prefix + Root + Suffix,prefix + elegant + suffix,inelegantly,1
element,Root + Suffix,element + suffix,elemental,1
elephant,Root + Suffix,elephant + suffix,"elephantiasis, elephantine",2
elevate,Root + Suffix,elevate + suffix,"elevation, elevator",2
eleven,Root + Suffix,eleven + suffix,"elevenses, eleventh",2
elite,Root + Suffix,elite + suffix,"elitism, elitist",2
else,Word + Word,else + where,elsewhere,1
embarrass,Root + Suffix,embarrass + suffix,"embarrassingly, embarrassment",2
emphasis,Prefix + Root,prefix + emphasis,overemphasis,1
emphasize,Prefix + Root,prefix + emphasize,overemphasized,1
empire,Root + Suffix,empire + suffix,"imperative, imperatively, imperial, imperialism, imperialist, imperialistic, imperialistically, imperially (+3 từ khác)",11
employ,Prefix + Root,prefix + employ,unemployed,1
employ,Root + Suffix,employ + suffix,"employable, employee, employer, employment",4
employ,Prefix + Root + Suffix,prefix + employ + suffix,"preemployment, unemployable, unemployment",3
empty,Root + Suffix,empty + suffix,"emptier, emptiest, emptily, emptiness",4
end,Word + Word,end + game,"endgame, endpaper, endpoints",3
end,Prefix + Root,prefix + end,"unending, upend",2
end,Root + Suffix,end + suffix,"endless, endlessly",2
end,Prefix + Root + Suffix,prefix + end + suffix,unendingly,1
endorse,Root + Suffix,endorse + suffix,endorsement,1
endure,Root + Suffix,endure + suffix,"endurable, endurance, enduringly",3
endure,Prefix + Root + Suffix,prefix + endure + suffix,unendurable,1
engage,Prefix + Root,prefix + engage,disengage,1
engage,Root + Suffix,engage + suffix,"engagement, engagingly",2
engage,Prefix + Root + Suffix,prefix + engage + suffix,disengagement,1
engine,Root + Suffix,engine + suffix,engineer,1
enhance,Root + Suffix,enhance + suffix,enhancement,1
enorm,Root + Suffix,enorm + suffix,"enormously, enormousness",2
enter,Prefix + Root,prefix + enter,reentered,1
enter,Root + Suffix,enter + suffix,"enteritis, entrance, entrant, entry",4
enterprise,Root + Suffix,enterprise + suffix,enterprisingly,1
entire,Root + Suffix,entire + suffix,"entirely, entirety",2
entity,Prefix + Root,prefix + entity,nonentity,1
entrepreneur,Root + Suffix,entrepreneur + suffix,entrepreneurial,1
episode,Root + Suffix,episode + suffix,"episodic, episodically",2
equip,Root + Suffix,equip + suffix,"equipage, equipment",2
erect,Root + Suffix,erect + suffix,"erection, erectly, erectness",3
escalate,Root + Suffix,escalate + suffix,"escalation, escalator",2
escape,Word + Word,escape + log,"escapologist, escapology",2
escape,Root + Suffix,escape + suffix,"escapable, escapade, escapee, escapism, escapist",5
escape,Prefix + Root + Suffix,prefix + escape + suffix,"inescapable, inescapably",2
essay,Root + Suffix,essay + suffix,essayist,1
essence,Prefix + Root,prefix + essence,quintessence,1
essence,Root + Suffix,essence + suffix,"essential, essentially",2
essence,Prefix + Root + Suffix,prefix + essence + suffix,"inessential, quintessential, quintessentially",3
establish,Prefix + Root,prefix + establish,"disestablish, reestablish",2
establish,Root + Suffix,establish + suffix,establishment,1
establish,Prefix + Root + Suffix,prefix + establish + suffix,disestablishment,1
eternal,Root + Suffix,eternal + suffix,eternally,1
ethic,Root + Suffix,ethic + suffix,"ethical, ethically, ethicist",3
even,Word + Word,even + song,evensong,1
even,Prefix + Root,prefix + even,uneven,1
even,Root + Suffix,even + suffix,"evenly, evenness",2
even,Prefix + Root + Suffix,prefix + even + suffix,"unevenly, unevenness",2
event,Root + Suffix,event + suffix,"eventful, eventfully, eventual, eventuality, eventuate",5
event,Prefix + Root + Suffix,prefix + event + suffix,"uneventful, uneventfully",2
ever,Word + Word,ever + green,"evergreen, everlasting, everlastingly, evermore",4
ever,Prefix + Root,prefix + ever,forever,1
every,Word + Word,every + body,"everybody, everyday, everyone, everything, everywhere",5
evidence,Root + Suffix,evidence + suffix,evidential,1
evident,Root + Suffix,evident + suffix,evidently,1
evil,Word + Word,evil + do,evildoer,1
evil,Root + Suffix,evil + suffix,evilly,1
evoke,Root + Suffix,evoke + suffix,"evocation, evocative",2
exact,Prefix + Root,prefix + exact,inexact,1
exact,Root + Suffix,exact + suffix,"exaction, exactitude, exactly, exactness",4
exact,Prefix + Root + Suffix,prefix + exact + suffix,"inexactitude, inexactness",2
exaggerate,Root + Suffix,exaggerate + suffix,"exaggeratedly, exaggeration",2
examine,Prefix + Root,prefix + examine,"reexamine, unexamined",2
examine,Root + Suffix,examine + suffix,"examination, examiner",2
examine,Prefix + Root + Suffix,prefix + examine + suffix,reexamination,1
example,Prefix + Root,prefix + example,unexampled,1
example,Root + Suffix,example + suffix,"exemplar, exemplary, exemplification, exemplify",4
exceed,Root + Suffix,exceed + suffix,exceedingly,1
excite,Prefix + Root,prefix + excite,overexcited,1
excite,Root + Suffix,excite + suffix,"excitability, excitable, excitatory, excitedly, excitement",5
excuse,Root + Suffix,excuse + suffix,"excusable, excusably",2
excuse,Prefix + Root + Suffix,prefix + excuse + suffix,"inexcusable, inexcusably",2
execute,Root + Suffix,execute + suffix,"execution, executioner, executive, executor",4
exert,Root + Suffix,exert + suffix,exertion,1
exist,Prefix + Root,prefix + exist,coexist,1
exist,Root + Suffix,exist + suffix,"existence, existent, existential, existentialism, existentialist",5
exist,Prefix + Root + Suffix,prefix + exist + suffix,"coexistence, coexistent, nonexistent",3
expand,Root + Suffix,expand + suffix,"expandable, expansion, expansionist, expansive, expansively, expansiveness",6
expect,Prefix + Root,prefix + expect,unexpected,1
expect,Root + Suffix,expect + suffix,"expectable, expectance, expectancy, expectant, expectantly, expectation, expectedly",7
expect,Prefix + Root + Suffix,prefix + expect + suffix,unexpectedly,1
expense,Root + Suffix,expense + suffix,"expensive, expensively",2
expense,Prefix + Root + Suffix,prefix + expense + suffix,"inexpensive, inexpensively",2
experience,Prefix + Root,prefix + experience,inexperience,1
experience,Root + Suffix,experience + suffix,"experiential, experientially",2
experiment,Root + Suffix,experiment + suffix,"experimental, experimentalism, experimentally, experimentation, experimenter",5
expert,Prefix + Root,prefix + expert,inexpert,1
expert,Root + Suffix,expert + suffix,"expertise, expertly, expertness",3
expert,Prefix + Root + Suffix,prefix + expert + suffix,inexpertly,1
expire,Root + Suffix,expire + suffix,"expiration, expiry",2
explain,Prefix + Root,prefix + explain,unexplained,1
explain,Root + Suffix,explain + suffix,"explainer, explanation, explanatory, explicable, explicably",5
explain,Prefix + Root + Suffix,prefix + explain + suffix,"inexplicability, inexplicable, inexplicably, unexplainable",4
explicit,Root + Suffix,explicit + suffix,"explicitly, explicitness",2
exploit,Prefix + Root,prefix + exploit,overexploited,1
exploit,Root + Suffix,exploit + suffix,"exploitation, exploiter",2
exploit,Prefix + Root + Suffix,prefix + exploit + suffix,overexploitation,1
explore,Prefix + Root,prefix + explore,unexplored,1
explore,Root + Suffix,explore + suffix,"exploration, explorative, exploratory, explorer",4
extreme,Root + Suffix,extreme + suffix,"extremely, extremism, extremist, extremity",4
eye,Word + Word,eye + ball,"eyeball, eyebath, eyecatching, eyedrop, eyeglass, eyeliner, eyepiece, eyesight (+3 từ khác)",11
eye,Prefix + Root,prefix + eye,crosseyed,1
eye,Root + Suffix,eye + suffix,"eyeful, eyeless, eyelet",3
fabric,Root + Suffix,fabric + suffix,"fabricate, fabrication, fabrications",3
fabric,Prefix + Root + Suffix,prefix + fabric + suffix,"prefabricate, prefabrication",2
face,Word + Word,face + cloth,facecloth,1
face,Prefix + Root,prefix + face,"deface, efface, interface, outface, preface",5
face,Root + Suffix,face + suffix,"faceless, facer, facial, facially",4
face,Prefix + Root + Suffix,prefix + face + suffix,"defacement, effacement, ineffaceable, interfacial",4
facilitate,Root + Suffix,facilitate + suffix,facilitation,1
fact,Root + Suffix,fact + suffix,"faction, factious, factor, factorize, factory, factual, factually, feasibility (+2 từ khác)",10
fact,Prefix + Root + Suffix,prefix + fact + suffix,cofactors,1
fade,Word + Word,fade + out,fadeout,1
fail,Prefix + Root,prefix + fail,unfailing,1
fail,Root + Suffix,fail + suffix,"failingly, failure",2
fail,Prefix + Root + Suffix,prefix + fail + suffix,unfailingly,1
fair,Word + Word,fair + child,"fairchild, fairgoers, fairground, fairview, fairway",5
fair,Prefix + Root,prefix + fair,unfair,1
fair,Root + Suffix,fair + suffix,"fairer, fairest, fairish, fairly, fairness",5
fair,Prefix + Root + Suffix,prefix + fair + suffix,"unfairly, unfairness",2
faith,Prefix + Root,prefix + faith,interfaith,1
faith,Root + Suffix,faith + suffix,"faithful, faithfully, faithfulness, faithless, faithlessly, faithlessness",6
faith,Prefix + Root + Suffix,prefix + faith + suffix,"unfaithful, unfaithfully, unfaithfulness",3
fake,Root + Suffix,fake + suffix,faker,1
fall,Word + Word,fall + off,"falloff, fallout",2
fall,Prefix + Root,prefix + fall,"befall, downfall, outfall",3
fall,Root + Suffix,fall + suffix,"fallacious, fallaciously, fallacy, fallen",4
fall,Prefix + Root + Suffix,prefix + fall + suffix,befallen,1
fame,Prefix + Root,prefix + fame,defame,1
fame,Root + Suffix,fame + suffix,"famous, famously",2
fame,Prefix + Root + Suffix,prefix + fame + suffix,"defamation, defamatory, infamous, infamy",4
family,Root + Suffix,family + suffix,"familial, familiar, familiarity, familiarize, familiarly, familiarness, familism",7
family,Prefix + Root + Suffix,prefix + family + suffix,unfamiliar,1
fan,Word + Word,fan + light,fanlight,1
fancy,Word + Word,fancy + work,fancywork,1
fancy,Root + Suffix,fancy + suffix,"fancier, fanciest, fanciful, fancifully, fancily",5
fantasy,Root + Suffix,fantasy + suffix,"fantasia, fantasist, fantastic, fantastical, fantastically",5
far,Word + Word,far + away,"faraway, farsighted",2
farm,Word + Word,farm + hand,"farmhand, farmhouse, farmland, farmyard",4
farm,Root + Suffix,farm + suffix,farmer,1
fascinate,Root + Suffix,fascinate + suffix,fascination,1
fashion,Prefix + Root,prefix + fashion,refashion,1
fashion,Root + Suffix,fashion + suffix,"fashionable, fashionably",2
fast,Root + Suffix,fast + suffix,"fasten, fastener, fasteners, faster, fastest, fastness",6
fast,Prefix + Root + Suffix,prefix + fast + suffix,unfastened,1
fat,Word + Word,fat + head,"fathead, fatless",2
fat,Root + Suffix,fat + suffix,"fatness, fatten, fatter, fattest, fattier, fattiest, fattiness, fattish (+1 từ khác)",9
fate,Root + Suffix,fate + suffix,"fatal, fatalism, fatalist, fatalistic, fatality, fatally, fateful, fatefully",8
father,Word + Word,father + land,fatherland,1
father,Prefix + Root,prefix + father,forefather,1
father,Root + Suffix,father + suffix,"fatherhood, fatherless, fatherliness, fatherly",4
fault,Word + Word,fault + find,"faultfinder, faultfinding",2
fault,Root + Suffix,fault + suffix,"faultier, faultiest, faultily, faultless, faultlessly, faultlessness, faulty",7
favour,Prefix + Root,prefix + favour,disfavour,1
favour,Root + Suffix,favour + suffix,"favourable, favourably, favourite, favouritism",4
favour,Prefix + Root + Suffix,prefix + favour + suffix,"unfavourable, unfavourably",2
fear,Root + Suffix,fear + suffix,"fearful, fearfully, fearfulness, fearless, fearlessly, fearlessness, fearsome",7
feather,Word + Word,feather + bed,"featherbed, featherbrained, feathertop, featherweight",4
feather,Root + Suffix,feather + suffix,feathery,1
feature,Root + Suffix,feature + suffix,featureless,1
feed,Word + Word,feed + back,"feedback, feedbag",2
feed,Prefix + Root,prefix + feed,overfeed,1
feed,Root + Suffix,feed + suffix,feeder,1
feel,Prefix + Root,prefix + feel,unfeeling,1
feel,Root + Suffix,feel + suffix,"feeler, feelingly",2
feel,Prefix + Root + Suffix,prefix + feel + suffix,unfeelingly,1
fellow,Root + Suffix,fellow + suffix,fellowship,1
fence,Prefix + Root,prefix + fence,unfenced,1
fence,Root + Suffix,fence + suffix,fencer,1
fever,Root + Suffix,fever + suffix,"feverish, feverishly",2
few,Root + Suffix,few + suffix,"fewer, fewest",2
fibre,Root + Word,fibre + board,"fibreboard, fibreglass",2
field,Word + Word,field + mouse,"fieldmouse, fieldstone, fieldwork",3
field,Prefix + Root,prefix + field,"afield, infield, infields",3
field,Root + Suffix,field + suffix,fielder,1
field,Prefix + Root + Suffix,prefix + field + suffix,"infielder, outfielder",2
fierce,Root + Suffix,fierce + suffix,"fiercely, fierceness, fiercer, fiercest",4
fight,Prefix + Root,prefix + fight,"infighting, outfight",2
fight,Root + Suffix,fight + suffix,fighter,1
figure,Word + Word,figure + head,figurehead,1
figure,Prefix + Root,prefix + figure,"disfigure, prefigure, subfigures, transfigure",4
figure,Root + Suffix,figure + suffix,"figural, figurative, figuratively, figurine",4
figure,Prefix + Root + Suffix,prefix + figure + suffix,"configuration, disfigurement, transfiguration",3
fill,Prefix + Root,prefix + fill,"fulfill, overfill, refill, unfulfilled",4
fill,Root + Suffix,fill + suffix,filler,1
fill,Prefix + Root + Suffix,prefix + fill + suffix,fulfillment,1
film,Word + Word,film + strip,filmstrip,1
film,Prefix + Root,prefix + film,microfilm,1
film,Root + Suffix,film + suffix,"filmable, filmdom, filmier, filmiest, filminess, filmy",6
filter,Root + Suffix,filter + suffix,"filtrate, filtration",2
filter,Prefix + Root + Suffix,prefix + filter + suffix,"infiltrate, infiltration, infiltrator",3
final,Prefix + Root,prefix + final,semifinal,1
final,Root + Suffix,final + suffix,"finalist, finality, finalize, finally",4
final,Prefix + Root + Suffix,prefix + final + suffix,semifinalist,1
finance,Prefix + Root,prefix + finance,refinance,1
finance,Root + Suffix,finance + suffix,"financial, financially, financier",3
find,Root + Suffix,find + suffix,finder,1
fine,Prefix + Root,prefix + fine,"confine, superfine",2
fine,Root + Suffix,fine + suffix,"finely, fineness, finer, finery, finest",5
fine,Prefix + Root + Suffix,prefix + fine + suffix,confinement,1
finger,Word + Word,finger + board,"fingerboard, fingernail, fingerplate, fingerpost, fingerprint, fingertip",6
finger,Prefix + Root,prefix + finger,forefinger,1
finish,Prefix + Root,prefix + finish,unfinished,1
finish,Root + Suffix,finish + suffix,finisher,1
fire,Word + Word,fire + arm,"firearm, fireball, firebird, firebomb, firebrand, firebreak, firebrick, firebug (+18 từ khác)",26
fire,Prefix + Root,prefix + fire,"afire, backfire, crossfire, misfire, unfired",5
fire,Root + Suffix,fire + suffix,"fierier, fieriest, fierily, fieriness, fiery",5
firm,Prefix + Root,prefix + firm,"affirm, confirm, infirm, reaffirm",4
firm,Root + Suffix,firm + suffix,"firmer, firmest, firmly, firmness",4
firm,Prefix + Root + Suffix,prefix + firm + suffix,"affirmation, affirmative, affirmatively, confirmation, infirmary, infirmity, reaffirmation",7
first,Word + Word,first + born,"firstborn, firstfruits, firsthand",3
first,Root + Suffix,first + suffix,firstly,1
fish,Word + Word,fish + bone,"fishbone, fishcake, fisherman, fishpond, fishwife",5
fish,Root + Suffix,fish + suffix,"fisher, fishery, fishier, fishiest, fishy",5
fit,Prefix + Root,prefix + fit,"befit, misfit, outfit, refit, unfit",5
fit,Root + Suffix,fit + suffix,"fitful, fitfully, fitly, fitment, fitness, fitter, fittest",7
fit,Prefix + Root + Suffix,prefix + fit + suffix,"befittingly, outfitter",2
five,Word + Word,five + teen,"fifteens, fifteenths",2
five,Root + Suffix,five + suffix,"fifteen, fifteenth, fifth, fifthly, fiftieth, fifty, fivefold, fiver",8
fix,Prefix + Root,prefix + fix,"prefix, transfix, unfixed",3
fix,Root + Suffix,fix + suffix,"fixate, fixation, fixations, fixative, fixedly, fixers, fixity, fixture",8
flag,Word + Word,flag + pole,"flagpole, flagship, flagstaff, flagstone",4
flag,Prefix + Root,prefix + flag,unflagging,1
flag,Prefix + Root + Suffix,prefix + flag + suffix,unflaggingly,1
flame,Word + Word,flame + throw,flamethrower,1
flame,Prefix + Root,prefix + flame,"aflame, inflame",2
flame,Root + Suffix,flame + suffix,flammable,1
flame,Prefix + Root + Suffix,prefix + flame + suffix,"inflammable, inflammation, inflammations, inflammatory, nonflammable, noninflammable",6
flash,Word + Word,flash + back,"flashback, flashlight, flashpoint",3
flash,Root + Suffix,flash + suffix,"flasher, flashier, flashiest, flashily, flashiness, flashy",6
flat,Word + Word,flat + fish,"flatfish, flatfoot, flathead, flatiron, flatland, flatlet",6
flat,Root + Suffix,flat + suffix,"flatly, flatness, flatten, flattest",4
flavor,Root + Suffix,flavor + suffix,flavourless,1
flaw,Root + Suffix,flaw + suffix,"flawless, flawlessly",2
fleet,Root + Suffix,fleet + suffix,"fleeter, fleetingly, fleetness",3
flesh,Word + Word,flesh + pot,fleshpot,1
flesh,Root + Suffix,flesh + suffix,"fleshier, fleshiest, fleshly, fleshy",4
flight,Prefix + Root,prefix + flight,preflight,1
flight,Root + Suffix,flight + suffix,"flightier, flightiness, flightless, flighty",4
float,Prefix + Root,prefix + float,"afloat, refloat",2
float,Root + Suffix,float + suffix,"floater, flotation",2
flood,Word + Word,flood + gate,"floodgate, floodlight",2
floor,Word + Word,floor + board,"floorboard, floorwalker",2
floor,Prefix + Root,prefix + floor,underfloor,1
flour,Word + Word,flour + mill,flourmill,1
flour,Root + Suffix,flour + suffix,floury,1
flourish,Root + Suffix,flourish + suffix,flourishingly,1
flow,Word + Word,flow + chart,flowchart,1
flow,Prefix + Root,prefix + flow,"inflow, outflow, overflow",3
