thanh_phan,trang_thai,so_lan_xuat_hien,meaning_en,meaning_vi,vi_du_tu,nguon
so,Mới - chưa có ảnh,1,"to such an extent, thus (adverb)","đến mức đó, như vậy (trạng từ)",whatsoever,missing_words_analyzed
son,Mới - chưa có ảnh,1,"son of (noun, patronymic)","con trai của (danh từ, họ tên theo cha)",robinson,missing_words_analyzed
ssion,Mới - chưa có ảnh,4,"act, state, or result of (noun)","hành động, trạng thái hoặc kết quả (danh từ)","admission, concession, emission, omission",missing_words_analyzed
st,Mới - chưa có ảnh,2,one who practices; superlative/adverbial marker (noun/adverb),người thực hành; dấu hiệu so sánh nhất/trạng từ (danh từ/trạng từ),"amongst, analyst",missing_words_analyzed
tal,Mới - chưa có ảnh,1,"relating to, pertaining to (adjective)","liên quan đến, thuộc về (tính từ)",horizontal,missing_words_analyzed
tative,Mới - chưa có ảnh,1,"tending to, relating to (adjective)","có xu hướng, liên quan đến (tính từ)",quantitative,missing_words_analyzed
tedly,Mới - chưa có ảnh,1,in a manner that is stated (adverb),"theo cách đã nêu, được thừa nhận (trạng từ)",admittedly,missing_words_analyzed
ten,Mới - chưa có ảnh,2,"having been, characterized by (adjective, past participle)","đã được, có đặc điểm (tính từ, phân từ quá khứ)","rotten, unwritten",missing_words_analyzed
ter,Mới - chưa có ảnh,1,"act, result, or agent of (noun)","hành động, kết quả hoặc tác nhân (danh từ)",laughter,missing_words_analyzed
tery,Mới - chưa có ảnh,2,"place, practice, or product of (noun)","nơi chốn, sự thực hành hoặc sản phẩm (danh từ)","lottery, pottery",missing_words_analyzed
tial,Mới - chưa có ảnh,2,"relating to, having the quality of (adjective)","liên quan đến, có tính chất (tính từ)","influential, sequential",missing_words_analyzed
tic,Mới - chưa có ảnh,6+,"relating to, characterized by (adjective)","liên quan đến, có đặc điểm (tính từ)","aquatic, chaotic, diagnostic, dramatic, dramatically, genetic",missing_words_analyzed
tical,Mới - chưa có ảnh,1,"relating to, characterized by (adjective)","liên quan đến, có đặc điểm (tính từ)",analytical,missing_words_analyzed
tics,Mới - chưa có ảnh,1,"study, science, or practice of (noun)","khoa học, sự nghiên cứu hoặc thực hành (danh từ)",genetics,missing_words_analyzed
time,Mới - chưa có ảnh,1,"period, duration of (noun)","khoảng thời gian, thời kỳ (danh từ)",meantime,missing_words_analyzed
ting,Mới - chưa có ảnh,2,"action or process of (noun/adjective, present participle)","hành động hoặc quá trình (danh từ/tính từ, phân từ hiện tại)","fitting, setting",missing_words_analyzed
tion,Mới - chưa có ảnh,6+,"act, state, or result of (noun)","hành động, trạng thái hoặc kết quả (danh từ)","cognition, introduction, malnutrition, nutrition, recognition, reproduction",missing_words_analyzed
tioner,Mới - chưa có ảnh,1,"one who does, agent (noun)","người thực hiện, tác nhân (danh từ)",practitioner,missing_words_analyzed
tive,Mới - chưa có ảnh,1,"tending to, relating to, having quality of (adjective)","có xu hướng, liên quan đến, có tính chất (tính từ)",reproductive,missing_words_analyzed
ture,Mới - chưa có ảnh,2,"act, state, result, or means of (noun)","hành động, trạng thái, kết quả hoặc phương tiện (danh từ)","fixture, mixture",missing_words_analyzed
ty,Mới - chưa có ảnh,6+,"state, quality, condition; or multiple of ten (noun)","trạng thái, tính chất, điều kiện; hoặc bội số của mười (danh từ)","fifty, loyalty, property, safety, thirty, uncertainty",missing_words_analyzed
u,Mới - chưa có ảnh,2,"linking element before -al, no independent meaning (connector)","yếu tố nối trước -al, không có nghĩa riêng (liên kết)","conceptualize, sexuality",missing_words_analyzed
ual,Mới - chưa có ảnh,6+,"relating to, characterized by (adjective)","liên quan đến, có đặc điểm (tính từ)","actual, eventual, factual, habitual, intellectual, spiritual",missing_words_analyzed
uality,Mới - chưa có ảnh,1,state or quality of being (noun),trạng thái hoặc tính chất (danh từ),individuality,missing_words_analyzed
uate,Mới - chưa có ảnh,1,"to make, cause to become (verb)",làm cho trở thành (động từ),habituate,missing_words_analyzed
ue,Mới - chưa có ảnh,2,"word, statement, or thing (French/Greek, noun)","từ, lời nói hoặc vật (Pháp/Hy Lạp, danh từ)","analogue, catalogue",missing_words_analyzed
ular,Mới - chưa có ảnh,3,"relating to, resembling (adjective)","liên quan đến, giống như (tính từ)","cellular, circular, spectacular",missing_words_analyzed
ulent,Mới - chưa có ảnh,1,"full of, characterized by (adjective)","đầy, có đặc điểm (tính từ)",fraudulent,missing_words_analyzed
up,Mới - chưa có ảnh,2,action or result of; instance of (noun),hành động hoặc kết quả; trường hợp (danh từ),"checkup, lineup",missing_words_analyzed
ury,Mới - chưa có ảnh,1,"group, collection, or period of (noun)","nhóm, tập hợp hoặc khoảng thời gian (danh từ)",century,missing_words_analyzed
ve,Mới - chưa có ảnh,1,"to make, cause to become (verb)",làm cho trở thành (động từ),halve,missing_words_analyzed
vian,Mới - chưa có ảnh,1,"relating to, native of (adjective)","liên quan đến, thuộc về (tính từ)",peruvian,missing_words_analyzed
wards,Mới - chưa có ảnh,1,"in the direction of, toward (adverb)","theo hướng, về phía (trạng từ)",afterwards,missing_words_analyzed
ware,Mới - chưa có ảnh,1,"goods, articles, product (noun)","hàng hóa, sản phẩm (danh từ)",software,missing_words_analyzed
way,Mới - chưa có ảnh,2,"path, route, manner (noun)","đường đi, tuyến đường, cách thức (danh từ)","pathway, railway",missing_words_analyzed
ways,Mới - chưa có ảnh,1,in the direction or manner of (adverb),theo hướng hoặc cách thức (trạng từ),sideways,missing_words_analyzed
wide,Mới - chưa có ảnh,2,"extending throughout, across (adjective/adverb)","trải khắp, xuyên suốt (tính từ/trạng từ)","nationwide, worldwide",missing_words_analyzed
work,Mới - chưa có ảnh,1,"activity, product, or place of labor (noun)","hoạt động, sản phẩm hoặc nơi lao động (danh từ)",homework,missing_words_analyzed
worthy,Mới - chưa có ảnh,1,"deserving of, worthy of (adjective)","xứng đáng với, đáng được (tính từ)",trustworthiness,missing_words_analyzed
yer,Mới - chưa có ảnh,1,"one who does, practices (noun, agent)","người thực hiện, hành nghề (danh từ, tác nhân)",lawyer,missing_words_analyzed
zle,Mới - chưa có ảnh,1,"small device or repeated action (noun/verb, diminutive)","thiết bị nhỏ hoặc hành động lặp lại (danh từ/động từ, giảm nhẹ)",nozzle,missing_words_analyzed
a,Đã có trong MorphLink,2,"[VARIANT] Latin/Greek loanword ending, plural or feminine noun marker","[BIẾN THỂ] đuôi từ mượn Latin/Hy Lạp, số nhiều hoặc giống cái","antarctica, nowadays",missing_words_analyzed
able,Đã có trong MorphLink,6+,capable of being (adjective),có thể được (tính từ),"affordable, available, considerably, predictable, sustainable, unpredictable",missing_words_analyzed+new_combinations
acy,Đã có trong MorphLink,5,"state, quality, condition (noun)","trạng thái, tính chất (danh từ)","curacy, illiteracy, inadequacy, legitimacy, numeracy",missing_words_analyzed+new_combinations
ade,Đã có trong MorphLink,4,"action, product of an action (noun)","hành động, kết quả; đồ uống ngọt (danh từ, VD blockade, lemonade)","facade, marinade, stockade, tirade",new_combinations
age,Đã có trong MorphLink,6+,"action, result, collection (noun)","hành động, kết quả, tập hợp (danh từ)","foliage, percentage, teenager, usage, voltage, wreckage",missing_words_analyzed+new_combinations
aire,Đã có trong MorphLink,1,"person who has (noun, VD: millionaire)","người có (danh từ, VD millionaire)",billionaire,missing_words_analyzed
al,Đã có trong MorphLink,6+,relating to (adjective); action (noun),thuộc về (tính từ); hành động (danh từ),"digital, emotional, environmental, medical, personality, professional",missing_words_analyzed+new_combinations
ale,Đã có trong MorphLink,1,"sale, gathering (noun, French, VD: musicale)","buổi tiệc, tụ họp (danh từ, Pháp, VD musicale)",finale,new_combinations
ally,Đã có trong MorphLink,6+,adverb form of -ic adjectives (VD: automatically),dạng trạng từ của tính từ -ic (VD automatically),"dramatically, drastically, genetically, practically, specifically, systematically",missing_words_analyzed+new_combinations
ance,Đã có trong MorphLink,6+,"state, quality, action (noun)","trạng thái, tính chất, hành động (danh từ)","abundance, dominance, entrance, inheritance, maintenance, resistance",missing_words_analyzed+new_combinations
ancy,Đã có trong MorphLink,6+,"state, quality (noun)","trạng thái, tính chất (danh từ)","accountancy, buoyancy, dormancy, expectancy, redundancy, truancy",missing_words_analyzed+new_combinations
ant,Đã có trong MorphLink,6+,person/thing that does; having quality (noun/adjective),người/vật thực hiện; có tính chất (danh từ/tính từ),"immigrant, importantly, migrant, participant, relevant, unimportant",missing_words_analyzed+new_combinations
ar,Đã có trong MorphLink,6+,"relating to, like (adjective)",thuộc về (tính từ); người (danh từ),"burglar, cardiovascular, irregular, liar, muscular, nuclear",missing_words_analyzed+new_combinations
ard,Đã có trong MorphLink,5,"one who does something, often excessively (noun)","người làm việc gì quá mức (danh từ, VD drunkard)","bombard, mustard, placard, standard, tankard",new_combinations
aria,Đã có trong MorphLink,2,"place for, collection (noun, Latin, VD: planetaria)","nơi chốn, tập hợp (danh từ, Latin, VD planetaria)","malaria, solaria",new_combinations
astic,Đã có trong MorphLink,1,"relating to, characterized by (adjective)","thuộc về, đặc trưng bởi (tính từ, VD scholastic)",bombastic,new_combinations
ate,Đã có trong MorphLink,6+,to make/become (verb); having (adjective),làm cho/trở thành (động từ); có (tính từ),"accelerate, appropriate, concentrate, dominate, evaluate, locate",missing_words_analyzed+new_combinations
ated,Đã có trong MorphLink,6+,"having, characterized by (adjective)","[BIẾN THỂ] dạng phân từ quá khứ của -ate (tính từ, VD opinionated)","alienated, carbonated, commentated, designated, domesticated, fabricated",new_combinations
dom,Đã có trong MorphLink,1,"domain, state, condition (noun)","lãnh thổ, trạng thái, điều kiện (danh từ)",wisdom,missing_words_analyzed
ee,Đã có trong MorphLink,6+,person who receives/undergoes action (noun),người nhận/chịu tác động (danh từ),"committee, franchisee, grandee, lessee, puree, trusteeship",missing_words_analyzed+new_combinations
een,Đã có trong MorphLink,1,diminutive (from Irish),[BIẾN THỂ] của -teen (VD eighteen),careen,new_combinations
eer,Đã có trong MorphLink,3,"person concerned with (noun, VD: engineer)","người liên quan đến (danh từ, VD engineer)","career, charioteer, volunteer",missing_words_analyzed+new_combinations
eme,Đã có trong MorphLink,1,"smallest distinctive unit (noun, linguistics, Greek, VD: phoneme)","đơn vị nhỏ nhất có tính phân biệt (danh từ, ngôn ngữ học, Hy Lạp, VD phoneme)",raceme,new_combinations
en,Đã có trong MorphLink,6+,to make (verb); made of (adjective),làm cho (động từ); làm bằng (tính từ),"bounden, deafen, driven, embolden, frighten, leaven",missing_words_analyzed+new_combinations
er,Đã có trong MorphLink,6+,person who does; comparative,người làm việc gì; so sánh hơn,"consumer, container, leadership, provider, teenager, user",missing_words_analyzed+new_combinations
ern,Đã có trong MorphLink,2,"direction (adjective, VD: southern)","phương hướng (tính từ, VD southern)","modern, pastern",new_combinations
ess,Đã có trong MorphLink,6+,female (noun),giống cái (danh từ),"caress, empress, evenness, humanness, largess, openness",missing_words_analyzed+new_combinations
est,Đã có trong MorphLink,6+,superlative,so sánh nhất,"absolutest, absurdest, acutest, adversest, ancientest, augustest",new_combinations
et,Đã có trong MorphLink,6+,"small, diminutive (noun)","nhỏ (danh từ giảm nhẹ, VD packet)","billet, blanket, caret, circlet, helmet, quartet",missing_words_analyzed+new_combinations
ette,Đã có trong MorphLink,4,small; female (diminutive noun),nhỏ; giống cái (danh từ giảm nhẹ),"cigarette, diskette, gazette, palette",missing_words_analyzed+new_combinations
fold,Đã có trong MorphLink,3,"times, multiplied by","nhân lên (tính từ/trạng từ, VD twofold)","billfold, blindfold, sheepfold",new_combinations
ful,Đã có trong MorphLink,6+,full of (adjective),"đầy, có nhiều (tính từ)","carefully, faithfully, meaningful, peacefully, successfully, usefulness",missing_words_analyzed+new_combinations
hood,Đã có trong MorphLink,2,"state, condition, group (noun)","trạng thái, điều kiện, nhóm (danh từ)","falsehood, likelihood",missing_words_analyzed
i,Đã có trong MorphLink,3,"[VARIANT] Latin plural ending (VD: radii, stimuli)","[BIẾN THỂ] đuôi số nhiều Latin (VD radii, stimuli)","nepali, pesticide, rectify",missing_words_analyzed
ia,Đã có trong MorphLink,6+,"condition, disease, place (noun, Greek/Latin)","tình trạng, nơi chốn, số nhiều (danh từ, Latin/Hy Lạp)","dementia, dyslexia, gardenia, minutia, nostalgia, sharia",missing_words_analyzed+new_combinations
iac,Đã có trong MorphLink,1,"relating to, suffering from (adjective)","thuộc về, bị ảnh hưởng bởi (tính từ, VD demoniac)",cardiac,new_combinations
ian,Đã có trong MorphLink,6+,"relating to, person from (noun/adjective)","thuộc về, người đến từ (danh từ/tính từ)","brazilian, canadian, christian, comedian, physician, politician",missing_words_analyzed+new_combinations
iance,Đã có trong MorphLink,1,"state, quality (noun)","trạng thái, tính chất (danh từ, VD allegiance)",appliance,new_combinations
ic,Đã có trong MorphLink,6+,relating to (adjective),thuộc về (tính từ),"academic, economic, epidemic, pandemic, robotic, toxic",missing_words_analyzed+new_combinations
ice,Đã có trong MorphLink,3,"state or quality of (noun, VD: justice — mostly frozen Latin ending)","trạng thái, tính chất (danh từ, VD justice — đuôi Latin đông cứng)","malice, notice, police",new_combinations
ics,Đã có trong MorphLink,6+,"science, study, practice of (noun)",lĩnh vực nghiên cứu (danh từ),"acrobatics, aeronautics, economics, electronics, linguistics, robotics",missing_words_analyzed+new_combinations
ie,Đã có trong MorphLink,6+,"small, informal/affectionate (diminutive noun, VD: robbie, billie)","nhỏ, thân mật (danh từ giảm nhẹ, VD robbie, billie)","birdie, bookie, bootie, brownie, cookie, hoodie",missing_words_analyzed+new_combinations
ify,Đã có trong MorphLink,6+,"to make, cause to become (verb)","làm cho, khiến trở thành (động từ)","amplify, clarify, falsifiable, quantify, terrify, verify",missing_words_analyzed+new_combinations
ile,Đã có trong MorphLink,6+,"capable of, relating to (adjective)","có khả năng, thuộc về (tính từ)","contractile, erectile, facile, hostile, missile, tactile",missing_words_analyzed+new_combinations
illion,Đã có trong MorphLink,1,"number-forming suffix (million, billion...)",hậu tố chỉ số lớn (VD sextillion),gazillion,new_combinations
ine,Đã có trong MorphLink,6+,"relating to, made of, feminine (adjective/noun)","thuộc về, làm bằng (tính từ); giống cái (danh từ)","chlorine, cocaine, codeine, divine, famine, serpentine",missing_words_analyzed+new_combinations
ion,Đã có trong MorphLink,6+,"action, process, state (noun)","hành động, quá trình, trạng thái (danh từ)","communication, generation, option, population, position, production",missing_words_analyzed+new_combinations
ious,Đã có trong MorphLink,6+,having quality of (adjective),có tính chất (tính từ),"cautious, contagious, infectious, judicious, judiciously, prestigious",missing_words_analyzed+new_combinations
ish,Đã có trong MorphLink,6+,"somewhat, having quality of (adjective)","hơi, có tính chất (tính từ)","british, finnish, irish, jewish, replenish, spanish",missing_words_analyzed+new_combinations
ism,Đã có trong MorphLink,6+,"belief, practice, condition (noun)","niềm tin, học thuyết, tình trạng (danh từ)","autism, ecotourism, electromagnetism, journalism, optimism, pessimism",missing_words_analyzed+new_combinations
ist,Đã có trong MorphLink,6+,person who practices/believes (noun),người theo/thực hành (danh từ),"activist, archaeologist, artistic, biologist, ecologist, psychologist",missing_words_analyzed+new_combinations
ite,Đã có trong MorphLink,5,"mineral, follower of, resident of (noun)",người theo; khoáng chất/hóa chất (danh từ),"anchorite, favorite, finite, polite, requisite",missing_words_analyzed+new_combinations
itis,Đã có trong MorphLink,2,"inflammation of (Greek, medical)","viêm, bệnh (danh từ, Hy Lạp/y học)","arthritis, bronchitis",missing_words_analyzed
itize,Đã có trong MorphLink,1,"to make into, to convert to (verb)","làm cho thành, chuyển đổi (động từ)",prioritize,new_combinations
itude,Đã có trong MorphLink,5,"state, quality (noun)","trạng thái, tính chất (danh từ)","amplitude, aptitude, latitude, platitude, solitude",missing_words_analyzed+new_combinations
ity,Đã có trong MorphLink,6+,state or quality of (noun),"trạng thái, tính chất (danh từ)","ability, activity, curiosity, electricity, personality, productivity",missing_words_analyzed+new_combinations
ium,Đã có trong MorphLink,2,"chemical element / place (noun, Latin)","nguyên tố hóa học / nơi chốn (danh từ, Latin)","barium, gymnasium",missing_words_analyzed+new_combinations
ive,Đã có trong MorphLink,6+,"tending to, having nature of (adjective)","có xu hướng, có tính chất (tính từ)","alternative, effective, excessive, perspective, positive, productive",missing_words_analyzed+new_combinations
ize,Đã có trong MorphLink,6+,"to make, to become (verb)","làm cho, biến thành (động từ)","categorize, colonize, maximize, socialize, synthesize, utilize",missing_words_analyzed+new_combinations
less,Đã có trong MorphLink,6+,without (adjective),không có (tính từ),"carelessly, carelessness, endlessly, homelessness, reckless, relentless",missing_words_analyzed+new_combinations
let,Đã có trong MorphLink,4,small (diminutive noun),nhỏ (danh từ giảm nhẹ),"hamlet, platelet, triplet, wavelet",missing_words_analyzed+new_combinations
ling,Đã có trong MorphLink,6+,"small, young (diminutive noun)","nhỏ, non trẻ (danh từ giảm nhẹ)","cancelling, castling, channelling, compelling, fledgling, sapling",missing_words_analyzed+new_combinations
ly,Đã có trong MorphLink,6+,adverb of manner / adjective (like),trạng từ chỉ cách thức / tính từ (giống như),"actually, easily, especially, eventually, simply, ultimately",missing_words_analyzed+new_combinations
ment,Đã có trong MorphLink,6+,result/action/state (noun),kết quả/hành động/trạng thái (danh từ),"argument, entertainment, environment, environmental, investment, punishment",missing_words_analyzed+new_combinations
most,Đã có trong MorphLink,5,"superlative, farthest degree","cấp độ so sánh nhất (tính từ, VD southernmost)","furthermost, leftmost, rearmost, rightmost, undermost",new_combinations
n,Đã có trong MorphLink,6+,"[INFLECTION] past-participle ending (VD: blown, drawn)","[NGỮ PHÁP] đuôi phân từ quá khứ (VD blown, drawn)","american, australian, indian, russian, unforeseen, victorian",missing_words_analyzed
ness,Đã có trong MorphLink,6+,state or quality of (noun),"trạng thái, tính chất (danh từ)","competitiveness, effectiveness, homelessness, loneliness, mindedness, willingness",missing_words_analyzed+new_combinations
o,Đã có trong MorphLink,3,"[VARIANT] informal/loanword noun ending (VD: commando, weirdo)","[BIẾN THỂ] đuôi danh từ thông tục/từ mượn (VD commando, weirdo)","meritocracy, methodology, saxophone",missing_words_analyzed
ock,Đã có trong MorphLink,3,"small, diminutive (noun)","nhỏ (danh từ giảm nhẹ, VD hillock)","bullock, peacock, restock",missing_words_analyzed+new_combinations
ode,Đã có trong MorphLink,1,"way, path (Greek)","đường, lối (danh từ, Hy Lạp, VD electrode)",overrode,new_combinations
oid,Đã có trong MorphLink,2,"resembling, like (adjective)","giống như, có hình dạng (tính từ/danh từ, Hy Lạp)","humanoid, tabloid",new_combinations
on,Đã có trong MorphLink,6+,"unit, particle, state (noun)","[BIẾN THỂ] đuôi danh từ (đơn vị/hạt, từ mượn Hy Lạp/Pháp)","amazon, automaton, baron, boron, carrion, electron",missing_words_analyzed+new_combinations
or,Đã có trong MorphLink,6+,person/thing that does (noun),người/vật thực hiện (danh từ),"conductor, instructor, inventor, investor, professor, simulator",missing_words_analyzed+new_combinations
ory,Đã có trong MorphLink,6+,"relating to, place for (adjective/noun)","thuộc về, nơi chốn (tính từ/danh từ)","circulatory, mandatory, regulatory, repository, satisfactory, trajectory",missing_words_analyzed+new_combinations
ose,Đã có trong MorphLink,1,"full of, having qualities of (adjective); sugar (chemistry)","đầy, có tính chất (tính từ, VD grandiose); đường (hóa học, VD cellulose)",cellulose,missing_words_analyzed
our,Đã có trong MorphLink,1,"state, quality, action (British spelling variant)","[BIẾN THỂ CHÍNH TẢ] của ""-or"" (chính tả Anh-Anh, VD behaviour)",parkour,new_combinations
ous,Đã có trong MorphLink,6+,"full of, having (adjective)",có tính chất (tính từ),"ambitious, continuously, disastrous, mysterious, numerous, rigorous",missing_words_analyzed+new_combinations
ship,Đã có trong MorphLink,6+,"state, condition, skill (noun)","trạng thái, điều kiện, kỹ năng (danh từ)","apprenticeship, internship, leadership, ownership, relationship, scholarship",missing_words_analyzed+new_combinations
some,Đã có trong MorphLink,2,"tending to, characterized by (adjective)","có xu hướng, đặc trưng bởi (tính từ)","awesome, handsome",missing_words_analyzed+new_combinations
ster,Đã có trong MorphLink,3,"one who does, associated with (noun)",người làm việc gì (danh từ),"dumpster, speedster, spinster",new_combinations
t,Đã có trong MorphLink,4,"[INFLECTION] irregular past-tense ending (VD: burnt, dealt) — not meaning-bearing","[NGỮ PHÁP] đuôi chia động từ bất quy tắc (VD burnt, dealt) — không mang nghĩa riêng","complaint, constraint, islet, restraint",missing_words_analyzed
teen,Đã có trong MorphLink,1,plus ten (numbers 13-19),"mười cộng thêm (số, VD eighteen)",fifteen,missing_words_analyzed
th,Đã có trong MorphLink,6+,"ordinal number / state (noun, VD: eighth, warmth)","số thứ tự / trạng thái (danh từ, VD eighth, warmth)","billionth, dearth, depth, eighteenth, fifth, thirteenth",missing_words_analyzed+new_combinations
ule,Đã có trong MorphLink,3,small (diminutive noun),nhỏ (danh từ giảm nhẹ),"module, nodule, overrule",missing_words_analyzed+new_combinations
ure,Đã có trong MorphLink,6+,"action, result, process (noun)","hành động, kết quả, quá trình (danh từ)","composure, fracture, moisture, overexposure, procedure, sculpture",missing_words_analyzed+new_combinations
us,Đã có trong MorphLink,6+,Latin masculine noun ending,"[BIẾN THỂ] đuôi danh từ Latin (VD radius, stylus)","bonus, callus, campus, fondus, minus, quietus",new_combinations
ward,Đã có trong MorphLink,2,in the direction of (adjective/adverb),theo hướng (tính từ/trạng từ),"backwards, earthward",missing_words_analyzed+new_combinations
wise,Đã có trong MorphLink,1,in the manner of; direction,theo cách thức; hướng,pairwise,new_combinations
y,Đã có trong MorphLink,6+,having quality of; noun/adjective,có tính chất; danh từ/tính từ,"difficulty, discovery, fully, healthy, probably, wealthy",missing_words_analyzed
