word,trang_thai,cong_thuc_hoac_nguon,meaning_en,meaning_vi
embodiment,Đã có trong MorphLink,co san trong du lieu goc,giving concrete form to an abstract concept,"en-(làm cho, đưa vào) + body(cơ thể) + -ment(kết quả/hành động/trạng thái (danh từ))"
embody,Đã có trong MorphLink,co san trong du lieu goc,to express or represent an idea or a quality,"en-(làm cho, đưa vào) + body(cơ thể)"
embolden,Đã có trong MorphLink,co san trong du lieu goc,give encouragement to,"en-(làm cho, đưa vào) + bold(táo bạo, đậm) + -en(làm cho (động từ); làm bằng (tính từ))"
emboss,Đã có trong MorphLink,co san trong du lieu goc,raise in a relief,"en-(làm cho, đưa vào) + boss(ông chủ)"
emerge,Đã có trong MorphLink,co san trong du lieu goc,to move out of or away from something and become possible to see ,e-(ra khỏi (biến thể của ex-)) + merge(sáp nhập)
emergence,Đã có trong MorphLink,co san trong du lieu goc,the fact of somebody/something moving out of or away from something and becoming possible to see,"e-(ra khỏi (biến thể của ex-)) + merge(sáp nhập) + -ance(trạng thái, tính chất, hành động (danh từ))"
emergent,Đã có trong MorphLink,co san trong du lieu goc,coming into existence,e-(ra khỏi (biến thể của ex-)) + merge(sáp nhập) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ))
emissary,Đã có trong MorphLink,co san trong du lieu goc,someone sent on a mission to represent the interests of someone else,"e-(ra khỏi (biến thể của ex-)) + miss(nhớ, bỏ lỡ) + -ory(thuộc về, nơi chốn (tính từ/danh từ))"
empanels,Đã có trong MorphLink,co san trong du lieu goc,"en-(to make, put into) + panel(a square or rectangular piece of wood, glass or metal that forms part of a larger surface such as a door or wall)","en-(làm cho, đưa vào) + panel(bảng điều khiển)"
empathy,Đã có trong MorphLink,co san trong du lieu goc,understanding and entering into another's feelings,"en-(làm cho, đưa vào) + patho(bệnh lý (gốc từ)) + -y(có tính chất; danh từ/tính từ)"
emplacement,Đã có trong MorphLink,co san trong du lieu goc,the act of putting something in a certain place,"en-(làm cho, đưa vào) + place(địa điểm) + -ment(kết quả/hành động/trạng thái (danh từ))"
employable,Đã có trong MorphLink,co san trong du lieu goc,physically and mentally capable of working at a regular job and available,"employ(thuê, tuyển dụng) + -able(có thể được (tính từ))"
employee,Đã có trong MorphLink,co san trong du lieu goc,a person who is paid to work for somebody,"employ(thuê, tuyển dụng) + -ee(người nhận/chịu tác động (danh từ))"
employer,Đã có trong MorphLink,co san trong du lieu goc,a person or company that pays people to work for them,"employ(thuê, tuyển dụng) + -er(người làm việc gì; so sánh hơn)"
employment,Đã có trong MorphLink,co san trong du lieu goc,"work, especially when it is done to earn money; the state of being employed","employ(thuê, tuyển dụng) + -ment(kết quả/hành động/trạng thái (danh từ))"
empower,Đã có trong MorphLink,co san trong du lieu goc,to give somebody the power or authority to do something,"en-(làm cho, đưa vào) + power(quyền lực, sức mạnh)"
emptier,Đã có trong MorphLink,co san trong du lieu goc,"One who, or that which, empties.",empty(trống rỗng) + -er(người làm việc gì; so sánh hơn)
emptiest,Đã có trong MorphLink,co san trong du lieu goc,empty(with no people or things inside) + -est(superlative),empty(trống rỗng) + -est(so sánh nhất)
emptily,Đã có trong MorphLink,co san trong du lieu goc,empty(with no people or things inside) + -ly(adverb of manner / adjective (like)),empty(trống rỗng) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
emptiness,Đã có trong MorphLink,co san trong du lieu goc,the quality of being valueless or futile,"empty(trống rỗng) + -ness(trạng thái, tính chất (danh từ))"
empurpled,Đã có trong MorphLink,co san trong du lieu goc,excessively elaborate or showily expressed,"en-(làm cho, đưa vào) + purple(màu tím)"
enable,Đã có trong MorphLink,co san trong du lieu goc,to make it possible for somebody/something to do something,"en-(làm cho, đưa vào) + able(có khả năng)"
enact,Đã có trong MorphLink,co san trong du lieu goc,to pass a law,"en-(làm cho, đưa vào) + act(hành động, đạo luật)"
enactment,Đã có trong MorphLink,co san trong du lieu goc,acting the part of a character on stage,"en-(làm cho, đưa vào) + act(hành động, đạo luật) + -ment(kết quả/hành động/trạng thái (danh từ))"
encamp,Đã có trong MorphLink,co san trong du lieu goc,live in or as if in a tent,"en-(làm cho, đưa vào) + camp(trại)"
encampment,Đã có trong MorphLink,co san trong du lieu goc,the act of encamping and living in tents in a camp,"en-(làm cho, đưa vào) + camp(trại) + -ment(kết quả/hành động/trạng thái (danh từ))"
encase,Đã có trong MorphLink,co san trong du lieu goc,"enclose in, or as if in, a case","en-(làm cho, đưa vào) + case(trường hợp, vali)"
enchain,Đã có trong MorphLink,co san trong du lieu goc,restrain or bind with chains,"en-(làm cho, đưa vào) + chain(dây xích, chuỗi)"
enchainment,Đã có trong MorphLink,co san trong du lieu goc,"The act of enchaining, or state of being enchained.","en-(làm cho, đưa vào) + chain(dây xích, chuỗi) + -ment(kết quả/hành động/trạng thái (danh từ))"
encircle,Đã có trong MorphLink,co san trong du lieu goc,bind with something round or circular,"en-(làm cho, đưa vào) + circle(vòng tròn)"
encirclement,Đã có trong MorphLink,co san trong du lieu goc,a war measure that isolates some area of importance to the enemy,"en-(làm cho, đưa vào) + circle(vòng tròn) + -ment(kết quả/hành động/trạng thái (danh từ))"
enclose,Đã có trong MorphLink,co san trong du lieu goc,introduce,"en-(làm cho, đưa vào) + close(đóng lại, gần)"
enclosure,Đã có trong MorphLink,co san trong du lieu goc,the act of enclosing something inside something else,"en-(làm cho, đưa vào) + close(đóng lại, gần) + -ure(hành động, kết quả, quá trình (danh từ))"
encode,Đã có trong MorphLink,co san trong du lieu goc,convert information into code,"en-(làm cho, đưa vào) + code(mã, quy tắc)"
encounter,Đã có trong MorphLink,co san trong du lieu goc,"a meeting, especially one that is sudden, unexpected or violent","en-(làm cho, đưa vào) + counter(quầy, đối kháng)"
encourage,Đã có trong MorphLink,co san trong du lieu goc,"to give somebody support, courage or hope","en-(làm cho, đưa vào) + courage(lòng dũng cảm)"
encouragement,Đã có trong MorphLink,co san trong du lieu goc,the act of encouraging somebody to do something; something that encourages somebody,"en-(làm cho, đưa vào) + courage(lòng dũng cảm) + -ment(kết quả/hành động/trạng thái (danh từ))"
encouragingly,Đã có trong MorphLink,co san trong du lieu goc,in an encouraging manner,"en-(làm cho, đưa vào) + courage(lòng dũng cảm) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
encyclical,Đã có trong MorphLink,co san trong du lieu goc,intended for wide distribution,"en-(làm cho, đưa vào) + cycle(chu kỳ, xe đạp) + -ic(thuộc về (tính từ)) + -al(thuộc về (tính từ); hành động (danh từ))"
endanger,Đã có trong MorphLink,co san trong du lieu goc,"put in a dangerous, disadvantageous, or difficult position","en-(làm cho, đưa vào) + danger(nguy hiểm)"
endeared,Đã có trong MorphLink,co san trong du lieu goc,"en-(to make, put into) + dear(used at the beginning of a letter before the name or title of the person that you are writing to)","en-(làm cho, đưa vào) + dear(thân yêu)"
endearingly,Đã có trong MorphLink,co san trong du lieu goc,in an adorable manner,"en-(làm cho, đưa vào) + dear(thân yêu) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
endearment,Đã có trong MorphLink,co san trong du lieu goc,the act of showing affection,"en-(làm cho, đưa vào) + dear(thân yêu) + -ment(kết quả/hành động/trạng thái (danh từ))"
endgame,Đã có trong MorphLink,co san trong du lieu goc,the final stages of a chess game after most of the pieces have been removed from the board,end+game(kết thúc + trò chơi)
endless,Đã có trong MorphLink,co san trong du lieu goc,very large in size or amount and seeming to have no end,end(kết thúc) + -less(không có (tính từ))
endlessly,Đã có trong MorphLink,co san trong du lieu goc,continuing forever without end,end(kết thúc) + -less(không có (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
endorsement,Đã có trong MorphLink,co san trong du lieu goc,a public statement or action showing that you support somebody/something,"endorse(chứng thực, ủng hộ) + -ment(kết quả/hành động/trạng thái (danh từ))"
endpaper,Đã có trong MorphLink,co san trong du lieu goc,"end+paper(the final part of a period of time, an event, an activity or a story + the thin material that you write and draw on and that is also used for wrapping and packing things)",end+paper(kết thúc + giấy)
endpoints,Đã có trong MorphLink,co san trong du lieu goc,"end+point(the final part of a period of time, an event, an activity or a story + a thing that somebody says or writes giving their opinion or stating a fact)","end+point(kết thúc + điểm, chỉ ra)"
endurable,Đã có trong MorphLink,co san trong du lieu goc,capable of being borne though unpleasant,endure(chịu đựng) + -able(có thể được (tính từ))
endurance,Đã có trong MorphLink,co san trong du lieu goc,the power to withstand hardship or stress,"endure(chịu đựng) + -ance(trạng thái, tính chất, hành động (danh từ))"
enduringly,Đã có trong MorphLink,co san trong du lieu goc,in an enduring manner,endure(chịu đựng) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
enfold,Đã có trong MorphLink,co san trong du lieu goc,enclose or enfold completely with or as if with a covering,"en-(làm cho, đưa vào) + fold(gấp lại)"
enforce,Đã có trong MorphLink,co san trong du lieu goc,to make sure that people obey a particular law or rule,"en-(làm cho, đưa vào) + force(lực lượng, ép buộc)"
enforceable,Đã có trong MorphLink,co san trong du lieu goc,capable of being enforced,"en-(làm cho, đưa vào) + force(lực lượng, ép buộc) + -able(có thể được (tính từ))"
enforcement,Đã có trong MorphLink,co san trong du lieu goc,the act of making people obey a particular law or rule,"en-(làm cho, đưa vào) + force(lực lượng, ép buộc) + -ment(kết quả/hành động/trạng thái (danh từ))"
enforcers,Đã có trong MorphLink,co san trong du lieu goc,"en-(to make, put into) + force(violent physical action used to obtain or achieve something) + -er(person who does; comparative)","en-(làm cho, đưa vào) + force(lực lượng, ép buộc) + -er(người làm việc gì; so sánh hơn)"
enfranchise,Đã có trong MorphLink,co san trong du lieu goc,grant voting rights,"en-(làm cho, đưa vào) + franchise(nhượng quyền)"
enfranchisement,Đã có trong MorphLink,co san trong du lieu goc,the act of certifying or bestowing a franchise on,"en-(làm cho, đưa vào) + franchise(nhượng quyền) + -ment(kết quả/hành động/trạng thái (danh từ))"
engagement,Đã có trong MorphLink,co san trong du lieu goc,an agreement to marry somebody; the period during which two people are engaged,"engage(tham gia, cam kết) + -ment(kết quả/hành động/trạng thái (danh từ))"
engagingly,Đã có trong MorphLink,co san trong du lieu goc,in an engaging manner,"engage(tham gia, cam kết) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
engender,Đã có trong MorphLink,co san trong du lieu goc,make children,"en-(làm cho, đưa vào) + gender(giới tính)"
engineer,Đã có trong MorphLink,co san trong du lieu goc,"a person whose job involves designing and building engines, machines, roads, bridges, etc.","engine(động cơ) + -eer(người liên quan đến (danh từ, VD engineer))"
engrave,Đã có trong MorphLink,co san trong du lieu goc,"carve, cut, or etch into a material or surface","en-(làm cho, đưa vào) + grave(ngôi mộ, nghiêm trọng)"
engraver,Đã có trong MorphLink,co san trong du lieu goc,a printmaker who prints from an engraved printing plate,"en-(làm cho, đưa vào) + grave(ngôi mộ, nghiêm trọng) + -er(người làm việc gì; so sánh hơn)"
engross,Đã có trong MorphLink,co san trong du lieu goc,consume all of one's attention or time,"en-(làm cho, đưa vào) + gross(tổng, thô thiển)"
engrossingly,Đã có trong MorphLink,co san trong du lieu goc,"en-(to make, put into) + gross(being the total amount of something before anything is taken away) + -ly(adverb of manner / adjective (like))","en-(làm cho, đưa vào) + gross(tổng, thô thiển) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
enhancement,Đã có trong MorphLink,co san trong du lieu goc,an improvement that makes something more agreeable,enhance(nâng cao) + -ment(kết quả/hành động/trạng thái (danh từ))
enjoins,Đã có trong MorphLink,co san trong du lieu goc,"en-(to make, put into) + join(to fix or connect two or more things together)","en-(làm cho, đưa vào) + join(tham gia)"
enjoy,Đã có trong MorphLink,co san trong du lieu goc,to get pleasure from something,"en-(làm cho, đưa vào) + joy(niềm vui)"
enjoyable,Đã có trong MorphLink,co san trong du lieu goc,giving pleasure,"en-(làm cho, đưa vào) + joy(niềm vui) + -able(có thể được (tính từ))"
enjoyably,Đã có trong MorphLink,co san trong du lieu goc,in an enjoyable manner,"en-(làm cho, đưa vào) + joy(niềm vui) + -able(có thể được (tính từ)) + -y(có tính chất; danh từ/tính từ)"
enjoyment,Đã có trong MorphLink,co san trong du lieu goc,act of receiving pleasure from something,"en-(làm cho, đưa vào) + joy(niềm vui) + -ment(kết quả/hành động/trạng thái (danh từ))"
enlarge,Đã có trong MorphLink,co san trong du lieu goc,make larger,"en-(làm cho, đưa vào) + large(to lớn)"
enlargement,Đã có trong MorphLink,co san trong du lieu goc,the act of increasing (something) in size or volume or quantity or scope,"en-(làm cho, đưa vào) + large(to lớn) + -ment(kết quả/hành động/trạng thái (danh từ))"
enlighten,Đã có trong MorphLink,co san trong du lieu goc,make free from confusion or ambiguity,"en-(làm cho, đưa vào) + light(ánh sáng, nhẹ) + -en(làm cho (động từ); làm bằng (tính từ))"
enlightenment,Đã có trong MorphLink,co san trong du lieu goc,education that results in understanding and the spread of knowledge,"en-(làm cho, đưa vào) + light(ánh sáng, nhẹ) + -en(làm cho (động từ); làm bằng (tính từ)) + -ment(kết quả/hành động/trạng thái (danh từ))"
enlist,Đã có trong MorphLink,co san trong du lieu goc,join the military,"en-(làm cho, đưa vào) + list(danh sách)"
enlistment,Đã có trong MorphLink,co san trong du lieu goc,the act of enlisting (as in a military service),"en-(làm cho, đưa vào) + list(danh sách) + -ment(kết quả/hành động/trạng thái (danh từ))"
enliven,Đã có trong MorphLink,co san trong du lieu goc,make lively,"en-(làm cho, đưa vào) + live(sống) + -en(làm cho (động từ); làm bằng (tính từ))"
ennoble,Đã có trong MorphLink,co san trong du lieu goc,give a title to someone,"en-(làm cho, đưa vào) + noble(cao quý)"
ennoblement,Đã có trong MorphLink,co san trong du lieu goc,the act of raising someone to the nobility,"en-(làm cho, đưa vào) + noble(cao quý) + -ment(kết quả/hành động/trạng thái (danh từ))"
enormously,Đã có trong MorphLink,co san trong du lieu goc,"extremely, far beyond average",enorm(to lớn (gốc từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
enormousness,Đã có trong MorphLink,co san trong du lieu goc,unusual largeness in size or extent or number,"enorm(to lớn (gốc từ)) + -ness(trạng thái, tính chất (danh từ))"
enplane,Đã có trong MorphLink,co san trong du lieu goc,board a plane,"en-(làm cho, đưa vào) + plane(máy bay, mặt phẳng)"
enrage,Đã có trong MorphLink,co san trong du lieu goc,put into a rage,"en-(làm cho, đưa vào) + rage(cơn thịnh nộ)"
enrich,Đã có trong MorphLink,co san trong du lieu goc,"to improve the quality of something, often by adding something to it","en-(làm cho, đưa vào) + rich(giàu có)"
enrichment,Đã có trong MorphLink,co san trong du lieu goc,act of making fuller or more meaningful or rewarding,"en-(làm cho, đưa vào) + rich(giàu có) + -ment(kết quả/hành động/trạng thái (danh từ))"
enrolled,Đã có trong MorphLink,co san trong du lieu goc,"en-(to make, put into) + roll(a small loaf of bread for one person)","en-(làm cho, đưa vào) + roll(cuộn lại, lăn)"
enrolment,Đã có trong MorphLink,co san trong du lieu goc,the act of enrolling,"en-(làm cho, đưa vào) + roll(cuộn lại, lăn) + -ment(kết quả/hành động/trạng thái (danh từ))"
enslave,Đã có trong MorphLink,co san trong du lieu goc,make a slave of,"en-(làm cho, đưa vào) + slave(nô lệ)"
enslavement,Đã có trong MorphLink,co san trong du lieu goc,the state of being a slave,"en-(làm cho, đưa vào) + slave(nô lệ) + -ment(kết quả/hành động/trạng thái (danh từ))"
ensure,Đã có trong MorphLink,co san trong du lieu goc,to make sure that something happens or is definite,"en-(làm cho, đưa vào) + sure(chắc chắn)"
entail,Đã có trong MorphLink,co san trong du lieu goc,the act of entailing property,"en-(làm cho, đưa vào) + tail(đuôi)"
enteritis,Đã có trong MorphLink,co san trong du lieu goc,inflammation of the intestine (especially the small intestine),"enter(đi vào) + -itis(viêm, bệnh (danh từ, Hy Lạp/y học))"
enterprisingly,Đã có trong MorphLink,co san trong du lieu goc,in an enterprising manner,enterprise(doanh nghiệp) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
entirely,Đã có trong MorphLink,co san trong du lieu goc,in every way possible; completely,entire(toàn bộ) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
entirety,Đã có trong MorphLink,co san trong du lieu goc,the state of being total and complete,"entire(toàn bộ) + -ity(trạng thái, tính chất (danh từ))"
entitle,Đã có trong MorphLink,co san trong du lieu goc,to give somebody the right to have or to do something,"en-(làm cho, đưa vào) + title(tiêu đề, chức danh)"
entitlement,Đã có trong MorphLink,co san trong du lieu goc,right granted by law or contract (especially a right to benefits),"en-(làm cho, đưa vào) + title(tiêu đề, chức danh) + -ment(kết quả/hành động/trạng thái (danh từ))"
entrain,Đã có trong MorphLink,co san trong du lieu goc,board a train,"en-(làm cho, đưa vào) + train(tàu hỏa, huấn luyện)"
entrance,Đã có trong MorphLink,co san trong du lieu goc,"a door, gate, passage, etc. used for entering a room, building or place","enter(đi vào) + -ance(trạng thái, tính chất, hành động (danh từ))"
entrant,Đã có trong MorphLink,co san trong du lieu goc,a commodity that enters competition with established merchandise,enter(đi vào) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ))
entrap,Đã có trong MorphLink,co san trong du lieu goc,catch in or as if in a trap,"en-(làm cho, đưa vào) + trap(cái bẫy)"
entrapment,Đã có trong MorphLink,co san trong du lieu goc,a defense that claims the defendant would not have broken the law if not tricked into doing it by law enforcement officials,"en-(làm cho, đưa vào) + trap(cái bẫy) + -ment(kết quả/hành động/trạng thái (danh từ))"
entreat,Đã có trong MorphLink,co san trong du lieu goc,ask for or request earnestly,"en-(làm cho, đưa vào) + treat(đối xử, điều trị)"
entreatingly,Đã có trong MorphLink,co san trong du lieu goc,in a beseeching manner,"en-(làm cho, đưa vào) + treat(đối xử, điều trị) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
entreaty,Đã có trong MorphLink,co san trong du lieu goc,earnest or urgent request,"en-(làm cho, đưa vào) + treat(đối xử, điều trị) + -y(có tính chất; danh từ/tính từ)"
entrepreneurial,Đã có trong MorphLink,co san trong du lieu goc,willing to take risks in order to make a profit,entrepreneur(doanh nhân) + -al(thuộc về (tính từ); hành động (danh từ))
entrust,Đã có trong MorphLink,co san trong du lieu goc,confer a trust upon,"en-(làm cho, đưa vào) + trust(tin tưởng)"
entry,Đã có trong MorphLink,co san trong du lieu goc,an act of going into or getting into a place,enter(đi vào) + -y(có tính chất; danh từ/tính từ)
enwrap,Đã có trong MorphLink,co san trong du lieu goc,enclose or enfold completely with or as if with a covering,"en-(làm cho, đưa vào) + wrap(gói lại)"
epicentre,Đã có trong MorphLink,co san trong du lieu goc,the point on the Earth's surface directly above the focus of an earthquake,"epi-(trên, phía trên (Hy Lạp)) + centre(trung tâm)"
epicycle,Đã có trong MorphLink,co san trong du lieu goc,a circle that rolls around (inside or outside) another circle,"epi-(trên, phía trên (Hy Lạp)) + cycle(chu kỳ, xe đạp)"
epicyclically,Đã có trong MorphLink,co san trong du lieu goc,"epi-(upon, above (Greek)) + cycle(a bicycle or motorcycle) + -ic(relating to (adjective)) + -ally(adverb form of -ic adjectives (VD: automatically))","epi-(trên, phía trên (Hy Lạp)) + cycle(chu kỳ, xe đạp) + -ic(thuộc về (tính từ)) + -ally(dạng trạng từ của tính từ -ic (VD automatically))"
epidemiological,Đã có trong MorphLink,co san trong du lieu goc,of or relating to epidemiology,"demi-(nửa) + epi-(trên, phía trên (Hy Lạp)) + log(khúc gỗ, nhật ký) + -ic(thuộc về (tính từ)) + -al(thuộc về (tính từ); hành động (danh từ))"
epigenetic,Đã có trong MorphLink,co san trong du lieu goc,Of or pertaining to the epigenesis; produced according to thetheory of epigenesis.,"epi-(trên, phía trên (Hy Lạp)) + gen(gen (di truyền)) + -ic(thuộc về (tính từ))"
epilogue,Đã có trong MorphLink,co san trong du lieu goc,a short passage added at the end of a literary work,"epi-(trên, phía trên (Hy Lạp)) + log(khúc gỗ, nhật ký)"
episodic,Đã có trong MorphLink,co san trong du lieu goc,limited in duration to a single episode,"episode(tập phim, giai đoạn) + -ic(thuộc về (tính từ))"
episodically,Đã có trong MorphLink,co san trong du lieu goc,in an episodic manner,"episode(tập phim, giai đoạn) + -ic(thuộc về (tính từ)) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
equipage,Đã có trong MorphLink,co san trong du lieu goc,a vehicle with wheels drawn by one or more horses,"equip(trang bị) + -age(hành động, kết quả, tập hợp (danh từ))"
equipment,Đã có trong MorphLink,co san trong du lieu goc,the things that are needed for a particular purpose or activity,equip(trang bị) + -ment(kết quả/hành động/trạng thái (danh từ))
erection,Đã có trong MorphLink,co san trong du lieu goc,the act of building or putting up,"erect(dựng đứng) + -ion(hành động, quá trình, trạng thái (danh từ))"
erectly,Đã có trong MorphLink,co san trong du lieu goc,in a straight-backed manner,erect(dựng đứng) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
erectness,Đã có trong MorphLink,co san trong du lieu goc,position at right angles to the horizon,"erect(dựng đứng) + -ness(trạng thái, tính chất (danh từ))"
erwin,Đã có trong MorphLink,co san trong du lieu goc,"er-(er) + win(a victory in a game, contest, etc.)",er-(er) + win(chiến thắng)
escalation,Đã có trong MorphLink,co san trong du lieu goc,an increase to counteract a perceived discrepancy,"escalate(leo thang) + -ion(hành động, quá trình, trạng thái (danh từ))"
escalator,Đã có trong MorphLink,co san trong du lieu goc,a stairway whose steps move continuously on a circulating belt,escalate(leo thang) + -or(người/vật thực hiện (danh từ))
escapable,Đã có trong MorphLink,co san trong du lieu goc,Avoidable.,escape(trốn thoát) + -able(có thể được (tính từ))
escapade,Đã có trong MorphLink,co san trong du lieu goc,any carefree episode,"escape(trốn thoát) + -ade(hành động, kết quả; đồ uống ngọt (danh từ, VD blockade, lemonade))"
escapee,Đã có trong MorphLink,co san trong du lieu goc,someone who has escaped,escape(trốn thoát) + -ee(người nhận/chịu tác động (danh từ))
escapism,Đã có trong MorphLink,co san trong du lieu goc,an inclination to retreat from unpleasant realities through diversion or fantasy,"escape(trốn thoát) + -ism(niềm tin, học thuyết, tình trạng (danh từ))"
escapist,Đã có trong MorphLink,co san trong du lieu goc,a person who escapes into a world of fantasy,escape(trốn thoát) + -ist(người theo/thực hành (danh từ))
escapologist,Đã có trong MorphLink,co san trong du lieu goc,an entertainer who is expert in the art of escaping,"escape+log(trốn thoát + khúc gỗ, nhật ký) + -ist(người theo/thực hành (danh từ))"
escapology,Đã có trong MorphLink,co san trong du lieu goc,the study of methods of escaping (especially as a form of entertainment),"escape+log(trốn thoát + khúc gỗ, nhật ký) + -y(có tính chất; danh từ/tính từ)"
especial,Đã có trong MorphLink,co san trong du lieu goc,surpassing what is common or usual or expected,e-(ra khỏi (biến thể của ex-)) + special(đặc biệt)
especially,Đã có trong MorphLink,co san trong du lieu goc,"more with one person, thing, etc. than with others, or more in particular circumstances than in others ",e-(ra khỏi (biến thể của ex-)) + special(đặc biệt) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
espousal,Đã có trong MorphLink,co san trong du lieu goc,the act of accepting with approval,e-(ra khỏi (biến thể của ex-)) + spouse(vợ/chồng) + -al(thuộc về (tính từ); hành động (danh từ))
espouse,Đã có trong MorphLink,co san trong du lieu goc,"take up the cause, ideology, practice, method, of someone and use it as one's own",e-(ra khỏi (biến thể của ex-)) + spouse(vợ/chồng)
essayist,Đã có trong MorphLink,co san trong du lieu goc,a writer of literary works,essay(bài luận) + -ist(người theo/thực hành (danh từ))
essential,Đã có trong MorphLink,co san trong du lieu goc,completely necessary; extremely important in a particular situation or for a particular activity ,essence(bản chất) + -al(thuộc về (tính từ); hành động (danh từ))
essentially,Đã có trong MorphLink,co san trong du lieu goc,"when you think about the true, important or basic nature of somebody/something ",essence(bản chất) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
establishment,Đã có trong MorphLink,co san trong du lieu goc,"an organization, a large institution or a hotel",establish(thành lập) + -ment(kết quả/hành động/trạng thái (danh từ))
estrange,Đã có trong MorphLink,co san trong du lieu goc,"arouse hostility or indifference in where there had formerly been love, affection, or friendliness",e-(ra khỏi (biến thể của ex-)) + strange(kỳ lạ)
estrangement,Đã có trong MorphLink,co san trong du lieu goc,the feeling of being alienated from other people,e-(ra khỏi (biến thể của ex-)) + strange(kỳ lạ) + -ment(kết quả/hành động/trạng thái (danh từ))
eternally,Đã có trong MorphLink,co san trong du lieu goc,for a limitless time,eternal(vĩnh cửu) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
ethical,Đã có trong MorphLink,co san trong du lieu goc,connected with beliefs and principles about what is right and wrong,ethic(đạo đức) + -al(thuộc về (tính từ); hành động (danh từ))
ethically,Đã có trong MorphLink,co san trong du lieu goc,in an ethical manner,ethic(đạo đức) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
ethicist,Đã có trong MorphLink,co san trong du lieu goc,a philosopher who specializes in ethics,ethic(đạo đức) + -ist(người theo/thực hành (danh từ))
eugenic,Đã có trong MorphLink,co san trong du lieu goc,pertaining to or causing improvement in the offspring produced,"eu-(tốt, đẹp (Hy Lạp)) + gen(gen (di truyền)) + -ic(thuộc về (tính từ))"
eugenically,Đã có trong MorphLink,co san trong du lieu goc,"eu-(good, well (Greek)) + gen((không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập)) + -ic(relating to (adjective)) + -ly(adverb of manner / adjective (like))","eu-(tốt, đẹp (Hy Lạp)) + gen(gen (di truyền)) + -ic(thuộc về (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
eugenics,Đã có trong MorphLink,co san trong du lieu goc,the study of methods of improving genetic qualities by selective breeding (especially as applied to human mating),"eu-(tốt, đẹp (Hy Lạp)) + gen(gen (di truyền)) + -ics(lĩnh vực nghiên cứu (danh từ))"
eulogist,Đã có trong MorphLink,co san trong du lieu goc,an orator who delivers eulogies or panegyrics,"eu-(tốt, đẹp (Hy Lạp)) + log(khúc gỗ, nhật ký) + -ist(người theo/thực hành (danh từ))"
eulogistic,Đã có trong MorphLink,co san trong du lieu goc,formally expressing praise,"eu-(tốt, đẹp (Hy Lạp)) + log(khúc gỗ, nhật ký) + -ist(người theo/thực hành (danh từ)) + -ic(thuộc về (tính từ))"
eulogistically,Đã có trong MorphLink,co san trong du lieu goc,"eu-(good, well (Greek)) + log(a thick piece of wood that is cut from or has fallen from a tree) + -ist(person who practices/believes (noun)) + -ic(relating to (adjective)) + -ly(adverb of manner / adjective (like))","eu-(tốt, đẹp (Hy Lạp)) + log(khúc gỗ, nhật ký) + -ist(người theo/thực hành (danh từ)) + -ic(thuộc về (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
eulogize,Đã có trong MorphLink,co san trong du lieu goc,praise formally and eloquently,"eu-(tốt, đẹp (Hy Lạp)) + log(khúc gỗ, nhật ký) + -ize(làm cho, biến thành (động từ))"
eulogizers,Đã có trong MorphLink,co san trong du lieu goc,"eu-(good, well (Greek)) + log(a thick piece of wood that is cut from or has fallen from a tree) + -ize(to make, to become (verb)) + -er(person who does; comparative)","eu-(tốt, đẹp (Hy Lạp)) + log(khúc gỗ, nhật ký) + -ize(làm cho, biến thành (động từ)) + -er(người làm việc gì; so sánh hơn)"
eulogy,Đã có trong MorphLink,co san trong du lieu goc,a formal expression of praise,"eu-(tốt, đẹp (Hy Lạp)) + log(khúc gỗ, nhật ký) + -y(có tính chất; danh từ/tính từ)"
euphonious,Đã có trong MorphLink,co san trong du lieu goc,having a pleasant sound,"eu-(tốt, đẹp (Hy Lạp)) + phon(âm thanh (gốc từ)) + -ious(có tính chất (tính từ))"
