root_word,meaning_en,meaning_vi
department,"a section of a large organization such as a government, business, university, etc.",phòng ban
deploy,to move soldiers or weapons into a position where they are ready for military action,triển khai
deposit,a sum of money that is given as the first part of a larger payment,"tiền gửi, đặt cọc"
deprive,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),tước đoạt
derive,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),bắt nguồn từ
descend,to come or go down from a higher to a lower level,đi xuống
desert,a large area of land that has very little water and very few plants growing on it. Many deserts are covered by sand.,"sa mạc, bỏ rơi"
design,"the general arrangement of the different parts of something that is made, such as a building, book, machine, etc.",thiết kế
desire,a strong wish to have or do something,khao khát
desk,"a piece of furniture like a table, often with drawers (= parts like boxes in it with handles on the front for pulling them open), that you sit at to read, write, work, etc.",bàn làm việc
desperate,feeling or showing that you have little hope and are ready to do anything without worrying about danger to yourself or others,tuyệt vọng
destroy,"to damage something so badly that it no longer exists, works, etc.",phá hủy
detect,"to discover or notice something, especially something that is not easy to see, hear, etc.",phát hiện
deteriorate,to become worse,xấu đi
determine,to discover the facts about something; to calculate something exactly,xác định
devastate,to completely destroy a place or an area,tàn phá
develop,"to gradually grow or become bigger, more advanced, stronger, etc.; to make something do this",phát triển
devil,the most powerful evil being,ác quỷ
devise,to invent something new or a new way of doing something,"nghĩ ra, phát minh"
devote,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),cống hiến
diagram,"a simple drawing using lines to explain where something is, how something works, etc.",sơ đồ
die,to stop living,chết
diet,the food and drink that you eat and drink regularly,chế độ ăn kiêng
differ,to be different from somebody/something,khác nhau
difficult,not easy; needing effort or skill to do or to understand,khó khăn
dig,"to make a hole in the ground or to move soil from one place to another using your hands, a tool or a machine",đào
dimension,"a measurement in space, for example how high, wide or long something is","chiều, kích thước"
diminish,"to become smaller, weaker, etc.; to make something become smaller, weaker, etc.",giảm bớt
dinner,"the main meal of the day, eaten either in the middle of the day or in the evening",bữa tối
dip,to put something quickly into a liquid and take it out again,nhúng vào
direct,going in the straightest line between two places without stopping or changing direction,trực tiếp
dirt,"any substance that makes something dirty, for example dust, soil or mud",bụi bẩn
disaster,"an unexpected event, such as a very bad accident, a flood or a fire, that kills a lot of people or causes a lot of damage",thảm họa
discipline,the practice of training people to obey rules and orders and punishing them if they do not; the controlled behaviour or situation that is the result of this training ,kỷ luật
discours,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),diễn ngôn (gốc từ)
discover,to be the first person to become aware that a particular place or thing exists,khám phá
dish,a flat shallow container for cooking food in or serving it from,"món ăn, đĩa"
disk,a thin flat round object,đĩa
dispute,"an argument between two people, groups or countries; discussion about a subject on which people disagree",tranh chấp
distance,the amount of space between two places or things,khoảng cách
distant,far away in space or time,xa xôi
distinct,"easily or clearly heard, seen, felt, etc.",khác biệt
distinguish,to recognize the difference between two people or things,phân biệt
distress,a feeling of great worry or unhappiness; great mental pain,đau khổ
disturb,"to interrupt somebody when they are trying to work, sleep, etc.",quấy rầy
dive,a jump into deep water with your head first and your arms in front of you,lặn
diverse,very different from each other and of various kinds,đa dạng
divide,a difference between two groups of people or two things that separates them from each other,chia
divine,coming from or connected with God or a god,thần thánh
divorce,the legal ending of a marriage,ly hôn
do,used to refer to actions that you do not mention by name or do not know about,làm
doctor,"a person who has been trained in medical science, whose job is to treat people who are ill or injured",bác sĩ
doctrine,"a belief or set of beliefs held and taught by a Church, a political party, etc.",học thuyết
document,"an official paper, book or electronic file that gives information about something, or that can be used as evidence or proof of something",tài liệu
dog,"an animal with four legs and a tail, often kept as a pet or trained for work, for example hunting or guarding buildings. There are many types of dog, some of which are wild.",con chó
domestic,of or inside a particular country; not foreign or international,"trong nước, nội trợ"
door,"a piece of wood, glass, etc. that is opened and closed so that people can get in and out of a room, building, car, etc.; a similar thing in a cupboard",cửa
dose,"an amount of a medicine or a drug that is taken once, or regularly over a period of time",liều lượng
dot,"a small round mark, especially one that is printed",chấm
double,twice as much or as many as usual,gấp đôi
doubt,a feeling of being uncertain about something or not believing something,nghi ngờ
down,to or at a lower place or position,xuống
draft,a rough written version of something that is not yet in its final form,bản nháp
drag,to pull somebody/something along with effort and difficulty,kéo lê
drain,to make something empty or dry by removing the liquid from it; to become empty or dry in this way,thoát nước
drama,"a play for the theatre, television or radio",kịch
draw,"to make pictures, or a picture of something, with a pencil, pen or chalk (but not paint)","vẽ, kéo"
dream,"a series of images, events and feelings that happen in your mind while you are asleep",giấc mơ
dress,"a piece of clothing that is made in one piece and hangs down to cover the body as far as the legs, sometimes reaching to below the knees, or to the ankles","váy, mặc quần áo"
drift,to move along smoothly and slowly in water or air,trôi dạt
drink,a liquid for drinking; an amount of a liquid that you drink,uống
drive,a journey in a car or other vehicle,lái xe
drop,a very small amount of liquid that forms a round shape,"rơi, giọt"
drug,"an illegal substance that some people smoke, inject, etc. for the physical and mental effects it has","thuốc, ma túy"
drum,a musical instrument made of a hollow round frame with plastic or skin stretched tightly across one or both ends. You play it by hitting it with sticks or with your hands.,trống
drunk,having drunk so much alcohol that it is impossible to think or speak clearly,say rượu
dry,not wet or sticky; without water or moisture,khô
dual,having two parts or aspects,"kép, đôi"
due,caused by somebody/something; because of somebody/something,"đến hạn, do"
dull,not interesting or exciting,"buồn tẻ, cùn"
dumb,stupid,"câm, ngu ngốc"
dump,"to get rid of something you do not want, especially in a place that is not suitable","đổ, bãi rác"
dust,"a fine powder that consists of very small pieces of sand, earth, etc.",bụi
duty,something that you feel you have to do because it is your moral or legal responsibility,"nghĩa vụ, thuế"
dynamic,having a lot of energy and a strong personality,năng động
eager,very interested and excited by something that is going to happen or about something that you want to do; showing this,háo hức
ear,either of the organs on the sides of the head that you hear with,tai
early,"near the beginning of a period of time, an event etc.",sớm
earn,to get money for work that you do,kiếm được
earth,the world; the planet that we live on,"trái đất, đất"
ease,lack of difficulty,sự dễ dàng
east,in or towards the east,phía đông
eat,"to put food in your mouth, bite it and swallow it ",ăn
edge,"the outside limit of an object, a surface or an area; the part furthest from the centre","cạnh, bờ"
edit,"to prepare a piece of writing, a book, etc. to be published by correcting the mistakes, making improvements to it, etc.",biên tập
educate,"to teach somebody over a period of time at a school, university, etc.",giáo dục
efficiency,the quality of doing something well with no waste of time or money,hiệu quả
efficient,"doing something in a good, careful and complete way with no waste of time, money or energy",hiệu quả
effort,an attempt to do something especially when it is difficult to do,nỗ lực
egg,"a small oval object with a thin hard shell produced by a female bird and containing a young bird; a similar object (without a hard shell) produced by a female fish, insect, etc.",quả trứng
ego,your sense of your own value and importance,cái tôi
eight,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),số tám
elbow,the joint between the upper and lower parts of the arm where it bends in the middle,khuỷu tay
electr,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),điện (gốc từ)
elegant,attractive and showing a good sense of style,thanh lịch
element,a necessary or typical part of something; one of several parts that something contains,yếu tố
elephant,"a very large animal with thick grey skin, large ears, two curved outer teeth called tusks and a long nose called a trunk. There are two types of elephant, the African and the Asian.",con voi
elevate,"to give somebody/something a higher position or rank, often more important than they deserve ",nâng cao
eleven,11,số mười một
elite,"a small group of people in a society, etc. who are powerful and have a lot of influence, because they are rich, intelligent, etc.",tinh hoa
else,in addition to something already mentioned,khác
embarrass,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),làm bối rối
emphasis,special importance that is given to something,sự nhấn mạnh
emphasize,to give special importance to something,nhấn mạnh
empire,a group of countries or states that are controlled by one leader or government,đế quốc
employ,to give somebody a job to do for payment,"thuê, tuyển dụng"
empty,with no people or things inside,trống rỗng
end,"the final part of a period of time, an event, an activity or a story",kết thúc
endorse,"to say publicly that you support a person, statement or course of action","chứng thực, ủng hộ"
endure,to experience and deal with something that is painful or unpleasant without giving up,chịu đựng
engage,to succeed in attracting and keeping somebody’s attention and interest,"tham gia, cam kết"
engine,the part of a vehicle that produces power to make the vehicle move,động cơ
enhance,"to increase or further improve the good quality, value or status of somebody/something",nâng cao
enorm,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),to lớn (gốc từ)
enter,to come or go into something,đi vào
enterprise,a company or business,doanh nghiệp
entire,"including everything, everyone or every part ",toàn bộ
entity,something that exists separately from other things and has its own identity,thực thể
entrepreneur,"a person who makes money by starting or running businesses, especially when this involves taking financial risks",doanh nhân
episode,one part of a story that is broadcast on television or radio in several parts,"tập phim, giai đoạn"
equip,to provide yourself/somebody/something with the things that are needed for a particular purpose or activity,trang bị
erect,to build something,dựng đứng
escalate,"to become greater, worse, more serious, etc.; to make something greater, worse, more serious, etc.",leo thang
escape,the act or a method of escaping from a place or an unpleasant or dangerous situation,trốn thoát
essay,a short piece of writing by a student as part of a course of study,bài luận
essence,"the most important quality or feature of something, that makes it what it is",bản chất
establish,"to start or create an organization, a system, etc. that is meant to last for a long time",thành lập
eternal,without an end; existing or continuing forever,vĩnh cửu
ethic,moral principles that control or influence a person’s behaviour,đạo đức
even,that can be divided exactly by two,"thậm chí, đều"
event,"a thing that happens, especially something important",sự kiện
ever,"used in negative sentences and questions, or sentences with if to mean ‘at any time’","từng, mãi mãi"
every,used with singular nouns to refer to all the members of a group of things or people,mỗi
evidence,"the facts, signs or objects that make you believe that something is true",bằng chứng
evident,clear; easily seen,rõ ràng
evil,enjoying harming others; morally bad and cruel,tà ác
evoke,"to bring a feeling, a memory or an image into your mind",gợi lên
exact,correct in every detail,chính xác
exaggerate,"to make something seem larger, better, worse or more important than it really is",phóng đại
examine,"to consider or study an idea, a subject, etc. very carefully","kiểm tra, xem xét"
example,"something such as an object, a fact or a situation that shows, explains or supports what you say",ví dụ
exceed,to be greater than a particular number or amount,vượt quá
excite,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),"kích thích, hào hứng"
excuse,"a reason, either true or invented, that you give to explain or defend your behaviour","lời xin lỗi, biện hộ"
execute,"to kill somebody, especially as a legal punishment",thực thi
exert,to use power or influence to affect somebody/something,"nỗ lực, gây áp lực"
exist,to be real; to be present in a place or situation,tồn tại
expand,"to become greater in size, number or importance; to make something greater in size, number or importance",mở rộng
expect,to think or believe that something will happen or that somebody will do something,mong đợi
expense,the money that you spend on something,chi phí
experience,the knowledge and skill that you have gained through doing something for a period of time; the process of gaining this,kinh nghiệm
experiment,a scientific test that is done in order to study what happens and to gain new knowledge,thí nghiệm
expert,"done with, having or involving great knowledge or skill",chuyên gia
expire,to be no longer legally acceptable because the period of time for which it could be used has ended,hết hạn
explain,to tell somebody about something in a way that makes it easy to understand,giải thích
explicit,"clear and easy to understand, so that you have no doubt what is meant","rõ ràng, tường minh"
exploit,to treat a person or situation as an opportunity to gain an advantage for yourself,khai thác
explore,to travel to or around an area or a country in order to learn about it,khám phá
extreme,very great in degree,cực đoan
eye,either of the two organs on the face that you see with,mắt
fabric,"material made by weaving wool, cotton, silk, etc., used for making clothes, curtains, etc. and for covering furniture","vải, cấu trúc"
face,"the front part of the head, where the eyes, nose and mouth are ","khuôn mặt, đối mặt"
facilitate,to make an action or a process possible or easier,tạo điều kiện
fact,"a thing that is known to be true, especially when it can be proved",sự thật
fade,to become or to make something become paler or less bright,phai mờ
fail,to not be successful in achieving something,thất bại
fair,acceptable and appropriate in a particular situation,"công bằng, hội chợ"
faith,trust in somebody’s ability or knowledge; trust that somebody/something will do what has been promised,"niềm tin, đức tin"
fake,not what somebody claims it is; appearing to be something it is not,giả mạo
fall,an act of falling,"rơi, mùa thu"
fame,the state of being known and talked about by many people,danh tiếng
family,connected with the family or a particular family,gia đình
fan,a person who admires somebody/something or enjoys watching or listening to somebody/something very much,"quạt, người hâm mộ"
fancy,"unusually complicated, often in an unnecessary way; intended to impress other people","ưa thích, sang trọng"
fantasy,a pleasant situation that you imagine but that is unlikely to happen,tưởng tượng
far,at a greater distance away from you,xa
fare,"the money that you pay to travel by bus, plane, taxi, etc.",giá vé
farm,"an area of land, and the buildings on it, used for growing crops and/or keeping animals",trang trại
fascinate,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),mê hoặc
fashion,"a popular style of clothes, hair, etc. at a particular time or place; the state of being popular",thời trang
fast,moving or able to move quickly,"nhanh, nhịn ăn"
fat,having too much flesh on it and weighing too much,"béo, mỡ"
fate,"the things, especially bad things, that will happen or have happened to somebody/something",số phận
father,a male parent of a child or an animal; a person who is acting as the father to a child,cha
fault,the responsibility for something wrong that has happened or been done,lỗi lầm
favour,a thing that you do to help somebody,sự ưu ái
fear,the bad feeling that you have when you are in danger or when a particular thing frightens you,sợ hãi
feather,one of the many soft light parts covering a bird’s body,lông vũ
feature,"something important, interesting or typical of a place or thing",đặc điểm
feed,a meal of milk for a young baby; a meal for an animal,cho ăn
feel,the feeling you get when you touch something or are touched,cảm thấy
fellow,"used to describe somebody who is the same as you in some way, or in the same situation","đồng nghiệp, gã"
fence,"a structure made of wood or wire supported with posts that is put between two areas of land as a boundary, or around a garden, field, etc. to keep animals in, or to keep people and animals out",hàng rào
fever,a medical condition in which a person has a temperature that is higher than normal,sốt
few,"used with plural nouns and a plural verb to mean ‘a small number’, ‘some’","ít, một vài"
fibre,the part of food that helps to keep a person healthy by keeping the bowels working and moving other food quickly through the body,sợi
field,"an area of land in the country used for growing crops or keeping animals in, usually surrounded by a fence, etc.","cánh đồng, lĩnh vực"
fierce,angry and aggressive in a way that is frightening,dữ dội
fight,a struggle against somebody/something using physical force,chiến đấu
figure,"a number representing a particular amount, especially one given in official information","con số, hình dáng"
fill,to make something full of something; to become full of something,lấp đầy
film,"a series of moving pictures recorded with sound that tells a story, watched at a cinema or on a television or other device",phim
filter,"a device containing paper, sand, chemicals, etc. that a liquid or gas is passed through in order to remove any materials that are not wanted",bộ lọc
final,"being or happening at the end of a series of events, actions, statements, etc.",cuối cùng
finance,"money used to run a business, an activity or a project",tài chính
find,to discover somebody/something unexpectedly or by chance,tìm thấy
fine,in good health,"tốt đẹp, tiền phạt"
finger,"one of the four long thin parts that stick out from the hand (or five, if the thumb is included)",ngón tay
finish,the last part or the end of something,hoàn thành
fire,"the flames, light and heat, and often smoke, that are produced when something burns","lửa, sa thải"
firm,fairly hard; not easy to press into a different shape,"công ty, chắc chắn"
first,before anyone or anything else; at the beginning,đầu tiên
fish,"a creature that lives in water, breathes through gills, and uses fins and a tail for swimming",cá
fit,"healthy and strong, especially because you do regular physical exercise","vừa vặn, thể lực"
five,5,số năm
fix,"a solution to a problem, especially an easy or temporary one",sửa chữa
flag,"a piece of cloth with a special coloured design on it that may be the symbol of a particular country or organization, may be used to give a signal or may have a particular meaning. A flag can be attached to a pole (= a long thin straight piece of wood or metal) or held in the hand.",lá cờ
flame,a hot bright stream of burning gas that comes from something that is on fire,ngọn lửa
flash,a sudden bright light that shines for a moment and then disappears,ánh sáng lóe lên
flat,"having a level surface, not curved or sloping, and without holes or any bits sticking out","phẳng, căn hộ"
flavor,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),hương vị
flaw,a mistake in something that means that it is not correct or does not work correctly,khuyết điểm
fleet,a group of military ships commanded by the same person,hạm đội
flesh,the soft substance between the skin and bones of animal or human bodies,thịt (cơ thể)
flight,"a journey made by air, especially in a plane",chuyến bay
float,to move slowly on water or in the air,nổi
flood,a large amount of water covering an area that is usually dry,lũ lụt
floor,the surface of a room that you walk on,sàn nhà
flour,"a fine white or brown powder made from grain, especially wheat, and used in cooking for making bread, cakes, etc.",bột mì
flourish,to develop quickly and become successful or common,phát triển mạnh
flow,the steady and continuous movement of something/somebody in one direction,dòng chảy
flower,the coloured part of a plant from which the seed or fruit develops. Flowers usually grow at the end of a stem and last only a short time.,hoa
flu,"a serious disease caused by a virus, that causes a high temperature, severe pains and weakness",cúm
fluid,a liquid; a substance that can flow,chất lỏng
fly,a small flying insect with two wings. There are many different types of fly and many of them spread disease.,"bay, ruồi"
fold,"a part of something, especially cloth, that is folded or hangs as if it had been folded",gấp lại
folk,traditional and typical of the ordinary people of a country or community,"người dân, dân gian"
follow,to come or go after or behind somebody/something,theo sau
fond,"having warm or loving feelings for somebody, especially somebody you have known for a long time",yêu thích
food,things that people or animals eat,thức ăn
fool,a person who you think behaves or speaks in a way that lacks intelligence or good judgement,kẻ ngốc
foot,"the lowest part of the leg, below the ankle, on which a person or an animal stands",bàn chân
for,used to show who is intended to have or use something or where something is intended to be put,"cho, vì"
forbid,to order somebody not to do something; to order that something must not be done,cấm đoán
force,violent physical action used to obtain or achieve something,"lực lượng, ép buộc"
foreign,in or from a country that is not your own,nước ngoài
forest,a large area of land that is thickly covered with trees,rừng
forge,to put a lot of effort into making something successful or strong so that it will last,"rèn, giả mạo"
forget,"to not remember to do something that you ought to do, or to bring or buy something that you ought to bring or buy",quên
forgive,"to stop feeling angry with somebody who has done something to harm, annoy or upset you; to stop feeling angry with yourself",tha thứ
fork,"a tool with a handle and three or four sharp points (called prongs), used for picking up and eating food",cái nĩa
form,a type or variety of something,"hình dạng, biểu mẫu"
formal,very correct and suitable for official or important occasions,trang trọng
former,that existed in earlier times,trước đây
forth,away from a place; out,về phía trước
fortune,a large amount of money,"vận may, tài sản"
forward,directed or moving towards the front,về phía trước
fossil,the parts of a dead animal or a plant that have become hard and turned into rock,hóa thạch
found,"to start something, such as an organization or an institution, especially by providing money","thành lập, tìm thấy"
four,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),số bốn
fragile,easily broken or damaged,dễ vỡ
fragment,a small part of something that has broken off or comes from something larger,mảnh vỡ
frame,"a strong border or structure of wood, metal, etc. that holds a picture, door, piece of glass, etc. in position",khung
franchise,formal permission given by a company to somebody who wants to sell its goods or services in a particular area; formal permission given by a government to somebody who wants to operate a public service as a business,nhượng quyền
fraud,the crime of cheating somebody in order to get money or goods illegally,gian lận
free,without particular plans or arrangements; not busy,"tự do, miễn phí"
freeze,"to become hard, and often turn to ice, as a result of extreme cold; to make something do this",đông lạnh
frequent,happening or doing something often,thường xuyên
fresh,"recently produced or picked and not frozen, dried or preserved in tins or cans",tươi mới
friend,"a person you know well and like, and who is not usually a member of your family",bạn bè
frog,"a small animal with smooth skin, that lives both on land and in water (= is an amphibian). Frogs have very long back legs for jumping, and no tail.",con ếch
from,used to show where somebody/something starts,từ
front,on or at the front of something,phía trước
fruit,"the part of a plant that consists of one or more seeds and a soft inner part, can be eaten as food and usually tastes sweet",trái cây
frustrate,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),"thất vọng, làm nản lòng"
fry,to cook something in hot fat or oil; to be cooked in hot fat or oil,chiên
fuel,"any material that produces heat or power, usually when it is burnt",nhiên liệu
fulfil,to do or achieve what was hoped for or expected,"hoàn thành, thực hiện"
full,containing or holding as much or as many as possible; having no empty space,đầy đủ
fun,that you enjoy,vui vẻ
function,a special activity or purpose of a person or thing,chức năng
fund,an amount of money that has been saved or has been made available for a particular purpose,"quỹ, tài trợ"
fur,the soft thick mass of hair that grows on the body of some animals,lông thú
further,more; additional,"xa hơn, hơn nữa"
future,taking place or existing at a time after the present,tương lai
gain,"an increase in the amount of something, especially in wealth or weight",đạt được
gallon,"a unit for measuring liquid. In the UK, Canada and other countries it is equal to about 4.5 litres; in the US it is equal to about 3.8 litres. There are four quarts in a gallon.",gallon (đơn vị)
gamble,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),đánh bạc
game,"an activity that you do to have fun, often one that has rules and that you can win or lose; the equipment for a game",trò chơi
gang,an organized group of criminals,băng nhóm
gap,a space where something is missing,khoảng trống
garden,"a piece of land next to or around your house where you can grow flowers, fruit, vegetables, etc., usually with a lawn (= an area of grass)",khu vườn
gas,"any substance like air that is neither a solid nor a liquid, for example hydrogen or oxygen",khí ga
gate,a barrier like a door that is used to close an opening in a fence or a wall outside a building,cổng
gather,"to come together, or bring people together, in one place to form a group",tập hợp
gay,sexually attracted to people of the same sex,đồng tính nam
gaze,"a long, steady look at somebody/something",nhìn chăm chú
gear,equipment in a vehicle that changes the relation between engine speed (or pedal speed on a bicycle) and the speed of the wheels moving forwards or backwards,"bánh răng, trang thiết bị"
gen,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),gen (di truyền)
gender,"the fact of being male or female, especially when considered with reference to social and cultural differences, rather than differences in biology; members of a particular gender as a group",giới tính
generous,giving or willing to give freely; given freely,hào phóng
gentle,calm and kind; doing things in a quiet and careful way,dịu dàng
genuine,real; exactly what it appears to be; not artificial,chân thật
get,to receive something,nhận được
ghost,the spirit of a dead person that a living person believes they can see or hear,ma
giant,very large; much larger or more important than similar things usually are,khổng lồ
girl,a female child,con gái
give,"to hand something to somebody so that they can look at it, use it or keep it for a time","cho, tặng"
glad,pleased; happy,vui mừng
glance,a quick look,liếc nhìn
glass,"a hard, usually clear, substance used, for example, for making windows and bottles","kính, ly"
globe,the world (used especially to emphasize its size),quả địa cầu
glory,great success that brings somebody praise and honour and makes them famous,vinh quang
go,a person’s turn to move or play in a game or an activity,đi
goal,a frame with a net into which players must kick or hit the ball in order to score a point,mục tiêu
god,the being or spirit that is worshipped and is believed to have created the universe,"thần, chúa"
gold,"bright yellow in colour, like gold",vàng
golf,"a game played over a large area of ground using sticks with a special shape to hit a small hard ball (a golf ball) into a series of 9 or 18 holes, using as few shots as possible",golf
good,of high quality or an acceptable standard,tốt
gorgeous,very beautiful and attractive; giving great pleasure ,lộng lẫy
govern,"to legally control a country or its people and be responsible for introducing new laws, organizing public services, etc.","quản lý, cai trị"
grab,to take or hold somebody/something with your hand suddenly or roughly,nắm lấy
grace,an attractive quality of movement that is smooth and done with control; a simple and beautiful quality,sự duyên dáng
grade,a mark given in an exam or for a piece of school work,"cấp bậc, điểm số"
graduate,a person who has a university degree,tốt nghiệp
grain,"the small hard seeds of food plants such as wheat, rice, etc.; a single seed of such a plant",hạt ngũ cốc
grand,impressive and large or important,lớn lao
grasp,a strong hold of somebody/something or control over somebody/something,nắm bắt
grass,"a common wild plant with narrow green leaves and stems that are eaten by cows, horses, sheep, etc.",cỏ
grave,very serious and important; giving you a reason to feel worried,"ngôi mộ, nghiêm trọng"
great,very good or pleasant,tuyệt vời
green,having the colour of grass or the leaves of most plants and trees,màu xanh lá
grey,having the colour of smoke or ashes,màu xám
grid,"a pattern of straight lines, usually crossing each other to form squares",lưới điện
grind,to break or press something into very small pieces between two hard surfaces or using a special machine,"nghiền, mài"
grip,an act of holding somebody/something tightly; a particular way of doing this,nắm chặt
gross,being the total amount of something before anything is taken away,"tổng, thô thiển"
ground,the solid surface of the earth,mặt đất
group,a number of people or things that are together in the same place or that are connected in some way,nhóm
grow,"to increase in size, number, strength or quality",phát triển
guard,"a person, such as a soldier, a police officer or a prison officer, who protects a place or people, or prevents prisoners from escaping",bảo vệ
guess,an attempt to give an answer or an opinion when you cannot be certain if you are right,đoán
guest,a person that you have invited to your house or to a particular event that you are paying for,khách mời
guide,"a person who shows other people the way to a place, especially somebody employed to show tourists around interesting places",hướng dẫn
guilt,the unhappy feelings caused by knowing or thinking that you have done something wrong,tội lỗi
guitar,a musical instrument that usually has six strings and that you play with your fingers or with a plectrum,đàn guitar
gun,a weapon that is used for firing bullets or shells,súng
gut,the tube in the body through which food passes when it leaves the stomach,"ruột, bản năng"
gym,"a room or hall with equipment for doing physical exercise, for example in a school",phòng gym
habit,"a thing that you do often and almost without thinking, especially something that is hard to stop doing",thói quen
hail,"to describe somebody/something as being very good or special, especially in newspapers, etc.","mưa đá, ca ngợi"
hair,the substance that looks like a mass of fine threads growing on a person's head,tóc
hall,a space or passage inside the entrance or front door of a building,"sảnh, hội trường"
halt,an act of stopping the movement or progress of somebody/something,dừng lại
hand,"the part of the body at the end of the arm, including the fingers and thumb",bàn tay
handle,"the part of a door, window, etc. that you use to open it","xử lý, tay cầm"
hang,"to attach something, or to be attached, at the top so that the lower part is free or loose",treo
happy,feeling or showing pleasure; pleased,hạnh phúc
harbor,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),bến cảng
hard,"difficult to do, understand or answer","cứng, khó khăn"
harm,damage or injury that is caused by a person or an event,gây hại
harsh,"cruel, severe and unkind",khắc nghiệt
harvest,"the time of year when the crops are gathered in on a farm, etc.; the act of cutting and gathering crops",thu hoạch
hat,"a piece of clothing made to fit the head, often with a brim (= a flat edge that sticks out), usually worn out of doors",mũ
hate,a very strong feeling of dislike for somebody ,ghét
haunt,"if the ghost of a dead person haunts a place, people say that they have seen it there",ám ảnh
hazard,something that can be dangerous or cause damage,nguy hiểm
head,"the part of the body on top of the neck containing the eyes, nose, mouth and brain","đầu, người đứng đầu"
heal,to become healthy again; to make something healthy again,chữa lành
health,the condition of a person’s body or mind,sức khỏe
hear,to be aware of sounds with your ears,nghe
heart,"the organ in the chest that sends blood around the body, usually on the left in humans",trái tim
heat,the quality of being hot,"nhiệt, sức nóng"
heaven,"the place believed to be the home of God where good people go when they die, sometimes imagined to be in the sky",thiên đường
heavy,weighing a lot; difficult to lift or move,nặng nề
heel,the back part of the foot below the ankle,gót chân
height,the measurement of how tall a person or thing is,chiều cao
hell,the place believed to be the home of devils and where bad people go after death,địa ngục
help,the act of helping somebody to do something,giúp đỡ
hence,for this reason,do đó
her,of or belonging to a woman or girl who has already been mentioned or is easily identified,của cô ấy
herb,"a plant whose leaves, flowers or seeds are used to add taste to food, in medicines or for their pleasant smell. parsley, mint and oregano are all herbs.",thảo mộc
here,"used after a verb or preposition to mean ‘in, at or to this position or place’",ở đây
hero,a person who is admired by many people for doing something brave or good,anh hùng
hide,to put or keep somebody/something in a place where they/it cannot be seen or found,giấu
high,measuring a long distance from the bottom to the top,cao
hill,"an area of land that is higher than the land around it, but not as high as a mountain",đồi
him,"used as the object of a verb, after the verb be or after a preposition to refer to a male person or animal that has already been mentioned or is easily identified",anh ấy
hip,the area at either side of the body between the top of the leg and the middle part of the body; the joint at the top of the leg that connects it with the top part of the body,hông
hire,the act of paying to use something for a short time,thuê
his,of or belonging to a man or boy who has already been mentioned or is easily identified,của anh ấy
hit,an act of hitting somebody/something with your hand or with an object held in your hand,"đánh, va chạm"
hobby,an activity that you do for pleasure when you are not working,sở thích
hold,the action of holding somebody/something; the way you are holding somebody/something,giữ
hole,a hollow space in something solid or in the surface of something,lỗ hổng
hollow,having a hole or empty space inside,rỗng
holy,connected with God or a particular religion,thần thánh
home,connected with the place where you live,nhà
honest,"always telling the truth, and never stealing or cheating",trung thực
honor,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),danh dự
hook,"a curved piece of metal, plastic or wire for hanging things on, catching fish with, etc.",móc câu
hope,a feeling of wanting and expecting a particular thing to happen; something that you wish for,hy vọng
horn,"a hard pointed part that grows, usually in pairs, on the heads of some animals, such as sheep and cows. Horns are often curved.","sừng, còi xe"
horse,"a large animal with four legs, a mane (= long thick hair on its neck) and a tail. Horses are used for riding on, pulling carriages, etc.",ngựa
hospital,a large building where people who are ill or injured are given medical treatment and care,bệnh viện
host,"a person who invites guests to a meal, a party, etc. or who has people staying at their house","chủ nhà, người dẫn chương trình"
hostile,aggressive or unfriendly and ready to argue or fight,thù địch
hot,having a high temperature; producing heat,nóng
hotel,"a building where people stay, usually for a short time, paying for their rooms and meals",khách sạn
hour,60 minutes; one of the 24 parts that a day is divided into,giờ
house,"a building for people to live in, usually for one family",ngôi nhà
how,in what way or manner,như thế nào
huge,extremely large in size or amount; great in degree,khổng lồ
human,"of or connected with people rather than animals, machines or gods",con người
humble,showing you do not think that you are as important as other people,khiêm tốn
humor,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),hài hước
hundred,100,trăm
hungry,feeling that you want to eat something,đói
hunt,an act of looking for somebody/something that is difficult to find,săn bắn
hurry,the need or wish to get something done quickly,vội vàng
hurt,injured physically,làm đau
husband,the man that somebody is married to; a married man,chồng
ice,water that has frozen and become solid,băng
