word,pos,meaning_en,meaning_vi
dreamboat,noun,"a series of images, events and feelings that happen in your mind while you are asleep + a vehicle (smaller than a ship","a series of images, events and feelings that happen in your mind while you are asleep + a vehicle (smaller than a ship"
dreamier,noun,"a series of images, events and feelings that happen in your mind while you are asleep | having quality of; noun/adjective | person who does; comparative","a series of images, events and feelings that happen in your mind while you are asleep | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
dreamlessly,adverb,"a series of images, events and feelings that happen in your mind while you are asleep | without (adjective | adverb of manner / adjective (like","a series of images, events and feelings that happen in your mind while you are asleep | khong có (t tính từ | trạng từ chỉ cách thức / t tính từ (like"
dreamt,unknown,"dream(a series of images, events and feelings that happen in your mind while you are asleep) + -t([INFLECTION] irregular past-tense ending (VD: burnt, dealt) — not meaning-bearing)",giấc mơ — t (unknown)
dressier,noun,"a piece of clothing that is made in one piece and hangs down to cover the body as far as the legs, sometimes reaching to below the knees, or to the ankles | having quality of; noun/adjective | person who does; comparative","a piece of clothing that is made in one piece and hangs down to cover the body as far as the legs, sometimes reaching to below the knees, or to the ankles | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
dressiest,adjective,"a piece of clothing that is made in one piece and hangs down to cover the body as far as the legs, sometimes reaching to below the knees, or to the ankles | having quality of; noun/adjective | superlative","a piece of clothing that is made in one piece and hangs down to cover the body as far as the legs, sometimes reaching to below the knees, or to the ankles | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất"
driest,adjective,not wet or sticky; without water or moisture | superlative,not wet or sticky; khong có water or moisture | so sánh nhất
driftnet,verb,to move along smoothly and slowly in water or air + a net amount of money is the amount that remains when nothing more is to be taken away,to move along smoothly and slowly in water or air + a net amount of money is the amount that remains when nothing more is to be taken away
drunker,noun,having drunk so much alcohol that it is impossible to think or speak clearly | person who does; comparative,having drunk so much alcohol that it is impossible to think or speak clearly | người thực hiện; so sánh hơn
drunkest,adjective,having drunk so much alcohol that it is impossible to think or speak clearly | superlative,having drunk so much alcohol that it is impossible to think or speak clearly | so sánh nhất
dualities,noun,having two parts or aspects | state or quality of (noun,having two parts or aspects | trạng thái hoặc tính chất của (danh từ
dullest,adjective,not interesting or exciting | superlative,not interesting or exciting | so sánh nhất
dumber,noun,stupid | person who does; comparative,stupid | người thực hiện; so sánh hơn
dumbest,adjective,stupid | superlative,stupid | so sánh nhất
dumpier,noun,"to get rid of something you do not want, especially in a place that is not suitable | having quality of; noun/adjective | person who does; comparative","to get rid of something you do not want, especially in a place that is not suitable | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
dumpiest,adjective,"to get rid of something you do not want, especially in a place that is not suitable | having quality of; noun/adjective | superlative","to get rid of something you do not want, especially in a place that is not suitable | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất"
dunbar,noun,dun | a place where you can buy and drink alcoholic and other drinks,dun | a place where you can buy and drink alcoholic and other drinks
dustcoat,noun,"a fine powder that consists of very small pieces of sand, earth, etc. + a piece of outdoor clothing that is worn over other clothes to keep warm or dry. Coats have sleeves (= parts covering the arms","a fine powder that consists of very nhỏ pieces of sand, earth, etc. + a piece of outdoor clothing that is worn over other clothes to keep warm or dry. Coats have sleeves (= parts covering the arms"
dustier,noun,"a fine powder that consists of very small pieces of sand, earth, etc. | having quality of; noun/adjective | person who does; comparative","a fine powder that consists of very nhỏ pieces of sand, earth, etc. | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
dustiest,adjective,"a fine powder that consists of very small pieces of sand, earth, etc. | having quality of; noun/adjective | superlative","a fine powder that consists of very nhỏ pieces of sand, earth, etc. | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất"
dustsheet,noun,"a fine powder that consists of very small pieces of sand, earth, etc. + a large piece of thin cloth used on a bed to lie on or lie under","a fine powder that consists of very nhỏ pieces of sand, earth, etc. + a large piece of thin cloth used on a bed to lie on or lie under"
dyers,noun,to stop living | person who does; comparative,to stop living | người thực hiện; so sánh hơn
eagerer,noun,very interested and excited by something that is going to happen or about something that you want to do; showing this | person who does; comparative,very interested and excited by something that is going to happen or about something that you want to do; showing this | người thực hiện; so sánh hơn
eagerest,adjective,very interested and excited by something that is going to happen or about something that you want to do; showing this | superlative,very interested and excited by something that is going to happen or about something that you want to do; showing this | so sánh nhất
earthier,noun,the world; the planet that we live on | having quality of; noun/adjective | person who does; comparative,the world; the planet that we live on | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
earthiest,adjective,the world; the planet that we live on | having quality of; noun/adjective | superlative,the world; the planet that we live on | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất
earthmoving,noun,the world; the planet that we live on + a change of place or position,the world; the planet that we live on + a change of place or position
earthshakingly,adverb,the world; the planet that we live on + an act of shaking somebody/something | adverb of manner / adjective (like,the world; the planet that we live on + an act of shaking somebody/something | trạng từ chỉ cách thức / t tính từ (like
easier,noun,lack of difficulty | having quality of; noun/adjective | person who does; comparative,lack of difficulty | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
easiest,adjective,lack of difficulty | having quality of; noun/adjective | superlative,lack of difficulty | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất
easters,noun,in or towards the east | person who does; comparative,in or towards the east | người thực hiện; so sánh hơn
eaten,verb,"to put food in your mouth, bite it and swallow it | to make (verb | adjective","to put food in your mouth, bite it and swallow it | lam cho (động từ | t tính từ"
edgier,noun,"the outside limit of an object, a surface or an area; the part furthest from the centre | having quality of; noun/adjective | person who does; comparative","the outside limit of an object, a surface or an area; the part furthest from the centre | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
edgiest,adjective,"the outside limit of an object, a surface or an area; the part furthest from the centre | having quality of; noun/adjective | superlative","the outside limit of an object, a surface or an area; the part furthest from the centre | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất"
edgily,adverb,"the outside limit of an object, a surface or an area; the part furthest from the centre | having quality of; noun/adjective | adverb of manner / adjective (like","the outside limit of an object, a surface or an area; the part furthest from the centre | cóĩ·· tính chất của; danh từ/t tính từ | trạng từ chỉ cách thức / t tính từ (like"
edwin,noun,"ed | a victory in a game, contest, etc.","ed | a victory in a game, contest, etc."
edwina,unknown,"ed-(ed) + win(a victory in a game, contest, etc.) + -a([VARIANT] Latin/Greek loanword ending, plural or feminine noun marker)",ed — chiến thắng — a (unknown)
elevenses,noun,"11 | process, condition (noun, Greek","11 | qua trình, condition (danh từ, Greek"
empanels,verb,"to make, put into | a square or rectangular piece of wood, glass or metal that forms part of a larger surface such as a door or wall","lam cho, put into | a square or rectangular piece of wood, glass or metal that forms part of a larger surface such as a door or wall"
emptiest,adjective,with no people or things inside | superlative,with no people or things inside | so sánh nhất
emptily,adverb,with no people or things inside | adverb of manner / adjective (like,with no people or things inside | trạng từ chỉ cách thức / t tính từ (like
endeared,verb,"to make, put into | used at the beginning of a letter before the name or title of the person that you are writing to","lam cho, put into | used at the beginning of a letter before the name or title of the person that you are writing to"
endpaper,noun,"the final part of a period of time, an event, an activity or a story + the thin material that you write and draw on and that is also used for wrapping and packing things","the final part of a period of time, an event, an activity or a story + the thin material that you write and draw on and that is also used for wrapping and packing things"
endpoints,noun,"the final part of a period of time, an event, an activity or a story + a thing that somebody says or writes giving their opinion or stating a fact","the final part of a period of time, an event, an activity or a story + a thing that somebody says or writes giving their opinion or stating a fact"
enforcers,noun,"to make, put into | violent physical action used to obtain or achieve something | person who does; comparative","lam cho, put into | violent physical hanh động used to obtain or achieve something | người thực hiện; so sánh hơn"
engrossingly,adverb,"to make, put into | being the total amount of something before anything is taken away | adverb of manner / adjective (like","lam cho, put into | being the total amount of something before anything is taken away | trạng từ chỉ cách thức / t tính từ (like"
enjoins,verb,"to make, put into | to fix or connect two or more things together","lam cho, put into | to fix or connect two or more things cung nhau"
enrolled,verb,"to make, put into | a small loaf of bread for one person","lam cho, put into | a nhỏ loaf of bread for one person"
epicyclically,adverb,"upon, above (Greek | a bicycle or motorcycle | relating to (adjective | adverb form of -ic adjectives (VD: automatically","upon, above (Greek | a bicycle or motorcycle | li quan đến (t tính từ | adverb form of -ic adjectives (VD: automatically"
erwin,noun,"er | a victory in a game, contest, etc.","er | a victory in a game, contest, etc."
eugenically,adverb,"good, well (Greek | (không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập | relating to (adjective | adverb of manner / adjective (like","good, well (Greek | (không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập | li quan đến (t tính từ | trạng từ chỉ cách thức / t tính từ (like"
eulogistically,adverb,"good, well (Greek | a thick piece of wood that is cut from or has fallen from a tree | person who practices/believes (noun | relating to (adjective | adverb of manner / adjective (like","good, well (Greek | a thick piece of wood that is cut from or has fallen from a tree | person who practices/believes (danh từ | li quan đến (t tính từ | trạng từ chỉ cách thức / t tính từ (like"
eulogizers,noun,"good, well (Greek | a thick piece of wood that is cut from or has fallen from a tree | to make, to become (verb | person who does; comparative","good, well (Greek | a thick piece of wood that is cut from or has fallen from a tree | lam cho, trở thành (động từ | người thực hiện; so sánh hơn"
eventfully,adverb,"a thing that happens, especially something important | full of (adjective | adverb of manner / adjective (like","a thing that happens, especially something important | full of (t tính từ | trạng từ chỉ cách thức / t tính từ (like"
exhusband,noun,"out of, former | the man that somebody is married to; a married man","out of, former | the man that somebody is married to; a married man"
expectance,noun,"to think or believe that something will happen or that somebody will do something | state, quality, action (noun","to think or believe that something will happen or that somebody will do something | state, quality, hanh động (danh từ"
experientially,adverb,the knowledge and skill that you have gained through doing something for a period of time; the process of gaining this | relating to (adjective | noun | adverb of manner / adjective (like,the knowledge and skill that you have gained through doing something for a period of time; the qua trình of gaining this | li quan đến (t tính từ | danh từ | trạng từ chỉ cách thức / t tính từ (like
explicably,adjective,to tell somebody about something in a way that makes it easy to understand | capable of being (adjective | having quality of; noun/adjective,to tell somebody about something in a way that makes it easy to understand | capable of being (t tính từ | cóĩ·· tính chất của; danh từ/t tính từ
expressionlessly,adverb,"out of, former | newspapers and magazines | action, process, state (noun | without (adjective | adverb of manner / adjective (like","out of, former | newspapers and magazines | hanh động, qua trình, state (danh từ | khong có (t tính từ | trạng từ chỉ cách thức / t tính từ (like"
eyecatching,noun,"either of the two organs on the face that you see with + an act of catching something, for example a ball","either of the two organs on the face that you see with + an act of catching something, for example a ball"
fabrications,noun,"material made by weaving wool, cotton, silk, etc., used for making clothes, curtains, etc. and for covering furniture | to make/become (verb | adjective | action, process, state (noun","material made by weaving wool, cotton, silk, etc., used for making clothes, curtains, etc. and for covering furniture | lam cho/become (động từ | t tính từ | hanh động, qua trình, state (danh từ"
facecloth,noun,"the front part of the head, where the eyes, nose and mouth are + material made by weaving or knitting cotton, wool, silk, etc.","the front part of the head, where the eyes, nose and mouth are + material made by weaving or knitting cotton, wool, silk, etc."
failingly,adverb,to not be successful in achieving something | adverb of manner / adjective (like,to not be successful in achieving something | trạng từ chỉ cách thức / t tính từ (like
fairchild,adjective,acceptable and appropriate in a particular situation + a young human who is not yet an adult,acceptable and appropriate in a particular situation + a young human who is not yet an adult
fairer,noun,acceptable and appropriate in a particular situation | person who does; comparative,acceptable and appropriate in a particular situation | người thực hiện; so sánh hơn
fairest,adjective,acceptable and appropriate in a particular situation | superlative,acceptable and appropriate in a particular situation | so sánh nhất
fairgoers,noun,acceptable and appropriate in a particular situation + a person’s turn to move or play in a game or an activity | person who does; comparative,acceptable and appropriate in a particular situation + a person’s turn to move or play in a game or an activity | người thực hiện; so sánh hơn
fairview,adjective,"acceptable and appropriate in a particular situation + what you can see from a particular place or position, especially beautiful countryside","acceptable and appropriate in a particular situation + what you can see from a particular place or position, especially beautiful countryside"
fallaciously,adverb,an act of falling | having quality of (adjective | adverb of manner / adjective (like,an act of falling | cóĩ·· tính chất của (t tính từ | trạng từ chỉ cách thức / t tính từ (like
fanciest,adjective,"unusually complicated, often in an unnecessary way; intended to impress other people | superlative","unusually complicated, often in an unnecessary way; intended to impress other people | so sánh nhất"
fancily,adverb,"unusually complicated, often in an unnecessary way; intended to impress other people | adverb of manner / adjective (like","unusually complicated, often in an unnecessary way; intended to impress other people | trạng từ chỉ cách thức / t tính từ (like"
fasteners,noun,"moving or able to move quickly | [INFLECTION] past-participle ending (VD: blown, drawn | person who does; comparative","moving or able to move quickly | [INFLECTION] past-participle ending (VD: blown, drawn | người thực hiện; so sánh hơn"
fatter,noun,having too much flesh on it and weighing too much | person who does; comparative,having too much flesh on it and weighing too much | người thực hiện; so sánh hơn
fattest,adjective,having too much flesh on it and weighing too much | superlative,having too much flesh on it and weighing too much | so sánh nhất
fattier,noun,having too much flesh on it and weighing too much | having quality of; noun/adjective | person who does; comparative,having too much flesh on it and weighing too much | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
fattiest,adjective,having too much flesh on it and weighing too much | having quality of; noun/adjective | superlative,having too much flesh on it and weighing too much | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất
faultier,noun,the responsibility for something wrong that has happened or been done | having quality of; noun/adjective | person who does; comparative,the responsibility for something wrong that has happened or been done | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
faultiest,adjective,the responsibility for something wrong that has happened or been done | having quality of; noun/adjective | superlative,the responsibility for something wrong that has happened or been done | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất
fiercer,noun,angry and aggressive in a way that is frightening | person who does; comparative,angry and aggressive in a way that is frightening | người thực hiện; so sánh hơn
fiercest,adjective,angry and aggressive in a way that is frightening | superlative,angry and aggressive in a way that is frightening | so sánh nhất
fierier,noun,"the flames, light and heat, and often smoke, that are produced when something burns | having quality of; noun/adjective | person who does; comparative","the flames, light and heat, and often smoke, that are produced when something burns | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
fieriest,adjective,"the flames, light and heat, and often smoke, that are produced when something burns | having quality of; noun/adjective | superlative","the flames, light and heat, and often smoke, that are produced when something burns | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất"
fifteens,number,five+teen(5 + (không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập)),số mười lăm (dạng số nhiều)
fifteenths,noun,"5 + (không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập | ordinal number / state (noun, VD: eighth, warmth","5 + (không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập | ordinal number / state (danh từ, VD: eighth, warmth"
filmier,noun,"a series of moving pictures recorded with sound that tells a story, watched at a cinema or on a television or other device | having quality of; noun/adjective | person who does; comparative","a series of moving pictures recorded with sound that tells a story, watched at a cinema or on a television or other device | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
filmiest,adjective,"a series of moving pictures recorded with sound that tells a story, watched at a cinema or on a television or other device | having quality of; noun/adjective | superlative","a series of moving pictures recorded with sound that tells a story, watched at a cinema or on a television or other device | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất"
filmstrip,noun,"a series of moving pictures recorded with sound that tells a story, watched at a cinema or on a television or other device + a long narrow piece of paper, metal, cloth, etc.","a series of moving pictures recorded with sound that tells a story, watched at a cinema or on a television or other device + a long narrow piece of paper, metal, cloth, etc."
finest,adjective,in good health | superlative,in good health | so sánh nhất
finest,noun,"informal term for the police force, usually used with ""the""","cách gọi thân mật chỉ lực lượng cảnh sát, thường dùng với ""the"""
fingerplate,noun,"one of the four long thin parts that stick out from the hand (or five, if the thumb is included","one of the four long thin parts that stick out from the hand (or five, if the thumb is included"
firehouses,noun,"the flames, light and heat, and often smoke, that are produced when something burns + a building for people to live in, usually for one family","the flames, light and heat, and often smoke, that are produced when something burns + a building for people to live in, usually for one family"
firewatcher,noun,"the flames, light and heat, and often smoke, that are produced when something burns + a type of small clock that you wear on your wrist, or (in the past | person who does; comparative","the flames, light and heat, and often smoke, that are produced when something burns + a type of nhỏ clock that you wear on your wrist, or (in the past | người thực hiện; so sánh hơn"
firewatching,noun,"the flames, light and heat, and often smoke, that are produced when something burns + a type of small clock that you wear on your wrist, or (in the past","the flames, light and heat, and often smoke, that are produced when something burns + a type of nhỏ clock that you wear on your wrist, or (in the past"
firmer,noun,fairly hard; not easy to press into a different shape | person who does; comparative,fairly hard; not easy to press into a different shape | người thực hiện; so sánh hơn
firmer,adjective,"comparative form of firm; more firm, solid, or resolute","dạng so sánh hơn của ""chắc""; chắc hơn, cứng hơn hoặc kiên quyết hơn"
firmest,adjective,fairly hard; not easy to press into a different shape | superlative,fairly hard; not easy to press into a different shape | so sánh nhất
firstfruits,adverb,"before anyone or anything else; at the beginning + the part of a plant that consists of one or more seeds and a soft inner part, can be eaten as food and usually tastes sweet","before anyone or anything else; at the beginning + the part of a plant that consists of one or more seeds and a soft inner part, can be eaten as food and usually tastes sweet"
fishcake,noun,"a creature that lives in water, breathes through gills, and uses fins and a tail for swimming + a sweet food made from a mixture of flour, eggs, butter, sugar, etc. that is baked in an oven. Cakes are made in various shapes and sizes and are often decorated, for example with cream or icing.","a creature that lives in water, breathes through gills, and uses fins and a tail for swimming + a sweet food made from a mixture of flour, eggs, butter, sugar, etc. that is baked in an oven. Cakes are made in various shapes and sizes and are often decorated, for example with cream or icing."
fishier,noun,"a creature that lives in water, breathes through gills, and uses fins and a tail for swimming | having quality of; noun/adjective | person who does; comparative","a creature that lives in water, breathes through gills, and uses fins and a tail for swimming | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
fishiest,adjective,"a creature that lives in water, breathes through gills, and uses fins and a tail for swimming | having quality of; noun/adjective | superlative","a creature that lives in water, breathes through gills, and uses fins and a tail for swimming | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất"
fittest,adjective,"healthy and strong, especially because you do regular physical exercise | superlative","healthy and strong, especially because you do regular physical exercise | so sánh nhất"
fixations,noun,"a solution to a problem, especially an easy or temporary one | to make/become (verb | adjective | action, process, state (noun","a solution to a problem, especially an easy or temporary one | lam cho/become (động từ | t tính từ | hanh động, qua trình, state (danh từ"
fixers,noun,"a solution to a problem, especially an easy or temporary one | person who does; comparative","a solution to a problem, especially an easy or temporary one | người thực hiện; so sánh hơn"
flashier,noun,a sudden bright light that shines for a moment and then disappears | having quality of; noun/adjective | person who does; comparative,a sudden bright light that shines for a moment and then disappears | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
flashiest,adjective,a sudden bright light that shines for a moment and then disappears | having quality of; noun/adjective | superlative,a sudden bright light that shines for a moment and then disappears | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất
flatland,adjective,"having a level surface, not curved or sloping, and without holes or any bits sticking out + the surface of the earth that is not sea","having a level surface, not curved or sloping, and khong có holes or any bits sticking out + the surface of the earth that is not sea"
flattest,adjective,"having a level surface, not curved or sloping, and without holes or any bits sticking out | superlative","having a level surface, not curved or sloping, and khong có holes or any bits sticking out | so sánh nhất"
fleeter,noun,a group of military ships commanded by the same person | person who does; comparative,a group of military ships commanded by the same person | người thực hiện; so sánh hơn
fleshier,noun,the soft substance between the skin and bones of animal or human bodies | having quality of; noun/adjective | person who does; comparative,the soft substance between the skin and bones of animal or human bodies | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
fleshiest,adjective,the soft substance between the skin and bones of animal or human bodies | having quality of; noun/adjective | superlative,the soft substance between the skin and bones of animal or human bodies | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất
flightier,noun,"a journey made by air, especially in a plane | having quality of; noun/adjective | person who does; comparative","a journey made by air, especially in a plane | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
flourmill,noun,"a fine white or brown powder made from grain, especially wheat, and used in cooking for making bread, cakes, etc. + a building fitted with equipment for grinding grain into flour; a machine for grinding grain","a fine white or brown powder made from grain, especially wheat, and used in cooking for making bread, cakes, etc. + a building fitted with equipment for grinding grain into flour; a machine for grinding grain"
flowerier,noun,the coloured part of a plant from which the seed or fruit develops. Flowers usually grow at the end of a stem and last only a short time. | having quality of; noun/adjective | person who does; comparative,the coloured part of a plant from which the seed or fruit develops. Flowers usually grow at the end of a stem and last only a short time. | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
flyblew,noun,"a small flying insect with two wings. There are many different types of fly and many of them spread disease. + a hard hit with the hand, a weapon, etc.","a nhỏ flying insect with two wings. There are many different types of fly and many of them spread disease. + a hard hit with the hand, a weapon, etc."
flybys,noun,a small flying insect with two wings. There are many different types of fly and many of them spread disease. + past,a nhỏ flying insect with two wings. There are many different types of fly and many of them spread disease. + past
flyways,noun,a small flying insect with two wings. There are many different types of fly and many of them spread disease. + very far; by a large amount,a nhỏ flying insect with two wings. There are many different types of fly and many of them spread disease. + very far; by a large amount
folklike,adjective,traditional and typical of the ordinary people of a country or community + the things that you like,traditional and typical of the ordinary people of a country or community + the things that you like
folksier,noun,traditional and typical of the ordinary people of a country or community | having quality of; noun/adjective | person who does; comparative,traditional and typical of the ordinary people of a country or community | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
folksongs,adjective,traditional and typical of the ordinary people of a country or community + a short piece of music with words that you sing,traditional and typical of the ordinary people of a country or community + a short piece of music with words that you sing
followeth,noun,"to come or go after or behind somebody/something | ordinal number / state (noun, VD: eighth, warmth","to come or go after or behind somebody/something | ordinal number / state (danh từ, VD: eighth, warmth"
fonder,noun,"having warm or loving feelings for somebody, especially somebody you have known for a long time | person who does; comparative","having warm or loving feelings for somebody, especially somebody you have known for a long time | người thực hiện; so sánh hơn"
fondest,adjective,"having warm or loving feelings for somebody, especially somebody you have known for a long time | superlative","having warm or loving feelings for somebody, especially somebody you have known for a long time | so sánh nhất"
forecasters,noun,"before, in front | all the people who act in a play or film | person who does; comparative","before, in front | all the people who act in a play or film | người thực hiện; so sánh hơn"
foreknown,unknown,"fore-(before, in front) + know(to have information in your mind as a result of experience or because you have learned or been told it) + -n([INFLECTION] past-participle ending (VD: blown, drawn))",fore — biết — n (unknown)
forgiven,verb,"to stop feeling angry with somebody who has done something to harm, annoy or upset you; to stop feeling angry with yourself | to make (verb | adjective","to stop feeling angry with somebody who has done something to harm, annoy or upset you; to stop feeling angry with yourself | lam cho (động từ | t tính từ"
formability,noun,a type or variety of something | capable of being (adjective | state or quality of (noun,a type or variety of something | capable of being (t tính từ | trạng thái hoặc tính chất của (danh từ
formatively,adverb,"a type or variety of something | tending to, having nature of (adjective | adverb of manner / adjective (like","a type or variety of something | tending to, having nature of (t tính từ | trạng từ chỉ cách thức / t tính từ (like"
formbook,noun,a type or variety of something + a set of printed pages that are fastened inside a cover so that you can turn them and read them,a type or variety of something + a set of printed pages that are fastened inside a cover so that you can turn them and read them
formlessness,noun,a type or variety of something | without (adjective | state or quality of (noun,a type or variety of something | khong có (t tính từ | trạng thái hoặc tính chất của (danh từ
forsaken,verb,"before, in front | (không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập | to make (verb | adjective","before, in front | (không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập | lam cho (động từ | t tính từ"
forsaken,adjective,"deserted, abandoned, or lonely","bị bỏ rơi, hoang vắng hoặc cô đơn"
fourteenths,noun,"(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập | không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập | ordinal number / state (noun, VD: eighth, warmth","(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập | không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập | ordinal number / state (danh từ, VD: eighth, warmth"
freest,adjective,without particular plans or arrangements; not busy | superlative,khong có particular plans or arrangements; not busy | so sánh nhất
freewheelers,noun,"without particular plans or arrangements; not busy + one of the round objects under a car, bicycle, bus, etc. that turns when it moves | person who does; comparative","khong có particular plans or arrangements; not busy + one of the round objects under a car, bicycle, bus, etc. that turns when it moves | người thực hiện; so sánh hơn"
freshest,adjective,"recently produced or picked and not frozen, dried or preserved in tins or cans | superlative","recently produced or picked and not frozen, dried or preserved in tins or cans | so sánh nhất"
friendlier,noun,"a person you know well and like, and who is not usually a member of your family | adverb of manner / adjective (like | person who does; comparative","a person you know well and like, and who is not usually a member of your family | trạng từ chỉ cách thức / t tính từ (like | người thực hiện; so sánh hơn"
friendliest,adjective,"a person you know well and like, and who is not usually a member of your family | adverb of manner / adjective (like | superlative","a person you know well and like, and who is not usually a member of your family | trạng từ chỉ cách thức / t tính từ (like | so sánh nhất"
fruitier,noun,"the part of a plant that consists of one or more seeds and a soft inner part, can be eaten as food and usually tastes sweet | having quality of; noun/adjective | person who does; comparative","the part of a plant that consists of one or more seeds and a soft inner part, can be eaten as food and usually tastes sweet | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
fruitiest,adjective,"the part of a plant that consists of one or more seeds and a soft inner part, can be eaten as food and usually tastes sweet | having quality of; noun/adjective | superlative","the part of a plant that consists of one or more seeds and a soft inner part, can be eaten as food and usually tastes sweet | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất"
fullest,adjective,containing or holding as much or as many as possible; having no empty space | superlative,containing or holding as much or as many as possible; having no empty space | so sánh nhất
funnier,noun,that you enjoy | having quality of; noun/adjective | person who does; comparative,that you enjoy | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn
funniest,adjective,that you enjoy | having quality of; noun/adjective | superlative,that you enjoy | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất
furriers,noun,the soft thick mass of hair that grows on the body of some animals | person who does; comparative,the soft thick mass of hair that grows on the body of some animals | người thực hiện; so sánh hơn
furriest,adjective,the soft thick mass of hair that grows on the body of some animals | having quality of; noun/adjective | superlative,the soft thick mass of hair that grows on the body of some animals | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất
futuristically,adverb,taking place or existing at a time after the present | person who practices/believes (noun | relating to (adjective | adverb of manner / adjective (like,taking place or existing at a time after the present | person who practices/believes (danh từ | li quan đến (t tính từ | trạng từ chỉ cách thức / t tính từ (like
gallonage,noun,"a unit for measuring liquid. In the UK, Canada and other countries it is equal to about 4.5 litres; in the US it is equal to about 3.8 litres. There are four quarts in a gallon. | action, result, collection (noun","a unit for measuring liquid. In the UK, Canada and other countries it is equal to about 4.5 litres; in the US it is equal to about 3.8 litres. There are four quarts in a gallon. | hanh động, result, collection (danh từ"
gasser,noun,"any substance like air that is neither a solid nor a liquid, for example hydrogen or oxygen | person who does; comparative","any substance like air that is neither a solid nor a liquid, for example hydrogen or oxygen | người thực hiện; so sánh hơn"
gassier,noun,"any substance like air that is neither a solid nor a liquid, for example hydrogen or oxygen | having quality of; noun/adjective | person who does; comparative","any substance like air that is neither a solid nor a liquid, for example hydrogen or oxygen | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
gassiest,adjective,"any substance like air that is neither a solid nor a liquid, for example hydrogen or oxygen | having quality of; noun/adjective | superlative","any substance like air that is neither a solid nor a liquid, for example hydrogen or oxygen | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất"
gassiness,noun,"any substance like air that is neither a solid nor a liquid, for example hydrogen or oxygen | having quality of; noun/adjective | state or quality of (noun","any substance like air that is neither a solid nor a liquid, for example hydrogen or oxygen | cóĩ·· tính chất của; danh từ/t tính từ | trạng thái hoặc tính chất của (danh từ"
gatecrash,noun,"a barrier like a door that is used to close an opening in a fence or a wall outside a building + an accident in which a vehicle hits something, for example another vehicle, usually causing damage and often injuring or killing the passengers","a barrier like a door that is used to close an opening in a fence or a wall outside a building + an accident in which a vehicle hits something, for example another vehicle, usually causing damage and often injuring or killing the passengers"
gatecrash,verb,to attend a party or event without being invited,đến dự một bữa tiệc hoặc sự kiện mà không được mời
