component_roots,derived_word,morphology_structure,pattern_PRS,pos,IPA,ipa_status,definition_en,nghia_tieng_viet,source,vi_note,existence_note
dog+fish,dogfish,[dog+fish],0-2-0,noun,/ˈdɔɡˌfɪʃ/,real,any of several small sharks,dog+fish(con chó + cá),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
dog+house,doghouse,[dog+house],0-2-0,noun,/ˈdɔɡˌhaʊs/,real,outbuilding that serves as a shelter for a dog,dog+house(con chó + ngôi nhà),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
dog+leg,dogleg,[dog+leg],0-2-0,noun,/dˈɒɡlɛɡ/,real,a golf hole with a sharp angle in the fairway,dog+leg(con chó + chân),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
dog+tooth,dogtooth,[dog+tooth],0-2-0,noun,/dˈɒɡtuːθ/,real,a carved pyramidal ornament,dog+tooth(con chó + răng),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
dog+wood,dogwood,[dog+wood],0-2-0,noun,/ˈdɔˌɡwʊd/,real,a tree of shrub of the genus Cornus often having showy bracts resembling flowers,dog+wood(con chó + gỗ),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
door+bell,doorbell,[door+bell],0-2-0,noun,/ˈdɔɹˌbɛɫ/,real,a push button at an outer door that gives a ringing or buzzing signal when pushed,door+bell(cửa + chuông),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
door+frame,doorframe,[door+frame],0-2-0,noun,/dˈɔːfɹeɪm/,real,the frame that supports a door,door+frame(cửa + khung),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
door+handle,doorhandle,[door+handle],0-2-0,noun,/dˈoːɹhændəl/,"generated (espeak-ng G2P, algorithmic)",a knob used to release the catch when opening a door (often called `doorhandle' in Great Britain),"door+handle(cửa + xử lý, tay cầm)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
door+keep,doorkeeper,[door+keep]-er,0-2-1,noun,/ˈdɔɹˌkipɝ/,real,someone who guards an entrance,door+keep(cửa + giữ) + -er(người làm việc gì; so sánh hơn),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
door+knock,doorknocker,[door+knock]-er,0-2-1,noun,/dˈɔːknɒkɐ/,real,"a device, usually metal and ornamental, attached by a hinge to a door, used to alert the presence of guests",door+knock(cửa + gõ cửa) + -er(người làm việc gì; so sánh hơn),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
door+man,doorman,[door+man],0-2-0,noun,/ˈdɔɹˌmæn/,real,someone who guards an entrance,door+man(cửa + đàn ông),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
door+nail,doornail,[door+nail],0-2-0,noun,/ˈdɔɹˌneɪɫ/,real,a nail with a large head,"door+nail(cửa + móng tay, đinh)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
door+plate,doorplate,[door+plate],0-2-0,noun,/dˈoːɹpleɪt/,"generated (espeak-ng G2P, algorithmic)",a nameplate fastened to a door,door+plate(cửa + đĩa),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
door+step,doorstep,[door+step],0-2-0,noun,/ˈdɔɹˌstɛp/,real,the sill of a door,door+step(cửa + bước chân),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
door+stop,doorstop,[door+stop],0-2-0,noun,/dˈɔːstɒp/,real,a stop that keeps open doors from moving,door+stop(cửa + dừng lại),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
door+way,doorway,[door+way],0-2-0,noun,/ˈdɔɹˌweɪ/,real,the entrance (the space in a wall) through which you enter or leave a room or building,"door+way(cửa + con đường, cách thức)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
double+head,doubleheader,[double+head]-er,0-2-1,noun,/dˈʌbəlhˌɛdɚ/,"generated (espeak-ng G2P, algorithmic)",two games instead of one (especially in baseball when the same two teams play two games on the same day),"double+head(gấp đôi + đầu, người đứng đầu) + -er(người làm việc gì; so sánh hơn)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
drag+net,dragnet,[drag+net],0-2-0,noun,/ˈdɹæɡˌnɛt/,real,a system of coordinated measures for apprehending (criminals or other individuals),"drag+net(kéo lê + lưới, mạng)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
drain+pipe,drainpipe,[drain+pipe],0-2-0,noun,/dɹˈeɪnpaɪp/,real,a pipe through which liquid is carried away,drain+pipe(thoát nước + ống dẫn),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
draw+back,drawback,[draw+back],0-2-0,noun,/ˈdɹɔˌbæk/,real,the quality of being a hindrance,"draw+back(vẽ, kéo + lưng, phía sau)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
draw+bridge,drawbridge,[draw+bridge],0-2-0,noun,/ˈdɹɔˌbɹɪdʒ/,real,a bridge that can be raised to block passage or to allow boats or ships to pass beneath it,"draw+bridge(vẽ, kéo + cây cầu)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
dream+boat,dreamboat,[dream+boat],0-2-0,noun,/dɹˈiːmbəʊt/,real,"dream+boat(a series of images, events and feelings that happen in your mind while you are asleep + a vehicle (smaller than a ship) that travels on water, moved by oars, sails or a motor)",dream+boat(giấc mơ + thuyền),"compositional (generated, unverified)",công thức ghép (chưa xác thực),
dream+land,dreamland,[dream+land],0-2-0,noun,/ˈdɹimˌɫænd/,real,a pleasing country existing only in dreams or imagination,dream+land(giấc mơ + đất đai),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
dream+like,dreamlike,[dream+like],0-2-0,adjective,/ˈdɹimˌɫaɪk/,real,resembling a dream,"dream+like(giấc mơ + thích, giống như)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
dream+world,dreamworld,[dream+world],0-2-0,noun,/ˈdɹimˌwɝɫd/,real,a pleasing country existing only in dreams or imagination,dream+world(giấc mơ + thế giới),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
dress+make,dressmaker,[dress+make]-er,0-2-1,noun,/ˈdɹɛsˌmeɪkɝ/,real,someone who makes or mends dresses,"dress+make(váy, mặc quần áo + làm) + -er(người làm việc gì; so sánh hơn)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
dress+make,dressmaking,[dress+make],0-2-0,noun,/ˈdɹɛsˌmeɪkɪŋ/,real,the craft of making dresses,"dress+make(váy, mặc quần áo + làm)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
drift+net,driftnet,[drift+net],0-2-0,verb,/ˈdɹɪftˌnɛt/,real,drift+net(to move along smoothly and slowly in water or air + a net amount of money is the amount that remains when nothing more is to be taken away),"drift+net(trôi dạt + lưới, mạng)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
drift+wood,driftwood,[drift+wood],0-2-0,noun,/ˈdɹɪftˌwʊd/,real,wood that is floating or that has been washed ashore,drift+wood(trôi dạt + gỗ),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
drive+way,driveway,[drive+way],0-2-0,noun,/ˈdɹaɪvˌweɪ/,real,a road leading up to a private house,"drive+way(lái xe + con đường, cách thức)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
drop+out,dropout,[drop+out],0-2-0,noun,/ˈdɹɑˌpaʊt/,real,someone who quits school before graduation,"drop+out(rơi, giọt + ra ngoài)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
drug+store,drugstore,[drug+store],0-2-0,noun,/ˈdɹəɡˌstɔɹ/,real,a retail shop where medicine and other articles are sold,"drug+store(thuốc, ma túy + cửa hàng, lưu trữ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
drum+beat,drumbeat,[drum+beat],0-2-0,noun,/ˈdɹəmˌbit/,real,a vehement and vociferous advocacy of a cause,"drum+beat(trống + đánh, nhịp đập)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
drum+head,drumhead,[drum+head],0-2-0,adjective,/ˈdɹəmˌhɛd/,real,performed speedily and without formality,"drum+head(trống + đầu, người đứng đầu)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
drum+stick,drumstick,[drum+stick],0-2-0,noun,/ˈdɹəmstɪk/,real,a stick used for playing a drum,"drum+stick(trống + que, dính chặt)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
dumb+bell,dumbbell,[dumb+bell],0-2-0,noun,/ˈdəmˌbɛɫ/,real,an exercising weight,"dumb+bell(câm, ngu ngốc + chuông)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
dumb+found,dumbfound,[dumb+found],0-2-0,verb,/ˈdəmfaʊnd/,real,be a mystery or bewildering to,"dumb+found(câm, ngu ngốc + thành lập, tìm thấy)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
dumb+wait,dumbwaiter,[dumb+wait]-er,0-2-1,noun,/dˈʌmweɪtɐ/,real,a small elevator used to convey food (or other goods) from one floor of a building to another,"dumb+wait(câm, ngu ngốc + chờ đợi) + -er(người làm việc gì; so sánh hơn)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
dust+bin,dustbin,[dust+bin],0-2-0,noun,/ˈdəstbɪn/,real,a bin that holds rubbish until it is collected,dust+bin(bụi + thùng rác),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
dust+coat,dustcoat,[dust+coat],0-2-0,noun,/dˈʌstkoʊt/,"generated (espeak-ng G2P, algorithmic)","dust+coat(a fine powder that consists of very small pieces of sand, earth, etc. + a piece of outdoor clothing that is worn over other clothes to keep warm or dry. Coats have sleeves (= parts covering the arms) and may be long or short.)",dust+coat(bụi + áo khoác),"compositional (generated, unverified)",công thức ghép (chưa xác thực),
dust+man,dustman,[dust+man],0-2-0,noun,/ˈdəstmən/,real,someone employed to collect and dispose of refuse,dust+man(bụi + đàn ông),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
dust+pan,dustpan,[dust+pan],0-2-0,noun,/dˈʌstpæn/,real,a short-handled receptacle into which dust can be swept,dust+pan(bụi + chảo),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
dust+sheet,dustsheet,[dust+sheet],0-2-0,noun,/dˈʌstʃiːt/,"generated (espeak-ng G2P, algorithmic)","dust+sheet(a fine powder that consists of very small pieces of sand, earth, etc. + a large piece of thin cloth used on a bed to lie on or lie under)","dust+sheet(bụi + tấm, tờ)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
dust+up,dustup,[dust+up],0-2-0,noun,/dˈʌstʌp/,"generated (espeak-ng G2P, algorithmic)",an angry dispute,dust+up(bụi + lên trên),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ear+drum,eardrum,[ear+drum],0-2-0,noun,/ˈiədɹəm/,real,the membrane in the ear that vibrates to sound,ear+drum(tai + trống),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ear+mark,earmark,[ear+mark],0-2-0,noun,/ˈiɹˌmɑɹk/,real,a distinctive characteristic or attribute,"ear+mark(tai + dấu, đánh dấu)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ear+phon,earphone,[ear+phon],0-2-0,noun,/ˈiɹˌfoʊn/,real,electro-acoustic transducer for converting electric signals into sounds,ear+phon(tai + âm thanh (gốc từ)),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ear+piece,earpiece,[ear+piece],0-2-0,noun,/ˈiɹpis/,real,electro-acoustic transducer for converting electric signals into sounds,"ear+piece(tai + mảnh, miếng)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ear+plug,earplug,[ear+plug],0-2-0,noun,/ˈiɹˌpɫəɡ/,real,"a plug of cotton, wax, or rubber that is fitted into the ear canal for protection against the entry of water or loud noise",ear+plug(tai + phích cắm),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ear+ring,earring,[ear+ring],0-2-0,noun,/ˈiɹɪŋ/,real,jewelry to ornament the ear,"ear+ring(tai + chiếc nhẫn, tiếng chuông)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ear+shot,earshot,[ear+shot],0-2-0,noun,/ˈiɹˌʃɑt/,real,the range within which a voice can be heard,"ear+shot(tai + phát súng, cú đánh)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ear+split,earsplitting,[ear+split],0-2-0,adjective,/ˈɪɹsplɪɾɪŋ/,"generated (espeak-ng G2P, algorithmic)",loud enough to cause (temporary) hearing loss,ear+split(tai + chia tách),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
earth+bound,earthbound,[earth+bound],0-2-0,adjective,/ˈɝθˌbaʊnd/,real,confined to the earth,"earth+bound(trái đất, đất + ràng buộc, giới hạn)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
earth+move,earthmoving,[earth+move],0-2-0,noun,/ˈɝθˌmuvɪŋ/,real,earth+move(the world; the planet that we live on + a change of place or position),"earth+move(trái đất, đất + di chuyển)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
earth+shake,earthshaking,[earth+shake],0-2-0,adjective,/ˈɝθˌʃeɪkɪŋ/,real,loud enough to shake the very earth,"earth+shake(trái đất, đất + lắc, rung)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
earth+shake,earthshakingly,[earth+shake]-ly,0-2-1,adverb,/ˈɜːθʃeɪkɪŋli/,"generated (espeak-ng G2P, algorithmic)",earth+shake(the world; the planet that we live on + an act of shaking somebody/something) + -ly(adverb of manner / adjective (like)),"earth+shake(trái đất, đất + lắc, rung) + -ly(trạng từ chỉ cách thức / tính từ (giống như))","compositional (generated, unverified)",công thức ghép (chưa xác thực),
earth+work,earthwork,[earth+work],0-2-0,noun,/ˈɝθˌwɝk/,real,an earthen rampart,"earth+work(trái đất, đất + công việc)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
earth+worm,earthworm,[earth+worm],0-2-0,noun,/ˈɝθˌwɝm/,real,terrestrial worm that burrows into and helps aerate soil,"earth+worm(trái đất, đất + con giun)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ease+go,easygoing,[ease+go]-y,0-2-1,adjective,/ˈiziˈɡoʊɪŋ/,real,relaxed and informal in attitude or standards,ease+go(sự dễ dàng + đi) + -y(có tính chất; danh từ/tính từ),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
east+bound,eastbound,[east+bound],0-2-0,adjective,/ˈistˌbaʊnd/,real,moving toward the east,"east+bound(phía đông + ràng buộc, giới hạn)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
east+most,easternmost,[east+most]-ern,0-2-1,adjective,/ˈiːstənmˌəʊst/,real,farthest to the east,"east+most(phía đông + nhiều nhất) + -ern(phương hướng (tính từ, VD southern))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
egg+beat,eggbeater,[egg+beat]-er,0-2-1,noun,/ˈɛɡbiːtɐ/,real,a mixer for beating eggs or whipping cream,"egg+beat(quả trứng + đánh, nhịp đập) + -er(người làm việc gì; so sánh hơn)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
egg+cup,eggcup,[egg+cup],0-2-0,noun,/ˈɛɡˌkəp/,real,dishware consisting of a small cup for serving a boiled egg,egg+cup(quả trứng + cốc),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
egg+head,egghead,[egg+head],0-2-0,noun,/ˈɛɡˌhɛd/,real,an intellectual,"egg+head(quả trứng + đầu, người đứng đầu)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
egg+plant,eggplant,[egg+plant],0-2-0,noun,/ˈɛɡˌpɫænt/,real,egg-shaped vegetable having a shiny skin typically dark purple but occasionally white or yellow,"egg+plant(quả trứng + cây trồng, nhà máy)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
egg+shell,eggshell,[egg+shell],0-2-0,noun,/ˈɛɡˌʃɛɫ/,real,the exterior covering of a bird's egg,"egg+shell(quả trứng + vỏ sò, vỏ đạn)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ego+trip,egotrip,[ego+trip],0-2-0,verb,/ˈɛɡətɹˌɪp/,"generated (espeak-ng G2P, algorithmic)",act in a way that attracts attention,ego+trip(cái tôi + chuyến đi),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
elbow+room,elbowroom,[elbow+room],0-2-0,noun,/ˈɛɫˌboʊˌɹum/,real,"Room to extend the elbows on each side; ample room for motionor action; free scope. ""My soul hath elbowroom."" Shak.Then came a stretch of grass and a little more elbowroom. W. G.Norris.",elbow+room(khuỷu tay + căn phòng),"Webster's Unabridged Dictionary (1913, public domain)",công thức ghép (chưa xác thực),
else+where,elsewhere,[else+where],0-2-0,adverb,/ˈɛɫˌswɛɹ/,real,"in, at or to another place or other places",else+where(khác + ở đâu),Oxford 5000 (verified),,
end+game,endgame,[end+game],0-2-0,noun,/ˈɛndɡeɪm/,real,the final stages of a chess game after most of the pieces have been removed from the board,end+game(kết thúc + trò chơi),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
end+paper,endpaper,[end+paper],0-2-0,noun,/ɛndpˈeɪpɚ/,"generated (espeak-ng G2P, algorithmic)","end+paper(the final part of a period of time, an event, an activity or a story + the thin material that you write and draw on and that is also used for wrapping and packing things)",end+paper(kết thúc + giấy),"compositional (generated, unverified)",công thức ghép (chưa xác thực),
end+point,endpoints,[end+point],0-2-0,noun,/ˈɛndˌpɔɪnts/,real,"end+point(the final part of a period of time, an event, an activity or a story + a thing that somebody says or writes giving their opinion or stating a fact)","end+point(kết thúc + điểm, chỉ ra)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
escape+log,escapology,[escape+log]-y,0-2-1,noun,/ˌɛskɐpˈɒlədʒi/,real,the study of methods of escaping (especially as a form of entertainment),"escape+log(trốn thoát + khúc gỗ, nhật ký) + -y(có tính chất; danh từ/tính từ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
escape+log,escapologist,[escape+log]-ist,0-2-1,noun,/ˌɛskɐpˈɒlədʒˌɪst/,real,an entertainer who is expert in the art of escaping,"escape+log(trốn thoát + khúc gỗ, nhật ký) + -ist(người theo/thực hành (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
even+song,evensong,[even+song],0-2-0,noun,/ˈiːvənsˌɒŋ/,real,a daily evening service with prayers prescribed in the Book of Common Prayer of the Anglican Church,"even+song(thậm chí, đều + bài hát)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ever+green,evergreen,[ever+green],0-2-0,adjective,/ˈɛvɝˌɡɹin/,real,(of plants and shrubs) bearing foliage throughout the year,"ever+green(từng, mãi mãi + màu xanh lá)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ever+last,everlasting,[ever+last],0-2-0,adjective,/ˌɛvɝˈɫæstɪŋ/,real,without qualification,"ever+last(từng, mãi mãi + cuối cùng, kéo dài)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ever+last,everlastingly,[ever+last]-ly,0-2-1,adverb,/ˌɛvəlˈɑːstɪŋli/,real,for a limitless time,"ever+last(từng, mãi mãi + cuối cùng, kéo dài) + -ly(trạng từ chỉ cách thức / tính từ (giống như))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ever+more,evermore,[ever+more],0-2-0,adverb,/ˈɛvɝˌmɔɹ/,real,for a limitless time,"ever+more(từng, mãi mãi + nhiều hơn)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
every+body,everybody,[every+body],0-2-0,pronoun,/ˈɛvɹiˌbɑdi/,real,every person; all people,every+body(mỗi + cơ thể),Oxford 5000 (verified),,
every+day,everyday,[every+day],0-2-0,adjective,/ˈɛvɹiˈdeɪ/,real,used or happening every day or regularly; ordinary,every+day(mỗi + ngày),Oxford 5000 (verified),,
every+one,everyone,[every+one],0-2-0,pronoun,/ˈɛvɹiˌwən/,real,every person; all people,every+one(mỗi + một),Oxford 5000 (verified),,
every+thing,everything,[every+thing],0-2-0,pronoun,/ˈɛvɹiˌθɪŋ/,real,all things,"every+thing(mỗi + vật, thứ)",Oxford 5000 (verified),,
every+where,everywhere,[every+where],0-2-0,adverb,/ˈɛvɹiˌwɛɹ/,real,"in, to or at every place; all places",every+where(mỗi + ở đâu),Oxford 5000 (verified),,
evil+do,evildoer,[evil+do]-er,0-2-1,noun,/ˈivəɫˌduɝ/,real,a person who sins without repenting,evil+do(tà ác + làm) + -er(người làm việc gì; so sánh hơn),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
eye+ball,eyeball,[eye+ball],0-2-0,noun,/ˈaɪˌbɔɫ/,real,the ball-shaped capsule containing the vertebrate eye,eye+ball(mắt + quả bóng),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
eye+bath,eyebath,[eye+bath],0-2-0,noun,/ˈaɪbæθ/,"generated (espeak-ng G2P, algorithmic)",a small vessel with a rim curved to fit the orbit of the eye,eye+bath(mắt + bồn tắm),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
eye+catch,eyecatching,[eye+catch],0-2-0,noun,/ˈaɪkætʃɪŋ/,"generated (espeak-ng G2P, algorithmic)","eye+catch(either of the two organs on the face that you see with + an act of catching something, for example a ball)",eye+catch(mắt + bắt lấy),"compositional (generated, unverified)",công thức ghép (chưa xác thực),"dạng liền không gạch nối của ""eye-catching"""
eye+drop,eyedrop,[eye+drop],0-2-0,noun,/ˈaɪˌdɹɑp/,real,a method of irrigating the eye used by ophthalmologists,"eye+drop(mắt + rơi, giọt)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
eye+glass,eyeglass,[eye+glass],0-2-0,noun,/ˈaɪˌɡɫæs/,real,lens for correcting defective vision in one eye,"eye+glass(mắt + kính, ly)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
eye+line,eyeliner,[eye+line]-er,0-2-1,noun,/ˈaɪˌɫaɪnɝ/,real,makeup applied to emphasize the shape of the eyes,eye+line(mắt + đường kẻ) + -er(người làm việc gì; so sánh hơn),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
