root_word,meaning,nghia_tieng_viet,used_in_single_root_group,used_in_compound_group,variants,variant_count,de_nham_lan,bien_the,topic,subtopic
breast,either of the two round soft parts at the front of a woman’s body that produce milk when she has had a baby,ngực,False,True,breastbone; breastfeed; breastplate; breaststroke; breastwork; redbreast,6,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Cơ thể
breath,the air that you take into your lungs and send out again,hơi thở,True,True,breathalyse; breathalyser; breather; breathier; breathily; breathiness; breathless; breathlessly; breathlessness; breathtaking; breathtakingly; breathy,12,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Hệ cơ thể
breed,"a particular type of animal that has been developed by people in a certain way, especially a type of dog, cat or farm animal","nhân giống, giống loài",True,True,breeder; crossbred; inbred; interbred; stockbreeder; thoroughbred,6,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Môi trường và tự nhiên,Động vật có vú
brick,"baked clay used for building walls, houses and other buildings; an individual block of this",gạch,False,True,brickbat; bricklayer; bricklaying; bricktop; brickwork; brickyard; firebrick; redbrick,8,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Nhà cửa,Sửa chữa và bảo trì
bride,"a woman on her wedding day, or just before or just after it",cô dâu,True,True,bridal; bridecake,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Sự kiện đời người
bridge,"a structure that is built over a road, railway, river, etc. so that people, vehicles, etc. can cross from one side to the other",cây cầu,False,True,bridgehead; bridgeport; bridgewater; bridgework; drawbridge; footbridge; weighbridge,7,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Giao thông,Đường sá
brief,lasting only a short time; short,ngắn gọn,True,True,briefcase; briefer; briefest; briefly; debrief,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Mức độ và so sánh
bright,full of light; shining strongly,"sáng, thông minh",True,False,brighten; brighter; brightest; brightly; brightness,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Nghệ thuật, thiết kế và văn hóa",Màu sắc
bring,to come to a place with somebody/something,mang đến,True,False,upbringing,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Hành động và xử lý
broad,wide,rộng lớn,True,True,broadcast; broadcaster; broadcloth; broaden; broader; broadest; broadloom; broadly; broadminded; broadmindedly; broadmindedness; broadness; broadsheet; broadside; broadsword; broadways; broadwise,17,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Mức độ và so sánh
brother,a boy or man who has the same parents as another person,anh/em trai,True,True,brotherhood; brotherliness; brotherly; fairbrothers; stepbrother,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Gia đình
brown,having the colour of earth or coffee,màu nâu,True,True,browner; brownest; brownie; brownish; brownstone,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Nghệ thuật, thiết kế và văn hóa",Màu sắc
brush,"an object made of short stiff hairs (called bristles) or wires set in a block of wood or plastic, usually attached to a handle. Brushes are used for many different jobs, such as cleaning, painting and tidying your hair.","bàn chải, chải",True,True,brushfire; brushlike; brushwood; brushwork; brushy; clothesbrush; hairbrush; nailbrush; paintbrush; toothbrush; underbrush,11,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngoại hình và trang phục,Chăm sóc da
bubble,"a ball of air or gas in a liquid, or a ball of air inside a solid substance such as glass",bong bóng,True,False,bubblier; bubbliest; bubbly,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Khoa học, công nghệ và kỹ thuật",Hóa học
buck,"a US, Australian or New Zealand dollar; a South African rand; an Indian rupee","đô la (tiếng lóng), con nai",False,True,buckboard; buckhead; buckhorn's; buckshot; buckskin; bucktooth; buckwheat,7,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Kinh doanh và tài chính,Tiền mặt và thẻ
budget,the money that is available to a person or an organization and a plan of how it will be spent over a period of time,ngân sách,True,False,budgetary,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Kinh doanh và tài chính,Ngân sách cá nhân
bug,any small insect,"côn trùng, lỗi phần mềm",True,True,bedbug; bugbear; bugeyed; debug; firebug; ladybug; litterbug; maybug; mealybug,9,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Môi trường và tự nhiên,Động vật không xương sống
build,"to make something, especially a building, by putting parts together",xây dựng,True,True,bodybuilder; bodybuilding; builder; buildup; coachbuilder; homebuilders; homebuilding; outbuilding; rebuild; roadbuilding; shipbuilder; shipbuilding,12,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Nghề nghiệp và công việc,Nghề kỹ thuật và xây dựng
bulk,the main part of something; most of something,khối lượng lớn,True,True,bulkhead; bulkier; bulkiest; bulkily; bulkiness; bulky,6,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Kinh doanh và tài chính,Sản phẩm và dịch vụ
bullet,a small metal object that is fired from a gun,viên đạn,False,True,bulletproof,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Pháp luật, an toàn và khẩn cấp",Tội phạm và điều tra
bunch,a number of things of the same type which are growing or fastened together,"chùm, bó",True,False,buncha,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngôn ngữ hằng ngày,Từ chỉ số lượng
burden,"a duty, responsibility, etc. that causes worry, difficulty or hard work",gánh nặng,True,False,burdensome; burdensomeness; disburden; overburden; unburden,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Tính chất khác
burn,"an injury or a mark caused by fire, heat or acid",đốt cháy,True,True,burner; burnside; burnt; heartburn; rayburn; sideburns; sunburn; sunburnt; tyburn; unburned; woburn,11,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Pháp luật, an toàn và khẩn cấp",Hỏa hoạn
burst,"to break open or apart, especially because of pressure from inside; to make something break in this way",nổ tung,True,True,cloudburst; outburst; sunburst,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Thay đổi và phát sinh
bury,to place a dead body in the ground,chôn cất,True,True,banbury; burial; newbury; waterbury,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Cộng đồng và đô thị,Nghĩa trang
bus,"a large road vehicle that carries passengers, especially one that travels along a fixed route and stops regularly to let people get on and off",xe buýt,True,True,airbus; busman; minibus,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Giao thông,Xe buýt
bush,a plant that grows thickly with several hard stems coming up from the root,bụi cây,True,True,bluebush; bushier; bushiest; bushiness; bushman; bushy; rosebush; saltbush,8,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Môi trường và tự nhiên,Cây
business,"the activity of making, buying, selling or supplying goods or services for money",kinh doanh,False,True,businesslike; businessman; businesswoman,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Kinh doanh và tài chính,Doanh nghiệp
busy,having a lot to do; perhaps not free to do something else because you are working on something,bận rộn,True,True,busier; busiest; busily; busybody; busyness,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Nghề nghiệp và công việc,Nơi làm việc
butter,"a soft yellow food made from cream, used in cooking and for spreading on bread",bơ,True,True,buttercup; butterfat; butterfingers; butterfly; buttermilk; butternut; buttery,7,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Thực phẩm,Sữa và sản phẩm từ sữa
button,"a small round piece of metal, plastic, etc. that is sewn onto a piece of clothing and used for fastening two parts together","cúc áo, nút bấm",True,True,buttonhole; buttonhook; unbutton,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngoại hình và trang phục,Chất liệu vải
buy,to obtain something by paying money for it,mua,True,False,buyer,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Mua sắm,Mua sắm trực tuyến
by,past,"bởi, bằng",False,True,flybys; hereby; layby; nearby; passerby; standby; thereby; whereby,8,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngữ pháp và hư từ,Giới từ
bye,goodbye,tạm biệt,False,True,goodbye,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngôn ngữ hằng ngày,Chào hỏi và giới thiệu bản thân
cabinet,a group of senior members of a government that is responsible for advising and deciding on government policy,"tủ, nội các",False,True,cabinetmakers,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Nhà cửa,Đồ nội thất
cake,"a sweet food made from a mixture of flour, eggs, butter, sugar, etc. that is baked in an oven. Cakes are made in various shapes and sizes and are often decorated, for example with cream or icing.",bánh ngọt,False,True,beefcake; bridecake; cheesecake; cupcake; fishcake; fruitcake; pancake; seedcake; shortcake; teacake,10,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Thực phẩm,Bánh và món tráng miệng
call,the act of speaking to somebody on the phone,gọi,True,True,callable; caller; catcall; miscall; overcall; phonecall; recall; recallable; uncalled,9,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Dịch vụ,Điện thoại
calm,"not excited, nervous or upset",bình tĩnh,True,False,becalmed; calmer; calmest; calmly; calmness,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Tính cách
camera,"a piece of equipment for taking photographs, moving pictures or television pictures. It can be a separate item or part of another device.",máy ảnh,True,True,bicameral; cameraman,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Giải trí và thời gian rảnh,Máy ảnh
camp,a place where people live temporarily in tents or temporary buildings,trại,True,True,camper; campfire; campground; campmate; campsite; decamp; encamp; encampment,8,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Giải trí và thời gian rảnh,Cắm trại
campaign,"a series of planned activities that are intended to achieve a particular social, commercial or political aim",chiến dịch,True,False,campaigner,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Pháp luật, an toàn và khẩn cấp",Quyền công dân
can,a metal container in which food and drink is sold,"có thể, lon",True,True,canine; cannery; cannot; canst; oilcan,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngữ pháp và hư từ,Trợ từ
canal,"a long straight passage dug in the ground and filled with water for boats and ships to travel along; a smaller passage used for carrying water to fields, crops, etc.",kênh đào,True,False,canalization,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Môi trường và tự nhiên,"Sông, hồ và thác nước"
cancel,to decide that something that has been arranged will not now take place,hủy bỏ,True,False,cancellation,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Du lịch và lưu trú,Đặt vé
cancer,"a serious disease in which growths of cells, also called cancers, form in the body and kill normal body cells. The disease often causes death.",ung thư,True,False,cancerous; cancerously,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Sức khỏe,Bệnh tật
candle,a round stick of wax with a piece of string (called a wick) through the middle that is lit to give light as it burns,nến,False,True,candlelight; candlepower; candlestick,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Nhà cửa,Trang trí nhà cửa
canvas,"a strong heavy rough material used for making tents, sails, etc. and by artists for painting on",vải bạt,True,False,canvassers,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Nghệ thuật, thiết kế và văn hóa",Vật liệu nghệ thuật
cap,"a type of soft flat hat with a peak (= a hard curved part sticking out in front). Caps are worn especially by men and boys, often as part of a uniform",mũ lưỡi trai,True,True,capone's; icecap; kneecap; madcap; mobcaps; nightcap; recap; redcap; skullcap; uncap; whitecap,11,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngoại hình và trang phục,Phụ kiện
capable,having the ability or qualities necessary for doing something,có khả năng,True,False,capability; capably; incapability; incapable; incapably,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Khả năng và cần thiết
captain,the person in charge of a ship or commercial aircraft,thuyền trưởng,True,False,captaincy,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Giao thông,Tàu thuyền
car,a road vehicle with an engine and four wheels that can carry a small number of passengers,xe ô tô,False,True,boxcar; carbones; carload; carport; carsick; carson; carwood; motorcar; nationalcar; sidecar; stockcar; streetcar,12,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Giao thông,Ô tô
carbon,"a chemical element. Carbon is found in all living things, existing in a pure state as diamond and graphite.",carbon,True,True,bicarbonate; carbonate; carbonation; carbonic; carboniferous; carbonization; carbonize; decarbonize; radiocarbon,9,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Khoa học, công nghệ và kỹ thuật",Hóa học
card,"thick, stiff paper; a piece of this for writing on","thẻ, thiệp",True,True,cardboard; cardpunch; cardsharpers; discard; postcard; scorecard,6,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Kinh doanh và tài chính,Tiền mặt và thẻ
care,the process of caring for somebody/something and providing what they need for their health or protection,"quan tâm, chăm sóc",True,True,aftercare; carefree; careful; carefully; carefulness; careless; carelessly; carelessness; caretaker,9,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Sức khỏe,Chăm sóc người cao tuổi
career,"the series of jobs that a person has in a particular area of work, usually involving more responsibility as time passes",sự nghiệp,True,False,careerism; careerist,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Nghề nghiệp và công việc,Thông tin nghề nghiệp
cargo,"the goods carried in a ship, an aircraft or a motor vehicle",hàng hóa,True,False,supercargo,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Giao thông,Xe tải và vận chuyển
carpet,"a piece of thick woven material made of wool, etc., used to cover the floor of a room or stairs; the material used for carpets",thảm,False,True,carpetbag; carpetbagger,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Nhà cửa,Trang trí nhà cửa
carrot,a long pointed orange root vegetable,cà rốt,True,False,carroty,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Thực phẩm,Rau củ
carry,to support the weight of somebody/something and take them or it from place to place; to take somebody/something from one place to another,mang theo,True,True,carriage; carriageway; carrier; carryout; carryover; miscarriage; miscarry; undercarriage,8,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Hành động và xử lý
cartoon,"a humorous drawing in a newspaper or magazine, especially one about politics or events in the news",phim hoạt hình,True,False,cartoonist,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Giải trí và thời gian rảnh,Phim và rạp chiếu
carve,"to make objects, patterns, etc. by cutting away material from a piece of wood or stone, or another hard material",chạm khắc,True,True,carver; woodcarver,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Nghệ thuật, thiết kế và văn hóa",Điêu khắc
case,a particular situation or a situation of a particular type,"trường hợp, vali",True,True,bookcase; briefcase; casebook; casement; casework; caseworker; encase; notecase; nutcase; showcase; staircase; suitcase,12,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Pháp luật, an toàn và khẩn cấp",Tòa án
cash,money in the form of coins or notes,tiền mặt,True,False,cashable; cashier,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Kinh doanh và tài chính,Tiền mặt và thẻ
cast,all the people who act in a play or film,"phân vai, đúc khuôn",True,True,broadcast; broadcaster; castaway; caster; castoffs; downcast; forecast; forecasters; miscast; newscast; newscaster; opencast; outcast; overcast; precast; recast; roughcast; typecast,18,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Nghệ thuật, thiết kế và văn hóa",Nghệ thuật biểu diễn
castle,"a large strong building with thick, high walls and towers, built in the past by kings or queens, or other important people, to defend themselves against attack",lâu đài,True,True,forecastle; newcastle,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Nghệ thuật, thiết kế và văn hóa",Kiến trúc
casual,not formal,"thông thường, tình cờ",True,False,casually; casualness; casualty,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngoại hình và trang phục,Kích cỡ và kiểu dáng
cat,a small animal with soft fur that people often keep as a pet. Cats catch and kill birds and mice.,con mèo,True,True,catcall; catfish; catgut; catlike; cattier; cattiest; cattily; cattiness; cattish; catty; catwalk; copycat; hellcat; polecat; wildcat; wildcatter,16,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Môi trường và tự nhiên,Động vật có vú
catch,"an act of catching something, for example a ball",bắt lấy,True,True,catcher; catchier; catchiest; catchily; catchment; catchphrase; catchup; catchword; catchy; cowcatcher; eyecatching; flycatcher,12,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Thể thao,Bóng chày
cater,to provide food and drinks for a social event,cung cấp thực phẩm,True,False,caterer,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ăn uống bên ngoài,Nhà hàng
cause,the person or thing that makes something happen,"nguyên nhân, gây ra",True,True,causal; causality; causally; causation; causative; causatively; causeless; causelessly; causeway; uncaused,10,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Nguyên nhân và mục đích
cave,a large hole in the side of a hill or cliff or under the ground,hang động,False,True,caveman,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Môi trường và tự nhiên,Núi và cảnh quan
cease,to stop happening or existing; to stop something from happening or existing,ngừng lại,True,False,ceaseless; ceaselessly; unceasing; unceasingly,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Thời gian và thứ tự
cell,the smallest unit of living matter that can exist on its own. All plants and animals are made up of cells.,"tế bào, phòng giam",True,False,cellular; celluloid; cellulose; hypercellularity; hypocellularity,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Khoa học, công nghệ và kỹ thuật",Sinh học
centre,the middle point or part of something,trung tâm,True,True,centrepiece; epicentre,2,không có (hoặc chưa xác định),center (Mỹ),Cộng đồng và đô thị,Trung tâm thành phố
ceremony,a public or religious occasion that includes a series of formal or traditional actions,nghi lễ,True,False,ceremonial; ceremonially; ceremonious; ceremoniously; ceremoniousness; unceremonious; unceremoniously; unceremoniousness,8,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Nghệ thuật, thiết kế và văn hóa",Văn hóa và lễ hội
certain,strongly believing something; having no doubts,chắc chắn,True,False,ascertain; ascertainable; certainly; certainty; uncertain; uncertainly; uncertainness; uncertainty,8,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Đánh giá và giá trị
chain,"a series of connected metal rings, used for pulling or fastening things; a length of chain used for a particular purpose","dây xích, chuỗi",True,True,chainlike; enchain; enchainment,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Khoa học, công nghệ và kỹ thuật",Cơ khí
chair,"a piece of furniture for one person to sit on, with a back, a seat and four legs",ghế,False,True,armchair; chairman; chairmanship; chairperson; chairwoman; pushchair; wheelchair,7,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Nhà cửa,Đồ nội thất
challenge,a new or difficult task that tests somebody’s ability and skill,thách thức,True,False,challenger; challengingly; unchallenged,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Nghề nghiệp và công việc,Nơi làm việc
chamber,a hall in a public building that is used for formal meetings,"phòng, buồng",True,True,antechamber; chamberpot,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Pháp luật, an toàn và khẩn cấp",Phòng xử án
champion,"a person, team, etc. that has won a competition, especially in a sport",nhà vô địch,True,False,championship,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Thể thao,Thể thao chung
chance,"a possibility of something happening, especially something that you want","cơ hội, may rủi",True,False,chancier; chanciest; chancy; mischance,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Khả năng và cần thiết
change,the act or result of something becoming different,thay đổi,True,True,changeability; changeable; changeableness; changeably; changeful; changeless; changeling; exchange; exchangeable; interchange; interchangeability; interchangeable; interchangeably; moneychanger; unchangeable; unchanged,16,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Thay đổi và phát sinh
channel,a television station,kênh,True,False,multichannel,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Giải trí và thời gian rảnh,Truyền hình
character,"a person or an animal in a book, play or film","tính cách, nhân vật",True,False,characteristic; characteristically; characterization; characterize; characterless,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Tính cách
charge,the amount of money that somebody asks for goods and services,"phí, buộc tội, sạc",True,False,chargeable; charger; discharge; overcharge; recharge; supercharged; supercharger; surcharge; uncharged; undercharge; undischarged,11,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Kinh doanh và tài chính,Hóa đơn và biên lai
charm,the power of pleasing or attracting people,sự quyến rũ,True,False,charmer; charmingly,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Ngoại hình
chart,"a diagram, lists of figures, etc. that shows information",biểu đồ,True,True,chartist; flowchart; uncharted,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Học tập và giáo dục,Nghiên cứu
charter,a written statement describing the rights that a particular group of people should have,"điều lệ, thuê bao",True,False,rechartering,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Giao thông,Bến du thuyền
chase,an act of running or driving after somebody/something in order to catch them or it,đuổi theo,True,False,chaser,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Pháp luật, an toàn và khẩn cấp",Cảnh sát
chat,a friendly informal conversation,trò chuyện,True,False,backchat; chattier; chattiest; chatty,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Mối quan hệ
cheap,costing little money or less money than you expected,rẻ tiền,True,False,cheapen; cheaper; cheapest; cheaply; cheapness,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Mua sắm,Khuyến mãi và giảm giá
cheat,"a person who cheats, especially in a game",gian lận,False,True,windcheater,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Học tập và giáo dục,Bài kiểm tra
check,"an act of making sure that something is safe, correct or in good condition by examining it",kiểm tra,True,True,checkbook; checker; checkerboard; checkin; checklist; checkmate; checkoff; checkout; checkpoint; checkup; crosscheck; paycheck; recheck; unchecked,14,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Mua sắm,Quầy thanh toán
cheek,either side of the face below the eyes,má,True,True,cheekbone; cheekier; cheekiest; cheekily; cheeky,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Khuôn mặt
cheer,"a shout of joy, support or praise","reo hò, cổ vũ",True,True,cheerful; cheerfully; cheerfulness; cheerier; cheeriest; cheerily; cheeriness; cheerleader; cheerless; cheerlessly; cheerlessness; cheery,12,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Cảm xúc
cheese,a type of food made from milk that can be either soft or hard and is usually white or yellow in colour; a particular type of this food,phô mai,False,True,cheesecake; cheesecloth,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Thực phẩm,Phô mai
chest,"the top part of the front of the body, between the neck and the stomach","ngực, rương",True,True,chestier; chestiest; chestily; chestnut; chesty,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Cơ thể
chief,most important,"thủ lĩnh, chính",True,False,chiefdom; chiefly,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Nghề nghiệp và công việc,Nơi làm việc
child,a young human who is not yet an adult,trẻ em,True,True,brainchild; childbearing; childbirth; childhood; childish; childishly; childishness; childless; childlike; fairchild; godchild; grandchild; lovechildren; schoolchildren; stepchild,15,không có (hoặc chưa xác định),children (số nhiều bất quy tắc),Con người,Tuổi tác và các giai đoạn cuộc đời
chip,a long thin piece of potato fried in oil or fat,"mảnh vụn, chip",True,True,chipboard; chippy,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Khoa học, công nghệ và kỹ thuật",Phần cứng máy tính
choice,an act of choosing between two or more possibilities; something that you can choose,sự lựa chọn,True,False,choicely; choiceness; choicer; choicest,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Đánh giá và giá trị
choir,"a group of people who sing together, for example in church services or public performances",dàn hợp xướng,False,True,choirboy; choirmaster,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Nghệ thuật, thiết kế và văn hóa",Âm nhạc
choose,to decide which thing or person you want out of the ones that are available,lựa chọn,True,False,choosier; choosiest; choosy,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Khái niệm trừu tượng,Đánh giá và giá trị
chop,to cut something into pieces with a sharp tool such as a knife,"chặt, băm",True,True,chopfallen; chopper; choppier; choppiest; choppiness; choppy; chopstick,7,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Đời sống hằng ngày,Nấu ăn
chunk,"a thick, solid piece that has been cut or broken off something",mảng lớn,True,False,chunkier; chunkiest; chunky,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Ngôn ngữ hằng ngày,Từ chỉ số lượng
church,"a building where Christians go to attend services, pray, etc.",nhà thờ,False,True,churchgoer; churchgoing; churchwarden; churchyard; nonchurchgoing,5,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Cộng đồng và đô thị,Nhà thờ và nơi thờ tự
cinema,a building in which films are shown,rạp chiếu phim,True,False,cinematic; cinematograph; cinematography,3,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Giải trí và thời gian rảnh,Phim và rạp chiếu
circle,a completely round flat shape,vòng tròn,True,False,circular; circularize; circulate; circulation; circulatory; encircle; encirclement; semicircle; semicircular,9,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Nghệ thuật, thiết kế và văn hóa",Hình dạng
circuit,"a line, route or journey around a place","mạch điện, vòng đua",True,False,circuitously; circuitry,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Khoa học, công nghệ và kỹ thuật",Điện
cite,"to mention something as a reason or an example, or in order to support what you are saying",trích dẫn,True,False,citation; incite; incitement; monocite; recital; recitation; recitative; recite; reciter,9,site: cite = trích dẫn; site = địa điểm,không có biến thể đáng chú ý,Học tập và giáo dục,Nghiên cứu
citizen,a person who has the legal right to belong to a particular country,công dân,True,False,citizenry; citizenship,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Pháp luật, an toàn và khẩn cấp",Quyền công dân
city,a large and important town,thành phố,False,True,citywide,1,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Cộng đồng và đô thị,Trung tâm thành phố
civil,connected with the people who live in a country,dân sự,True,False,civilian; civility; civilization; civilizational; civilize; civilly; incivility; uncivil,8,không có (hoặc chưa xác định),không có biến thể đáng chú ý,"Pháp luật, an toàn và khẩn cấp",Quyền công dân
claim,a statement that something is true although it has not been proved and other people may not agree with or believe it,"yêu cầu, tuyên bố",True,True,claimant; counterclaim; declaim; declamation; declamatory; disclaim; disclaimer; exclaim; exclamation; exclamatory; proclaim; proclamation; reclaim; reclamation; unclaimed,15,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Kinh doanh và tài chính,Bảo hiểm
class,a group of students who are taught together,"lớp học, giai cấp",True,True,classic; classical; classically; classicism; classicist; classier; classiest; classifiable; classification; classificatory; classifiers; classify; classless; classlessness; classmate; classroom; classy; declassification; declassify; outclass; reclassification; reclassified; underclassman,23,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Học tập và giáo dục,Lớp học
clean,not dirty,sạch sẽ,True,True,cleaner; cleanest; cleanlier; cleanliness; cleanly; cleanness; cleanup; unclean; uncleanness,9,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Đời sống hằng ngày,Dọn dẹp nhà cửa
clear,easy to understand and not confusing,rõ ràng,True,True,clarification; clarify; clarity; clearance; clearer; clearest; clearinghouse; clearly; clearness; clearwater; clearway; unclear,12,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Môi trường và tự nhiên,Thời tiết
clever,quick at learning and understanding things,thông minh,True,False,cleverer; cleverest; cleverly; cleverness,4,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Con người,Tính cách
cliff,"a high area of rock with a very steep side, often at the edge of the sea or ocean",vách đá,False,True,cliffhanger; cliffhanging,2,không có (hoặc chưa xác định),không có biến thể đáng chú ý,Môi trường và tự nhiên,Núi và cảnh quan
