word,pos,meaning_en,meaning_vi,structure,kind,base,ipa,ipa_status,meaning_vi_source,thanh_phan_1,thanh_phan_2,thanh_phan_3,thanh_phan_4,thanh_phan_5,thanh_phan_6,loai_ket_hop,so_thanh_phan,nguon,trong_morphlink,co_affix,noun_type,noun_so_nhieu,adj_so_sanh_hon,adj_so_sanh_nhat,adj_ghi_chu,verb_hien_tai_don,verb_gerund,verb_qua_khu,verb_pp,so_nhieu_bat_quy_tac,dong_tu_bat_quy_tac,multi_nghia
eval,noun,"an evaluation, especially an informal performance review","bản đánh giá, nhận xét, thường về hiệu suất công việc (cách nói không trang trọng)",eve-al,root,,/ɪˈvæl/,estimated,audit-rewritten,eve,-al,,,,,Word + Suffix,2,Sinh có kiểm soát — trùng MorphLink,có,có,N[C],evals,more eval,most eval,,,,,,,,
evaluate,verb,"to form an opinion of the amount, value or quality of something after thinking about it carefully","đánh giá (giá trị, chất lượng)",e-[value]-ate,root,value,/iˈvæɫjuˌeɪt/,real,retranslated,e-,value,-ate,,,,Prefix + Root + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,,,,,,evaluates,evaluating,evaluated,evaluated,,,
evaluation,noun,"the act of forming an opinion of the amount, value or quality of something after thinking about it carefully",sự đánh giá,e-[value]-ate-ion,root,value,/iˌvæɫjuˈeɪʃən/,real,retranslated,e-,value,-ate,-ion,,,Prefix + Root + Suffix + Suffix,4,Đã có sẵn trong MorphLink (Word),có,có,N[C],evaluations,,,,,,,,,,
evaluative,adjective,exercising or involving careful evaluations,mang tính đánh giá,e-[value]-ate-ive,root,value,/ɪvˈæljuːətˌɪv/,"generated (espeak-ng G2P, algorithmic)",retranslated,e-,value,-ate,-ive,,,Prefix + Root + Suffix + Suffix,4,Đã có sẵn trong MorphLink (Word),có,có,,,more evaluative,most evaluative,,,,,,,,
even,verb,"to make something level, smooth, or equal","làm cho bằng phẳng, ngang bằng hoặc đều nhau",eve-en,root,,/ˈivɪn/,"generated (eng_to_ipa/CMUdict, algorithmic)",audit-rewritten,eve,-en,,,,,Word + Suffix,2,Sinh có kiểm soát — trùng MorphLink,có,có,,,,,,evens,evening,evened,evened,,,
evenly,adverb,in a level and regular way,"một cách đều đặn, cân bằng",[even]-ly,root,even,/ˈivənɫi/,real,retranslated,even,-ly,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,,,,,,,,,,
evenness,noun,the quality of being balanced,"sự đều đặn, cân bằng",[even]-ness,root,even,/ˈivənnəs/,real,retranslated,even,-ness,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[U],,,,,,,,,,,
evensong,noun,a daily evening service with prayers prescribed in the Book of Common Prayer of the Anglican Church,buổi cầu nguyện chiều (Anh giáo),[even+song],compound,even+song,/ˈiːvənsˌɒŋ/,real,retranslated,even,song,,,,,Root + Root,2,Đã có sẵn trong app (không qua pipeline affix_formation),có,,N[C],evensongs,,,,,,,,,,
eventful,adjective,full of events or incidents,"đầy sự kiện, nhiều biến cố",[event]-ful,root,event,/iˈvɛntfəɫ/,real,retranslated,event,-ful,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,more eventful,most eventful,,,,,,,,
eventfully,adverb,"in a way that is full of interesting, exciting, or important events","một cách sôi động, nhiều sự kiện đáng chú ý",[event]-ful-ly,root,event,/ᵻvˈɛntfəli/,"generated (espeak-ng G2P, algorithmic)",audit-rewritten,event,-ful,-ly,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,,,,,,,,,,,,
eventual,adjective,expected to follow in the indefinite future from causes already operating,cuối cùng sẽ xảy ra,[event]-al,root,event,/əˈvɛntʃuəɫ/,real,retranslated,event,-al,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,more eventual,most eventual,,,,,,,,
eventuality,noun,a possible event or occurrence or result,khả năng có thể xảy ra,[event]-al-ity,root,event,/əˌvɛntʃuˈæɫɪti/,real,retranslated,event,-al,-ity,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,N[C],eventualities,,,,,,,,,,
eventually,adverb,"in the end, especially after a long delay or a series of events","cuối cùng, rốt cuộc, sau một thời gian hoặc một loạt sự việc",eventual-ly,root,eventual,/ɪˈvɛnʧəwəli/,"generated (eng_to_ipa/CMUdict, algorithmic)",audit-rewritten,eventual,-ly,,,,,Word + Suffix,2,Sinh mới (wordfreq ≥ 3.2),chưa,có,,,,,,,,,,,,
eventuate,verb,come out in the end,"kết cục dẫn đến, cuối cùng xảy ra",[event]-ate,root,event,/ᵻvˈɛntʃuːˌeɪt/,"generated (espeak-ng G2P, algorithmic)",retranslated,event,-ate,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,,,,eventuates,eventuating,eventuated,eventuated,,,
evergreen,adjective,(of plants and shrubs) bearing foliage throughout the year,(cây) xanh quanh năm,[ever+green],compound,ever+green,/ˈɛvɝˌɡɹin/,real,retranslated,ever,green,,,,,Root + Root,2,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,more evergreen,most evergreen,,,,,,,,
everlasting,adjective,"lasting forever or for a very long time; eternal, permanent","vĩnh cửu, trường tồn, kéo dài mãi mãi",[ever+last],compound,ever+last,/ˌɛvɝˈɫæstɪŋ/,real,retranslated,ever,last,,,,,Root + Root,2,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,more everlasting,most everlasting,,,,,,,,
everlastingly,adverb,for a limitless time,"mãi mãi, vô tận",[ever+last]-ly,compound,ever+last,/ˌɛvəlˈɑːstɪŋli/,real,retranslated,ever,last,-ly,,,,Root + Root + Suffix,3,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,,,,,,,,
evermore,adverb,for a limitless time,mãi mãi về sau,[ever+more],compound,ever+more,/ˈɛvɝˌmɔɹ/,real,retranslated,ever,more,,,,,Root + Root,2,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,,,,,,,,
everybody,pronoun,every person; all people,mọi người,[every+body],compound,every+body,/ˈɛvɹiˌbɑdi/,real,retranslated,every,body,,,,,Root + Root,2,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,,,,,,,,
everyday,adjective,used or happening every day or regularly; ordinary,"hàng ngày, thông thường",[every+day],compound,every+day,/ˈɛvɹiˈdeɪ/,real,retranslated,every,day,,,,,Root + Root,2,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,more everyday,most everyday,,,,,,,,
everyone,pronoun,every person; all people,mọi người,[every+one],compound,every+one,/ˈɛvɹiˌwən/,real,retranslated,every,one,,,,,Root + Root,2,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,,,,,,,,
everything,pronoun,all things,mọi thứ,[every+thing],compound,every+thing,/ˈɛvɹiˌθɪŋ/,real,retranslated,every,thing,,,,,Root + Root,2,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,,,,,,,,
everywhere,adverb,"in, to or at every place; all places",khắp nơi,[every+where],compound,every+where,/ˈɛvɹiˌwɛɹ/,real,retranslated,every,where,,,,,Root + Root,2,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,,,,,,,,
evidential,adjective,serving as or based on evidence,dựa trên hoặc dùng làm bằng chứng,[evidence]-al,root,evidence,/ˌɛvɪdˈɛnʃəl/,real,retranslated,evidence,-al,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,more evidential,most evidential,,,,,,,,
evidently,adverb,unmistakably (`plain' is often used informally for `plainly'),"rõ ràng là, hiển nhiên",[evident]-ly,root,evident,/ˈɛvədəntɫi/,real,retranslated,evident,-ly,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,,,,,,,,,,
evildoer,noun,a person who sins without repenting,kẻ làm điều ác,[evil+do]-er,compound,evil+do,/ˈivəɫˌduɝ/,real,retranslated,evil,do,-er,,,,Root + Root + Suffix,3,Đã có sẵn trong app (không qua pipeline affix_formation),có,,N[C],evildoers,,,,,,,,,,
evilly,adverb,in a wicked evil manner,một cách độc ác,[evil]-y,root,evil,/ˈiːvəlˌi/,real,retranslated,evil,-y,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,,,,,,,,,,
evocation,noun,imaginative re-creation,sự gợi lại trong trí tưởng tượng,[evoke]-ion,root,evoke,/ˌivoʊˈkeɪʃən/,real,retranslated,evoke,-ion,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],evocations,,,,,,,,,,
evocative,adjective,serving to bring to mind,"gợi nhớ, gợi lên hình ảnh",[evoke]-ate-ive,root,evoke,/ɪˈvɑkətɪv/,real,retranslated,evoke,-ate,-ive,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,,,more evocative,most evocative,,,,,,,,
evolutionary,adjective,"relating to evolution or the gradual development of something, especially living things","thuộc về sự tiến hóa hoặc quá trình phát triển dần dần, đặc biệt của sinh vật",evolution-ary,root,evolution,/ˌɛvəˈluʃəˌnɛri/,"generated (eng_to_ipa/CMUdict, algorithmic)",audit-rewritten,evolution,-ary,,,,,Word + Suffix,2,Sinh mới (wordfreq ≥ 3.2),chưa,có,,,more evolutionary,most evolutionary,,,,,,,,
exaction,noun,act of demanding or levying by force or authority,việc đòi hỏi hoặc thu bằng quyền lực,[exact]-ion,root,exact,/ɪɡˈzækʃən/,real,retranslated,exact,-ion,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],exactions,,,,,,,,,,
exactitude,noun,the quality of being exact,sự chính xác,[exact]-itude,root,exact,/ɪɡˈzæktəˌtud/,real,retranslated,exact,-itude,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],exactitudes,,,,,,,,,,
exactly,adverb,used to emphasize that something is correct in every way or in every detail,"chính xác, đúng như vậy",[exact]-ly,root,exact,/ɪɡˈzæktɫi/,real,retranslated,exact,-ly,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,,,,,,,,,,
exactness,noun,the quality of being exact,sự chính xác,[exact]-ness,root,exact,/ɛɡzˈæktnəs/,real,retranslated,exact,-ness,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[U],,,,,,,,,,,
exaggeratedly,adverb,in an exaggerated manner,một cách phóng đại,[exaggerate]-ly,root,exaggerate,/ɛɡzˈædʒɚɹˌeɪɾɪdli/,"generated (espeak-ng G2P, algorithmic)",retranslated,exaggerate,-ly,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,,,,,,,,,,
exaggeration,noun,the act of making something more noticeable than usual,sự phóng đại,[exaggerate]-ion,root,exaggerate,/ɪɡˌzædʒɝˈeɪʃən/,real,retranslated,exaggerate,-ion,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],exaggerations,,,,,,,,,,
examination,noun,"a formal written, spoken or practical test, especially at school or college, to see how much you know about a subject, or what you can do",kỳ thi; sự kiểm tra,[examine]-ion,root,examine,/ɪɡˌzæməˈneɪʃən/,real,retranslated,examine,-ion,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],examinations,,,,,,,,,,
examiner,noun,an investigator who observes carefully,"người chấm thi, người kiểm tra",[examine]-er,root,examine,/ɪɡˈzæmənɝ/,real,retranslated,examine,-er,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],examiners,,,,,,,,,,
excavation,noun,"the act of digging into the ground to remove earth or find buried objects, or the hole made by this","sự khai quật, hoạt động đào bới để tìm hiện vật, hoặc hố được tạo ra do đào bới",excavate-ion,root,excavate,/ˌɛkskəˈveɪʃən/,"generated (eng_to_ipa/CMUdict, algorithmic)",audit-rewritten,excavate,-ion,,,,,Word + Suffix,2,Sinh mới (wordfreq ≥ 3.2),chưa,có,N[C],excavations,,,,,,,,,,
exceedingly,adverb,to an extreme degree,"cực kỳ, hết sức",[exceed]-ly,root,exceed,/ɪkˈsidɪŋɫi/,real,retranslated,exceed,-ing,-ly,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,,,,,,,,,,,,
exceptional,adjective,"unusually good, talented, or excellent; not typical","xuất sắc, phi thường, vượt trội hẳn so với mức bình thường",exception-al,root,exception,/ɪkˈsɛpʃənəl/,"generated (eng_to_ipa/CMUdict, algorithmic)",audit-rewritten,exception,-al,,,,,Word + Suffix,2,Sinh mới (wordfreq ≥ 3.2),chưa,có,,,more exceptional,most exceptional,,,,,,,,
exchange,noun,an act of giving something to somebody or doing something for somebody and receiving something in return,sự trao đổi,ex-[change],root,change,/ɪksˈtʃeɪndʒ/,real,retranslated,ex-,change,,,,,Prefix + Root,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],exchanges,,,,,,,,,,
exchangeable,adjective,capable of being exchanged for or replaced by something of equal value,có thể đổi lấy thứ có giá trị tương đương,ex-[change]-able,root,change,/ɪksˈtʃeɪndʒəbəɫ/,real,retranslated,ex-,change,-able,,,,Prefix + Root + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,,,more exchangeable,most exchangeable,,,,,,,,
excitability,noun,being easily excited,tính dễ bị kích thích,[excite]-able-ity,root,excite,/ɛksˌaɪtəbˈɪlɪti/,real,retranslated,excite,-able,-ity,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,N[C],excitabilities,,,,,,,,,,
excitable,adjective,easily excited,"dễ bị kích động, dễ hào hứng",[excite]-able,root,excite,/ɪkˈsaɪtəbəɫ/,real,retranslated,excite,-able,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,more excitable,most excitable,,,,,,,,
excitatory,adjective,(of drugs e.g.) able to excite or stimulate,có khả năng kích thích,[excite]-ory,root,excite,/ɛksˈɪɾətˌoːɹi/,"generated (espeak-ng G2P, algorithmic)",retranslated,excite,-ory,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,more excitatory,most excitatory,,,,,,,,
excitedly,adverb,with excitement,một cách háo hức,[excite]-ly,root,excite,/ɪkˈsaɪtədɫi/,real,retranslated,excite,-ly,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,,,,,,,,,,
excitement,noun,the state of feeling or showing happiness and enthusiasm,"sự hào hứng, phấn khích",[excite]-ment,root,excite,/ɪkˈsaɪtmənt/,real,retranslated,excite,-ment,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],excitements,,,,,,,,,,
exclaim,verb,utter aloud,thốt lên,ex-[claim],root,claim,/ɪkˈskɫeɪm/,real,retranslated,ex-,claim,,,,,Prefix + Root,2,Đã có sẵn trong MorphLink (Word),có,có,,,,,,exclaims,exclaiming,exclaimed,exclaimed,,,
exclamation,noun,an exclamatory rhetorical device,"lời thốt lên, câu cảm thán",ex-[claim]-ion,root,claim,/ˌɛkskɫəˈmeɪʃən/,real,retranslated,ex-,claim,-ion,,,,Prefix + Root + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,N[C],exclamations,,,,,,,,,,
exclamatory,adjective,sudden and strong,"mang tính cảm thán, đột ngột mạnh mẽ",ex-[claim]-ory,root,claim,/ɛksklˈæmətˌoːɹi/,"generated (espeak-ng G2P, algorithmic)",retranslated,ex-,claim,-ory,,,,Prefix + Root + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,,,more exclamatory,most exclamatory,,,,,,,,
exclusively,adverb,"only, and involving nothing or no one else","chỉ duy nhất, không bao gồm gì hoặc ai khác",exclusive-ly,root,exclusive,/ɪkˈsklusɪvli/,"generated (eng_to_ipa/CMUdict, algorithmic)",audit-rewritten,exclusive,-ly,,,,,Word + Suffix,2,Sinh mới (wordfreq ≥ 3.2),chưa,có,,,,,,,,,,,,
excusable,adjective,easily excused or forgiven,có thể tha thứ được,[excuse]-able,root,excuse,/ɪkˈskjuzəbəɫ/,real,retranslated,excuse,-able,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,more excusable,most excusable,,,,,,,,
excusably,adverb,in an excusable manner or to an excusable degree,một cách có thể tha thứ,[excuse]-able-y,root,excuse,/ɛkskjˈuːsəbli/,"generated (espeak-ng G2P, algorithmic)",retranslated,excuse,-able,-y,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,,,,,,,,,,,,
execution,noun,"the act of killing somebody, especially as a legal punishment",việc hành quyết,[execute]-ion,root,execute,/ˌɛksəkˈjuʃən/,real,retranslated,execute,-ion,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],executions,,,,,,,,,,
executioner,noun,an official who inflicts capital punishment in pursuit of a warrant,người thi hành án tử hình,[execute]-ion-er,root,execute,/ˌɛksəkˈjuʃənɝ/,real,retranslated,execute,-ion,-er,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,N[C],executioners,,,,,,,,,,
executive,adjective,"connected with managing a business or an organization, and with making plans and decisions","thuộc về quản lý, điều hành",[execute]-ive,root,execute,/ɪɡˈzɛkjətɪv/,real,retranslated,execute,-ive,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,more executive,most executive,,,,,,,,
executor,noun,a person appointed by a testator to carry out the terms of the will,người thi hành di chúc,[execute]-or,root,execute,/ɪɡˈzɛkjətɝ/,real,retranslated,execute,-or,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],executors,,,,,,,,,,
exemplar,noun,something to be imitated,mẫu mực để noi theo,[example]-ar,root,example,/ɪɡˈzɛmpɫɑɹ/,real,retranslated,example,-ar,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],exemplars,,,,,,,,,,
exemplary,adjective,serving to warn,mang tính cảnh cáo; mẫu mực,[example]-ar-y,root,example,/ɪɡˈzɛmpɫɝi/,real,retranslated,example,-ar,-y,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,,,more exemplary,most exemplary,,,,,,,,
exemplification,noun,a representational or typifying form or model,sự minh họa bằng ví dụ; hình mẫu điển hình,[example]-ify-ion,root,example,/ɛɡzˌɛmplɪfɪkˈeɪʃən/,"generated (espeak-ng G2P, algorithmic)",retranslated,example,-ify,-ion,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,N[C],exemplifications,,,,,,,,,,
exemplify,verb,clarify by giving an example of,minh họa bằng ví dụ,[example]-ify,root,example,/ɪɡˈzɛmpɫəˌfaɪ/,real,retranslated,example,-ify,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,,,,exemplifies,exemplifying,exemplified,exemplified,,,
exemption,noun,"official permission not to do, pay, or follow something that would normally be required","sự miễn trừ, được phép không phải thực hiện hoặc đóng khoản gì đó theo quy định",exempt-ion,root,exempt,/ɪgˈzɛmpʃən/,"generated (eng_to_ipa/CMUdict, algorithmic)",audit-rewritten,exempt,-ion,,,,,Word + Suffix,2,Sinh mới (wordfreq ≥ 3.2),chưa,có,N[C],exemptions,,,,,,,,,,
exertion,noun,use of physical or mental energy,sự gắng sức (thể chất hoặc tinh thần),[exert]-ion,root,exert,/ɪɡˈzɝʃən/,real,retranslated,exert,-ion,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],exertions,,,,,,,,,,
exhaustion,noun,a state of extreme physical or mental tiredness,"trạng thái kiệt sức, mệt mỏi cùng cực",exhaust-ion,root,exhaust,/ɪgˈzɔsʧən/,"generated (eng_to_ipa/CMUdict, algorithmic)",audit-rewritten,exhaust,-ion,,,,,Word + Suffix,2,Sinh mới (wordfreq ≥ 3.2),chưa,có,N[C],exhaustions,,,,,,,,,,
exhaustive,adjective,considering or including everything possible; extremely thorough,"toàn diện, đầy đủ, xem xét mọi khía cạnh có thể",exhaust-ive,root,exhaust,/ɪgˈzɔstɪv/,"generated (eng_to_ipa/CMUdict, algorithmic)",audit-rewritten,exhaust,-ive,,,,,Word + Suffix,2,Sinh mới (wordfreq ≥ 3.2),chưa,có,,,more exhaustive,most exhaustive,,,,,,,,
exhibition,noun,"a public display of art, products, or items for people to view","cuộc triển lãm, sự trưng bày công khai cho công chúng xem",exhibit-ion,root,exhibit,/ˌɛksəˈbɪʃən/,"generated (eng_to_ipa/CMUdict, algorithmic)",audit-rewritten,exhibit,-ion,,,,,Word + Suffix,2,Sinh mới (wordfreq ≥ 3.2),chưa,có,N[C],exhibitions,,,,,,,,,,
exhusband,noun,a man who was formerly someone's husband,người chồng cũ,ex-[husband],root,husband,/ɛɡzˈuːsbənd/,"generated (espeak-ng G2P, algorithmic)",audit-rewritten,ex-,husband,,,,,Prefix + Root,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],exhusbands,,,,,,,,,,
existence,noun,the state or fact of being real or living or of being present,sự tồn tại,[exist]-ance,root,exist,/ɛɡˈzɪstəns/,real,retranslated,exist,-ance,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],existences,,,,,,,,,,
existent,adjective,presently existing in fact and not merely potential or possible,đang tồn tại thực sự,[exist]-ant,root,exist,/ɛɡˈzɪstənt/,real,retranslated,exist,-ant,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,more existent,most existent,,,,,,,,
existential,adjective,derived from experience or the experience of existence,thuộc về sự tồn tại hoặc trải nghiệm hiện sinh,[exist]-ance-al,root,exist,/ˌɛɡˌzɪsˈtɛnʃəɫ/,real,retranslated,exist,-ance,-al,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,,,more existential,most existential,,,,,,,,
existentialism,noun,a 20th-century philosophical movement chiefly in Europe,chủ nghĩa hiện sinh,[exist]-ance-al-ism,root,exist,/ɛɡzɪstˈɛnʃɪəlˌɪzəm/,real,retranslated,exist,-ance,-al,-ism,,,Root + Suffix + Suffix + Suffix,4,Đã có sẵn trong MorphLink (Word),có,có,N[C],existentialisms,,,,,,,,,,
existentialist,adjective,relating to or involving existentialism,thuộc về chủ nghĩa hiện sinh,[exist]-ance-al-ist,root,exist,/ɛɡzɪstˈɛnʃɪəlˌɪst/,real,retranslated,exist,-ance,-al,-ist,,,Root + Suffix + Suffix + Suffix,4,Đã có sẵn trong MorphLink (Word),có,có,,,more existentialist,most existentialist,,,,,,,,
expandable,adjective,(of gases) capable of expansion,"có thể giãn nở, mở rộng",[expand]-able,root,expand,/ɪkˈspændəbəɫ/,real,retranslated,expand,-able,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,more expandable,most expandable,,,,,,,,
expansion,noun,"an act of increasing or making something increase in size, amount or importance",sự mở rộng,[expand]-ion,root,expand,/ɪkˈspænʃən/,real,retranslated,expand,-ion,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],expansions,,,,,,,,,,
expansionist,adjective,supporting or relating to the policy of increasing a country's territory or influence,thuộc về hoặc ủng hộ chính sách bành trướng lãnh thổ hay ảnh hưởng của một quốc gia,[expand]-ion-ist,root,expand,/ɪkˈspænʃənɪst/,real,audit-rewritten,expansion,-ist,,,,,Word + Suffix,2,Sinh có kiểm soát — trùng MorphLink,có,có,,,more expansionist,most expansionist,,,,,,,,
expansive,adjective,friendly and open and willing to talk,"cởi mở, thân thiện, hay nói",[expand]-ive,root,expand,/ɪkˈspænsɪv/,real,retranslated,expand,-ive,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,more expansive,most expansive,,,,,,,,
expansively,adverb,in an ebullient manner,"một cách hào hứng, cởi mở",[expand]-ive-ly,root,expand,/ɛkspˈænsɪvli/,real,retranslated,expand,-ive,-ly,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,,,,,,,,,,,,
expansiveness,noun,a friendly open trait of a talkative person,"tính cởi mở, hay nói chuyện",[expand]-ive-ness,root,expand,/ɛkspˈænsɪvnəs/,real,retranslated,expand,-ive,-ness,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,N[U],,,,,,,,,,,
expectable,adjective,to be expected,có thể dự đoán được,[expect]-able,root,expect,/ɛkspˈɛktəbəl/,"generated (espeak-ng G2P, algorithmic)",retranslated,expect,-able,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,more expectable,most expectable,,,,,,,,
expectance,noun,"the state of expecting something; anticipation (rare, dated)","trạng thái mong đợi, kỳ vọng (từ hiếm dùng)",[expect]-ance,root,expect,/ɛkspˈɛktəns/,"generated (espeak-ng G2P, algorithmic)",tu-bien-soan (API khong co),expect,-ance,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],expectances,,,,,,,,,,
expectancy,noun,something expected (as on the basis of a norm),điều được mong đợi; kỳ vọng,[expect]-ance-y,root,expect,/ɪkˈspɛktənsi/,real,retranslated,expect,-ance,-y,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,N[C],expectancies,,,,,,,,,,
expectant,adjective,in an advanced stage of pregnancy,đang mang thai (giai đoạn muộn); đầy mong đợi,[expect]-ant,root,expect,/ɪkˈspɛktənt/,real,retranslated,expect,-ant,,,,,Root + Suffix,2,Sinh có kiểm soát — trùng MorphLink,có,có,,,more expectant,most expectant,,,,,,,,
expectantly,adverb,in an expectant manner,một cách đầy mong đợi,[expect]-ant-ly,root,expect,/ɛkspˈɛktəntli/,real,retranslated,expect,-ant,-ly,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,,,,,,,,,,,,
expectation,noun,a belief that something will happen because it is likely,"sự mong đợi, kỳ vọng",[expect]-ion,root,expect,/ˌɛkspɛkˈteɪʃən/,real,retranslated,expect,-ion,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,N[C],expectations,,,,,,,,,,
expectedly,adverb,In conformity with expectation.  Walpole.,như đã được mong đợi,[expect]-ly,root,expect,/ɛkspˈɛktᵻdli/,"generated (espeak-ng G2P, algorithmic)",retranslated,expect,-ly,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,,,,,,,,,,
expedition,noun,"an organized journey made for a particular purpose, especially exploration or research","một chuyến đi có tổ chức nhằm mục đích cụ thể, đặc biệt là thám hiểm hoặc nghiên cứu",expedite-ion,root,expedite,/ˌɛkspəˈdɪʃən/,"generated (eng_to_ipa/CMUdict, algorithmic)",audit-rewritten,expedite,-ion,,,,,Word + Suffix,2,Sinh mới (wordfreq ≥ 3.2),chưa,có,N[C],expeditions,,,,,,,,,,"sự nhanh chóng, mau lẹ trong hành động (nghĩa trang trọng, ít dùng)"
expensive,adjective,costing a lot of money,đắt tiền,[expense]-ive,root,expense,/ɪkˈspɛnsɪv/,real,retranslated,expense,-ive,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,more expensive,most expensive,,,,,,,,
expensively,adverb,in a costly manner,một cách tốn kém,[expense]-ive-ly,root,expense,/ˌɛkˈspɛnsɪvɫi/,real,retranslated,expense,-ive,-ly,,,,Root + Suffix + Suffix,3,Đã có sẵn trong MorphLink (Word),có,có,,,,,,,,,,,,
experiential,adjective,derived from experience or the experience of existence,dựa trên trải nghiệm,[experience]-al,root,experience,/ɛkˌspɛɹiˈɛnʃəɫ/,real,retranslated,experience,-al,,,,,Root + Suffix,2,Đã có sẵn trong MorphLink (Word),có,có,,,more experiential,most experiential,,,,,,,,
