tien_to,nghia_en,nghia_vi,chuc_nang,ngoai_le,bien_the_chinh_ta,tan_suat,vi_du
e-,"out, out of, from (variant of ex- before certain consonants)","ra, ra khỏi, từ (biến thể của ex- trước một số phụ âm)","Tạo danh từ (vd ~40% trường hợp, theo số liệu creates); thường gắn vào động từ gốc.","là biến thể đồng hóa của 'ex-' xuất hiện trước phụ âm hữu thanh (b, d, g, l, m, n, r, v: emerge, elaborate, evaluate); bản thân 'e-' không có đồng hóa thêm","liên quan ex-, ef- (cùng gốc Latin 'ex-')",25,efface;effacement;elaborate;elaborately;elaborateness;elaboration;elongate;elongation;emerge;emergence;emergent;emissary;especial;especially;espousal;espouse;estrange;estrangement;evaluate;evaluation;evaluative;ineffaceable;reemerged;reevaluation;selfeffacing
cross-,"across, crosswise, intersecting, mutually","băng qua, chéo nhau, giao nhau, qua lại","Tạo danh từ (vd ~84% trường hợp, theo số liệu creates); thường gắn vào danh từ gốc (dạng ghép compound).",không có ngoại lệ chính tả đặc biệt,,19,crossbar;crossbeam;crossbones;crossbow;crossbred;crosscheck;crosscountry;crosscurrent;crosscut;crosseyed;crossfire;crossover;crosspatch;crosspiece;crossroad;crosswalk;crossways;crosswind;crossword
counter-,"against, opposing; in return, corresponding, matching","chống lại, đối lập; đáp lại, tương ứng","Tạo danh từ (vd ~94% trường hợp, theo số liệu creates); thường gắn vào danh từ hoặc động từ gốc.",không có ngoại lệ chính tả đặc biệt,,18,counteract;counteraction;counterattack;counterattacker;counterattraction;counterbalance;counterblast;counterclaim;counterflow;counterman;countermeasure;countermove;counterpart;counterplot;counterpoint;counterproposal;countersign;countersink
mid-,"middle, halfway, central","giữa, ở giữa, trung tâm","Tạo danh từ (vd ~76% trường hợp, theo số liệu creates); thường gắn vào danh từ gốc.",không có ngoại lệ chính tả đặc biệt,,17,midair;midday;midmorning;midmost;midnight;midpoint;midship;midshipman;midstream;midsummer;midway;midweek;midwest;midwestern;midwesterners;midwife;midwifery
anti-,"against, opposing, counteracting, preventing","chống lại, đối lập, ngăn ngừa","Tạo tính từ (vd ~47% trường hợp, theo số liệu creates); thường gắn vào danh từ hoặc tính từ gốc.","không có đồng hóa chính tả đặc biệt; trước gốc bắt đầu bằng nguyên âm đôi khi rút gọn thành 'ant-' (antacid), tuy hiếm gặp trong dữ liệu này","ant- (trước nguyên âm, ví dụ antacid)",17,antiaircraft;antibody;anticlockwise;antifreeze;antigen;antihero;antiknock;antimatter;antipathetic;antipathetically;antipathy;antipersonnel;antiredeposition;antislavery;antisubmarine;antitank;antitrust
down-,"down, downward, lower","xuống, hướng xuống, thấp hơn","Tạo danh từ (vd ~44% trường hợp, theo số liệu creates); thường gắn vào danh từ hoặc động từ gốc.",không có ngoại lệ chính tả đặc biệt,,16,downbeat;downcast;downfall;downgrade;downhearted;downheartedly;downhill;downpayment;downpour;downright;downstair;downstream;downtown;downtrend;downturn;downwind
bi-,"two, twice, having two, occurring twice","hai, hai lần, có hai, xảy ra hai lần","Tạo tính từ (vd ~50% trường hợp, theo số liệu creates); thường gắn vào danh từ hoặc tính từ gốc.",không có ngoại lệ chính tả đặc biệt,,16,bicameral;bicarbonate;bicycle;bicyclist;bilinear;bimetallic;bimonthly;bipartisan;bipartite;biplane;biracial;bisexual;bisexuality;bisexually;biweekly;bizonal
sur-,"over, above, beyond, in addition to","ở trên, vượt quá, thêm vào","Tạo danh từ (vd ~47% trường hợp, theo số liệu creates); thường gắn vào danh từ hoặc động từ gốc.","không có đồng hóa chính tả đặc biệt (đây là tiền tố gốc Pháp cổ từ Latin 'super-', không phải dạng đồng hóa của 'sub-')",,15,insurmountable;surcharge;surcoat;surmount;surmountable;surname;surplus;surreal;surrealism;surrealist;surrealistic;surrender;surround;surtax;unsurmountable
micro-,"small, extremely small, microscopic","nhỏ, cực nhỏ, vi mô","Tạo danh từ (vd ~79% trường hợp, theo số liệu creates); thường gắn vào danh từ gốc.",không có ngoại lệ chính tả đặc biệt,,14,microanalysis;microdot;microelectronics;microfilm;microfossils;microorganism;microphone;microscope;microscopic;microscopical;microscopically;microscopy;microsecond;microwave
back-,"backward, behind, in return, to a previous position/state (combining form)","về phía sau, ngược lại, trở về vị trí/trạng thái trước đó (dạng kết hợp)","Không có pos áp đảo rõ rệt — tạo danh từ (7) và động từ (6) khá cân bằng (53.8%/46.2%); thường gắn vào động từ/danh từ gốc bản địa (bite, date, fire, slide, space, talk, track, wash).","từ ghép trực tiếp trong tiếng Anh bản địa, không đồng hóa; không có ngoại lệ chính tả đặc biệt",,13,backbit;backbite;backbiter;backbitten;backchat;backdate;backfire;backslide;backslider;backspace;backtalk;backtrack;backwash
uni-,"one, single, consisting of one part","một, đơn, gồm một phần","Tạo danh từ là chủ yếu (50%, 6/12); còn lại tính từ (25%), phó từ (16.7%), động từ (8.3%); thường gắn vào gốc danh từ/tính từ Latin (form, sex, verse, versal).","tiền tố Latin, không thuộc nhóm đồng hóa (in-/ad-/con-/ex-/sub-/syn-/ob-); không có đồng hóa chính tả đặc biệt",,12,unidirectional;uniform;uniformity;uniformly;unisex;universal;universality;universalize;universally;universe;university
eu-,"good, well, pleasant (Greek combining form)","tốt, hay, dễ chịu (gốc Hy Lạp)","Tạo danh từ là chủ yếu (50%, 6/12); còn lại tính từ (25%), phó từ (16.7%), động từ (8.3%); thường gắn vào gốc Hy Lạp (gen-, log-, phon-).","gốc Hy Lạp, giữ nguyên trước nguyên âm (eulogy, euphonious); không có ngoại lệ chính tả đặc biệt",,12,eugenic;eugenically;eugenics;eulogist;eulogistic;eulogistically;eulogize;eulogizers;eulogy;euphonious;euphonium;euphony
mal-,"bad, badly, wrongly, improperly, ill","xấu, tồi, sai, không đúng cách","Không có pos áp đảo rõ rệt — tạo danh từ (50%) và tính từ (41.7%) gần tương đương, ít động từ (8.3%); thường gắn vào gốc danh từ/tính từ/động từ Latin (adjust, form, function, nutrition, practice, treat).","mal- không thuộc nhóm 7 tiền tố Latin có đồng hóa; giữ nguyên trước phụ âm/nguyên âm (maladjusted, malformation); không có đồng hóa chính tả đặc biệt",,12,maladaptive;maladjusted;maladjustment;malcontent;malformation;malformed;malfunction;malnutrition;malposed;malpractice;maltreat;maltreatment
off-,"away from, off, separate, at a distance","rời khỏi, tách biệt, ở xa, không còn gắn với","Không có pos áp đảo rõ rệt — tạo phó từ và danh từ ngang nhau (5/5, 45.5% mỗi loại), rất ít tính từ (1); thường gắn vào danh từ/động từ gốc (beat, hand, print, set, shoot, shore, side, spring, stage).","từ ghép tiếng Anh bản địa, không đồng hóa; không có ngoại lệ chính tả đặc biệt",,11,offbeat;offhand;offhandedly;offhandedness;offprint;offset;offshoot;offshore;offside;offspring;offstage
mono-,"one, single, alone (Greek combining form)","một, đơn, duy nhất (gốc Hy Lạp)","Tạo danh từ là chủ yếu (72.7%, 8/11); còn lại tính từ (18.2%), phó từ (9.1%); thường gắn vào gốc Hy Lạp/Latin (logue, plane, rail, tone, type).",gốc Hy Lạp; không có ngoại lệ chính tả đặc biệt trong các ví dụ này (đều giữ nguyên mono-),"mon- (rút gọn trước nguyên âm, vd monarchy, monody)",11,mondays;monologist;monologue;monoplane;monorail;monotone;monotonous;monotonously;monotonousness;monotony;monotype
semi-,"half, partly, incompletely","nửa, một phần, không hoàn toàn","Không có pos áp đảo rõ rệt — tạo danh từ (50%) và tính từ (40%) khá gần nhau, ít phó từ (10%); thường gắn vào tính từ/danh từ gốc (automatic, circular, final, precious, secret, tone, weekly).","không đồng hóa, giữ nguyên trước nguyên âm/phụ âm (semiautomatic); không có ngoại lệ chính tả đặc biệt",,10,semiautomatic;semicircle;semicircular;semifinal;semifinalist;semiology;semiprecious;semisecret;semitone;semiweekly
post-,"after, following, later than (in time or order)","sau, tiếp sau, muộn hơn (về thời gian hoặc thứ tự)","Tạo danh từ là chủ yếu (60%, 6/10); còn lại tính từ (30%), động từ (10%); thường gắn vào danh từ gốc (bag, box, card, code, graduate, script, season, war).","không đồng hóa; thường viết liền trong các từ thông dụng (postwar) nhưng có gạch nối trước nguyên âm/tên riêng (post-election, không có trong batch này); không có ngoại lệ chính tả đặc biệt",,10,postbag;postbox;postcard;postcode;postdate;postgraduate;postpaid;postscript;postseason;postwar
su-,"under, below; secretly (reduced assimilated form of Latin sub- before p)","dưới, ngầm, kín đáo (dạng đồng hóa/rút gọn của tiền tố Latin sub- trước p)","Tạo danh từ là chủ yếu (60%, 6/10); còn lại động từ (20%), phó từ (10%), tính từ (10%); gắn vào gốc động từ Latin -pose/-press (suppose, suppress).","đây là phần còn lại sau khi tách phụ âm đôi 'pp' khỏi tiền tố Latin sub- đã đồng hóa: b→p trước gốc bắt đầu bằng p (sub+pose=suppose, sub+press=suppress)","sub- (dạng gốc), sup- (đồng hóa trước p, vd suppose, suppress, support)",10,presuppose;presupposition;suppose;supposedly;supposition;suppository;suppression;suppressive;suppressiveness;suppressor
sym-,"with, together, jointly (assimilated form of Greek syn- before b/m/p)","cùng, cùng nhau, chung (dạng đồng hóa của syn- trước b/m/p)","Không có pos áp đảo rõ rệt — tạo tính từ và danh từ ngang nhau (3/3, 33.3% mỗi loại), còn phó từ (22.2%), động từ (11.1%); gắn vào gốc Hy Lạp (pathy, phony).","tiền tố Hy Lạp syn- đồng hóa n→m trước phụ âm môi b/m/p (syn+pathy=sympathy, syn+phony=symphony)","syn- (dạng gốc), syl- (trước l, vd syllable), sy- (trước s, vd system)",9,sympathetic;sympathetically;sympathize;sympathizer;sympathizingly;sympathy;symphonic;symphony;unsympathetic
o-,"against, toward, in the way of (assimilated/reduced form of Latin ob- before p)","chống lại, hướng về, cản trở (dạng đồng hóa/rút gọn của tiền tố Latin ob- trước p)","Tạo danh từ nhiều nhất (44.4%, 4/9); còn lại động từ và tính từ ngang nhau (22.2% mỗi loại), phó từ (11.1%); gắn vào gốc động từ Latin -pose/-press (oppose, oppress).","đây là phần còn lại sau khi tách phụ âm đôi 'pp' khỏi tiền tố Latin ob- đã đồng hóa: b→p trước gốc bắt đầu bằng p (ob+pose=oppose, ob+press=oppress)","ob- (dạng gốc), oc- (trước c, vd occur), of- (trước f, vd offer), op- (trước p, vd oppose)",9,oppose;opposite;opposition;oppress;oppression;oppressive;oppressively;oppressiveness;oppressor
by-,"secondary, subordinate, near, aside from the main","phụ, thứ yếu, bên cạnh, ngoài lề (so với cái chính)","Tạo danh từ 100% (8/8 từ ví dụ); gắn vào danh từ/động từ gốc bản địa (law, line, pass, path, road, stander, way, word).","từ ghép tiếng Anh bản địa, không đồng hóa; không có ngoại lệ chính tả đặc biệt",,8,bylaw;byline;bypass;bypath;byroad;bystander;byway;byword
multi-,"many, multiple, more than one or two","nhiều, đa, hơn một hoặc hai","Tạo tính từ là chủ yếu (87.5%, 7/8); còn lại danh từ (12.5%); gắn vào tính từ/danh từ gốc (channel, color, dimensional, national, purpose, racial).","không đồng hóa, giữ nguyên trước nguyên âm/phụ âm (multimegaton); không có ngoại lệ chính tả đặc biệt",,8,multichannel;multicolor;multidimensional;multimegaton;multimillionaire;multinational;multipurpose;multiracial
on-,"on, onto, forward, in progress, continuing","trên, tiến về phía trước, đang diễn ra, tiếp diễn","Không có pos áp đảo rõ rệt — tạo tính từ và danh từ ngang nhau (3/3, 42.9% mỗi loại), ít giới từ (1); gắn vào động từ/danh từ gốc (come, go, look, rush, set, shore).","từ ghép tiếng Anh bản địa, không đồng hóa; không có ngoại lệ chính tả đặc biệt",,7,oncoming;ongoing;onlooker;onrush;onset;onshore;onto
hyper-,"over, above, excessive, beyond normal","trên, vượt quá, quá mức bình thường","Tạo danh từ là chủ yếu (57.1%, 4/7); còn lại tính từ (28.6%), phó từ (14.3%); gắn vào gốc tính từ/danh từ Hy Lạp-Latin (critical, market, sensitive, trophy).","gốc Hy Lạp, không đồng hóa, giữ nguyên trước nguyên âm (hyperactive); không có ngoại lệ chính tả đặc biệt",,7,hypercellularity;hypercritical;hypercritically;hypermarket;hypersensitive;hypersensitivity;hypertrophy
half-,"partly, incompletely; one of two equal parts","một nửa, không hoàn toàn, một trong hai phần bằng nhau","Tạo danh từ là chủ yếu (71.4%, 5/7); còn lại tính từ và phó từ (mỗi loại 1); gắn vào danh từ/tính từ gốc (back, hearted, penny, time, tone, way).","từ ghép tiếng Anh bản địa, không đồng hóa; không có ngoại lệ chính tả đặc biệt",,7,halfback;halfhearted;halfpenny;halfpennyworth;halftime;halftone;halfway
epi-,"upon, above, outer, in addition to","trên, bên ngoài, thêm vào","Tạo danh từ nhiều nhất (50%, 3/6); còn lại tính từ (33.3%), phó từ (16.7%); gắn vào gốc Hy Lạp (centre, cycle, genetic, logue).",gốc Hy Lạp; không có ngoại lệ chính tả đặc biệt trong các ví dụ này,"ep- (rút gọn trước nguyên âm, vd epoch, epode)",6,epicentre;epicycle;epicyclically;epidemiological;epigenetic;epilogue
circum-,"around, about, on all sides","xung quanh, vòng quanh, về mọi phía","Không có pos áp đảo rõ rệt — tạo tính từ và danh từ ngang nhau (2/2, 33.3% mỗi loại), còn động từ và phó từ (mỗi loại 1); gắn vào gốc động từ/danh từ Latin (polar, scribe, stance).",circum- không thuộc nhóm 7 tiền tố Latin có đồng hóa; không có đồng hóa chính tả đặc biệt,,6,circumpolar;circumscribe;circumscription;circumstance;circumstantial;circumstantially
after-,"later, following, subsequent, coming after","sau, tiếp theo, xảy ra sau","Tạo danh từ 100% (6/6 từ ví dụ); gắn vào danh từ gốc bản địa (birth, care, life, noon, taste, thought).","từ ghép tiếng Anh bản địa, không đồng hóa; không có ngoại lệ chính tả đặc biệt",,6,afterbirth;aftercare;afterlife;afternoon;aftertaste;afterthought
ab-,"away from, off, departing from","rời khỏi, tách khỏi, xa khỏi","Không có pos áp đảo rõ rệt — tạo tính từ và danh từ ngang nhau (2/2, 33.3% mỗi loại), còn phó từ và động từ (mỗi loại 1); gắn vào gốc tính từ/danh từ Latin (normal, original, solve).",ab- không thuộc nhóm 7 tiền tố Latin có đồng hóa theo quy tắc; không có đồng hóa chính tả đặc biệt trong nhóm này,"abs- (trước c/t, vd abstract, abstain), a- (trước m/v, vd avert, amend)",6,abnormal;abnormality;abnormally;aboriginal;aborigine;absolve
retro-,"backward, back, behind in time or position","ngược lại, lùi về sau (thời gian hoặc vị trí)","Không có pos áp đảo rõ rệt — tạo tính từ và danh từ ngang nhau (2/2, 40% mỗi loại), ít phó từ (1); gắn vào gốc tính từ/danh từ Latin (active, grade).",retro- không thuộc nhóm 7 tiền tố Latin có đồng hóa; không có đồng hóa chính tả đặc biệt,,5,retroactive;retroactively;retrogradations;retrograde;retrorocket
di-,"two, double (Greek); or reduced form of Latin dis- (apart, not, reversal)","hai, đôi (gốc Hy Lạp); hoặc dạng rút gọn của dis- (tách rời, phủ định, đảo ngược, gốc Latin)","Tạo động từ là chủ yếu (50%, 2/4); còn lại danh từ và phó từ (mỗi loại 1); gắn vào gốc danh từ/động từ (pole, spirit, solve).","đây là hỗn hợp hai gốc khác nhau — di- (Hy Lạp, nghĩa 'hai', vd dipole) và dis- (Latin) rút gọn/đồng hóa trước s: giữ 'ss' ở một số từ (dissolve) nhưng chỉ còn 1 s ở từ khác (dispirit)","dis- (dạng đầy đủ), dif- (trước f, vd differ)",4,dipole;dispirit;dispiritedly;dissolve
ultra-,"beyond, extremely, to an excessive degree","vượt quá, cực kỳ, ở mức độ quá mức","Tạo tính từ là chủ yếu (75%, 3/4); còn lại phó từ (25%); gắn vào tính từ/danh từ gốc (marine, modern, sonic).",không đồng hóa; không có ngoại lệ chính tả đặc biệt,,4,ultramarine;ultramodern;ultrasonic;ultrasonically
syn-,"with, together, at the same time, alike","cùng, cùng nhau, đồng thời, giống nhau","Tạo tính từ là chủ yếu (50%, 2/4); còn lại phó từ (25%), danh từ (25%); gắn vào gốc Hy Lạp (tactic, tax).","tiền tố Hy Lạp syn- đồng hóa trước một số phụ âm: sym- (trước b/m/p), syl- (trước l), sy- (trước s/z)","sym- (trước b/m/p), syl- (trước l), sy- (trước s/z)",4,syntactic;syntactical;syntactically;syntax
mega-,"large, great; one million (in metric units)","lớn, to; một triệu (trong đơn vị đo lường hệ mét)","Tạo danh từ là chủ yếu (75%, 3/4); còn lại tính từ (25%); gắn vào danh từ gốc (death, phone, ton).","gốc Hy Lạp, không đồng hóa; không có ngoại lệ chính tả đặc biệt",,4,megadeath;megaphone;megaton;multimegaton
omni-,"all, every, in all ways","tất cả, mọi, về mọi mặt","Không có pos áp đảo rõ rệt — tạo danh từ và tính từ ngang nhau (2/2, 50% mỗi loại); gắn vào gốc tính từ Latin (potent, present).",omni- không thuộc nhóm 7 tiền tố Latin có đồng hóa; không có đồng hóa chính tả đặc biệt,,4,omnipotence;omnipotent;omnipresence;omnipresent
kilo-,one thousand (metric unit prefix),một nghìn (tiền tố đơn vị đo lường hệ mét),"Tạo danh từ 100% (4/4 từ ví dụ); gắn vào danh từ đơn vị đo (cycle, litre, metre, ton).","gốc Hy Lạp, không đồng hóa; không có ngoại lệ chính tả đặc biệt",,4,kilocycle;kilolitre;kilometre;kiloton
tri-,"three, having three parts","ba, có ba phần","Không có pos áp đảo rõ rệt — tạo danh từ và tính từ ngang nhau (2/2, 50% mỗi loại); gắn vào danh từ gốc (angle, cycle, partite).",không đồng hóa; không có đồng hóa chính tả đặc biệt,,4,triangle;triangular;tricycle;tripartite
sup-,"under, below; providing support from beneath (assimilated form of Latin sub- before p)","dưới, hỗ trợ từ bên dưới (dạng đồng hóa của tiền tố Latin sub- trước p)","Tạo động từ là chủ yếu (66.7%, 2/3); còn lại danh từ (33.3%); gắn vào gốc động từ Latin (ply, port, press).","tiền tố Latin sub- đồng hóa: b→p trước gốc bắt đầu bằng p (sub+port=support, sub+press=suppress)","sub- (dạng gốc), su- (giản lược thêm, cùng gốc sub- đồng hóa, vd suppose)",3,supply;support;suppress
u-,"not, no (reduced form of Greek ou-, appearing only in the 'utopia' word family)","không, không có (dạng rút gọn của tiền tố Hy Lạp ou-, chỉ xuất hiện trong họ từ 'utopia')","Tạo danh từ là chủ yếu (66.7%, 2/3); còn lại tính từ (33.3%); toàn bộ ví dụ đều thuộc họ từ 'utopia' (gốc Hy Lạp topos = nơi chốn).","chỉ xuất hiện trong họ từ 'utopia' (Thomas More, 1516, từ ou-topos = 'không nơi chốn'), không phải tiền tố sản sinh (productive) trong tiếng Anh hiện đại",,3,utopia;utopian;utopianism
ful-,"variant of 'full', meaning 'completely, to the full extent' (as in fulfill, from full + fill)","biến thể của 'full', nghĩa 'đầy đủ, hoàn toàn' (như trong fulfill, từ full + fill)","Không có pos áp đảo rõ rệt — tạo nhiều loại từ khác nhau tùy gốc (động từ, danh từ, tính từ đều 1/3)",không có ngoại lệ chính tả đặc biệt,,3,fulfill;fulfillment;unfulfilled
milli-,forms words denoting one thousandth of a unit (metric prefix),tạo từ chỉ một phần nghìn của đơn vị (tiền tố hệ mét),"Tạo danh từ (100% trường hợp); thường gắn vào danh từ đơn vị đo lường gốc (bar, litre, metre)",không có ngoại lệ chính tả đặc biệt,,3,millibar;millilitre;millimetre
poly-,"many, multiple","nhiều, đa","Tạo tính từ (100% trường hợp); thường gắn vào tính từ/danh từ gốc Hy Lạp (crystalline, phonic, tonal)",không có ngoại lệ chính tả đặc biệt,,3,polycrystalline;polyphonic;polytonal
ante-,"before, prior to (in time or position)","trước, trước đó (về thời gian hoặc vị trí)","Tạo danh từ (67% trường hợp, vd chamber, room); cũng tạo động từ (33%, vd date); thường gắn vào danh từ hoặc động từ gốc",không có ngoại lệ chính tả đặc biệt,,3,antechamber;antedate;anteroom
demi-,half,"nửa, một nửa","Tạo danh từ (67% trường hợp, vd god, goddess); cũng tạo tính từ (33%); thường gắn vào danh từ gốc",không có ngoại lệ chính tả đặc biệt,,3,demigod;demigoddess;epidemiological
extra-,"outside, beyond; more than","ngoài, vượt ra ngoài; hơn mức","Tạo tính từ (100% trường hợp); thường gắn vào tính từ gốc Latin (legal, sensory, territorial)",không có ngoại lệ chính tả đặc biệt,,3,extralegal;extrasensory;extraterritorial
quint-,five; fifth,"năm, thứ năm","Không có pos áp đảo rõ rệt — tạo nhiều loại từ khác nhau tùy gốc (danh từ, tính từ, trạng từ đều 1/3)",không có ngoại lệ chính tả đặc biệt,,3,quintessence;quintessential;quintessentially
quad-,four,bốn,"Tạo tính từ (67% trường hợp, vd angular, ripartite); cũng tạo danh từ (33%, vd angle); thường gắn vào danh từ/tính từ gốc Latin",không có ngoại lệ chính tả đặc biệt,"quadri- (trước một số gốc, vd quadripartite), quadru- (vd quadruped)",3,quadrangle;quadrangular;quadripartite
through-,"through, by way of, from beginning to end","xuyên qua, suốt, từ đầu đến cuối","Tạo danh từ (67% trường hợp, vd put, way); cũng tạo trạng từ (33%, vd out); thường gắn vào danh từ/giới từ gốc",không có ngoại lệ chính tả đặc biệt,"thru- (chính tả rút gọn không chính thức, vd thruway)",3,throughout;throughput;throughway
hypo-,"under, below (in degree or position); deficient","dưới, thiếu, kém (mức độ hoặc vị trí)","Không có pos áp đảo rõ rệt — tạo nhiều loại từ khác nhau tùy gốc (tính từ, danh từ đều 1/2)",không có ngoại lệ chính tả đặc biệt,"hyp- (trước gốc bắt đầu bằng nguyên âm, vd hypallage)",2,hypoactive;hypocellularity
al-,"variant of 'all', meaning 'wholly, completely' (as in almighty, although)","biến thể của 'all', nghĩa 'toàn bộ, hoàn toàn' (như trong almighty, although)","Không có pos áp đảo rõ rệt — tạo nhiều loại từ khác nhau tùy gốc (tính từ, liên từ đều 1/2)",không có ngoại lệ chính tả đặc biệt,,2,almighty;although
hemi-,half,"nửa, một nửa","Không có pos áp đảo rõ rệt — tạo nhiều loại từ khác nhau tùy gốc (danh từ, tính từ đều 1/2)",không có ngoại lệ chính tả đặc biệt,,2,hemisphere;hemispherical
auto-,self; by oneself; automatic,"tự, tự động, bản thân","Tạo danh từ (100% trường hợp); thường gắn vào danh từ gốc (loader, mobile)",không có ngoại lệ chính tả đặc biệt,,2,autoloader;automobile
centi-,one hundredth of a unit (metric prefix); hundred,một phần trăm của đơn vị (tiền tố hệ mét); trăm,"Không có pos áp đảo rõ rệt — tạo nhiều loại từ khác nhau tùy gốc (tính từ, danh từ đều 1/2)",không có ngoại lệ chính tả đặc biệt,,2,centigrade;centimetre
juxta-,"next to, beside; side by side","bên cạnh, kề nhau, sát nhau","Không có pos áp đảo rõ rệt — tạo nhiều loại từ khác nhau tùy gốc (động từ, danh từ đều 1/2)",không có ngoại lệ chính tả đặc biệt,,2,juxtapose;juxtaposition
dys-,"bad, abnormal, difficult, impaired","xấu, bất thường, khó khăn, suy yếu","Tạo danh từ (100%, dữ liệu hạn chế: chỉ 1 ví dụ); gắn vào danh từ gốc Hy Lạp (trophy)",không có ngoại lệ chính tả đặc biệt,,1,dystrophy
dia-,"through, across, between","xuyên qua, giữa, qua lại","Tạo danh từ (100%, dữ liệu hạn chế: chỉ 1 ví dụ); gắn vào danh từ gốc Hy Lạp (logue)",không có ngoại lệ chính tả đặc biệt,,1,dialogue
intra-,"within, inside","bên trong, trong nội bộ","Tạo tính từ (100%, dữ liệu hạn chế: chỉ 1 ví dụ); gắn vào tính từ gốc (departmental)",không có ngoại lệ chính tả đặc biệt,,1,intradepartmental
infra-,"below, beneath; on the lower side of","dưới, phía dưới của","Tạo tính từ (100%, dữ liệu hạn chế: chỉ 1 ví dụ); gắn vào tính từ gốc (red)",không có ngoại lệ chính tả đặc biệt,,1,infrared
melli-,honey,mật ong,"Tạo tính từ (100%, dữ liệu hạn chế: chỉ 1 ví dụ); gắn vào gốc Latin (fluous - chảy)",không có ngoại lệ chính tả đặc biệt,,1,mellifluous
macro-,"large, large-scale","lớn, quy mô lớn","Tạo trạng từ (100%, dữ liệu hạn chế: chỉ 1 ví dụ, dẫn xuất từ tính từ macroscopic); gắn vào tính từ/danh từ gốc",không có ngoại lệ chính tả đặc biệt,,1,macroscopically
ob-,"against, toward, in front of; inversely (Latin assimilating prefix)","chống lại, hướng về, trước mặt; ngược lại (tiền tố Latin có đồng hóa)","Tạo danh từ (100%, dữ liệu hạn chế: chỉ 1 ví dụ); gắn vào gốc Latin (verse)","tiền tố Latin có đồng hóa phụ âm: ob- đổi thành oc- trước c (occur), of- trước f (offer), op- trước p (oppose), o- trước m (omit)","oc- (trước c), of- (trước f), op- (trước p), o- (trước m)",1,obverse
min-,"small, miniature (shortened form of 'mini-')","nhỏ, thu nhỏ (dạng rút gọn của 'mini-')","Tạo danh từ (100%, dữ liệu hạn chế: chỉ 1 ví dụ); gắn vào danh từ gốc (bus)",không có ngoại lệ chính tả đặc biệt,mini- (dạng đầy đủ),1,minibus
peri-,"around, about, near","xung quanh, gần","Tạo danh từ (100%, dữ liệu hạn chế: chỉ 1 ví dụ); gắn vào danh từ gốc Hy Lạp (scope)",không có ngoại lệ chính tả đặc biệt,,1,periscope
pent-,five,năm,"Tạo danh từ (100%, dữ liệu hạn chế: chỉ 1 ví dụ)",không có ngoại lệ chính tả đặc biệt,"penta- (dạng đầy đủ trước phụ âm, vd pentagon)",1,penthouse
suf-,"under, below; from under (assimilated form of Latin 'sub-' before roots beginning with f)","dưới, từ dưới (dạng đồng hóa của tiền tố Latin 'sub-' trước gốc bắt đầu bằng f)","Tạo động từ (100%, dữ liệu hạn chế: chỉ 1 ví dụ); gắn vào gốc Latin (fer - mang, chịu)","đây là dạng đồng hóa của tiền tố Latin sub- (b đồng hóa thành f trước gốc bắt đầu bằng f, vd suffer, suffix)","biến thể đồng hóa của sub-: suc- (trước c), suf- (trước f), sug- (trước g), sum- (trước m), sup- (trước p), sur- (trước r), sus- (trước s/t)",1,suffer
quadro-,four (variant of quad-/quadri- used before vowels in some coinages),bốn (biến thể của quad-/quadri- dùng trước nguyên âm trong một số từ mới),"Tạo tính từ (100%, dữ liệu hạn chế: chỉ 1 ví dụ); gắn vào tính từ gốc Hy Lạp (phonic)",không có ngoại lệ chính tả đặc biệt,"quad-, quadri-, quadru- (các biến thể khác cùng gốc nghĩa 'bốn')",1,quadrophonic
thru-,through (informal simplified spelling of 'through'),xuyên qua (chính tả rút gọn không chính thức của 'through'),"Tạo danh từ (100%, dữ liệu hạn chế: chỉ 1 ví dụ); gắn vào danh từ gốc (way)",không có ngoại lệ chính tả đặc biệt,through- (dạng chính tả chuẩn),1,thruway
sus-,"under, from below, up from under (assimilated form of Latin 'sub-' before some roots beginning with t)","dưới, từ dưới lên (dạng đồng hóa của tiền tố Latin 'sub-' trước một số gốc bắt đầu bằng t)","Tạo danh từ (100%, dữ liệu hạn chế: chỉ 1 ví dụ); gắn vào gốc Latin (tenance - giữ, cầm)","đây là dạng đồng hóa của tiền tố Latin sub- (trước một số gốc bắt đầu bằng t/s, vd sustain, sustenance, suspect)","biến thể đồng hóa của sub-: suc- (trước c), suf- (trước f), sug- (trước g), sum- (trước m), sup- (trước p), sur- (trước r), sus- (trước s/t)",1,sustenance
