tu,pos,nghia_en,nghia_vi,cau_tao,kind,nguon,trong_morphlink,noun_type,noun_so_nhieu,adj_so_sanh_hon,adj_so_sanh_nhat,adj_ghi_chu,verb_hien_tai_don,verb_gerund,verb_qua_khu,verb_pp,so_nhieu_bat_quy_tac,dong_tu_bat_quy_tac,multi_nghia,meaning_vi_source,ipa,ipa_status
boundary,noun,a real or imagined line that marks the limits or edges of something and separates it from other things or places; a dividing line,một đường thực hoặc tưởng tượng đánh dấu các giới hạn hoặc cạnh của một cái gì đó và tách nó ra khỏi những thứ hoặc địa điểm khác; một đường phân chia,[bound]-ory,root,Đã có sẵn trong MorphLink (Word),có,N[C],boundaries,,,,,,,,,,,,/ˈbaʊndɝi/,real
bounder,noun,someone who bounds or leaps (as in competition),một người giới hạn hoặc nhảy vọt (như trong cuộc thi),[bound]-er,root,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],bounders,,,,,,,,,,,,/ˈbaʊndɝ/,real
boundless,adjective,"seemingly boundless in amount, number, degree, or especially extent","dường như vô hạn về số lượng, số lượng, bằng cấp hoặc đặc biệt là mức độ",[bound]-less,root,Đã có sẵn trong MorphLink (Word),có,,,more boundless,most boundless,,,,,,,,,,/ˈbaʊndɫəs/,real
boundlessness,noun,the quality of being infinite,chất lượng của sự vô hạn,[bound]-less-ness,root,Đã có sẵn trong MorphLink (Word),có,N[U],,,,,,,,,,,,,/bˈaʊndləsnəs/,"generated (espeak-ng G2P, algorithmic)"
bowler,noun,a felt hat that is round and hard with a narrow brim,một chiếc mũ nỉ tròn và cứng với vành hẹp,[bowl]-er,root,Đã có sẵn trong MorphLink (Word),có,N[C],bowlers,,,,,,,,,,,,/ˈboʊɫɝ/,real
bowstring,noun,the string of an archer's bow,sợi dây cung của một cung thủ,[bow+string],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],bowstrings,,,,,,,,,,,,/bˈəʊstɹɪŋ/,real
boxcar,noun,a freight car with roof and sliding doors in the sides,một chiếc xe chở hàng có mái và cửa trượt ở hai bên,[box+car],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],boxcars,,,,,,,,,,,,/ˈbɑkˌskɑɹ/,real
boxer,noun,a breed of stocky medium-sized short-haired dog with a brindled coat and square-jawed muzzle developed in Germany,một giống chó lông ngắn cỡ trung bình với bộ lông xoăn và mõm vuông được phát triển ở Đức,[box]-er,root,Đã có sẵn trong MorphLink (Word),có,N[C],boxers,,,,,,,,,,,,/ˈbɑksɝ/,real
boxful,noun,the quantity contained in a box,số lượng chứa trong hộp (liên quan đến hộp=hộp),[box]-ful,root,Đã có sẵn trong MorphLink (Word),có,N[C],boxfuls,,,,,,,,,,,,/bˈɒksfəl/,real
boxwood,noun,evergreen shrubs or small trees,cây bụi thường xanh hoặc cây nhỏ,[box+wood],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],boxwoods,,,,,,,,,,,,/ˈbɑkˌswʊd/,real
boxy,adjective,resembling a box in rectangularity,giống như một chiếc hộp có hình chữ nhật,[box]-y,root,Đã có sẵn trong MorphLink (Word),có,,,boxier,boxiest,,,,,,,,,,/ˈbɑksi/,real
boyfriend,noun,a man or boy that somebody has a romantic or sexual relationship with,một người đàn ông hoặc cậu bé mà ai đó có mối quan hệ lãng mạn hoặc tình dục với,[boy+friend],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],boyfriends,,,,,,,,,,,,/ˈbɔɪˌfɹɛnd/,real
boyhood,noun,the childhood of a boy,tuổi thơ của một cậu bé,[boy]-hood,root,Đã có sẵn trong MorphLink (Word),có,N[C],boyhoods,,,,,,,,,,,,/ˈbɔɪˌhʊd/,real
boyish,adjective,befitting or characteristic of a young boy,phù hợp hoặc đặc điểm của một cậu bé,[boy]-ish,root,Đã có sẵn trong MorphLink (Word),có,,,boyisher,boyishest,,,,,,,,,,/ˈbɔɪɪʃ/,real
boyishly,adverb,like a boy,như một cậu bé,[boy]-ish-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/bˈɔɪɪʃli/,real
boyishness,noun,being characteristic of a boy,là đặc điểm của một cậu bé,[boy]-ish-ness,root,Đã có sẵn trong MorphLink (Word),có,N[U],,,,,,,,,,,,,/bˈɔɪɪʃnəs/,real
brainchild,noun,a product of your creative thinking and work,một sản phẩm của tư duy và công việc sáng tạo của bạn,[brain+child],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],brainchildren,,,,,,,,,,,,/ˈbɹeɪnˌtʃaɪɫd/,real
braininess,noun,(informal) the quality of being highly intelligent,"(khẩu ngữ) sự thông minh, trí tuệ vượt trội",[brain]-y-ness,root,Đã có sẵn trong MorphLink (Word),có,N[U],,,,,,,,,,,,,/bɹˈeɪnɪnəs/,real
brainless,adjective,not using intelligence,không sử dụng trí thông minh,[brain]-less,root,Đã có sẵn trong MorphLink (Word),có,,,more brainless,most brainless,,,,,,,,,,/ˈbɹeɪnɫɪs/,real
brainstorm,noun,the clear (and often sudden) understanding of a complex situation,sự hiểu biết rõ ràng (và thường đột ngột) về một tình huống phức tạp,[brain+storm],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],brainstorms,,,,,,,,,,,,/ˈbɹeɪnˌstɔɹm/,real
brainwash,verb,"to persuade completely, often through coercion","thuyết phục hoàn toàn, thường là thông qua ép buộc",[brain+wash],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,brainwashes,brainwashing,brainwashed,brainwashed,,,,,/ˈbɹeɪnˌwɑʃ/,real
brainwave,noun,the clear and often sudden understanding of a complex situation,sự hiểu biết rõ ràng và thường đột ngột về một tình huống phức tạp,[brain+wave],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],brainwaves,,,,,,,,,,,,/bɹˈeɪnweɪv/,real
brainy,adjective,having or marked by unusual and impressive intelligence,có hoặc được đánh dấu bằng trí thông minh khác thường và ấn tượng,[brain]-y,root,Đã có sẵn trong MorphLink (Word),có,,,brainier,brainiest,,,,,,,,,,/ˈbɹeɪni/,real
branchy,adjective,having many branches,có nhiều nhánh,[branch]-y,root,Đã có sẵn trong MorphLink (Word),có,,,branchier,branchiest,,,,,,,,,,/bɹˈæntʃi/,"generated (espeak-ng G2P, algorithmic)"
bravely,adverb,in a courageous manner,can đảm (liên quan đến dũng cảm=dũng cảm),[brave]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈbɹeɪvɫi/,real
bravery,noun,a quality of spirit that enables you to face danger or pain without showing fear,một phẩm chất tinh thần cho phép bạn đối mặt với nguy hiểm hoặc đau đớn mà không sợ hãi,[brave]-ory,root,Đã có sẵn trong MorphLink (Word),có,N[C],braveries,,,,,,,,,,,,/ˈbɹeɪvɝi/,real
breadbasket,noun,a basket for serving bread,một giỏ đựng bánh mì,[bread+basket],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],breadbaskets,,,,,,,,,,,,/ˈbɹɛdˌbæskət/,real
breadboard,noun,a wooden or plastic board on which dough is kneaded or bread is sliced,một tấm gỗ hoặc nhựa trên đó bột được nhào hoặc bánh mì được cắt lát,[bread+board],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],breadboards,,,,,,,,,,,,/bɹˈɛdbɔːd/,real
breadfruit,noun,a large round seedless or seeded fruit with a texture like bread,một loại trái cây tròn hoặc không hạt lớn có kết cấu giống như bánh mì,[bread+fruit],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],breadfruits,,,,,,,,,,,,/ˈbɹɛdˌfɹut/,real
breadline,noun,a queue of people waiting for free food,hàng dài người xếp hàng chờ đồ ăn miễn phí,[bread+line],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],breadlines,,,,,,,,,,,,/bɹˈɛdlaɪn/,real
breadwinner,noun,one whose earnings are the primary source of support for their dependents,một người có thu nhập là nguồn hỗ trợ chính cho những người phụ thuộc của họ,[bread+win]-er,compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],breadwinners,,,,,,,,,,,,/ˈbɹɛdˌwɪnɝ/,real
breakable,adjective,capable of being broken or damaged,có khả năng bị vỡ hoặc hư hỏng,[break]-able,root,Đã có sẵn trong MorphLink (Word),có,,,more breakable,most breakable,,,,,,,,,,/ˈbɹeɪkəbəɫ/,real
breakage,noun,the act of breaking something,hành động phá vỡ một cái gì đó,[break]-age,root,Đã có sẵn trong MorphLink (Word),có,N[C],breakages,,,,,,,,,,,,/ˈbɹeɪkɪdʒ/,real
breakaway,adjective,having separated or advocating separation from another entity or policy or attitude,đã ly thân hoặc chủ trương tách khỏi một thực thể hoặc chính sách hoặc thái độ khác,[break+away],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,more breakaway,most breakaway,,,,,,,,,,/ˈbɹeɪkəˌweɪ/,real
breakdown,noun,an occasion when a vehicle or machine stops working,một dịp khi một chiếc xe hoặc máy ngừng hoạt động,[break+down],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],breakdowns,,,,,,,,,,,,/ˈbɹeɪkˌdaʊn/,real
breaker,noun,a device that trips like a switch and opens the circuit when overloaded,một thiết bị hoạt động như một công tắc và mở mạch khi quá tải,[break]-er,root,Đã có sẵn trong MorphLink (Word),có,N[C],breakers,,,,,,,,,,,,/ˈbɹeɪkɝ/,real
breakfast,noun,the first meal of the day,bữa ăn đầu tiên trong ngày,[break+fast],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],breakfasts,,,,,,,,,,,,/ˈbɹɛkfəst/,real
breakin,noun,"an illegal entry into a building or property, typically to steal something (variant spelling of 'break-in')",vụ đột nhập trái phép vào nhà hoặc cơ sở (thường để trộm cắp) - biến thể chính tả của 'break-in',[break+in],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],breakins,,,,,,,,,,,,/bɹˈeɪkɪn/,"generated (espeak-ng G2P, algorithmic)"
breakneck,adjective,moving at very high speed,di chuyển với tốc độ rất cao,[break+neck],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,more breakneck,most breakneck,,,,,,,,,,/ˈbɹeɪkˌnɛk/,real
breakoff,noun,"an act or instance of a sudden ending, separation, or interruption","sự chấm dứt, tách rời hoặc gián đoạn đột ngột",[break+off],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],breakoffs,,,,,,,,,,,,/bɹˈeɪkɔf/,"generated (espeak-ng G2P, algorithmic)"
breakout,noun,an escape from jail,một cuộc trốn thoát khỏi nhà tù,[break+out],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],breakouts,,,,,,,,,,,,/ˈbɹeɪˌkaʊt/,real
breakthrough,noun,an important development that may lead to an agreement or achievement,một sự phát triển quan trọng có thể dẫn đến một thỏa thuận hoặc thành tích,[break+through],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],breakthroughs,,,,,,,,,,,,/ˈbɹeɪkˌθɹu/,real
breakup,noun,coming apart,sắp ra mắt,[break+up],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],breakups,,,,,,,,,,,,/ˈbɹeɪˌkəp/,real
breakwater,noun,a protective structure of stone or concrete,cấu trúc bảo vệ của đá hoặc bê tông,[break+water],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],breakwaters,,,,,,,,,,,,/ˈbɹeɪˌkwɔtɝ/,real
breastbone,noun,the flat bone that articulates with the clavicles and the first seven pairs of ribs,xương phẳng khớp với xương đòn và bảy cặp xương sườn đầu tiên,[breast+bone],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],breastbones,,,,,,,,,,,,/bɹˈɛstbəʊn/,real
breastfeed,verb,to give milk to directly from a breast,cho sữa trực tiếp từ vú,[breast+feed],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,breastfeeds,breastfeeding,breastfed,breastfed,,,,,/ˈbɹɛstfid/,real
breastplate,noun,armor plate that protects the chest,tấm giáp bảo vệ ngực,[breast+plate],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],breastplates,,,,,,,,,,,,/ˈbɹɛstˌpɫeɪt/,real
breaststroke,noun,a swimming stroke,đột quỵ khi bơi,[breast+stroke],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],breaststrokes,,,,,,,,,,,,/bɹˈɛststɹəʊk/,real
breastwork,noun,fortification consisting of a low wall,củng cố bao gồm một bức tường thấp,[breast+work],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],breastworks,,,,,,,,,,,,/bɹˈɛstwɜːk/,"generated (espeak-ng G2P, algorithmic)"
breathalyse,verb,to test someone's alcohol level in their blood by means of a breathalyzer,để kiểm tra nồng độ cồn trong máu của ai đó bằng máy phân tích hơi thở,[breath]-a-ize,root,Đã có sẵn trong MorphLink (Word),có,,,,,,breathalyses,breathalysing,breathalysed,breathalysed,,,,,/bɹˈɛθɐlˌaɪz/,real
breathalyser,noun,a device that measures chemicals (especially the alcohol content) in a person's expired breath,một thiết bị đo hóa chất (đặc biệt là nồng độ cồn) trong hơi thở ra của một người,[breath]-a-ize-er,root,Đã có sẵn trong MorphLink (Word),có,N[C],breathalysers,,,,,,,,,,,,/bɹˈɛθɐlˌaɪsɐ/,real
breather,noun,air passage provided by a retractable device containing intake and exhaust pipes,đường dẫn khí được cung cấp bởi một thiết bị có thể thu vào có chứa ống nạp và ống xả,[breath]-er,root,Đã có sẵn trong MorphLink (Word),có,N[C],breathers,,,,,,,,,,,,/ˈbɹiðɝ/,real
breathily,adverb,in a breathy way; with an audible sound of breathing in the voice,"một cách khàn hơi, với tiếng thở nghe rõ trong giọng nói",[breath]-y-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/bɹˈɛθili/,"generated (espeak-ng G2P, algorithmic)"
breathiness,noun,"the quality of sounding breathy, marked by an audible rush of breath in the voice","chất giọng khàn hơi, có tiếng thở nghe rõ trong giọng nói",[breath]-y-ness,root,Đã có sẵn trong MorphLink (Word),có,N[U],,,,,,,,,,,,,/bɹˈɛθinəs/,"generated (espeak-ng G2P, algorithmic)"
breathless,adjective,appearing dead,có vẻ như đã chết,[breath]-less,root,Đã có sẵn trong MorphLink (Word),có,,,more breathless,most breathless,,,,,,,,,,/ˈbɹɛθɫəs/,real
breathlessly,adverb,in a breathless manner,một cách khó thở,[breath]-less-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈbɹɛθɫəsɫi/,real
breathlessness,noun,a dyspneic condition,tình trạng khó thở,[breath]-less-ness,root,Đã có sẵn trong MorphLink (Word),có,N[U],,,,,,,,,,,,,/bɹˈɛθləsnəs/,real
breathtaking,adjective,tending to cause suspension of regular breathing,có xu hướng gây ngưng thở thường xuyên,[breath+take],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,more breathtaking,most breathtaking,,,,,,,,,,/ˈbɹɛθˌteɪkɪŋ/,real
breathtakingly,adverb,in a breathtakingly impressive or amazing way,"một cách ngoạn mục, đẹp đến nghẹt thở",[breath+take]-ly,compound,Sinh có kiểm soát — trùng MorphLink,có,,,,,,,,,,,,,,/ˈbɹɛθˌteɪkɪŋɫi/,real
breathy,adjective,(of a voice) marked by an audible sound of breathing,"(giọng nói) có tiếng thở nghe rõ, khàn hơi",[breath]-y,root,Đã có sẵn trong MorphLink (Word),có,,,breathier,breathiest,,,,,,,,,,/ˈbɹɛθi/,real
breeder,noun,a person who breeds animals,một người nhân giống động vật,[breed]-er,root,Đã có sẵn trong MorphLink (Word),có,N[C],breeders,,,,,,,,,,,,/ˈbɹidɝ/,real
brewer,noun,a person or company that makes beer,người hoặc công ty sản xuất bia,brew-er,root,Sinh mới (wordfreq ≥ 3.2),chưa,N[C],brewers,,,,,,,,,,,,/bruər/,"generated (eng_to_ipa/CMUdict, algorithmic)"
brickbat,noun,blunt criticism,những lời chỉ trích thẳng thừng,[brick+bat],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],brickbats,,,,,,,,,,,,/ˈbɹɪkˌbæt/,real
bricklayer,noun,a craftsman skilled in building with bricks,một thợ thủ công lành nghề trong việc xây dựng bằng gạch,[brick+lay]-er,compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],bricklayers,,,,,,,,,,,,/ˈbɹɪˌkɫeɪɝ/,real
bricklaying,noun,the craft of laying bricks,nghề đặt gạch,[brick+lay],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],bricklayings,,,,,,,,,,,,/bɹˈɪkleɪɪŋ/,real
bricktop,noun,"(informal, dated) a person with red or reddish hair","(thân mật, cũ) người có mái tóc đỏ hoặc hung đỏ",[brick+top],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],bricktops,,,,,,,,,,,,/bɹˈɪktɑːp/,"generated (espeak-ng G2P, algorithmic)"
brickwork,noun,masonry done with bricks and mortar,khối xây được thực hiện bằng gạch và vữa,[brick+work],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],brickworks,,,,,,,,,,,,/bɹˈɪkwɜːk/,real
brickyard,noun,a place where bricks are made and sold,một nơi mà gạch được sản xuất và bán,[brick+yard],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],brickyards,,,,,,,,,,,,/ˈbɹɪkˌjɑɹd/,real
bridal,adjective,of or relating to a bride or a wedding,thuộc về cô dâu hoặc đám cưới,[bride]-al,root,Đã có sẵn trong MorphLink (Word),có,,,more bridal,most bridal,,,,,,,,,,/ˈbɹaɪdəɫ/,real
bridecake,noun,a rich cake with two or more tiers and covered with frosting and decorations,một chiếc bánh phong phú với hai hoặc nhiều cấp độ và phủ đầy sương giá và đồ trang trí,[bride+cake],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],bridecakes,,,,,,,,,,,,/bɹˈaɪdkeɪk/,"generated (espeak-ng G2P, algorithmic)"
bridgehead,noun,a defensive post at the end of a bridge nearest to the enemy,một đồn phòng thủ ở cuối cây cầu gần kẻ thù nhất,[bridge+head],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],bridgeheads,,,,,,,,,,,,/ˈbɹɪdʒˌhɛd/,real
bridgework,noun,a denture anchored to teeth on either side of missing teeth,một hàm răng giả neo vào răng ở hai bên của răng bị mất tích,[bridge+work],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],bridgeworks,,,,,,,,,,,,/bɹˈɪdʒwɜːk/,"generated (espeak-ng G2P, algorithmic)"
briefcase,noun,a case with a handle,một trường hợp có tay cầm,[brief+case],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],briefcases,,,,,,,,,,,,/ˈbɹifˌkeɪs/,real
briefer,noun,"a person who gives a briefing, especially to journalists or officials","người thuyết trình, người báo cáo tóm tắt (thường cho báo chí hoặc quan chức)",[brief]-er,root,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],briefers,,,,,,,,,,,,/ˈbɹifɝ/,real
briefest,adjective,most brief; shortest in duration or length,ngắn nhất (về thời gian hoặc độ dài),[brief]-est,root,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,more briefest,most briefest,,,,,,,,,,/ˈbɹifəst/,real
briefly,adverb,for a short time,trong một thời gian ngắn,[brief]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈbɹifɫi/,real
brighten,verb,to make lighter or brighter,làm cho nhẹ hơn hoặc sáng hơn,[bright]-en,root,Đã có sẵn trong MorphLink (Word),có,,,,,,brightens,brightening,brightened,brightened,,,,,/ˈbɹaɪtən/,real
brighter,adjective,"more bright; having more light, intelligence, or vividness than another","sáng hơn, thông minh hơn, rực rỡ hơn (so sánh hơn của 'bright')",[bright]-er,root,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,"Đây là dạng so sánh hơn của tính từ gốc, không có dạng so sánh hơn/nhất riêng",,,,,,,,,/ˈbɹaɪtɝ/,real
brightest,adjective,"most bright; having the most light, intelligence, or vividness","sáng nhất, thông minh nhất, rực rỡ nhất",[bright]-est,root,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,more brightest,most brightest,,,,,,,,,,/ˈbɹaɪtəst/,real
brightly,adverb,with brightness,với độ sáng,[bright]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈbɹaɪtɫi/,real
brightness,noun,the location of a visual perception along a continuum from black to white,vị trí của một nhận thức trực quan dọc theo một chuỗi liên tục từ đen đến trắng,[bright]-ness,root,Đã có sẵn trong MorphLink (Word),có,N[U],,,,,,,,,,,,,/ˈbɹaɪtnəs/,real
brilliantly,adverb,"in a brilliant way; extremely well, cleverly, or impressively","một cách xuất sắc, rực rỡ",brilliant-ly,root,Sinh mới (wordfreq ≥ 3.2),chưa,,,,,,,,,,,,,,/ˈbrɪljəntli/,"generated (eng_to_ipa/CMUdict, algorithmic)"
broadcast,noun,a radio or television programme,một chương trình phát thanh hoặc truyền hình,[broad+cast],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],broadcasts,,,,,,,,,,,,/ˈbɹɔdˌkæst/,real
broadcaster,noun,a person whose job is presenting or talking on television or radio programmes,một người có công việc là trình bày hoặc nói chuyện trên các chương trình truyền hình hoặc đài phát thanh,[broad+cast]-er,compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],broadcasters,,,,,,,,,,,,/ˈbɹɔdˌkæstɝ/,real
broadcloth,noun,a closely woven silk or synthetic fabric with a narrow crosswise rib,một loại lụa hoặc vải tổng hợp dệt chặt chẽ với một sườn chéo hẹp,[broad+cloth],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],broadcloths,,,,,,,,,,,,/bɹˈɔːdklɒθ/,real
broaden,verb,to become wider or larger in scope,trở nên rộng hơn hoặc lớn hơn trong phạm vi,[broad]-en,root,Đã có sẵn trong MorphLink (Word),có,,,,,,broadens,broadening,broadened,broadened,,,,,/ˈbɹɔdən/,real
broader,adjective,more broad; wider in extent,rộng hơn (so sánh hơn của 'broad'),[broad]-er,root,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,"Đây là dạng so sánh hơn của tính từ gốc, không có dạng so sánh hơn/nhất riêng",,,,,,,,,/ˈbɹɔdɝ/,real
broadest,adjective,most broad; widest in extent,rộng nhất,[broad]-est,root,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,more broadest,most broadest,,,,,,,,,,/ˈbɹɔdɪst/,real
broadloom,adjective,(of rugs or carpets) woven full width,(bằng thảm hoặc thảm) dệt toàn bộ chiều rộng,[broad+loom],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,more broadloom,most broadloom,,,,,,,,,,/bɹˈɔːdluːm/,"generated (espeak-ng G2P, algorithmic)"
broadly,adverb,"generally, without considering details","nói chung, không xem xét chi tiết",[broad]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈbɹɔdɫi/,real
broadminded,adjective,willing to consider new or different ideas and opinions; tolerant,"cởi mở, khoáng đạt, sẵn sàng tiếp nhận những ý kiến khác biệt",[broad+mind],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,more broadminded,most broadminded,,,,,,,,,,/bɹˈɔːdmaɪndɪd/,real
broadmindedly,adverb,"in a broadminded way; in a tolerant, open manner","một cách cởi mở, khoáng đạt",[broad+mind]-ly,compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,,,,,,,,,/bɹˈɔːdmaɪndᵻdli/,"generated (espeak-ng G2P, algorithmic)"
broadmindedness,noun,the quality of being broadminded; tolerance of different views,"tính cởi mở, khoáng đạt, sự bao dung với những quan điểm khác biệt",[broad+mind]-ness,compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],broadmindednesses,,,,,,,,,,,,/bɹˈɔːdmaɪndᵻdnəs/,"generated (espeak-ng G2P, algorithmic)"
broadness,noun,the property of being wide,tài sản rộng (liên quan đến rộng=rộng lớn),[broad]-ness,root,Đã có sẵn trong MorphLink (Word),có,N[U],,,,,,,,,,,,,/bɹˈɔːdnəs/,real
broadsheet,noun,an advertisement (usually printed on a page or in a leaflet) intended for wide distribution,một quảng cáo (thường được in trên một trang hoặc trong một tờ rơi) nhằm mục đích phân phối rộng rãi,[broad+sheet],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],broadsheets,,,,,,,,,,,,/bɹˈɔːdʃiːt/,real
broadside,adverb,with a side facing an object,với một mặt đối diện với một vật thể,[broad+side],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,,,,,,,,,/ˈbɹɔdˌsaɪd/,real
broadsword,noun,a sword with a broad blade and usually two cutting edges,một thanh kiếm có lưỡi rộng và thường có hai lưỡi cắt,[broad+sword],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],broadswords,,,,,,,,,,,,/ˈbɹɔdˌsɔɹd/,real
broadways,adverb,in the direction of the breadth; with the broad side facing forward; sideways,"theo chiều rộng, quay bề ngang ra phía trước",[broad+way],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,,,,,,,,,/bɹˈɔːdweɪz/,"generated (espeak-ng G2P, algorithmic)"
broadwise,adverb,in the direction of the breadth,theo hướng chiều rộng,[broad+wise],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,,,,,,,,,/bɹˈɔːdwaɪz/,"generated (espeak-ng G2P, algorithmic)"
broken,adjective,"damaged, shattered, or no longer working; not in one piece or in working order","bị hỏng, vỡ, gãy; không còn nguyên vẹn hoặc không còn hoạt động được",broke-en,root,Sinh có kiểm soát — trùng MorphLink,có,,,more broken,most broken,,,,,,,,,,/ˈbroʊkən/,"generated (eng_to_ipa/CMUdict, algorithmic)"
brotherhood,noun,the feeling that men should treat one another like brothers,cảm giác rằng đàn ông nên đối xử với nhau như anh em,[brother]-hood,root,Đã có sẵn trong MorphLink (Word),có,N[C],brotherhoods,,,,,,,,,,,,/ˈbɹəðɝˌhʊd/,real
brotherliness,noun,The state or quality of being brotherly.,trạng thái hoặc phẩm chất của tình anh em,[brother]-ly-ness,root,Đã có sẵn trong MorphLink (Word),có,N[U],,,,,,,,,,,,,/bɹˈʌðɚlinəs/,"generated (espeak-ng G2P, algorithmic)"
brotherly,adverb,(archaic as adverb) in a brotherly manner,(cổ xưa như trạng từ) một cách anh em,[brother]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈbɹəðɝɫi/,real
browner,adjective,more brown in color,nâu hơn (so sánh hơn của 'brown'),[brown]-er,root,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,"Đây là dạng so sánh hơn của tính từ gốc, không có dạng so sánh hơn/nhất riêng",,,,,,,,,/ˈbɹaʊnɝ/,real
brownest,adjective,most brown in color,nâu nhất,[brown]-est,root,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,more brownest,most brownest,,,,,,,,,,/ˈbɹaʊnɪst/,real
brownie,noun,square or bar of very rich chocolate cake usually with nuts,hình vuông hoặc thanh bánh sô cô la rất phong phú thường có các loại hạt,[brown]-y,root,Đã có sẵn trong MorphLink (Word),có,N[C],brownies,,,,,,,,,,,,/ˈbɹaʊni/,real
brownish,adjective,somewhat brown in color,"hơi nâu, ngả màu nâu",[brown]-ish,root,Đã có sẵn trong MorphLink (Word),có,,,more brownish,most brownish,,,,,,,,,,/ˈbɹaʊnɪʃ/,real
brownstone,noun,a row house built of brownstone,một ngôi nhà hàng được xây bằng đá nâu,[brown+stone],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],brownstones,,,,,,,,,,,,/ˈbɹaʊnˌstoʊn/,real
