root,pos,nghia_en,nghia_vi,la_goc_rang_buoc,bien_the,nguon_phan_loai
lord,noun,"a person who has power and authority over others, especially a nobleman","chúa, lãnh chúa",không,,Root gốc
grade,noun,"a level of rank, quality, or value","cấp bậc, hạng, điểm số",không,,Root gốc
gross,adjective,very obvious or unattractive; the total amount before deductions,"thô, tổng cộng, quá mức",không,,Root gốc
solid,adjective,firm and stable in shape; not liquid or gaseous,"rắn, đặc, vững chắc",không,,Root gốc
country,noun,a nation with its own government and territory,"đất nước, quốc gia, vùng nông thôn",không,,Root gốc
modern,adjective,relating to the present time or recent times,hiện đại,không,,Root gốc
fame,noun,the state of being known or talked about by many people,"danh tiếng, sự nổi tiếng",không,,Root gốc
weak,adjective,lacking physical strength or power,"yếu, yếu đuối",không,,Root gốc
angle,noun,"the space between two intersecting lines or surfaces, measured in degrees",góc,không,,Root gốc
wear,verb,to have something on one's body as clothing or covering,"mặc, mang, đeo",không,,Root gốc
week,noun,a period of seven days,tuần,không,,Root gốc
health,noun,the state of being free from illness or injury,sức khỏe,không,,Root gốc
death,noun,the end of life; the permanent cessation of vital functions,cái chết,không,,Root gốc
pronounce,verb,to make the sound of a word or letter in a particular way,phát âm,không,,Root gốc
dark,adjective,with little or no light,"tối, tối tăm",không,,Root gốc
small,adjective,of a size that is less than normal or usual,"nhỏ, bé",không,,Root gốc
music,noun,the art of arranging sounds in a pleasing sequence,âm nhạc,không,,Root gốc
imagine,verb,to form a mental image or concept of something,tưởng tượng,không,,Root gốc
code,noun,"a system of words, letters, or symbols used to represent information","mã, quy tắc",không,,Root gốc
block,noun,a large solid piece of hard material; something that obstructs,"khối, vật cản",không,,Root gốc
tie,verb,"to fasten or secure something with a cord, string, or rope","buộc, thắt",không,,Root gốc
one,numeral,the number 1; a single unit,"một, số một",không,,Root gốc
lift,verb,to raise something to a higher position,"nâng, nhấc lên",không,,Root gốc
paint,noun,a colored substance applied to a surface to decorate or protect it,sơn,không,,Root gốc
pain,noun,physical suffering or discomfort caused by illness or injury,sự đau đớn,không,,Root gốc
pale,adjective,"light in color, especially of a person's face","nhợt nhạt, xanh xao",không,,Root gốc
pan,noun,"a flat container with a handle, used for cooking",cái chảo,không,,Root gốc
king,noun,"a male ruler of an independent state, especially by inheritance",vua,không,,Root gốc
rare,adjective,not occurring very often; uncommon,"hiếm, hiếm có",không,,Root gốc
straight,adjective,extending in one direction without a curve or bend,thẳng,không,,Root gốc
draw,verb,to produce a picture by making lines; to pull something toward oneself,"vẽ; kéo, rút ra",không,,Root gốc
folk,noun,"people in general, especially those of a particular group","dân gian, mọi người",không,,Root gốc
secure,adjective,free from danger or threat; firmly fixed,"an toàn, chắc chắn",không,,Root gốc
symbol,noun,"a mark, sign, or object that represents something else",biểu tượng,không,,Root gốc
system,noun,a set of connected parts working together as a whole,hệ thống,không,,Root gốc
patch,noun,a small piece of material used to cover or mend a hole,miếng vá,không,,Root gốc
rate,noun,"a measure, quantity, or frequency measured against another","tỷ lệ, tốc độ",không,,Root gốc
select,verb,to carefully choose something from a group of others,"chọn lọc, lựa chọn",không,,Root gốc
diverse,adjective,showing a great deal of variety; very different,đa dạng,không,,Root gốc
provoke,verb,"to stimulate or bring about a reaction, especially anger","khiêu khích, kích động",không,,Root gốc
sincere,adjective,free from pretense or deceit; genuine in feeling,chân thành,không,,Root gốc
public,adjective,"of, concerning, or open to the people as a whole","công cộng, thuộc về công chúng",không,,Root gốc
qualify,verb,to become entitled to something by fulfilling a condition,"đủ điều kiện, đạt tiêu chuẩn",không,,Root gốc
franchise,noun,"a right or privilege granted, especially the right to vote","quyền (đặc biệt quyền bầu cử), đặc quyền",không,,Root gốc
shape,noun,the external form or outline of something,hình dạng,không,,Root gốc
permit,verb,to give official authorization or consent for something,cho phép,không,,Root gốc
penny,noun,a small coin or unit of currency,"đồng xu, đồng penny",không,,Root gốc
ideal,adjective,most suitable; representing perfection,lý tưởng,không,,Root gốc
coast,noun,the land next to or close to the sea,bờ biển,không,,Root gốc
final,adjective,coming at the end; last in a series,cuối cùng,không,,Root gốc
favour,noun,"approval, support, or liking for something","sự ưu ái, thiện cảm",không,,Root gốc
wise,adjective,having or showing good judgment based on knowledge and experience,"khôn ngoan, thông thái",không,,Root gốc
tear,noun,a drop of liquid that forms in and falls from the eye,nước mắt,không,,Root gốc
three,numeral,the number 3,"ba, số ba",không,,Root gốc
thing,noun,"an object, entity, or matter that is not specifically named","vật, điều, thứ",không,,Root gốc
butter,noun,"a fatty substance made by churning cream, used as food",bơ,không,,Root gốc
bitter,adjective,"having a sharp, unpleasant taste; feeling or showing resentment","đắng, cay đắng",không,,Root gốc
tell,verb,to communicate information to someone in words,"kể, nói cho biết",không,,Root gốc
thank,verb,to express gratitude to someone,cảm ơn,không,,Root gốc
battle,noun,a sustained fight between armed forces,trận chiến,không,,Root gốc
ego,noun,a person's sense of self-esteem or self-importance,"cái tôi, bản ngã",không,,Root gốc
need,noun,a requirement or necessity for something,"nhu cầu, sự cần thiết",không,,Root gốc
bath,noun,an act of washing the body in water; a container for this,"sự tắm, bồn tắm",không,,Root gốc
bore,verb,"to make a hole by drilling; also, to make someone feel weary and uninterested","khoan, đục lỗ; làm nhàm chán",không,,chưa chắc chắn - cần rà tay
lamp,noun,a device that produces light,cái đèn,không,,Root gốc
nerve,noun,a fiber that carries impulses between the brain and body; courage,"dây thần kinh, sự can đảm",không,,Root gốc
world,noun,the earth together with all its countries and people,thế giới,không,,Root gốc
money,noun,a medium of exchange used to buy and sell goods,tiền,không,,Root gốc
moment,noun,a very brief period of time,"khoảnh khắc, thời điểm",không,,Root gốc
meat,noun,the flesh of an animal used as food,thịt,không,,Root gốc
basket,noun,"a container made of interwoven strips, used for carrying things","cái giỏ, rổ",không,,Root gốc
bid,verb,to offer an amount of money for something; to command,"ra giá, đấu giá; ra lệnh",không,,Root gốc
merge,verb,to combine or blend two or more things into one,"hợp nhất, sáp nhập",không,,Root gốc
mouth,noun,the opening in the face used for eating and speaking,miệng,không,,Root gốc
motor,noun,a machine that converts energy into motion to provide power,động cơ,không,,Root gốc
rely,verb,to depend on someone or something with full trust,"dựa vào, tin cậy",không,,Root gốc
reside,verb,to live in a particular place permanently or for an extended period,"cư trú, sinh sống",không,,Root gốc
refer,verb,to mention or allude to something; to direct someone to a source,"đề cập, tham khảo, giới thiệu",không,,Root gốc
access,noun,"the means or opportunity to approach, enter, or use something","sự truy cập, lối vào",không,,Root gốc
mode,noun,a way or manner in which something occurs or is done,"chế độ, phương thức",không,,Root gốc
mix,verb,to combine different substances or things so they become one,"trộn, pha trộn",không,,Root gốc
milk,noun,a white liquid produced by mammals to feed their young,sữa,không,,Root gốc
method,noun,a particular way of doing something in an orderly manner,phương pháp,không,,Root gốc
essence,noun,"the intrinsic, fundamental nature of something","bản chất, tinh chất",không,,Root gốc
wild,adjective,"living or growing in a natural state, not domesticated",hoang dã,không,,Root gốc
account,noun,a report or description; a record of financial transactions,"tài khoản, bản tường thuật",không,,Root gốc
represent,verb,"to stand for, symbolize, or act on behalf of someone/something","đại diện, biểu thị",không,,Root gốc
responsible,adjective,having an obligation to do something; accountable for one's actions,có trách nhiệm,không,,Root gốc
translate,verb,to express the meaning of something in another language,"dịch, phiên dịch",không,,Root gốc
mercy,noun,compassion or forgiveness shown toward someone in one's power,"lòng thương xót, sự khoan dung",không,,Root gốc
meal,noun,"an occasion when food is eaten, or the food itself",bữa ăn,không,,Root gốc
excite,verb,to cause someone to feel strong enthusiasm or eagerness,"kích thích, làm hào hứng",không,,Root gốc
urge,noun,a strong desire or impulse to do something,"sự thôi thúc, khát khao",không,,Root gốc
rope,noun,a strong thick cord made of twisted strands,dây thừng,không,,Root gốc
fancy,adjective,elaborate or highly decorated; to like or want something,"hoa mỹ, cầu kỳ; thích, ưa",không,,Root gốc
fare,verb,to travel or journey; to get along or progress,"đi, du hành; diễn tiến (tốt/xấu)",không,,Root gốc
transfer,verb,to move something or someone from one place to another,"chuyển, chuyển giao",không,,Root gốc
accept,verb,to receive something willingly or agree to it,chấp nhận,không,,Root gốc
even,adjective,flat and level; equal or the same; divisible by two,"đều, bằng phẳng, chẵn",không,,Root gốc
age,noun,the length of time a person or thing has existed,"tuổi, thời đại",không,,Root gốc
weather,noun,the state of the atmosphere at a place and time,thời tiết,không,,Root gốc
weird,adjective,strange or bizarre in a way that is unsettling,"kỳ lạ, quái dị",không,,Root gốc
wool,noun,the fine soft curly hair forming the coat of sheep,len,không,,Root gốc
cross,adjective,"annoyed or bad-tempered; also, lying or extending across something","tức giận, cáu kỉnh; (cũng) chéo, ngang qua",không,,Root gốc
sin,noun,"an immoral act, especially one that breaks a religious law",tội lỗi,không,,Root gốc
possible,adjective,able to be done or to happen; capable of existing,"có thể, khả thi",không,,Root gốc
poet,noun,a person who writes poetry,nhà thơ,không,,Root gốc
hope,noun,a feeling of expectation and desire for something to happen,hy vọng,không,,Root gốc
soul,noun,the spiritual or immaterial part of a person,linh hồn,không,,Root gốc
machine,noun,a mechanical device built to perform a task,máy móc,không,,Root gốc
loud,adjective,producing or capable of producing a great deal of noise,"ồn ào, to tiếng",không,,Root gốc
loyal,adjective,"faithful and devoted to a person, cause, or country",trung thành,không,,Root gốc
attract,verb,to draw someone or something toward oneself by appeal,"thu hút, hấp dẫn",không,,Root gốc
bold,adjective,"confident, courageous, and willing to take risks","táo bạo, dũng cảm",không,,Root gốc
drunk,adjective,affected by alcohol to the extent of losing control,say rượu,không,,Root gốc
lie,verb,"to be in or assume a flat, horizontal, or resting position","nằm, ở tư thế nằm",không,,Root gốc
let,verb,to allow or permit something to happen,"cho phép, để cho",không,,Root gốc
letter,noun,a character representing a speech sound; a written message,"chữ cái, lá thư",không,,Root gốc
tip,noun,the pointed or rounded end of something; a small sum given for service; a helpful piece of advice,đầu mút; tiền boa; lời khuyên,không,,Root gốc
to,preposition,"expressing direction toward a place, person, or thing","đến, tới, hướng về",không,,Root gốc
throw,verb,to propel something through the air with force,"ném, quăng",không,,Root gốc
myth,noun,"a traditional story, especially one involving supernatural beings","thần thoại, huyền thoại",không,,Root gốc
nail,noun,a thin pointed piece of metal; the hard covering at the tip of a finger or toe,"cái đinh, móng tay",không,,Root gốc
total,adjective,complete or entire; the whole amount of something,"tổng, toàn bộ",không,,Root gốc
clean,adjective,"free from dirt, marks, or impurities","sạch, sạch sẽ",không,,Root gốc
guilt,noun,the fact of having committed a wrong or offense,"tội lỗi, cảm giác có lỗi",không,,Root gốc
concert,noun,"agreement or harmony of action; also, a musical performance","sự hòa hợp, phối hợp; buổi hòa nhạc",không,,Root gốc
complete,adjective,having all necessary parts; finished,"hoàn chỉnh, đầy đủ",không,,Root gốc
chair,noun,"a seat for one person, typically with a back and four legs",cái ghế,không,,Root gốc
strange,adjective,"unusual, surprising, or unfamiliar","lạ, kỳ lạ",không,,Root gốc
store,noun,a shop; a supply of something kept for future use,"cửa hàng, kho dự trữ",không,,Root gốc
intense,adjective,existing or occurring in an extreme degree; very strong,"mãnh liệt, dữ dội",không,,Root gốc
interest,noun,a feeling of curiosity or concern about something; money paid for the use of money,"sự quan tâm, hứng thú; lãi suất",không,,Root gốc
persuade,verb,to cause someone to believe or do something through reasoning,thuyết phục,không,,Root gốc
suffer,verb,"to experience pain, distress, or hardship","chịu đựng, đau khổ",không,,Root gốc
steep,adjective,having a very sharp slope; rising or falling sharply,"dốc đứng, có độ nghiêng lớn",không,,Root gốc
steady,adjective,"firmly fixed or supported; not shaking, changing steadily","vững chắc, ổn định, đều đặn",không,,Root gốc
steam,noun,the vapor into which water is converted when heated,hơi nước,không,,Root gốc
fool,noun,a person who acts unwisely or lacks good sense,"kẻ ngốc, người khờ dại",không,,Root gốc
noise,noun,"a sound, especially one that is loud or unpleasant","tiếng ồn, âm thanh",không,,Root gốc
nose,noun,the part of the face used for breathing and smelling,mũi,không,,Root gốc
quarter,noun,one of four equal parts of something,một phần tư,không,,Root gốc
boot,noun,a sturdy item of footwear covering the foot and ankle,"giày ống, ủng",không,,Root gốc
lady,noun,"a woman, especially one regarded as being of good social position","quý bà, phụ nữ",không,,Root gốc
large,adjective,of considerable or relatively great size,"to, lớn",không,,Root gốc
breast,noun,the chest area of the human body; either of the two mammary glands,"ngực, bộ ngực",không,,Root gốc
breed,verb,to produce offspring; to raise animals or plants,"sinh sản, nhân giống",không,,Root gốc
second,adjective,coming next after the first in order or time,"thứ hai, đứng ở vị trí thứ hai",không,,Root gốc
thick,adjective,having a large distance between opposite sides; dense,"dày, đặc",không,,Root gốc
bush,noun,a shrub or clump of shrubs with stems of moderate length,bụi cây,không,,Root gốc
push,verb,to exert force on something so as to move it away,đẩy,không,,Root gốc
score,noun,the number of points earned in a game or contest,"điểm số, tỉ số",không,,Root gốc
fine,adjective,of high quality; very thin or delicate; satisfactory,"tốt, đẹp, mịn",không,,Root gốc
fill,verb,to make or become full,"đổ đầy, làm đầy",không,,Root gốc
search,verb,to try to find something by looking carefully,tìm kiếm,không,,Root gốc
glory,noun,high renown or honor; magnificence,"vinh quang, sự huy hoàng",không,,Root gốc
cloud,noun,a visible mass of condensed water vapor floating in the sky,đám mây,không,,Root gốc
cool,adjective,of low or moderate temperature; calm and composed,"mát, mát mẻ; điềm tĩnh",không,,Root gốc
custom,noun,a traditional way of behaving or doing something,"phong tục, tập quán",không,,Root gốc
cup,noun,a small open container used for drinking,"cái cốc, chén",không,,Root gốc
prefer,verb,to like one thing better than another,thích hơn,không,,Root gốc
prepare,verb,to make ready for use or consideration,chuẩn bị,không,,Root gốc
happy,adjective,feeling or showing pleasure and contentment,"hạnh phúc, vui vẻ",không,,Root gốc
hat,noun,a shaped covering for the head,mũ,không,,Root gốc
length,noun,the measurement of something from end to end,chiều dài,không,,Root gốc
tactic,noun,an action or strategy carefully planned to achieve a goal,"chiến thuật, sách lược",không,,Root gốc
sharp,adjective,"having a fine edge or point; keen, intense","sắc, bén, nhạy bén",không,,Root gốc
slave,noun,a person who is the legal property of another and forced to work,nô lệ,không,,Root gốc
sketch,noun,a rough drawing representing the main features of something,bản phác thảo,không,,Root gốc
function,noun,the special activity or purpose of a person or thing,chức năng,không,,Root gốc
future,noun,the time yet to come,tương lai,không,,Root gốc
desire,noun,a strong feeling of wanting to have or do something,"mong muốn, khao khát",không,,Root gốc
detect,verb,to discover or identify the presence of something,phát hiện,không,,Root gốc
gay,adjective,cheerful and lighthearted (older sense); also homosexual,"vui vẻ, tươi tắn",không,,Root gốc
flag,noun,"a piece of cloth used as a symbol, signal, or emblem",lá cờ,không,,Root gốc
eat,verb,to put food into the mouth and swallow it,ăn,không,,Root gốc
order,noun,a state in which everything is in its correct place; a command,trật tự; mệnh lệnh,không,,Root gốc
knock,verb,to strike a surface or object with a sharp blow,"gõ, đập",không,,Root gốc
kill,verb,"to cause the death of a person, animal, or other living thing","giết, giết chết",không,,Root gốc
support,verb,"to bear the weight of; to help, back, or provide for someone","hỗ trợ, nâng đỡ",không,,Root gốc
stuff,noun,matter or material of an unspecified kind,"đồ vật, chất liệu",không,,Root gốc
ink,noun,a colored fluid used for writing or printing,mực,không,,Root gốc
parent,noun,a father or mother,cha mẹ,không,,Root gốc
pad,noun,a thick piece of soft material used for protection or comfort,"miếng đệm, lót",không,,Root gốc
strip,noun,a long narrow piece of something; (verb) to remove a covering,"dải, mảnh dài; cởi bỏ",không,,Root gốc
club,noun,a group of people organized for a shared purpose; a heavy stick,câu lạc bộ; gậy,không,,Root gốc
card,noun,"a piece of thick, stiff paper or thin cardboard","thẻ, tấm bìa",không,,Root gốc
sheep,noun,a domesticated ruminant animal raised for wool and meat,con cừu,không,,Root gốc
forget,verb,to fail to remember,quên,không,,Root gốc
forgive,verb,to stop feeling angry about an offense; to pardon,tha thứ,không,,Root gốc
quote,verb,to repeat words from a text or speech,trích dẫn,không,,Root gốc
shell,noun,"the hard outer covering of an egg, nut, or animal","vỏ (sò, trứng, đạn)",không,,Root gốc
root,noun,the part of a plant that grows underground; an origin or source,rễ cây; nguồn gốc,không,,Root gốc
film,noun,a thin flexible material; a motion picture,"phim, lớp màng mỏng",không,,Root gốc
tune,noun,"a melody, especially a simple and easily remembered one",giai điệu,không,,Root gốc
feed,verb,to give food to a person or animal,cho ăn,không,,Root gốc
enter,verb,to come or go into a place,"đi vào, bước vào",không,,Root gốc
eight,numeral,the number 8,số tám,không,,Root gốc
alien,adjective,belonging to a foreign country or another world; strange,"xa lạ, ngoại lai; (danh từ) người ngoài hành tinh",không,,Root gốc
ward,noun,"a division of a hospital, prison, or city; a person under guardianship","khu (bệnh viện, nhà tù); sự giám hộ",không,,Root gốc
truth,noun,the quality or state of being true,sự thật,không,,Root gốc
tube,noun,a long hollow cylinder,cái ống,không,,Root gốc
phrase,noun,a small group of words forming a unit of meaning,cụm từ,không,,Root gốc
argue,verb,to give reasons for or against something; to disagree,"tranh luận, tranh cãi",không,,Root gốc
content,noun,what is contained inside something; (adjective) satisfied,nội dung; (tính từ) hài lòng,không,,Root gốc
herb,noun,"a plant used for flavoring, food, or medicine","thảo mộc, cây cỏ",không,,Root gốc
stair,noun,one of a set of steps leading from one level to another,bậc thang,không,,Root gốc
spread,verb,to open out over a larger area; to distribute widely,"lan rộng, trải ra",không,,Root gốc
tribe,noun,a social group of people sharing customs and ancestry,bộ lạc,không,,Root gốc
appear,verb,to become visible; to seem,xuất hiện; có vẻ như,không,,Root gốc
may,modal verb,expressing possibility or permission; in most example words here it instead refers to the month of May,có thể (động từ khiếm khuyết); trong phần lớn từ ví dụ lại mang nghĩa 'tháng Năm',không,,chưa chắc chắn - cần rà tay
vulnerable,adjective,easily hurt physically or emotionally; exposed to attack,"dễ bị tổn thương, dễ bị tấn công",không,,Root gốc
tradition,noun,a custom or belief passed down through generations,truyền thống,không,,Root gốc
beg,verb,to ask urgently or humbly for something,"van xin, cầu xin",không,,Root gốc
beauty,noun,the quality of being pleasing to look at,vẻ đẹp,không,,Root gốc
look,verb,to direct one's eyes in order to see,nhìn,không,,Root gốc
motive,noun,a reason for doing something,"động cơ, lý do",không,,Root gốc
mountain,noun,a large natural elevation of the earth's surface,núi,không,,Root gốc
bench,noun,a long seat for several people,băng ghế dài,không,,Root gốc
mud,noun,soft wet earth,bùn,không,,Root gốc
appoint,verb,to assign a job or role to someone,"bổ nhiệm, chỉ định",không,,Root gốc
approve,verb,to officially agree to or accept something as satisfactory,"chấp thuận, phê duyệt",không,,Root gốc
moderate,adjective,"average in amount, intensity, or degree; not extreme","vừa phải, ôn hòa",không,,Root gốc
assign,verb,to allocate a task or duty to someone,"giao, phân công",không,,Root gốc
square,noun,a shape with four equal straight sides and right angles,hình vuông; quảng trường,không,,Root gốc
spoon,noun,a utensil with a shallow bowl used for eating or serving food,cái thìa,không,,Root gốc
spine,noun,the series of vertebrae extending along the back; a sharp projection,cột sống; gai nhọn,không,,Root gốc
control,verb,to determine the behavior or course of something,"kiểm soát, điều khiển",không,,Root gốc
hide,verb,to put or keep out of sight,"giấu, trốn",không,,Root gốc
hell,noun,a place regarded in various religions as a place of punishment after death,địa ngục,không,,Root gốc
plenty,noun,a large or sufficient amount,"sự dồi dào, nhiều",không,,Root gốc
planet,noun,a celestial body orbiting a star,hành tinh,không,,Root gốc
pit,noun,a large hole in the ground,"hố, hầm",không,,Root gốc
convention,noun,a formal meeting of members or delegates; an accepted way of behaving,"hội nghị; quy ước, thông lệ",không,,Root gốc
farm,noun,an area of land used for growing crops or raising animals,nông trại,không,,Root gốc
warrant,noun,a document giving official authorization; a justification,"giấy phép, lệnh; sự bảo đảm",không,,Root gốc
vow,noun,a solemn promise,"lời thề, lời nguyện",không,,Root gốc
try,verb,to attempt to do something,"cố gắng, thử",không,,Root gốc
fellow,noun,a man or boy; a companion or associate,"người bạn, đồng nghiệp",không,,Root gốc
feather,noun,one of the light structures covering a bird's body,lông vũ,không,,Root gốc
engage,verb,to participate or become involved in something; to attract attention,"tham gia, thu hút",không,,Root gốc
egg,noun,an oval reproductive body produced by a bird,trứng,không,,Root gốc
execute,verb,to carry out or put into effect; to put to death by legal penalty,"thực hiện, thi hành; hành quyết",không,,Root gốc
expand,verb,"to become or make larger in size, number, or scope",mở rộng,không,,Root gốc
explore,verb,to travel through an unfamiliar place to learn about it,"khám phá, thám hiểm",không,,Root gốc
sake,noun,"benefit or purpose, as in 'for the sake of'","lợi ích, mục đích",không,,Root gốc
sauce,noun,a liquid or semi-liquid preparation served with food,nước sốt,không,,Root gốc
sail,verb,"to travel on water using a boat or ship, especially with sails","giương buồm, đi thuyền",không,,Root gốc
rule,noun,a regulation governing conduct; (verb) to govern,quy tắc; (động từ) cai trị,không,,Root gốc
filter,noun,a device or substance that removes unwanted material from a liquid or gas,bộ lọc; (động từ) lọc,không,,Root gốc
fabric,noun,cloth produced by weaving or knitting fibers,vải,không,,Root gốc
experiment,noun,a scientific procedure carried out to test a hypothesis,thí nghiệm,không,,Root gốc
expert,noun,a person with special skill or knowledge in a particular area,chuyên gia,không,,Root gốc
romantic,adjective,relating to love; characterized by feelings of idealism or imagination,lãng mạn,không,,Root gốc
roof,noun,the structure covering the top of a building,mái nhà,không,,Root gốc
murder,noun,the unlawful premeditated killing of another person,"sự giết người, án mạng",không,,Root gốc
punch,verb,to strike someone or something with a closed fist,đấm; (danh từ) cú đấm,không,,Root gốc
protest,verb,to express strong objection to something,phản đối,không,,Root gốc
quest,noun,a long or arduous search for something,"cuộc tìm kiếm, hành trình",không,,Root gốc
settle,verb,to resolve a matter; to establish a permanent home somewhere,định cư; giải quyết,không,,Root gốc
strike,verb,to hit forcefully; to stop work as a form of protest,"đánh, tấn công; đình công",không,,Root gốc
stroke,noun,an act of hitting; a sudden loss of brain function; a gentle caress,cú đánh; đột quỵ; vuốt ve,không,,Root gốc
capable,adjective,"having the ability, fitness, or quality necessary to do something",có khả năng,không,,Root gốc
can,verb,to be able to do something; (noun) a sealed metal container for food,có thể; (danh từ) cái lon,không,,Root gốc
park,noun,a public area of land set aside for recreation,công viên,không,,Root gốc
suggest,verb,to put forward an idea or plan for consideration,"gợi ý, đề xuất",không,,Root gốc
stupid,adjective,lacking intelligence or common sense,ngu ngốc,không,,Root gốc
submit,verb,to present something for consideration; to yield to authority,"nộp, đệ trình; khuất phục",không,,Root gốc
sweep,verb,to clean a surface by brushing away dirt with a broom,quét,không,,Root gốc
sword,noun,a weapon with a long metal blade and a hilt,thanh kiếm,không,,Root gốc
bright,adjective,giving off or filled with much light; intelligent,"sáng, sáng chói; thông minh",không,,Root gốc
brown,adjective,"of a color produced by mixing red, yellow, and black",màu nâu,không,,Root gốc
nice,adjective,"pleasant, agreeable, or satisfactory","dễ chịu, tốt đẹp",không,,Root gốc
drama,noun,"a play for the theater, radio, or television","kịch, vở kịch",không,,Root gốc
drift,verb,to be carried slowly by a current of air or water,trôi dạt,không,,Root gốc
recover,verb,to return to a normal state after illness or damage; to regain something lost,hồi phục; lấy lại,không,,Root gốc
discipline,noun,the practice of training people to obey rules or a code of behavior,kỷ luật,không,,Root gốc
dish,noun,a shallow container for food; a particular type of food,cái đĩa; món ăn,không,,Root gốc
duty,noun,a task or action that one is morally or legally obliged to perform,"nhiệm vụ, bổn phận",không,,Root gốc
great,adjective,"of an extent, amount, or intensity considerably above average","to lớn, vĩ đại",không,,Root gốc
give,verb,to freely transfer possession of something to someone else,"cho, trao, tặng",không,,Root gốc
glad,adjective,feeling pleasure or happiness,"vui mừng, hài lòng",không,,Root gốc
generous,adjective,showing a readiness to give more than necessary; kind,"hào phóng, rộng lượng",không,,Root gốc
sink,verb,to go down below the surface of water or another liquid,"chìm, lún xuống",không,,Root gốc
sheet,noun,"a large thin flat piece of fabric, paper, or other material","tấm, tờ (vải, giấy...)",không,,Root gốc
smart,adjective,having or showing quick intelligence,"thông minh, lanh lợi",không,,Root gốc
group,noun,a number of people or things gathered or classed together,"nhóm, tập hợp",không,,Root gốc
grass,noun,vegetation with short plants and narrow leaves covering the ground,cỏ,không,,Root gốc
domestic,adjective,"relating to the home, family, or one's own country","thuộc về gia đình, trong nước",không,,Root gốc
forth,adverb,"forward or onward, in space or time","về phía trước, ra ngoài",không,,Root gốc
fortune,noun,chance or luck; also a large amount of wealth,"vận may, tài sản lớn",không,,Root gốc
deposit,verb,"to place or set something down, especially money in a bank","gửi, đặt cọc, lắng đọng",không,,Root gốc
derive,verb,to obtain something from a specified source,"bắt nguồn, có được từ",không,,Root gốc
shed,verb,to let something fall or drop; to cast off,"làm rụng, trút bỏ, rơi xuống",không,,Root gốc
buck,noun,an adult male deer or similar animal,"con hươu đực, dê đực",không,,Root gốc
diet,noun,the food a person or community habitually eats,chế độ ăn uống,không,,Root gốc
learn,verb,to gain knowledge or skill through study or experience,"học, học hỏi",không,,Root gốc
laugh,verb,to make sounds expressing amusement,cười,không,,Root gốc
throat,noun,the passage at the front of the neck used for breathing and swallowing,cổ họng,không,,Root gốc
old,adjective,having lived or existed for a long time; not young or new,"già, cũ",không,,Root gốc
talk,verb,to speak in order to give information or express ideas,"nói chuyện, trò chuyện",không,,Root gốc
prompt,adjective,done without delay; quick to act,"nhanh chóng, kịp thời",không,,Root gốc
pretty,adjective,attractive in a delicate or pleasing way,"xinh xắn, dễ thương",không,,Root gốc
price,noun,the amount of money required in payment for something,"giá, giá cả",không,,Root gốc
demon,noun,an evil spirit or devil,"quỷ, ác quỷ",không,,Root gốc
dense,adjective,closely compacted; crowded together,"dày đặc, đậm đặc",không,,Root gốc
dedicate,verb,to devote time or effort to a particular purpose,"cống hiến, dành riêng cho",không,,Root gốc
declare,verb,to say something in a solemn and emphatic manner; to state officially,"tuyên bố, khai báo",không,,Root gốc
deal,verb,"to distribute, handle, or do business with something","giao dịch, xử lý, phân phát",không,,Root gốc
hear,verb,to perceive sound with the ear,nghe,không,,Root gốc
harm,noun,physical or other injury or damage,"tổn hại, tác hại",không,,Root gốc
globe,noun,a spherical object; the earth,"quả cầu, địa cầu",không,,Root gốc
course,noun,the route or direction followed by something; a series of lessons,"đường đi, khóa học, tiến trình",không,,Root gốc
culture,noun,the arts and customs of a particular society or group,văn hóa,không,,Root gốc
cure,verb,to relieve a person of the symptoms of a disease,"chữa khỏi, chữa trị",không,,Root gốc
bomb,noun,an explosive device,bom,không,,Root gốc
screw,noun,a short pointed metal fastener with a helical thread,"vít, đinh vít",không,,Root gốc
save,verb,to keep safe from harm; to rescue or set aside for later use,"cứu, tiết kiệm, lưu giữ",không,,Root gốc
find,verb,to discover or locate something,"tìm thấy, phát hiện",không,,Root gốc
thorough,adjective,complete and careful in every detail,"kỹ lưỡng, triệt để",không,,Root gốc
text,noun,a written or printed work,văn bản,không,,Root gốc
tempt,verb,"to entice someone to do something, especially something unwise","cám dỗ, quyến rũ",không,,Root gốc
busy,adjective,having a great deal to do; occupied,bận rộn,không,,Root gốc
brief,adjective,of short duration; concise,"ngắn gọn, ngắn ngủi",không,,Root gốc
burden,noun,"a heavy load, especially a duty or responsibility",gánh nặng,không,,Root gốc
bridge,noun,a structure carrying a path across a river or obstacle,cây cầu,không,,Root gốc
eager,adjective,wanting to do or have something very much,"háo hức, nhiệt tình",không,,Root gốc
doctrine,noun,a set of beliefs held and taught by a group,"học thuyết, giáo lý",không,,Root gốc
dive,verb,to plunge headfirst into water,"lặn, lao xuống",không,,Root gốc
net,noun,an open-meshed material of cord or twine,lưới,không,,Root gốc
priest,noun,an ordained minister of a church,"linh mục, thầy tu",không,,Root gốc
stiff,adjective,not easily bent; rigid,"cứng, cứng nhắc",không,,Root gốc
stimul,,"to urge, incite, or spur into action (Latin stimulus, a goad)","thúc đẩy, kích thích, khích lệ",có,,Root gốc
stay,verb,to remain in the same place,"ở lại, lưu lại",không,,Root gốc
steel,noun,a hard strong alloy of iron and carbon,thép,không,,Root gốc
